变量号	变量值	TaskID	Step
140	4	1000145	2
140	5	1000145	3
140	6	1000145	3
140	7	1000145	4
140	8	1000145	5
140	9	1000145	6
140	10	1000146	0
140	11	1000146	0
140	12	1000146	1
140	13	1000146	1
140	14	1000146	2
140	15	1000147	0
140	16	1000147	0
140	17	1000147	1
140	18	1000147	1
140	19	1000147	2
140	20	1000148	0
140	21	1000148	1
140	22	1000148	2
140	23	1000149	0
140	24	1000149	1
140	25	1000149	2
140	26	1000149	3
140	27	1000149	3
140	28	1000150	0
140	29	1000150	1
140	30	1000150	1
140	31	1000150	2
140	32	1000151	0
140	33	1000151	1
140	34	1000151	1
140	35	1000151	2
140	36	1000151	3
140	37	1000152	0
140	38	1000152	1
140	39	1000152	2
140	40	1000152	2
140	41	1000152	3
140	42	1000152	4
140	43	1000152	5
140	44	1000153	0
140	45	1000153	1
140	46	1000153	2
140	47	1000153	2
140	48	1000153	2
140	49	1000153	3
140	50	1000153	4
140	51	1000153	5
140	52	1000153	5
140	53	1000153	6
140	54	1000154	0
140	56	1000155	0
140	57	1000155	1
140	58	1000155	2
140	59	1000155	3
140	60	1000155	4
141	1	1000156	0
141	2	1000156	1
141	3	1000156	1
141	4	1000156	2
144	1	1000157	0
144	2	1000157	1
144	3	1000157	2
144	4	1000157	2
119	7	1000158	0
119	8	1000158	1
119	9	1000158	1
119	10	1000158	2
119	11	1000158	3
119	13	1000159	0
119	14	1000159	1
119	15	1000160	0
119	16	1000160	1
119	17	1000160	2
119	18	1000160	3
119	19	1000160	4
119	20	1000160	5
119	21	1000161	0
119	22	1000161	1
146	1	1000162	0
119	23	1000163	0
119	24	1000163	1
119	25	1000163	2
119	26	1000163	3
119	27	1000163	4
119	28	1000163	5
147	1	1000164	0
147	2	1000164	1
147	3	1000164	2
147	4	1000164	3
147	5	1000168	0
147	6	1000168	1
148	2	1000165	0
148	3	1000165	1
148	4	1000165	2
148	5	1000165	3
148	6	1000166	0
148	7	1000166	1
148	8	1000166	1
148	9	1000166	2
148	10	1000167	0
148	11	1000167	1
148	12	1000167	2
148	13	1000167	3
148	14	1000167	4
148	15	1000167	5
148	16	1000167	6
149	1	1000169	0
149	2	1000169	1
149	3	1000169	2
149	4	1000169	3
149	5	1000169	4
150	1	1000170	0
150	2	1000170	1
150	3	1000171	0
150	4	1000171	1
150	5	1000171	2
150	6	1000171	3
150	7	1000172	0
150	8	1000172	1
150	9	1000173	0
150	10	1000173	1
150	11	1000174	0
150	12	1000174	1
150	13	1000174	2
150	14	1000175	0
150	15	1000175	1
150	16	1000176	0
150	17	1000176	1
150	18	1000177	0
150	19	1000177	1
150	20	1000177	2
150	21	1000178	0
150	22	1000178	1
150	23	1000179	0
150	24	1000179	1
150	25	1000180	0
150	26	1000180	0
150	27	1000180	1
150	28	1000180	2
150	29	1000180	2
150	30	1000181	0
150	31	1000181	1
150	32	1000181	2
1031	1	1000182	0
1031	2	1000182	1
1031	3	1000182	2
1031	4	1000182	3
1031	5	1000182	4
1031	6	1000182	5
1031	7	1000182	6
1032	1	1000183	0
1032	2	1000183	1
1032	3	1000183	2
1032	4	1000183	3
1032	5	1000183	4
1032	6	1000183	5
1032	7	1000183	6
1867	1	1000206	0
1867	2	1000206	1
1867	3	1000206	2
1867	4	1000206	3
1867	5	1000206	4
1867	6	1000206 5
1867	7	1000206	6
1867	8	1000206	7
1867	9	1000206	8
1868	1	1000207	0
1868	2	1000207	1
1868	3	1000207	2
1868	4	1000207	3
1868	5	1000207	4
1868	6	1000207	5
1868	7	1000207	6
1868	8	1000207	7
1868	9	1000207	8
1869	1	1000208	0
1869	2	1000208	1
1869	3	1000208	2
1869	4	1000208	3
1869	5	1000208	4
1869	6	1000208	5
1869	7	1000208	6
1870	1	1000209	0
1870	2	1000209	1
1870	3	1000209	2
1870	4	1000209	3
1870	5	1000209	4
1870	6	1000209	5
1870	7	1000209	6
1870	8	1000209	7
1870	9	1000209	8
1300	1	1000184	0
1300	2	1000184	1
1300	3	1000184	2
1300	4	1000184	3
1301	1	1000185	0
1301	2	1000185	1
1301	3	1000185	2
1301	4	1000185	3
1301	5	1000185	4
1302	1	1000186	0
1302	2	1000186	1
1302	3	1000186	2
1302	4	1000186	3
1302	5	1000186	4
1303	1	1000187	0
1303	2	1000187	1
1303	3	1000187	2
1305	1	1000188	0
1306	1	1000189	0
1306	2	1000189	1
1306	3	1000189	2
1306	4	1000189	3
1306	5	1000189	4
1306	6	1000189	5
1307	1	1000190	0
1307	2	1000190	1
1307	3	1000190	2
1307	4	1000190	3
1308	2	1000191	0
1308	3	1000191	1
1308	4	1000191	2
1308	5	1000191	3
1308	6	1000191	4
1308	7	1000191	5
1309	1	1000192	0
1309	2	1000192	1
1309	3	1000192	2
1309	4	1000192	3
1309	5	1000192	4
1309	6	1000193	0
1309	7	1000193	1
1309	8	1000193	2
1311	1	1000194	0
1311	2	1000194	1
1311	3	1000194	2
1311	4	1000194	3
1311	5	1000194	4
1311	6	1000195	0
1311	7	1000195	1
1311	8	1000195	2
1312	1	1000210	0
1312	2	1000210	1
1313	1	1000196	0
1313	2	1000196	1
1312	3	1000210	2
1312	4	1000210	3
1313	3	1000196	2
1312	5	1000210	4
1313	4	1000196	3
1315	1	1000197	0
1315	2	1000197	0
1315	3	1000197	1
1315	4	1000197	2
1315	5	1000197	3
1316	1	1000198	0
1316	2	1000198	1
1316	3	1000198	2
1316	4	1000199	0
1316	5	1000199	1
1316	6	1000199	2
1316	7	1000200	0
1316	8	1000200	1
1317	1	1000201	0
1317	2	1000201	1
1317	3	1000201	2
1317	4	1000201	3
1318	1	1000202	0
1318	2	1000202	1
1318	3	1000202	2
1318	4	1000202	3
1319	1	1000203	0
1318	5	1000203	1
1318	6	1000203	2
1318	7	1000203	3
1318	8	1000204	0
1318	9	1000204	1
1033	1	1000205	0
1033	2	1000205	1
1033	3	1000205	2
1033	4	1000205	2
1033	5	1000205	3
1033	6	1000205	4
1033	7	1000205	5
1600	1	1000211	0
1600	2	1000211	1
1600	3	1000211	2
1600	4	1000211	3
1602	1	1000212	0
1602	2	1000212	1
1602	3	1000212	2
1602	4	1000212	3
1603	1	1000213	0
1603	2	1000213	1
1603	3	1000213	2
1603	4	1000213	3
1604	1	1000214	0
1604	2	1000214	1
1604	3	1000214	2
1604	4	1000214	3
1604	5	1000214	4
1605	1	1000215	0
1605	2	1000215	1
998	1	1000216	0
998	2	1000216	1
998	3	1000216	2
998	4	1000216	3
2030	1	1000217	0
2030	2	1000217	1
2030	3	1000217	2
2030	4	1000217	3
2030	5	1000217	4
2030	6	1000218	0
2030	7	1000218	1
2030	8	1000218	2
2030	9	1000218	3
2030	10	1000218	4
2030	11	1000219	0
2030	12	1000219	1
2030	13	1000219	2
2030	14	1000220	0
2030	15	1000220	1
2030	16	1000220	2
2030	17	1000221	0
2030	18	1000221	1
2030	19	1000221	2
2030	20	1000221	3
2030	21	1000221	4
2030	22	1000221	5
2030	23	1000221	6
2030	24	1000221	7
2030	25	1000221	8
2030	26	1000222	0
2030	27	1000222	1
2030	28	1000222	2
2030	29	1000222	3
2030	30	1000222	4
2030	31	1000222	5
2030	32	1000223	0
2030	33	1000223	1
2030	34	1000223	2
2030	35	1000223	3
2030	36	1000223	4
2030	37	1000224	0
2030	38	1000224	1
2030	39	1000224	2
2031	1	1000225	0
2031	2	1000225	1
2031	3	1000225	2
2031	4	1000226	0
2031	5	1000226	1
2031	6	1000226	2
2031	7	1000226	3
2031	8	1000226	4
2031	9	1000227	0
2031	10	1000227	1
2031	11	1000227	2
2031	12	1000227	3
2031	13	1000228	0
2031	14	1000228	1
2031	15	1000228	2
2031	16	1000229	0
2031	17	1000229	1
2031	18	1000229	2
2031	19	1000229	3
2031	20	1000229	4
2031	21	1000230	0
2031	22	1000230	1
2031	23	1000231	0
2031	24	1000231	1
2031	25	1000231	2
2031	26	1000231	3
2031	27	1000231	4
2031	28	1000231	5
2031	29	1000231	6
2031	30	1000232	0
2031	31	1000232	1
2031	32	1000232	2
2031	33	1000232	3
2031	34	1000232	4
2031	35	1000233	0
2031	36	1000233	1
2031	37	1000233	2
2031	38	1000234	0
2031	39	1000234	1
2031	40	1000234	2
2031	41	1000234	3
2031	42	1000234	4
2031	43	1000235	0
2031	44	1000235	1
2031	45	1000235	2
2031	46	1000235	3
2031	47	1000235	4
2031	48	1000235	5
2031	49	1000235	6
2031	50	1000235	7
2031	51	1000236	0
2031	52	1000236	1
2031	53	1000236	2
2031	54	1000236	3
2031	55	1000236	4
2031	56	1000236	5
2031	57	1000237	0
2031	58	1000237	1
2031	59	1000237	2
2031	60	1000237	3
2031	61	1000238	0
2031	62	1000238	1
2031	63	1000239	0
2031	64	1000239	1
2031	65	1000239	2
2031	66	1000239	3
2031	67	1000239	4
2031	68	1000239	5
2032	1	1000240	0
2032	2	1000240	1
2032	3	1000240	2
2032	4	1000240	3
2032	5	1000240	4
2032	6	1000240	5
2032	7	1000241	0
2032	8	1000241	1
2032	9	1000241	2
2032	10	1000241	3
2032	11	1000241	4
2032	12	1000241	5
2032	13	1000242	0
2032	14	1000242	1
2032	15	1000242	2
2032	16	1000243	0
2032	17	1000243	1
2032	18	1000243	2
2032	19	1000244	0
2032	20	1000244	1
2	1	1000245	0
2	2	1000245	1
2	3	1000245	2
2	4	1000245	3
2031	69	1000246	0
2031	70	1000246	1
2031	71	1000246	2
2031	72	1000246	3
2031	73	1000246	4
2031	74	1000246	5
4963	1	1000247	0
4963	2	1000247	1
4963	3	1000247	2
4963	4	1000247	3
4963	5	1000247	4
4964	1	1000248	0
4964	2	1000248	1
4964	3	1000248	2
4964	4	1000248	3
4964	5	1000248	4
4964	6	1000248	5
4964	7	1000248	6
4965	1	1000249	0
4965	2	1000249	1
4965	3	1000249	2
4965	4	1000249	3
4965	5	1000249	4
1428	1	1000250	0
1428	2	1000250	1
1428	3	1000250	2
1428	4	1000250	3
1428	5	1000250	4
