人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
宋骑兵	普通npc	\image\enemy\063	4	220	50														
金骑兵	普通npc	\image\enemy\064	4	220	60														
一刀	普通npc	\image\enemy\065	2	140	60														
一闪	普通npc	\image\enemy\066	2	140	60														
一挑	普通npc	\image\enemy\067	2	140	60														
血骷髅	普通npc	\image\enemy\068	3	140	60														
宋江	普通npc	\image\enemy\069	3	140	50														
封稀	普通npc	\image\enemy\070	3	140	60														
刑天	普通npc	\image\enemy\071	3	140	60														
完颜红烈	普通npc	\image\enemy\072	3	140	60														
预留	普通npc		2	140	60														
预留	普通npc		2	140	60														
中原药店掌柜	普通npc	\image\passby\001	2	130	60														
西南药店掌柜	普通npc	\image\passby\001	2	130	60														
吐蕃药店掌柜	普通npc	\image\passby\001	2	130	60														
中原酒店小二	普通npc	\image\passby\002	2	130	60														
西南酒店小二	普通npc	\image\passby\002	2	130	60														
吐蕃酒店小二	普通npc	\image\passby\002	2	130	60														
中原武器店老板	普通npc	\image\passby\003	2	130	60														
西南武器店老板	普通npc	\image\passby\003	2	130	60														
吐蕃武器店老板	普通npc	\image\passby\003	2	130	60														
中原玉器老板	普通npc	\image\passby\004	2	130	60														
西南玉器老板	普通npc	\image\passby\004	2	130	60														
吐蕃玉器老板	普通npc	\image\passby\004	2	130	60														
中原绸缎庄老板	普通npc	\image\passby\005	2	130	60														
西南绸缎庄老板	普通npc	\image\passby\005	2	130	60														
绸缎庄老板	普通npc	\image\passby\005	2	130	60														
中原马车船夫	普通npc	\image\passby\006	2	130	60														
西南马车船夫	普通npc	\image\passby\006	2	130	60														
吐蕃马车船夫	普通npc	\image\passby\006	2	130	60														
中原铁匠师傅	普通npc	\image\passby\007	2	130	60														
西南铁匠师傅	普通npc	\image\passby\007	2	130	60														
吐蕃铁匠师傅	普通npc	\image\passby\007	2	130	60														
中原当铺老板	普通npc	\image\passby\008	2	130	60														
西南当铺老板	普通npc	\image\passby\008	2	130	60														
吐蕃当铺老板	普通npc	\image\passby\008	2	130	60														
中原储物柜	普通npc	\image\passby\009	2	130	60														
西南储物柜	普通npc	\image\passby\009	2	130	60														
吐蕃储物柜	普通npc	\image\passby\009	2	130	60														
张择端	普通npc	\image\passby\010	2	130	60														
邵雍	普通npc	\image\passby\010	2	130	60														
程颐	普通npc	\image\passby\010	2	130	60														
柳永	普通npc	\image\passby\010	2	130	60														
苏轼	普通npc	\image\passby\010	2	130	60														
王安石	普通npc	\image\passby\010	2	130	60														
中年男	普通npc	\image\passby\010	2	130	60														
谪臣	普通npc	\image\passby\011	2	120	60														
紫清上人	普通npc	\image\passby\011	2	120	60														
月老	普通npc	\image\passby\011	2	120	60														
司马光	普通npc	\image\passby\011	2	120	60														
老年男	普通npc	\image\passby\011	2	120	60														
官员	普通npc	\image\passby\012	2	130	60														
沈括	普通npc	\image\passby\012	2	130	60														
阎罗	普通npc	\image\passby\012	2	130	60														
黑无常	普通npc	\image\passby\013	2	130	60														
白无常	普通npc	\image\passby\013	2	130	60														
鬼差	普通npc	\image\passby\013	2	130	60														
赵佶	普通npc	\image\passby\014	2	130	60														
赌徒	普通npc	\image\passby\014	2	130	60														
青年男子	普通npc	\image\passby\014	2	130	60														
李师师	普通npc	\image\passby\015	2	130	60														
素还真	普通npc	\image\passby\015	2	130	60														
少年女1	普通npc	\image\passby\015	2	130	60														
少年女2	普通npc	\image\passby\015	2	130	60														
少年女3	普通npc	\image\passby\015	2	130	60														
孟婆	普通npc	\image\passby\016	2	130	60														
老年女1	普通npc	\image\passby\016	2	100	60														
老年女2	普通npc	\image\passby\016	2	100	60														
老年女3	普通npc	\image\passby\016	2	100	60														
妇女1	普通npc	\image\passby\017	2	130	60														
妇女2	普通npc	\image\passby\017	2	130	60														
老鸨	普通npc	\image\passby\017	2	130	60														
童子1	普通npc	\image\passby\018	2	130	60														
童子2	普通npc	\image\passby\018	2	130	60														
童子3	普通npc	\image\passby\018	2	130	60														
童女1	普通npc	\image\passby\019	2	130	60														
童女2	普通npc	\image\passby\019	2	130	60														
童女3	普通npc	\image\passby\019	2	130	60														
童贯	普通npc	\image\passby\020	2	130	60														
杨顶天	普通npc	\image\passby\021	2	130	60														
西洋鬼子	普通npc	\image\passby\022	2	130	60														
天王帮主	普通npc	\image\passby\023	2	130	60														
天王副帮主	普通npc	\image\passby\023	2	130	60														
天王护法	普通npc	\image\passby\023	2	130	60														
天王帮徒	普通npc	\image\passby\023	2	130	60														
少林主持	普通npc	\image\passby\024	2	130	60														
少林方丈	普通npc	\image\passby\024	2	130	60														
少林首座	普通npc	\image\passby\024	2	130	60														
少林僧人	普通npc	\image\passby\024	2	130	60														
唐门门主	普通npc	\image\passby\025	2	130	60														
唐门副门主	普通npc	\image\passby\025	2	130	60														
唐门大徒弟	普通npc	\image\passby\025	2	130	60														
唐门门人	普通npc	\image\passby\025	2	130	60														
五毒教主	普通npc	\image\passby\026	2	130	60														
五毒副教主	普通npc	\image\passby\026	2	130	60														
五毒护法	普通npc	\image\passby\026	2	130	60														
五毒教徒	普通npc	\image\passby\026	2	130	60														
峨嵋掌门	普通npc	\image\passby\027	2	130	60														
峨嵋副掌门	普通npc	\image\passby\027	2	130	60														
峨嵋护法	普通npc	\image\passby\027	2	130	60														
峨嵋门人	普通npc	\image\passby\027	2	130	60														
翠烟掌门	普通npc	\image\passby\028	2	130	60														
翠烟副掌门	普通npc	\image\passby\028	2	130	60														
翠烟护法	普通npc	\image\passby\028	2	130	60														
翠烟门人	普通npc	\image\passby\028	2	130	60														
丐帮掌门	普通npc	\image\passby\029	2	130	60														
丐帮副掌门	普通npc	\image\passby\029	2	130	60														
丐帮长老	普通npc	\image\passby\029	2	130	60														
丐帮门人	普通npc	\image\passby\029	2	130	60														
昆仑掌门	普通npc	\image\passby\030	2	130	60														
昆仑副掌门	普通npc	\image\passby\030	2	130	60														
昆仑护法	普通npc	\image\passby\030	2	130	60														
昆仑门人	普通npc	\image\passby\030	2	130	60														
武当掌门	普通npc	\image\passby\031	2	130	60														
武当副掌门	普通npc	\image\passby\031	2	130	60														
武当护法	普通npc	\image\passby\031	2	130	60														
武当门人	普通npc	\image\passby\031	2	130	60														
驴	普通npc	\image\animal\001	2	100	60														
老鼠	普通npc	\image\animal\002	1	100	60														
猪	普通npc	\image\animal\003	2	100	60														
狗	普通npc	\image\animal\004	2	100	60														
兔子	普通npc	\image\animal\005	1	100	60														
牛	普通npc	\image\animal\006	2	100	60														
鱼	普通npc	\image\animal\007	2	100	60														
山羊	普通npc	\image\animal\008	2	100	60														
鸡	普通npc	\image\animal\009	1	100	60														
鸭	普通npc	\image\animal\010	1	100	60														
小白兔	普通npc	\image\enemy\073	1	80	100														
小灰兔	普通npc	\image\enemy\073	1	80	100														
小黑兔	普通npc	\image\enemy\073	1	90	110														
小土狼	普通npc	\image\enemy\074	2	65	80														
小青狼	普通npc	\image\enemy\074	2	65	80														
小苍狼	普通npc	\image\enemy\074	2	65	80														
小野猪	普通npc	\image\enemy\075	2	70	80														
小黑野猪	普通npc	\image\enemy\075	3	100	120														
女剑客	普通npc	\image\enemy\076	2	130	60														
女剑侠	普通npc	\image\enemy\076	2	130	60														
女剑豪	普通npc	\image\enemy\076	2	130	60														
女剑仙	普通npc	\image\enemy\077	2	140	60														
女笛仙	普通npc	\image\enemy\077	2	140	60														
女萧仙	普通npc	\image\enemy\077	2	140	60														
女琵琶仙	普通npc	\image\enemy\077	2	140	60														
女琴仙	普通npc	\image\enemy\077	2	140	60														
女伞仙	普通npc	\image\enemy\077	2	140	60														
马猴	普通npc	\image\enemy\078	2	85	60														
苍猿	普通npc	\image\enemy\078	2	85	60														
小红刀鬼	普通npc	\image\enemy\079	2	100	60														
小红叉鬼	普通npc	\image\enemy\079	2	100	60														
红飞爪鬼	普通npc	\image\enemy\079	2	100	60														
蓝小刀鬼	普通npc	\image\enemy\079	2	100	60														
蓝小叉鬼	普通npc	\image\enemy\079	2	100	60														
蓝飞爪鬼	普通npc	\image\enemy\079	2	100	60														
游魂	普通npc	\image\enemy\080	2	140	60														
冤魂	普通npc	\image\enemy\080	2	100	60														
孽魂	普通npc	\image\enemy\080	2	200	100														
牛头	普通npc	\image\enemy\081	3	140	60														
马面	普通npc	\image\enemy\082	3	140	60														
持戈兵马俑	普通npc	\image\enemy\083	2	140	60														
持剑兵马俑	普通npc	\image\enemy\083	2	140	60														
持弓兵马俑	普通npc	\image\enemy\083	2	140	60														
空手兵马俑	普通npc	\image\enemy\083	2	140	60														
幻武刀者	普通npc	\image\enemy\083	2	140	60														
幻武剑者	普通npc	\image\enemy\083	2	140	60														
幻武枪者	普通npc	\image\enemy\083	2	200	100														
幻武弓者	普通npc	\image\enemy\083	2	140	60														
持弓猎户	普通npc	\image\enemy\084	2	140	60														
持叉猎户	普通npc	\image\enemy\084	2	140	60														
李逵	普通npc	\image\enemy\086	2	150	80														
预留	普通npc	\image\enemy\084	2	140	60														
预留	普通npc	\image\enemy\085		140	60														
神秘黑衣人	普通npc	\image\enemy\085	2	140	60														
莽夫	普通npc	\image\enemy\086	2	140	60														
山贼头目	普通npc	\image\enemy\086	2	200	100														
备用药王	普通npc	\image\enemy\086	3	140	60														
大内高手	普通npc	\image\enemy\087	2	140	60														
武林盟主	普通npc	\image\enemy\087	2	140	60														
预留	普通npc	\image\enemy\087	2	140	60														
黄虎王	普通npc	\image\enemy\088	3	140	60														
白虎王	普通npc	\image\enemy\088	3	140	60														
矮胖武大郎	普通npc	\image\enemy\089	2	100	60														
普通武大郎	普通npc	\image\enemy\089	2	100	60														
预留	普通npc	\image\enemy\089	2	140	60														
冰女	普通npc	\image\enemy\090	2	140	60														
泼妇母夜叉	普通npc	\image\enemy\091	2	130	60														
泼妇河东狮	普通npc	\image\enemy\091	2	130	60														
普通泼妇	普通npc	\image\enemy\091	2	140	60														
预留	普通npc	\image\enemy\091	2	140	60														
憎恶	普通npc	\image\enemy\092	2	155	60														
预留	普通npc	\image\enemy\092	2	140	60														
预留	普通npc	\image\enemy\092	2	140	60														
邪仙人	普通npc	\image\enemy\093	2	150	60														
夜叉鸦	普通npc	\image\enemy\094	2	190	60														
鬼将军	普通npc	\image\enemy\095	3	185	60														
木人	普通npc	\image\enemy\096	2	145	60														
铜人	普通npc	\image\enemy\097	2	145	60														
恶吏	普通npc	\image\enemy\098	2	140	60														
捕快	普通npc	\image\enemy\098	2	140	60														
密探	普通npc	\image\enemy\098	2	140	60														
剑魂	普通npc	\image\enemy\099	2	145	60														
娃娃杀手	普通npc	\image\enemy\100	1	140	60														
xxx	普通npc	\image\enemy\101		140	60														
车轮霸王	普通npc	\image\enemy\102	2	140	60														
血爪	普通npc	\image\enemy\103	2	140	60														
苗族小姑娘1	普通npc	\image\enemy\104	2	140	60														
苗族小姑娘2	普通npc	\image\enemy\104	2	140	60														
荒漠刀客	普通npc	\image\enemy\105	2	140	60														
药王	普通npc	\image\enemy\106	3	150	70														
城门卫兵	普通npc	\image\passby\032	2	130	60														
城市流氓	普通npc	\image\passby\033	2	130	60														
官府衙役	普通npc	\image\passby\034	2	130	60														
超级泼妇	普通npc	\image\passby\035	2	130	60														
江湖俊杰	普通npc	\image\passby\036	2	130	60														
江湖豪杰	普通npc	\image\passby\037	2	130	55														
西南苗人	普通npc	\image\passby\038	2	130	60														
苗族少女	普通npc	\image\passby\039	2	130	60														
六扇门高手1	普通npc	\image\passby\034	2	130	60														
六扇门高手2	普通npc	\image\passby\034	2	130	60														
六扇门高手3	普通npc	\image\passby\034	2	130	60														
蓝刀鬼	普通npc	\image\enemy\079	2	100	60														
辽国武将对话	普通npc	\image\enemy\064	2	160	55														
辽国武将	普通npc	\image\enemy\064	2	160	60														
坐地乞丐	普通npc	\image\passby\040	2	80	60														
游方相士	普通npc	\image\passby\041	2	130	60														
普通少年男1	普通npc	\image\passby\014	2	130	60														
普通少年男2	普通npc	\image\passby\014	2	130	60														
普通少年男3	普通npc	\image\passby\014	2	130	60														
村妇1	普通npc	\image\passby\017	2	130	60														
村妇2	普通npc	\image\passby\017	2	130	60														
村妇3	普通npc	\image\passby\017	2	130	60														
管家	普通npc	\image\passby\010	2	130	60														
明教教主	普通npc	\image\passby\042	2	130	60														
明教圣女	普通npc	\image\passby\043	2	130	60														
明教护法	普通npc	\image\passby\044	2	130	60														
明教弟子	普通npc	\image\passby\045	2	130	60														
收集商人	普通npc	\image\passby\050	2	130	60														
游方医生	普通npc	\image\passby\051	2	130	60														
御厨	普通npc	\image\passby\052	2	130	60														
云游道人	普通npc	\image\passby\053	2	130	60														
驯兽师	普通npc	\image\passby\054	2	130	60														
礼仪老师	普通npc	\image\passby\055	2	130	60														
剃头师父	普通npc	\image\passby\056	2	130	60														
武林盟传人	普通npc	\image\passby\057	2	130	60														
公告栏	普通npc	\image\passby\058	2	130	60														
瘦富家老头	普通npc	\image\passby\059	2	130	60														
中年瘦官吏1	普通npc	\image\passby\060	2	130	60														
中年瘦官吏2	普通npc	\image\passby\061	2	130	60														
中年瘦官吏3	普通npc	\image\passby\062	2	130	60														
职能武林盟主1	普通npc	\image\passby\063	2	130	60														
职能武林盟主2	普通npc	\image\passby\064	2	130	60														
书生	普通npc	\image\passby\065	2	130	60														
健康的余太君	普通npc	\image\passby\066	2	130	60														
超级贵妇	普通npc	\image\passby\067	2	130	60														
普通贵妇	普通npc	\image\passby\068	2	130	60														
习武大小姐	普通npc	\image\passby\069	2	130	60														
侠女	普通npc	\image\passby\015	2	130	60														
农家老头	普通npc	\image\passby\071	2	130	60														
村中少年	普通npc	\image\passby\072	2	130	60														
农家老太	普通npc	\image\passby\073	2	130	60														
民家少女	普通npc	\image\passby\074	2	130	60														
教书的	普通npc	\image\passby\075	2	130	60														
挑担的	普通npc	\image\passby\076	2	130	60														
卖货的	普通npc	\image\passby\077	2	130	60														
糖葫芦	普通npc	\image\passby\078	2	130	60														
老板娘	普通npc	\image\passby\079	2	130	60														
渔民	普通npc	\image\passby\080	2	130	60														
宋将军	普通npc	\image\passby\081	2	130	45														
宋江	普通npc	\image\passby\082	2	130	60														
唐门掌门新	普通npc	\image\passby\083	2	130	60														
暗器房主管	普通npc	\image\passby\084	2	130	60														
火器房主管	普通npc	\image\passby\085	2	130	60														
唐门门人新	普通npc	\image\passby\086	2	130	60														
昆仑掌门新	普通npc	\image\passby\087	2	130	60														
昆仑副掌门新	普通npc	\image\passby\088	2	130	60														
昆仑长老新	普通npc	\image\passby\089	2	130	60														
昆仑门人新	普通npc	\image\passby\090	2	130	60														
五毒掌门新	普通npc	\image\passby\091	2	130	60														
北方将军	普通npc	\image\passby\092	2	130	60														
北方男性1	普通npc	\image\passby\093	2	130	60														
北方男性2	普通npc	\image\passby\094	2	130	60														
北方男性3	普通npc	\image\passby\095	2	130	60														
北方老头1	普通npc	\image\passby\096	2	130	60														
北方老头2	普通npc	\image\passby\096	2	130	60														
北方妇女1	普通npc	\image\passby\098	2	130	60														
北方妇女2	普通npc	\image\passby\098	2	130	60														
北方少女1	普通npc	\image\passby\100	2	130	60														
北方少女2	普通npc	\image\passby\100	2	130	60														
西南男性	普通npc	\image\passby\102	2	130	60														
西南女性	普通npc	\image\passby\103	2	130	60														
西北男性	普通npc	\image\passby\104	2	130	60														
西北女性	普通npc	\image\passby\105	2	130	60														
传教士	普通npc	\image\passby\106	2	130	60														
西洋贵妇	普通npc	\image\passby\107	2	130	60														
波斯商人	普通npc	\image\passby\108	2	130	60														
波斯舞伎	普通npc	\image\passby\109	2	125	60														
切换	普通npc	\image\effect\sfx\其他\																	
瀑布	普通npc																		
林间鸟叫	普通npc																		
河水	普通npc																		
箱子	普通npc																		
maptrap1	普通npc	\image\effect\sfx\其他\																	
maptrap2	普通npc	\image\effect\sfx\其他\																	
maptrap3	普通npc	\image\effect\sfx\其他\																	
maptrap4	普通npc	\image\effect\sfx\其他\																	
maptrap5	普通npc	\image\effect\sfx\其他\																	
maptrap6	普通npc	\image\effect\sfx\其他\																	
maptrap7	普通npc	\image\effect\sfx\其他\																	
maptrap8	普通npc	\image\effect\sfx\其他\																	
山羊	普通npc	\image\enemy\107	2	90	60														
小老虎	普通npc	\image\enemy\108	2	90	60														
小熊	普通npc	\image\enemy\109	2	90	60														
猎户	普通npc	\image\enemy\084	2	140	60														
暮雪剑客	普通npc	\image\enemy\023	2	130	60														
暮雪枪客	普通npc	\image\enemy\023	2	130	60														
拦路贼	普通npc	\image\enemy\017	2	135	60														
时迁	普通npc	\image\passby\110	2	115	60														
藏红花	普通npc	\image\enemy\110	2	50	60														
桔梗	普通npc	\image\enemy\111	2	50	60														
田七	普通npc	\image\enemy\112	2	50	60														
