装备显示类型	模型	贴图
魁梧男歪歪头	m1_huanxiongzhuanghead.Mesh	m1_huanxiongzhuanghead.Mtl
魁梧男欢喜头	m1_2010newyearhead.Mesh	m1_2010newyearhead.Mtl
魁梧男子龙头	m1_juezhanjiuzhou2head.Mesh	m1_juezhanjiuzhou2head.Mtl
魁梧男七夕头	m1_yn_qx_hd_hong01.Mesh	m1_yn_qx_hd_hong01.Mtl
魁梧男黯魂鎏金头	m2_TY_huanghuo_head.Mesh	m2_TY_huanghuo_head.Mtl
魁梧男天波破阵头	m2_TY_yangzhong_head.Mesh	m2_TY_yangzhong_head.Mtl
魁梧男飞絮青冥盔	m2_hd_002.Mesh	m2_hd_002a.Mtl
魁梧男辰蛇在岁冠	m2_hd_006.Mesh	m2_hd_006a.Mtl
魁梧男相见欢（帽子）	m2_hd_007.Mesh	m2_hd_007a.Mtl
魁梧男少年游（帽子）	m2_hd_008.Mesh	m2_hd_008a.Mtl
魁梧男雷虎元帅头	m2_hd_021.Mesh	m2_hd_021.Mtl
魁梧男雷虎将军头	m2_hd_021b.Mesh	m2_hd_021b.Mtl
魁梧男灵徒头	m2_hd_025.Mesh	m2_hd_025a.Mtl
魁梧男豪侠冠	m2_hd_026.Mesh	m2_hd_026a.Mtl
