NPC显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2	暴击
金枪客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刺客1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刺客2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
飞爪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
暗弓	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铁钩	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
百日箭	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
千里镖	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武松	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
头陀2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
头陀3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鲁智深	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
恶僧	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
邪僧	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教左护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
红袍使者1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
红袍使者2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
红袍使者3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教右护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黑袍使者1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黑袍使者2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黑袍使者3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教男弟子1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教男弟子2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教男弟子3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教女弟子1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教女弟子2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
明教女弟子3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
倭寇1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
倭寇2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
倭寇3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
倭寇4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
番夷刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
番夷蛊师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
番夷镖手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
恶霸	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
异族武士	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
异族巫师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
异族箭手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
外族杀手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
外族术士	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
外族强盗	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
外族弓手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋枪兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋刀兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋箭兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋弩兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋盾兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金枪兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金刀兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金箭兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金弩兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金盾兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀邪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑邪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪邪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀狂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑狂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪狂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀绝	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑绝	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪绝	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀煞	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑煞	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪煞	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
夜叉1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
夜叉2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
夜叉3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
骷髅刀手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
骷髅枪手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
骷髅箭手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
僵尸1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
僵尸2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
僵尸3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
腐尸1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
腐尸2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
腐尸3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
九凤1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
九凤2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
九凤3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
飞天1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
飞天2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
飞天3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
妖狐1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
妖狐2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
妖狐3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
雪怪1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
雪怪2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
雪怪3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
虫怪1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
虫怪2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
虫怪3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
石人1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
石人2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
石人3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蛇妖1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蛇妖2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蛇妖3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
火麒麟1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
玉麒麟2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
紫麒麟3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鱼怪1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鱼怪2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鱼怪3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
厉鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
怨鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
恶鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
阴魂1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
阴魂2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
阴魂3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
树怪1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
树怪2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
树怪3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关人1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
机关人2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天兵1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天兵2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天兵3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天兵4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
仙女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
仙女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
仙女3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天将1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天将2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天将3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天将4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋骑兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金骑兵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
一刀	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
一闪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
一挑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
血骷髅	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
宋江	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
封稀	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刑天	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
完颜红烈	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原药店掌柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南药店掌柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃药店掌柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原酒店小二	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南酒店小二	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃酒店小二	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原武器店老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南武器店老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃武器店老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原玉器老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南玉器老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃玉器老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原绸缎庄老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南绸缎庄老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
绸缎庄老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原马车船夫	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南马车船夫	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃马车船夫	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原铁匠师傅	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南铁匠师傅	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃铁匠师傅	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原当铺老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南当铺老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃当铺老板	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中原储物柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西南储物柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吐蕃储物柜	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
张择端	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
邵雍	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
程颐	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
柳永	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
苏轼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
王安石	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中年男	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
谪臣	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
紫清上人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
月老	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
司马光	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老年男	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
官员	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
沈括	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
阎罗	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黑无常	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白无常	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鬼差	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
赵佶	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
赌徒	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
青年男子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
李师师	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
素还真	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少年女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少年女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少年女3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
孟婆	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老年女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老年女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老年女3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
妇女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
妇女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老鸨	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童子1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童子2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童子3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童女1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童女2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童女3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
童贯	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
杨顶天	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
西洋鬼子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天王帮主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天王副帮主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天王护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天王帮徒	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少林主持	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少林方丈	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少林首座	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
少林僧人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门门主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门副门主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门大徒弟	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
唐门门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
五毒教主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
五毒副教主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
五毒护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
五毒教徒	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
峨嵋掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
峨嵋副掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
峨嵋护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
峨嵋门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
翠烟掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
翠烟副掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
翠烟护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
翠烟门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
丐帮掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
丐帮副掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
丐帮长老	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
丐帮门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑副掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
昆仑门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武当掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武当副掌门	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武当护法	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武当门人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
驴	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老鼠	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
猪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
狗	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
兔子	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
牛	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鱼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山羊	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鸡	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鸭	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小白兔	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小灰兔	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小黑兔	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小土狼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小青狼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小苍狼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小野猪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小黑野猪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女剑客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女剑侠	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女剑豪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女剑仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女笛仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女萧仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女琵琶仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女琴仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
女伞仙	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
马猴	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
苍猿	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小红刀鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
小红叉鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
红飞爪鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蓝小刀鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蓝小叉鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蓝飞爪鬼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
游魂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
冤魂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
孽魂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
牛头	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
马面	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
持戈兵马俑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
持剑兵马俑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
持弓兵马俑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
空手兵马俑	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
幻武刀者	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
幻武剑者	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
幻武枪者	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
幻武弓者	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
持弓猎户	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
持叉猎户	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
李逵	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
神秘黑衣人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
莽夫	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山贼头目	100	100	100	100	100	100	100	100	100	100	100	100	150	150	100
备用药王	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大内高手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
武林盟主	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黄虎王	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白虎王	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
矮胖武大郎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通武大郎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
冰女	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
泼妇母夜叉	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
泼妇河东狮	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
普通泼妇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
憎恶	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
预留	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
邪仙人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
夜叉鸦	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鬼将军	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铜人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
恶吏	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
捕快	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
密探	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑魂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
娃娃杀手	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
