装备显示类型	模型	贴图
娇小女逍遥衣绿	f1_wz_bd_modxiaoyao01.Mesh	f1_wz_bd_modxiaoyao04.Mtl
娇小女逍遥衣棕	f1_wz_bd_modxiaoyao01.Mesh	f1_wz_bd_modxiaoyao05.Mtl
娇小女攻城衣红	f1_gc_bd_modgongcheng01.Mesh	f1_gc_bd_modgongcheng01.Mtl
娇小女攻城衣蓝	f1_gc_bd_modgongcheng01.Mesh	f1_gc_bd_modgongcheng02.Mtl
娇小女攻城衣绿	f1_gc_bd_modgongcheng01.Mesh	f1_gc_bd_modgongcheng03.Mtl
娇小女圣诞普通	f1_wz_bd_modshengdan01.Mesh	f1_wz_bd_modshengdan01.Mtl
娇小女圣诞华丽	f1_wz_bd_modshengdan02.Mesh	f1_wz_bd_modshengdan02.Mtl
娇小女上衣8级外	f1_bd_mod100.mesh	f1_bd_mod100a.mtl
娇小女上衣8级内	f1_bd_mod101.mesh	f1_bd_mod101a.mtl
娇小女上衣9级	f1_bd_mod102.mesh	f1_bd_mod102a.mtl
娇小女纤羽裳	f1_wz_bd_modxianyu01.Mesh	f1_wz_bd_modxianyu01.Mtl
娇小女客栈衣	F1_wz_bd_mod901.Mesh	F1_wz_bd_mod901.Mtl
娇小女转生衣	F1_wz_bd_mod903.Mesh	F1_wz_bd_mod903.Mtl
娇小女门派躯干07	f1_mp_bd_011.Mesh	f1_mp_bd_011.Mtl
娇小女门派躯干08	f1_mp_bd_009.Mesh	f1_mp_bd_009.Mtl
娇小女纳兰真	f1_Fairy_bd_001.Mesh	f1_Fairy_bd_001.Mtl
娇小女星宇衣	f1_bd_mod200903.Mesh	f1_bd_mod200903.Mtl
娇小女惊风衣	f1_bd_mod200902.Mesh	f1_bd_mod200902.Mtl
娇小女御仙衣	f1_bd_mod200901.Mesh	f1_bd_mod200901.Mtl
娇小女炙云衣	fm1_VIPhuangjincloth.Mesh	fm1_VIPhuangjincloth.Mtl
娇小女南非衣	fm1_nanfeiduicloth.Mesh	fm1_nanfeiduicloth.Mtl
娇小女中国衣	fm1_zhongguoduicloth.Mesh	fm1_zhongguoduicloth.Mtl
娇小女武林盟衣	fm1_wlmcloth.Mesh	fm1_wlmcloth.Mtl
娇小女玫瑰衣	fm1_meiguizhuangcloth.Mesh	fm1_meiguizhuangcloth.Mtl
娇小女玫瑰衣2	fm1_meiguizhuangcloth.Mesh	fm1_meiguizhuangcloth2.Mtl
娇小女玫瑰衣3	fm1_meiguizhuangcloth.Mesh	fm1_meiguizhuangcloth3.Mtl
娇小女华丽衣	fm1_VIPjinmicloth.Mesh	fm1_VIPjinmicloth.Mtl
娇小女欢喜衣	fm1_2010newyearcloth.Mesh	fm1_2010newyearcloth.Mtl
娇小女子龙衣	fm1_juezhanjiuzhou2cloth.Mesh	fm1_juezhanjiuzhou2cloth.Mtl
娇小女越北衣	fm1_YNbeibucloth.Mesh	fm1_YNbeibucloth.Mtl
娇小女越南部衣	fm1_YNnanbucloth.Mesh	fm1_YNnanbucloth.Mtl
娇小女越南衣	fm1_YNzhongbucloth.Mesh	fm1_YNzhongbucloth.Mtl
娇小女资料片白衣	f1_yn_bd_bai01.Mesh	f1_yn_bd_bai01.Mtl
娇小女资料片红衣	f1_yn_bd_hong01.Mesh	f1_yn_bd_hong01.Mtl
娇小女资料片黄衣	f1_yn_bd_huang01.Mesh	f1_yn_bd_huang01.Mtl
娇小女七夕衣	f1_yn_qx_bd_hong01.Mesh	f1_yn_qx_bd_hong01.Mtl
娇小女天波破阵衣	f1_TY_yangzhong_cloth.Mesh	f1_TY_yangzhong_cloth.Mtl
娇小女黯魂鎏金衣	f1_TY_huanghuo_cloth.Mesh	f1_TY_huanghuo_cloth.Mtl
娇小女飞絮青冥甲	f1_bd_002.Mesh	f1_bd_002a.Mtl
娇小女辰蛇在岁裳	f1_bd_006.Mesh	f1_bd_006a.Mtl
娇小女相见欢（衣服）	f1_bd_007.Mesh	f1_bd_007a.Mtl
娇小女少年游（衣服）	f1_bd_008.Mesh	f1_bd_008a.Mtl
娇小女白金甲	f1_wz_bd_modjinjia.Mesh	f1_wz_bd_modbaijinjia.Mtl
娇小女圣诞衣	f1_bd_005.Mesh	f1_bd_005a.Mtl
娇小女雷虎元帅衣	f1_bd_021.Mesh	f1_bd_021.Mtl
娇小女雷虎将军衣	f1_bd_021b.Mesh	f1_bd_021b.Mtl
娇小女灵徒衣	f1_bd_025.Mesh	f1_bd_025a.Mtl
娇小女豪侠裳	f1_bd_026.Mesh	f1_bd_026a.Mtl
