Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
明教男弟子3	031.mesh	031c.Mtl	031c.Ani						
明教女弟子1	032.mesh	032a.Mtl	032a.Ani		032a	WQ032a			
明教女弟子2	032.mesh	032b.Mtl	032b.Ani		032b	WQ032b			
明教女弟子3	032.mesh	032c.Mtl	032c.Ani						
倭寇1	033a.mesh	033a.Mtl	033a.Ani		033a	WQ033a			
倭寇2	033.mesh	033b.Mtl	033b.Ani						
倭寇3	033b.mesh	033c.Mtl	033c.Ani		033c_1	WQ033c弓	033c_2	WQ033c箭鞘	
倭寇4	033b.mesh	033d.Mtl	033d.Ani		033d	日本刀01			
番夷刀客	034.mesh	034a.Mtl	034a.Ani		034a	WQ034a			
番夷蛊师	034.mesh	034b.Mtl	034b.Ani						
番夷镖手	034.mesh	034c.Mtl	034c.Ani		034c	WQ034c			
恶霸	035.mesh	035a.Mtl	035a.Ani						
异族武士	035b.mesh	035b.Mtl	035b.Ani						
异族巫师	035.mesh	035c.Mtl	035c.Ani						
异族箭手	035.mesh	035d.Mtl	035d.Ani		035d_1	WQ035d弓	035d_2	WQ035d箭鞘	
外族杀手	036.mesh	036a.Mtl	036a.Ani		036a	WQ036a			
外族术士	036.mesh	036b.Mtl	036b.Ani						
外族强盗	036.mesh	036c.Mtl	036c.Ani						
外族弓手	036.mesh	036d.Mtl	036d.Ani		036d_1	WQ036d弓			
宋枪兵	037a.mesh	037a.Mtl	037a.Ani		S_HR	037aw			
宋刀兵	037b.mesh	037b.Mtl	037b.Ani						
宋箭兵	037.mesh	037c.Mtl	037c.Ani						
宋弩兵	037.mesh	037d.Mtl	037d.Ani						
宋盾兵	037.mesh	037e.Mtl	037e.Ani						
金枪兵	038.mesh	038a.Mtl	038a.Ani		S_HR	037aw			
金刀兵	038b.mesh	038b.Mtl	038b.Ani						
金箭兵	038.mesh	038c.Mtl	038c.Ani		038c1	WQ084a弓	038c2	WQ084a箭筒	
金弩兵	038.mesh	038d.Mtl	038d.Ani						
金盾兵	038.mesh	038e.Mtl	038e.Ani						
刀邪	039.mesh	039a.Mtl	039a.Ani		039a	WQ039a			
剑邪	039.mesh	039b.Mtl	039b.Ani		039b	WQ039b			
枪邪	039.mesh	039c.Mtl	039c.Ani		039c	WQ039c			
刀狂	040.mesh	040a.Mtl	040a.Ani		040a	WQ040a			
剑狂	040.mesh	040b.Mtl	040b.Ani		040b	WQ040b			
枪狂	040.mesh	040c.Mtl	040c.Ani		040c	WQ040c			
刀绝	041.mesh	041a.Mtl	041a.Ani		041a	鬼头刀01			
剑绝	041.mesh	041b.Mtl	041b.Ani		041b	鬼头刀01			
枪绝	041.mesh	041c.Mtl	041c.Ani						
刀煞	042.mesh	042a.Mtl	042a.Ani		042a_1	日本刀01	042a_2	日本刀01	
剑煞	042.mesh	042b.Mtl	042b.Ani		042b	宝剑01			
枪煞	042.mesh	042c.Mtl	042c.Ani		042c	042c枪			
夜叉1	043.mesh	043a.Mtl	043a.Ani		043a	三股叉01			
夜叉2	043.mesh	043b.Mtl	043b.Ani		043b_1	双锤01	043b_2	双锤01	
夜叉3	043.mesh	043c.Mtl	043c.Ani						
骷髅刀手	044.mesh	044a.Mtl	044a.Ani		044a	刀01			
骷髅枪手	044.mesh	044b.Mtl	044b.Ani		044b	WQ044b			
骷髅箭手	044.mesh	044c.Mtl	044c.Ani						
僵尸1	045.mesh	045a.Mtl	045a.Ani						
僵尸2	045.mesh	045b.Mtl	045b.Ani						
僵尸3	045.mesh	045c.Mtl	045c.Ani						
腐尸1	046.mesh	046a.Mtl	046a.Ani						
腐尸2	046.mesh	046b.Mtl	046b.Ani		046b	WQ046a			
腐尸3	046.mesh	046c.Mtl	046c.Ani						
九凤1	047.mesh	047a.Mtl	047a.Ani						
九凤2	047.mesh	047b.Mtl	047b.Ani						
九凤3	047.mesh	047c.Mtl	047c.Ani						
飞天1	048.mesh	048a.Mtl	048a.Ani						
飞天2	048.mesh	048b.Mtl	048a.Ani						
飞天3	048.mesh	048c.Mtl	048a.Ani						
妖狐1	049.mesh	049a.Mtl	049a.Ani						
妖狐2	049.mesh	049b.Mtl	049a.Ani						
妖狐3	049.mesh	049c.Mtl	049a.Ani						
雪怪1	050.mesh	050a.Mtl	050a.Ani						
雪怪2	050.mesh	050b.Mtl	050b.Ani						
雪怪3	050.mesh	050c.Mtl	050c.Ani						
虫怪1	051.mesh	051a.Mtl	051a.Ani						
虫怪2	051.mesh	051b.Mtl	051b.Ani						
虫怪3	051.mesh	051c.Mtl	051c.Ani						
石人1	052.mesh	052a.Mtl	052a.Ani						
石人2	052.mesh	052b.Mtl	052b.Ani						
石人3	052.mesh	052c.Mtl	052c.Ani						
蛇妖1	053.mesh	053a.Mtl	053a.Ani						
蛇妖2	053.mesh	053b.Mtl	053b.Ani						
蛇妖3	053.mesh	053c.Mtl	053c.Ani						
火麒麟1	054.mesh	054a.Mtl	054a.Ani						
玉麒麟2	054.mesh	054b.Mtl	054a.Ani						
紫麒麟3	054.mesh	054c.Mtl	054c.Ani						
鱼怪1	055.mesh	055a.Mtl	055a.Ani		055a	WQ055a			
鱼怪2	055.mesh	055b.Mtl	055b.Ani		055b	WQ083g			
鱼怪3	055.mesh	055c.Mtl	055c.Ani						
厉鬼	068.mesh	068a.Mtl	068a.Ani						
怨鬼	056.mesh	056b.Mtl	056b.Ani						
恶鬼	056.mesh	056c.Mtl	056c.Ani						
阴魂1	057.mesh	057a.Mtl	057a.Ani						
阴魂2	057.mesh	057b.Mtl	057b.Ani						
阴魂3	057.mesh	057c.Mtl	057c.Ani						
树怪1	058.mesh	058a.Mtl	058a.Ani						
树怪2	058.mesh	058b.Mtl	058a.Ani						
树怪3	058.mesh	058c.Mtl	058c.Ani						
机关人1	059.mesh	059a.Mtl	059a.Ani						
机关人2	059.mesh	059b.Mtl	059b.Ani						
天兵1	060.mesh	060a.Mtl	060a.Ani		060a	WQ060a			
天兵2	060.mesh	060b.Mtl	060b.Ani		060b	金锏01			
天兵3	060.mesh	060c.Mtl	060c.Ani						
天兵4	060.mesh	060d.Mtl	060d.Ani						
仙女1	061.mesh	061a.Mtl	061a.Ani						
仙女2	061.mesh	061b.Mtl	061b.Ani						
仙女3	061.mesh	061c.Mtl	061c.Ani						
天将1	062.mesh	062a.Mtl	062a.Ani						
天将2	062.mesh	062b.Mtl	062b.Ani						
天将3	062.mesh	062c.Mtl	062c.Ani						
天将4	062.mesh	062d.Mtl	062d.Ani						
宋骑兵	063.mesh	063a.Mtl	063a.Ani		S_HR	mon_063w			
金骑兵	064b.mesh	064b.Mtl	064b.Ani						
一刀	065.mesh	065.Mtl	065.Ani						
一闪	066.mesh	066.Mtl	066.Ani						
一挑	067.mesh	067.Mtl	067.Ani						
血骷髅	068.mesh	068.Mtl	068.Ani						
宋江	069.mesh	069a.Mtl	069a.Ani						
封稀	070.mesh	070.Mtl	070.Ani						
刑天	071.mesh	071.Mtl	071.Ani						
完颜红烈	072.mesh	072.Mtl	072.Ani						
预留	all.mesh	all.Mtl	all.Ani						
预留	all.mesh	all.Mtl	all.Ani						
中原药店掌柜	001.mesh	001a.Mtl	001a.Ani						
西南药店掌柜	001.mesh	001b.Mtl	001b.Ani						
吐蕃药店掌柜	001.mesh	001c.Mtl	001c.Ani						
中原酒店小二	002.mesh	002a.Mtl	002a.Ani		002a	碟子			
西南酒店小二	002.mesh	002b.Mtl	002b.Ani		002a	碟子			
吐蕃酒店小二	002.mesh	002c.Mtl	002c.Ani		002a	碟子			
中原武器店老板	003.mesh	003a.Mtl	003a.Ani						
西南武器店老板	003.mesh	003b.Mtl	003b.Ani						
吐蕃武器店老板	003.mesh	003c.Mtl	003c.Ani						
中原玉器老板	004.mesh	004a.Mtl	004a.Ani						
西南玉器老板	004.mesh	004b.Mtl	004b.Ani						
吐蕃玉器老板	004.mesh	004c.Mtl	004c.Ani						
中原绸缎庄老板	005.mesh	005a.Mtl	005a.Ani						
西南绸缎庄老板	005.mesh	005b.Mtl	005b.Ani						
绸缎庄老板	005.mesh	005c.Mtl	005c.Ani						
中原马车船夫	006.mesh	006a.Mtl	006a.Ani						
西南马车船夫	006.mesh	006b.Mtl	006b.Ani						
吐蕃马车船夫	006.mesh	006c.Mtl	006c.Ani						
中原铁匠师傅	007.mesh	007a.Mtl	007a.Ani						
西南铁匠师傅	007.mesh	007b.Mtl	007b.Ani						
吐蕃铁匠师傅	007.mesh	007c.Mtl	007c.Ani						
中原当铺老板	008.mesh	008a.Mtl	008a.Ani						
西南当铺老板	008.mesh	008b.Mtl	008b.Ani						
吐蕃当铺老板	008.mesh	008c.Mtl	008c.Ani						
中原储物柜	009.mesh	009a.Mtl	009a.Ani						
西南储物柜	009.mesh	009a.Mtl	009a.Ani						
吐蕃储物柜	009.mesh	009a.Mtl	009a.Ani						
张择端	010.mesh	010a.Mtl	010a.Ani						
邵雍	010.mesh	010b.Mtl	010b.Ani						
程颐	010.mesh	010c.Mtl	010c.Ani						
柳永	010.mesh	010d.Mtl	010d.Ani						
苏轼	010.mesh	010e.Mtl	010e.Ani						
王安石	010.mesh	010f.Mtl	010f.Ani						
中年男	010.mesh	010g.Mtl	010g.Ani						
谪臣	011.mesh	011a.Mtl	011a.Ani		011a	拐杖a			
紫清上人	011.mesh	011b.Mtl	011a.Ani		011a	拐杖a			
月老	011.mesh	011c.Mtl	011c.Ani		011a	拐杖a			
司马光	011.mesh	011d.Mtl	011d.Ani		011a	拐杖a			
老年男	011.mesh	011e.Mtl	011e.Ani		011a	拐杖a			
官员	012.mesh	012a.Mtl	012a.Ani						
沈括	012.mesh	012b.Mtl	012b.Ani						
阎罗	012.mesh	012c.Mtl	012c.Ani						
黑无常	013.mesh	013a.Mtl	013a.Ani						
白无常	013.mesh	013b.Mtl	013b.Ani						
鬼差	013.mesh	013c.Mtl	013c.Ani						
赵佶	014.mesh	014a.Mtl	014a.Ani						
赌徒	014.mesh	014b.Mtl	014b.Ani						
青年男子	014.mesh	014c.Mtl	014c.Ani						
李师师	015.mesh	015a.Mtl	015a.Ani						
素还真	015.mesh	015b.Mtl	015b.Ani						
少年女1	015.mesh	015c.Mtl	015c.Ani						
少年女2	015.mesh	015d.Mtl	015d.Ani						
少年女3	015.mesh	015d.Mtl	015d.Ani						
孟婆	016.mesh	016a.Mtl	016a.Ani		016a	拐杖a			
老年女1	016.mesh	016b.Mtl	016b.Ani		016a	拐杖a			
老年女2	016.mesh	016c.Mtl	016c.Ani		016a	拐杖a			
老年女3	016.mesh	016d.Mtl	016d.Ani		016a	拐杖a			
妇女1	017.mesh	017a.Mtl	017a.Ani						
妇女2	017.mesh	017b.Mtl	017b.Ani						
老鸨	017.mesh	017c.Mtl	017c.Ani						
童子1	018.mesh	018a.Mtl	018a.Ani						
童子2	018.mesh	018b.Mtl	018b.Ani						
童子3	018.mesh	018c.Mtl	018c.Ani						
童女1	019.mesh	019a.Mtl	019a.Ani						
童女2	019.mesh	019b.Mtl	019b.Ani						
童女3	019.mesh	019c.Mtl	019c.Ani						
童贯	020.mesh	020.Mtl	020.Ani						
杨顶天	021.mesh	021.Mtl	021.Ani						
西洋鬼子	022.mesh	022.Mtl	022.Ani						
天王帮主	023a.mesh	023a.Mtl	023a.Ani						
天王副帮主	023a.mesh	023b.Mtl	023b.Ani						
天王护法	023c.mesh	023c.Mtl	023c.Ani						
天王帮徒	023c.mesh	023d.Mtl	023d.Ani						
少林主持	024a.mesh	024a.Mtl	024a.Ani		024a	024a法杖			
少林方丈	024b.mesh	024b.Mtl	024b.Ani						
少林首座	024c.mesh	024c.Mtl	024c.Ani						
少林僧人	024d.mesh	024d.Mtl	024d.Ani						
唐门门主	025a.mesh	025a.Mtl	025a.Ani						
唐门副门主	025a.mesh	025b.Mtl	025b.Ani						
唐门大徒弟	025c.mesh	025c.Mtl	025c.Ani						
唐门门人	025c.mesh	025d.Mtl	025d.Ani						
五毒教主	026a.mesh	026a.Mtl	026a.Ani						
五毒副教主	026a.mesh	026b.Mtl	026b.Ani						
五毒护法	026c.mesh	026c.Mtl	026c.Ani						
五毒教徒	026c.mesh	026d.Mtl	026d.Ani						
峨嵋掌门	027a.mesh	027a.Mtl	027a.Ani						
峨嵋副掌门	027b.mesh	027b.Mtl	027b.Ani						
峨嵋护法	027c.mesh	027c.Mtl	027c.Ani						
峨嵋门人	027d.mesh	027d.Mtl	027d.Ani						
翠烟掌门	028a.mesh	028a.Mtl	028a.Ani						
翠烟副掌门	028b.mesh	028b.Mtl	028b.Ani						
翠烟护法	028c.mesh	028c.Mtl	028c.Ani						
翠烟门人	028d.mesh	028d.Mtl	028d.Ani						
丐帮掌门	029.mesh	029a.Mtl	029a.Ani						
丐帮副掌门	029.mesh	029b.Mtl	029b.Ani						
丐帮长老	029c.mesh	029c.Mtl	029c.Ani						
丐帮门人	029c.mesh	029d.Mtl	029d.Ani						
昆仑掌门	030.mesh	030a.Mtl	030a.Ani						
昆仑副掌门	030.mesh	030b.Mtl	030b.Ani						
昆仑护法	030.mesh	030c.Mtl	030c.Ani						
昆仑门人	030.mesh	030d.Mtl	030d.Ani						
武当掌门	031a.mesh	031a.Mtl	031a.Ani						
武当副掌门	031b.mesh	031b.Mtl	031b.Ani						
武当护法	031c.mesh	031c.Mtl	031c.Ani						
武当门人	031d.mesh	031d.Mtl	031d.Ani						
驴	001.mesh	001.Mtl	001.Ani						
老鼠	002.mesh	002.Mtl	002.Ani						
猪	003.mesh	003.Mtl	003.Ani						
狗	004.mesh	004.Mtl	004.Ani						
兔子	005.mesh	005.Mtl	005.Ani						
牛	006.mesh	006.Mtl	006.Ani						
鱼	007.mesh	007.Mtl	007.Ani						
山羊	008.mesh	008.Mtl	008.Ani						
鸡	009.mesh	009.Mtl	009.Ani						
鸭	010.mesh	010.Mtl	010.Ani						
小白兔	073.mesh	073a.Mtl	073a.Ani						
小灰兔	073.mesh	073b.Mtl	073b.Ani						
小黑兔	073.mesh	073c.Mtl	073c.Ani						
小土狼	074.mesh	074a.Mtl	074a.Ani						
小青狼	074.mesh	074b.Mtl	074b.Ani						
小苍狼	074.mesh	074c.Mtl	074c.Ani						
小野猪	075.mesh	075a.Mtl	075a.Ani						
小黑野猪	075.mesh	075b.Mtl	075b.Ani						
女剑客	076.mesh	076a.Mtl	076a.Ani		S_HR	076_剑			
女剑侠	076.mesh	076b.Mtl	076b.Ani		S_HR	076_剑			
女剑豪	076.mesh	076c.Mtl	076c.Ani		S_HR	076_剑			
女剑仙	077.mesh	077a.Mtl	077a.Ani		S_HR	剑			
女笛仙	077.mesh	077b.Mtl	077b.Ani		S_HR	笛			
女萧仙	077.mesh	077c.Mtl	077c.Ani		S_HR	箫			
女琵琶仙	077.mesh	077d.Mtl	077d.Ani		S_HL	琵琶			
女琴仙	077.mesh	077e.Mtl	077e.Ani		S_HL	琴			
女伞仙	077.mesh	077f.Mtl	077f.Ani		S_HR	伞			
马猴	078.mesh	078a.Mtl	078a.Ani						
苍猿	078.mesh	078b.Mtl	078a.Ani						
小红刀鬼	079.mesh	079a.Mtl	079a.Ani		079a	079a刀			
小红叉鬼	079.mesh	079b.Mtl	079b.Ani		079b	079a叉			
红飞爪鬼	079.mesh	079c.Mtl	079f.Ani		079c	079a爪			
蓝小刀鬼	079.mesh	079f.Mtl	079a.Ani		079a	079a刀			
蓝小叉鬼	079.mesh	079f.Mtl	079b.Ani		079b	079a叉			
蓝飞爪鬼	079.mesh	079f.Mtl	079f.Ani		079c	079a爪			
游魂	080a.mesh	080a.Mtl	080a.Ani						
冤魂	080b.mesh	080b.Mtl	080b.Ani						
孽魂	080c.mesh	080c.Mtl	080c.Ani						
牛头	081.mesh	081a.Mtl	081a.Ani		081a	WQ081a			
马面	082.mesh	082a.Mtl	082a.Ani		082a	WQ082a			
持戈兵马俑	083.mesh	083a.Mtl	083g.Ani		083g	戈			
持剑兵马俑	083.mesh	083b.Mtl	083e.Ani		083g	剑			
持弓兵马俑	083.mesh	083c.Mtl	083h.Ani		083h_1	WQ083h弓	083h_2	WQ083h箭筒	
空手兵马俑	083.mesh	083d.Mtl	083e.Ani						
幻武刀者	083.mesh	083e.Mtl	083e.Ani		083e	WQ083e			
幻武剑者	083f.mesh	083f.Mtl	083f.Ani						
幻武枪者	083.mesh	083g.Mtl	083g.Ani		083g	WQ083g			
幻武弓者	083.mesh	083h.Mtl	083h.Ani		083h_1	WQ083h弓	083h_2	WQ083h箭筒	
持弓猎户	084.mesh	084a.Mtl	084a.Ani		084a_1	WQ084a弓	084a_2	WQ084a箭筒	
持叉猎户	084.mesh	084b.Mtl	084b.Ani		084b	双叉01			
李逵	086.mesh	086a.Mtl	086a.Ani		086a_1	WQ086a	086a_2	WQ086a	
预留	084.mesh	084d.Mtl	084d.Ani						
预留	085.mesh	085b.Mtl	085b.Ani						
神秘黑衣人	085.mesh	085c.Mtl	085c.Ani						
莽夫	086.mesh	086a.Mtl	086a.Ani						
山贼头目	086.mesh	086b.Mtl	086b.Ani		086a_1	WQ086b	086a_2	WQ086b	
备用药王	086.mesh	086c.Mtl	086c.Ani						
大内高手	087.mesh	087a.Mtl	087a.Ani						
武林盟主	087.mesh	087b.Mtl	087b.Ani		087b	宝剑01			
预留	087.mesh	087c.Mtl	087c.Ani						
黄虎王	088.mesh	088a.Mtl	088a.Ani						
白虎王	088.mesh	088b.Mtl	088a.Ani						
矮胖武大郎	089.mesh	089a.Mtl	089a.Ani		089a	WQ089a			
普通武大郎	089.mesh	089b.Mtl	089b.Ani		089a	WQ089a			
预留	089.mesh	089c.Mtl	089c.Ani						
冰女	090.mesh	090.Mtl	090a.Ani						
泼妇母夜叉	091.mesh	091a.Mtl	091a.Ani		091a	WQ091a			
泼妇河东狮	091.mesh	091b.Mtl	091b.Ani		091b	WQ091b			
普通泼妇	091.mesh	091c.Mtl	091c.Ani						
预留	091.mesh	091d.Mtl	091d.Ani						
憎恶	092.mesh	092a.Mtl	092a.Ani		092a	钉棒02			
预留	092.mesh	092b.Mtl	092b.Ani						
预留	092.mesh	092c.Mtl	092c.Ani						
邪仙人	093.mesh	093a.Mtl	093a.Ani						
夜叉鸦	094.mesh	094a.Mtl	094a.Ani						
鬼将军	095.mesh	095a.Mtl	095a.Ani						
木人	096.mesh	096a.Mtl	096a.Ani						
铜人	097.mesh	097a.Mtl	097a.Ani						
恶吏	098a.mesh	098a.Mtl	098a.Ani						
捕快	098b.mesh	098b.Mtl	098b.Ani						
密探	098c.mesh	098c.Mtl	098c.Ani						
剑魂	099.mesh	099a.Mtl	099a.Ani						
娃娃杀手	100.mesh	100a.Mtl	100a.Ani		S_HR	糖葫芦	S_HL	拨浪鼓	
xxx	101.mesh	101a.Mtl	101a.Ani						
车轮霸王	102.mesh	102a.Mtl	102a.Ani						
血爪	103.mesh	103a.Mtl	103a.Ani						
苗族小姑娘1	104.mesh	104a.Mtl	104a.Ani						
苗族小姑娘2	104.mesh	104b.Mtl	104b.Ani						
荒漠刀客	105.mesh	105a.Mtl	105a.Ani		S_HR	mon_105wa	S_HL	mon_105wa2	
药王	106.mesh	106a.Mtl	106a.Ani						
城门卫兵	032.mesh	032a.Mtl	032a.Ani		032a	032枪			
城市流氓	033.mesh	033a.Mtl	033a.Ani						
官府衙役	034.mesh	034a.Mtl	034a.Ani						
超级泼妇	035.mesh	035a.Mtl	035a.Ani						
江湖俊杰	036.mesh	036a.Mtl	036a.Ani		036a	WQ036			
江湖豪杰	037.mesh	037a.Mtl	037a.Ani						
西南苗人	038.mesh	038a.Mtl	038a.Ani						
苗族少女	039.mesh	039a.Mtl	039a.Ani						
六扇门高手1	040a.mesh	040a.Mtl	040a.Ani						
六扇门高手2	040b.mesh	040b.Mtl	040b.Ani						
六扇门高手3	040c.mesh	040c.Mtl	040c.Ani						
蓝刀鬼	079.mesh	079f.Mtl	079a.Ani		079a	079a刀			
辽国武将对话	064b.mesh	064b.Mtl	064b.Ani		S_HR	064_武器长锤			
辽国武将	064b.mesh	064b.Mtl	064b.Ani		S_HR	064_武器长锤			
坐地乞丐	040.mesh	040a.Mtl	040a.Ani						
游方相士	041.mesh	041a.Mtl	041a.Ani						
普通少年男1	014d.mesh	014d.Mtl	014d.Ani						
普通少年男2	014d.mesh	014e.Mtl	014e.Ani						
普通少年男3	014d.mesh	014f.Mtl	014f.Ani						
村妇1	017d.mesh	017d.Mtl	017d.Ani						
村妇2	017d.mesh	017e.Mtl	017e.Ani						
村妇3	017d.mesh	017f.Mtl	017f.Ani						
管家	010h.mesh	010h.Mtl	010h.Ani						
明教教主	042.mesh	042a.Mtl	042a.Ani						
明教圣女	043.mesh	043a.Mtl	043a.Ani						
明教护法	044.mesh	044a.Mtl	044a.Ani						
明教弟子	045.mesh	045a.Mtl	045a.Ani						
收集商人	050.mesh	050a.Mtl	050a.Ani						
游方医生	051.mesh	051a.Mtl	051a.Ani						
御厨	052.mesh	052a.Mtl	052a.Ani						
云游道人	053.mesh	053a.Mtl	053a.Ani						
驯兽师	054.mesh	054a.Mtl	054a.Ani		S_HR	铁叉			
礼仪老师	055.mesh	055a.Mtl	055a.Ani						
剃头师父	056.mesh	056a.Mtl	056a.Ani						
武林盟传人	057.mesh	057a.Mtl	057a.Ani						
公告栏	058.mesh	058a.Mtl	058a.Ani						
瘦富家老头	059.mesh	059a.Mtl	059a.Ani						
中年瘦官吏1	060.mesh	060a.Mtl	060a.Ani						
中年瘦官吏2	061.mesh	061a.Mtl	061a.Ani						
中年瘦官吏3	062.mesh	062a.Mtl	062a.Ani						
职能武林盟主1	063.mesh	063a.Mtl	063a.Ani						
职能武林盟主2	064.mesh	064a.Mtl	064a.Ani						
书生	065.mesh	065a.Mtl	065a.Ani		S_HR	065aw			
健康的余太君	066.mesh	066a.Mtl	066a.Ani		S_HL	066aw			
超级贵妇	067.mesh	067a.Mtl	067a.Ani						
普通贵妇	068.mesh	068a.Mtl	068a.Ani						
习武大小姐	069.mesh	069a.Mtl	069a.Ani						
侠女	015.mesh	015a.Mtl	015a.Ani						
农家老头	071.mesh	071a.Mtl	071a.Ani		S_HR	拐杖1			
村中少年	072.mesh	072a.Mtl	072a.Ani						
农家老太	073.mesh	073a.Mtl	073a.Ani		S_HR	拐杖2			
民家少女	074.mesh	074a.Mtl	074a.Ani						
教书的	075.mesh	075a.Mtl	075a.Ani		S_HR	书卷			
挑担的	076.mesh	076a.Mtl	076a.Ani		S_HR	076aw			
卖货的	077.mesh	077a.Mtl	077a.Ani		S_HR	077aw			
