武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2
笔2a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔2b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔3a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔3b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔4a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔4b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔5a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔5b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔6a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔6b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔7a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔7b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔8a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔8b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
棍1a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍1b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍1c	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍2a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍2b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍3a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍3b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍4a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍4b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍5a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍5b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍6a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍6b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍7a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍7b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍8a	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
棍8b	双手类战斗站立	双手类警戒站立	双手类普通站立	双手类行走	双手类奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类击倒	死亡	双手类爬起		
锡杖1a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖1b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖2a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖2b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖3a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖3b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖4a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖4b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖5a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖5b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖6a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖6b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖7a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖7b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖8a	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
锡杖8b	双手类法师战斗站立	双手类法师警戒站立	双手类法师站立	双手类法师行走	双手类法师奔跑	双手类被击	双手类格档	双手类闪避	击退	双手类法师击倒	死亡	双手类法师爬起		
琴1a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴1b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴2a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴2b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴3a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴3b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴4a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴4b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴5a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴5b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴6a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴6b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴7a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴7b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴8a	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
琴8b	琴战斗站立	琴警戒站立	琴普通站立	琴行走	琴奔跑	琴被击	琴格档	琴闪避	击退	琴击倒	死亡	琴爬起		
枪1a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪1b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪2a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪2b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪3a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪3b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪4a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪4b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪5a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪5b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪6a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪6b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪7a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪7b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪8a	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
枪8b	枪战斗站立	枪警戒站立	枪普通站立	枪行走	枪奔跑	枪被击	枪格档	枪闪避	击退	枪击倒	死亡	双手类爬起		
弓1a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓1b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓2a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓2b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓3a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓3b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓4a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓4b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓5a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓5b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓6a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓6b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓7a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓7b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓8a	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
弓8b	弓战斗站立	弓警戒站立	弓普通站立	弓行走	弓奔跑	弓被击	弓格档	弓闪避	击退	弓击倒	死亡	双手类爬起		
双刀1a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀1b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀2a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀2b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀3a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀3b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀4a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀4b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀5a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀5b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀6a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀6b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀7a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀7b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀8a	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
双刀8b	双刀战斗站立	双刀警戒站立	双刀普通站立	双刀行走	双刀奔跑	双刀被击	双刀格档	双刀闪避	击退	双刀击倒	死亡	双手类爬起		
爪1a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪1b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪2a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪2b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪3a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪3b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪4a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪4b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪5a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪5b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪6a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪6b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪7a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪7b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪8a	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
爪8b	爪战斗站立	爪警戒站立	爪普通站立	爪行走	爪奔跑	爪被击	爪格档	爪闪避	击退	爪击倒	死亡	双手类爬起		
