装备显示类型	模型	贴图
性感女逍遥衣黑	f2_wz_bd_modxiaoyao01.Mesh	f2_wz_bd_modxiaoyao01.Mtl
性感女逍遥衣紫	f2_wz_bd_modxiaoyao01.Mesh	f2_wz_bd_modxiaoyao02.Mtl
性感女逍遥衣蓝	f2_wz_bd_modxiaoyao01.Mesh	f2_wz_bd_modxiaoyao03.Mtl
性感女逍遥衣绿	f2_wz_bd_modxiaoyao01.Mesh	f2_wz_bd_modxiaoyao04.Mtl
性感女逍遥衣棕	f2_wz_bd_modxiaoyao01.Mesh	f2_wz_bd_modxiaoyao05.Mtl
性感女攻城衣红	f2_gc_bd_modgongcheng01.Mesh	f2_gc_bd_modgongcheng01.Mtl
性感女攻城衣蓝	f2_gc_bd_modgongcheng01.Mesh	f2_gc_bd_modgongcheng02.Mtl
性感女攻城衣绿	f2_gc_bd_modgongcheng01.Mesh	f2_gc_bd_modgongcheng03.Mtl
性感女圣诞普通	f2_wz_bd_modshengdan01.Mesh	f2_wz_bd_modshengdan01.Mtl
性感女圣诞华丽	f2_wz_bd_modshengdan02.Mesh	f2_wz_bd_modshengdan02.Mtl
性感女上衣8级外	f2_bd_mod100.mesh	f2_bd_mod100a.mtl
性感女上衣8级内	f2_bd_mod101.mesh	f2_bd_mod101a.mtl
性感女上衣9级	f2_bd_mod102.mesh	f2_bd_mod102a.mtl
性感女纤羽裳	f2_wz_bd_modxianyu01.Mesh	f2_wz_bd_modxianyu01.Mtl
性感女客栈衣	F2_wz_bd_mod901.Mesh	F2_wz_bd_mod901.Mtl
性感女转生衣	F2_wz_bd_mod903.Mesh	F2_wz_bd_mod903.Mtl
性感女门派躯干07	f2_mp_bd_011.Mesh	f2_mp_bd_011.Mtl
性感女门派躯干08	f2_mp_bd_009.Mesh	f2_mp_bd_009.Mtl
性感女星宇衣	f2_bd_mod200903.Mesh	f2_bd_mod200903.Mtl
性感女惊风衣	f2_bd_mod200902.Mesh	f2_bd_mod200902.Mtl
性感女御仙衣	f2_bd_mod200901.Mesh	f2_bd_mod200901.Mtl
性感女越北衣	fm2_YNbeibucloth.Mesh	fm2_YNbeibucloth.Mtl
性感女越南部衣	fm2_YNnanbucloth.Mesh	fm2_YNnanbucloth.Mtl
性感女越南衣	fm2_YNzhongbucloth.Mesh	fm2_YNzhongbucloth.Mtl
性感女白金甲	f2_wz_bd_modjinjia.Mesh	f2_wz_bd_modbaijinjia.Mtl
性感女资料片白衣	f2_yn_bd_bai01.Mesh	f2_yn_bd_bai01.Mtl
性感女资料片黄衣	f2_yn_bd_hong01.Mesh	f2_yn_bd_hong01.Mtl
性感女资料片红衣	f2_yn_bd_huang01.Mesh	f2_yn_bd_huang01.Mtl
性感女圣诞衣	f2_bd_005.Mesh	f2_bd_005a.Mtl
性感女炙云衣	fm2_VIPhuangjincloth.Mesh	fm2_VIPhuangjincloth.Mtl
性感女南非衣	fm2_nanfeiduicloth.Mesh	fm2_nanfeiduicloth.Mtl
性感女中国衣	fm2_zhongguoduicloth.Mesh	fm2_zhongguoduicloth.Mtl
性感女武林盟衣	fm2_wlmcloth.Mesh	fm2_wlmcloth.Mtl
性感女玫瑰衣	fm2_meiguizhuangcloth.Mesh	fm2_meiguizhuangcloth.Mtl
性感女玫瑰衣2	fm2_meiguizhuangcloth.Mesh	fm2_meiguizhuangcloth2.Mtl
性感女玫瑰衣3	fm2_meiguizhuangcloth.Mesh	fm2_meiguizhuangcloth3.Mtl
性感女华丽衣	fm2_VIPjinmicloth.Mesh	fm2_VIPjinmicloth.Mtl
性感女欢喜衣	fm2_2010newyearcloth.Mesh	fm2_2010newyearcloth.Mtl
性感女子龙衣	fm2_juezhanjiuzhou2cloth.Mesh	fm2_juezhanjiuzhou2cloth.Mtl
性感女七夕衣	f2_yn_qx_bd_hong01.Mesh	f2_yn_qx_bd_hong01.Mtl
性感女天波破阵衣	f2_TY_yangzhong_cloth.Mesh	f2_TY_yangzhong_cloth.Mtl
性感女黯魂鎏金衣	f2_TY_huanghuo_cloth.Mesh	f2_TY_huanghuo_cloth.Mtl
性感女飞絮青冥甲	f2_bd_002.Mesh	f2_bd_002a.Mtl
性感女辰蛇在岁裳	f2_bd_006.Mesh	f2_bd_006a.Mtl
性感女相见欢（衣服）	f2_bd_007.Mesh	f2_bd_007a.Mtl
性感女少年游（衣服）	f2_bd_008.Mesh	f2_bd_008a.Mtl
性感女雷虎元帅衣	f2_bd_021.Mesh	f2_bd_021.Mtl
性感女雷虎将军衣	f2_bd_021b.Mesh	f2_bd_021b.Mtl
性感女灵徒衣	f2_bd_025.Mesh	f2_bd_025a.Mtl
性感女豪侠裳	f2_bd_026.Mesh	f2_bd_026a.Mtl
