武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	攻击1	攻击2
单刀6b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀7a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀7b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀8a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
单刀8b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑1a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑1b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑1c	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑2a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑2b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑3a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑3b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑4a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑4b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑5a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑5b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑6a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑6b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑7a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑7b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑8a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
长剑8b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔1a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔1b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔2a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔2b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔3a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔3b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔4a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔4b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔5a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔5b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔6a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔6b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔7a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔7b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔8a	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
笔8b	骑马单手类战斗站立	骑马单手类站立	骑马单手类站立	骑马单手类行走	骑马单手类奔跑	骑马被击	骑马单手类格档				骑马死亡	骑马单手类攻击00	骑马单手类攻击01
棍1a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍1b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍1c	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍2a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍2b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍3a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍3b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍4a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍4b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍5a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍5b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍6a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍6b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍7a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍7b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍8a	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
棍8b	骑马双手类战斗站立	骑马双手类站立	骑马双手类站立	骑马双手类行走	骑马双手类奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖1a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖1b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖2a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖2b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖3a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖3b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖4a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖4b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖5a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖5b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖6a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖6b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖7a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖7b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖8a	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
锡杖8b	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师站立	骑马双手类法师行走	骑马双手类法师奔跑	骑马被击	骑马双手类格档				骑马死亡	骑马双手类攻击00	骑马双手类攻击01
琴1a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴1b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴2a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴2b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴3a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴3b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴4a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴4b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴5a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴5b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴6a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴6b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴7a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴7b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴8a	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
琴8b	骑马琴战斗站立	骑马琴站立	骑马琴站立	骑马琴行走	骑马琴奔跑	骑马被击	骑马琴格档				骑马死亡	骑马琴攻击00	骑马琴攻击01
枪1a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪1b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪2a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪2b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪3a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪3b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪4a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪4b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪5a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪5b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪6a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪6b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪7a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪7b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪8a	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
枪8b	骑马枪战斗站立	骑马枪站立	骑马枪站立	骑马枪行走	骑马枪奔跑	骑马枪被击	骑马枪格档		骑马枪击退	骑马枪击倒	骑马死亡	骑马枪攻击00	骑马枪攻击01
弓1a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓1b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓2a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓2b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓3a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓3b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓4a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓4b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓5a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓5b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓6a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓6b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓7a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓7b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓8a	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
弓8b	骑马弓战斗站立	骑马弓站立	骑马弓站立	骑马弓行走	骑马弓奔跑	骑马弓被击	骑马弓格档		骑马弓击退	骑马弓击倒	骑马死亡	骑马弓攻击00	骑马弓攻击01
双刀1a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀1b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀2a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀2b	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
双刀3a	骑马双刀站立	骑马双刀站立	骑马双刀站立	骑马双刀行走	骑马双刀奔跑	骑马被击					骑马死亡		
