装备显示类型	模型	贴图
性感下装玲珑紫	f2_le_modlinglong.mesh	f2_le_modlinglongd.mtl
性感下装玲珑蓝	f2_le_modlinglong.mesh	f2_le_modlinglonge.mtl
性感下装玲珑绿	f2_le_modlinglong.mesh	f2_le_modlinglongf.mtl
性感女逍遥装黑	f2_wz_le_modxiaoyao01.Mesh	f2_wz_le_modxiaoyao01.Mtl
性感女逍遥装紫	f2_wz_le_modxiaoyao01.Mesh	f2_wz_le_modxiaoyao02.Mtl
性感女逍遥装蓝	f2_wz_le_modxiaoyao01.Mesh	f2_wz_le_modxiaoyao03.Mtl
性感女逍遥装绿	f2_wz_le_modxiaoyao01.Mesh	f2_wz_le_modxiaoyao04.Mtl
性感女逍遥装棕	f2_wz_le_modxiaoyao01.Mesh	f2_wz_le_modxiaoyao05.Mtl
性感女攻城装红	f2_gc_le_modgongcheng01.Mesh	f2_gc_le_modgongcheng01.Mtl
性感女攻城装蓝	f2_gc_le_modgongcheng01.Mesh	f2_gc_le_modgongcheng02.Mtl
性感女攻城装绿	f2_gc_le_modgongcheng01.Mesh	f2_gc_le_modgongcheng03.Mtl
性感女下装8级外	f2_le_mod100.mesh	f2_le_mod100a.mtl
性感女下装8级内	f2_le_mod101.mesh	f2_le_mod101a.mtl
性感女下装9级	f2_le_mod102.mesh	f2_le_mod102a.mtl
性感女纤羽裙	f2_wz_le_modxianyu01.Mesh	f2_wz_le_modxianyu01.Mtl
性感女客栈下装	F2_wz_le_mod901.Mesh	F2_wz_le_mod901.Mtl
性感女转生下装	F2_wz_le_mod903.Mesh	F2_wz_le_mod903.Mtl
性感女星宇装	f2_le_mod200903.Mesh	f2_le_mod200903.Mtl
性感女惊风装	f2_le_mod200902.Mesh	f2_le_mod200902.Mtl
性感女御仙装	f2_le_mod200901.Mesh	f2_le_mod200901.Mtl
性感女越北装	fm2_YNbeibushoe.Mesh	fm2_YNbeibushoe.Mtl
性感女越南部装	fm2_YNnanbushoe.Mesh	fm2_YNnanbushoe.Mtl
性感女越南装	fm2_YNzhongbushoe.Mesh	fm2_YNzhongbushoe.Mtl
性感女白金装	f2_wz_le_modjinjia.mesh	f2_wz_le_modbaijinjia.mtl
性感女资料片白装	f2_yn_le_bai01.Mesh	f2_yn_le_bai01.Mtl
性感女资料片红装	f2_yn_le_hong01.Mesh	f2_yn_le_hong01.Mtl
性感女资料片黄装	f2_yn_le_huang01.Mesh	f2_yn_le_huang01.Mtl
性感女圣诞装	f2_le_005.Mesh	f2_le_005a.Mtl
性感女炙云装	fm2_VIPhuangjinshoe.Mesh	fm2_VIPhuangjinshoe.Mtl
性感女南非装	fm2_nanfeiduishoe.Mesh	fm2_nanfeiduishoe.Mtl
性感女中国装	fm2_zhongguoduishoe.Mesh	fm2_zhongguoduishoe.Mtl
性感女武林盟装	fm2_wlmshoe.Mesh	fm2_wlmshoe.Mtl
性感女玫瑰装	fm2_meiguizhuangshoe.Mesh	fm2_meiguizhuangshoe.Mtl
性感女玫瑰装2	fm2_meiguizhuangshoe.Mesh	fm2_meiguizhuangshoe2.Mtl
性感女玫瑰装3	fm2_meiguizhuangshoe.Mesh	fm2_meiguizhuangshoe3.Mtl
性感女华丽装	fm2_VIPjinmishoe.Mesh	fm2_VIPjinmishoe.Mtl
性感女欢喜装	fm2_2010newyearshoe.Mesh	fm2_2010newyearshoe.Mtl
性感女子龙装	fm2_juezhanjiuzhou2shoe.Mesh	fm2_juezhanjiuzhou2shoe.Mtl
性感女七夕装	f2_yn_qx_le_hong01.Mesh	f2_yn_qx_le_hong01.Mtl
性感女天波破阵装	f2_TY_yangzhong_shoe.Mesh	f2_TY_yangzhong_shoe.Mtl
性感女黯魂鎏金装	f2_TY_huanghuo_shoe.Mesh	f2_TY_huanghuo_shoe.Mtl
性感女飞絮青冥袍	f2_le_002.Mesh	f2_le_002a.Mtl
性感女辰蛇在岁裙	f2_le_006.Mesh	f2_le_006a.Mtl
性感女相见欢（下装）	f2_le_007.Mesh	f2_le_007a.Mtl
性感女少年游（下装）	f2_le_008.Mesh	f2_le_008a.Mtl
性感女雷虎元帅装	f2_le_021.Mesh	f2_le_021.Mtl
性感女雷虎将军装	f2_le_021b.Mesh	f2_le_021b.Mtl
性感女灵徒装	f2_le_025.Mesh	f2_le_025a.Mtl
性感女豪侠裙	f2_le_026.Mesh	f2_le_026a.Mtl
