装备显示类型	模型	贴图
娇小女资料片白头	f1_yn_hd_bai01.Mesh	f1_yn_hd_bai01.Mtl
娇小女资料片红头	f1_yn_hd_hong01.Mesh	f1_yn_hd_hong01.Mtl
娇小女资料片黄头	f1_yn_hd_huang01.Mesh	f1_yn_hd_huang01.Mtl
娇小女七夕头	f1_yn_qx_hd_hong01.Mesh	f1_yn_qx_hd_hong01.Mtl
娇小女天波破阵头	f1_TY_yangzhong_head.Mesh	f1_TY_yangzhong_head.Mtl
娇小女黯魂鎏金头	f1_TY_huanghuo_head.Mesh	f1_TY_huanghuo_head.Mtl
娇小女飞絮青冥盔	f1_hd_002.Mesh	f1_hd_002a.Mtl
娇小女辰蛇在岁簪	f1_hd_006.Mesh	f1_hd_006a.Mtl
娇小女相见欢（帽子）	f1_hd_007.Mesh	f1_hd_007a.Mtl
娇小女少年游（帽子）	f1_hd_008.Mesh	f1_hd_008a.Mtl
娇小女白金盔	f1_wz_hd_modjinjia.mesh	f1_wz_hd_modbaijinjia.mtl
娇小女圣诞头	f1_hd_005.Mesh	f1_hd_005a.Mtl
娇小女雷虎元帅头	f1_hd_021.Mesh	f1_hd_021.Mtl
娇小女雷虎将军头	f1_hd_021b.Mesh	f1_hd_021b.Mtl
娇小女灵徒头	f1_hd_025.Mesh	f1_hd_025a.Mtl
娇小女豪侠簪	f1_hd_026.Mesh	f1_hd_026a.Mtl
