装备显示类型	模型	贴图
魁梧男越南部装	m1_YNnanbushoe.Mesh	m1_YNnanbushoe.Mtl
魁梧男越南装	m1_YNzhongbushoe.Mesh	m1_YNzhongbushoe.Mtl
魁梧男白金装	m1_wz_le_modjinjia.mesh	m1_wz_le_modbaijinjia.mtl
魁梧男资料片白装	m1_yn_le_bai01.Mesh	m1_yn_le_bai01.Mtl
魁梧男资料片红装	m1_yn_le_hong01.Mesh	m1_yn_le_hong01.Mtl
魁梧男资料片黄装	m1_yn_le_huang01.Mesh	m1_yn_le_huang01.Mtl
魁梧男圣诞装	m2_le_005.Mesh	m2_le_005a.Mtl
魁梧男炙云装	m1_VIPhuangjinshoe.Mesh	m1_VIPhuangjinshoe.Mtl
魁梧男南非装	m1_nanfeiduishoe.Mesh	m1_nanfeiduishoe.Mtl
魁梧男中国装	m1_zhongguoduishoe.Mesh	m1_zhongguoduishoe.Mtl
魁梧男武林盟装	m1_wlmshoe.Mesh	m1_wlmshoe.Mtl
魁梧男玫瑰装	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe.Mtl
魁梧男玫瑰装2	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe2.Mtl
魁梧男玫瑰装3	m1_meiguizhuangshoe.Mesh	m1_meiguizhuangshoe3.Mtl
魁梧男华丽装	m1_VIPjinmishoe.Mesh	m1_VIPjinmishoe.Mtl
魁梧男欢喜装	m1_2010newyearshoe.Mesh	m1_2010newyearshoe.Mtl
魁梧男子龙装	m1_juezhanjiuzhou2shoe.Mesh	m1_juezhanjiuzhou2shoe.Mtl
魁梧男七夕装	m1_yn_qx_le_hong01.Mesh	m1_yn_qx_le_hong01.Mtl
魁梧男黯魂鎏金装	m2_TY_huanghuo_shoe.Mesh	m2_TY_huanghuo_shoe.Mtl
魁梧男天波破阵装	m2_TY_yangzhong_shoe.Mesh	m2_TY_yangzhong_shoe.Mtl
魁梧男飞絮青冥袍	m2_le_002.Mesh	m2_le_002a.Mtl
魁梧男辰蛇在岁装	m2_le_006.Mesh	m2_le_006a.Mtl
魁梧男相见欢（下装）	m2_le_007.Mesh	m2_le_007a.Mtl
魁梧男少年游（下装）	m2_le_008.Mesh	m2_le_008a.Mtl
魁梧男雷虎元帅装	m2_le_021.Mesh	m2_le_021.Mtl
魁梧男雷虎将军装	m2_le_021b.Mesh	m2_le_021b.Mtl
魁梧男灵徒装	m2_le_025.Mesh	m2_le_025a.Mtl
魁梧男豪侠装	m2_le_026.Mesh	m2_le_026a.Mtl
