CÊp	T¨ng søc m¹nh v« lé tuyÕn	T¨ng linh ho¹t v« lé tuyÕn	T¨ng néi c«ng v« lé tuyÕn	T¨ng g©n cèt v« lé tuyÕn	T¨ng Linh ho¹t v« lé tuyÕn	T¨ng søc m¹nh ThiÕu L©m	T¨ng linh ho¹t ThiÕu L©m	T¨ng néi c«ng ThiÕu L©m	T¨ng g©n cèt ThiÕu L©m	T¨ng Linh ho¹t ThiÕu L©m	T¨ng søc m¹nh ThiÕu L©m tôc gia	T¨ng linh ho¹t ThiÕu L©m tôc gia	T¨ng néi c«ng ThiÕu L©m tôc gia	T¨ng g©n cèt ThiÕu L©m tôc gia	T¨ng Linh ho¹t ThiÕu L©m tôc gia	T¨ng søc m¹nh ThiÕu L©m thiÒn t¨ng	T¨ng linh ho¹t ThiÕu L©m thiÒn t¨ng	T¨ng néi c«ng ThiÕu L©m thiÒn t¨ng	T¨ng g©n cèt ThiÕu L©m thiÒn t¨ng	T¨ng Linh ho¹t ThiÕu L©m thiÒn t¨ng	T¨ng søc m¹nh ThiÕu L©m vâ t¨ng	T¨ng linh ho¹t ThiÕu L©m vâ t¨ng	T¨ng néi c«ng ThiÕu L©m vâ t¨ng	T¨ng g©n cèt ThiÕu L©m vâ t¨ng	T¨ng Linh ho¹t ThiÕu L©m vâ t¨ng	T¨ng søc m¹nh §­êng M«n	T¨ng linh ho¹t §­êng M«n	T¨ng néi c«ng §­êng M«n	T¨ng g©n cèt §­êng M«n	T¨ng Linh ho¹t §­êng M«n	T¨ng søc m¹nh phô §­êng M«n	T¨ng linh ho¹t phô §­êng M«n	T¨ng néi c«ng phô §­êng M«n	T¨ng c¨n c¬ phô §­êng M«n	T¨ng Linh ho¹t phô §­êng M«n	T¨ng søc m¹nh Nga My	T¨ng linh ho¹t Nga My	T¨ng néi c«ng Nga My	T¨ng g©n cèt Nga My	T¨ng Linh ho¹t Nga My	T¨ng søc m¹nh Nga My PhËt Gia	T¨ng linh ho¹t Nga My PhËt Gia	T¨ng néi c«ng Nga My PhËt Gia	T¨ng g©n cèt Nga My PhËt Gia	T¨ng Linh ho¹t Nga My PhËt Gia	T¨ng søc m¹nh Nga My Tôc Gia	T¨ng linh ho¹t Nga My Tôc Gia	T¨ng néi c«ng Nga My Tôc Gia	T¨ng g©n cèt Nga My Tôc Gia	T¨ng Linh ho¹t Nga My Tôc Gia	T¨ng søc m¹nh C¸i Bang	T¨ng linh ho¹t C¸i Bang	T¨ng néi c«ng C¸i Bang	T¨ng g©n cèt C¸i Bang	T¨ng Linh ho¹t C¸i Bang	T¨ng søc m¹nh C¸i Bang TÜnh y	T¨ng linh ho¹t C¸i Bang TÜnh y	T¨ng néi c«ng C¸i Bang TÜnh y	T¨ng g©n cèt C¸i Bang TÜnh y	T¨ng Linh ho¹t C¸i Bang TÜnh y	T¨ng søc m¹nh C¸i Bang ¤ Y	T¨ng linh ho¹t C¸i Bang ¤ Y	T¨ng néi c«ng C¸i Bang ¤ Y	T¨ng g©n cèt C¸i Bang ¤ Y	T¨ng Linh ho¹t C¸i Bang ¤ Y	T¨ng søc m¹nh Vâ §ang	T¨ng linh ho¹t Vâ §ang	T¨ng néi c«ng Vâ §ang	T¨ng g©n cèt Vâ §ang	T¨ng Linh ho¹t Vâ §ang	T¨ng søc m¹nh Vâ §ang ®¹o gia	T¨ng linh ho¹t Vâ §ang ®¹o gia	T¨ng néi c«ng Vâ §ang ®¹o gia	T¨ng g©n cèt Vâ §ang ®¹o gia	T¨ng Linh ho¹t Vâ §ang ®¹o gia	T¨ng søc m¹nh Vâ §ang tôc gia	T¨ng linh ho¹t Vâ §ang tôc gia	T¨ng néi c«ng Vâ §ang tôc gia	T¨ng g©n cèt Vâ §ang tôc gia	T¨ng Linh ho¹t Vâ §ang tôc gia	T¨ng søc m¹nh D­¬ng M«n	T¨ng linh ho¹t D­¬ng M«n	T¨ng néi c«ng D­¬ng M«n	T¨ng g©n cèt D­¬ng M«n	T¨ng Linh ho¹t D­¬ng M«n	T¨ng søc m¹nh D­¬ng M«n th­¬ng kþ	T¨ng linh ho¹t D­¬ng M«n th­¬ng kþ	T¨ng néi c«ng D­¬ng M«n th­¬ng kþ	T¨ng g©n cèt D­¬ng M«n th­¬ng kþ	T¨ng Linh ho¹t D­¬ng M«n th­¬ng kþ	T¨ng søc m¹nh D­¬ng M«n cung kþ	T¨ng linh ho¹t D­¬ng M«n cung kþ	T¨ng néi c«ng D­¬ng M«n cung kþ	T¨ng g©n cèt D­¬ng M«n cung kþ	T¨ng Linh ho¹t D­¬ng M«n cung kþ	T¨ng søc m¹nh Ngò §éc	T¨ng linh ho¹t Ngò §éc	T¨ng néi c«ng Ngò §éc	T¨ng g©n cèt Ngò §éc	T¨ng Linh ho¹t Ngò §éc	T¨ng søc m¹nh Ngò §éc tµ hiÖp	T¨ng linh ho¹t Ngò §éc tµ hiÖp	T¨ng néi c«ng Ngò §éc tµ hiÖp	T¨ng g©n cèt Ngò §éc tµ hiÖp	T¨ng Linh ho¹t Ngò §éc tµ hiÖp	T¨ng søc m¹nh Ngò §éc cæ s­	T¨ng linh ho¹t Ngò §éc cæ s­	T¨ng néi c«ng Ngò §éc cæ s­	T¨ng g©n cèt Ngò §éc cæ s­	T¨ng Linh ho¹t Ngò §éc cæ s­	C«n L«n søc m¹nh t¨ng	C«n L«n nhanh nhÑn t¨ng	C«n L«n néi c«ng t¨ng	C«n L«n g©n cèt t¨ng	C«n L«n linh ho¹t t¨ng	C«n L«n Thiªn S­ søc m¹nh t¨ng	C«n L«n Thiªn S­ nhanh nhÑn t¨ng	C«n L«n Thiªn S­ néi c«ng t¨ng	C«n L«n Thiªn S­ g©n cèt t¨ng	C«n L«n Thiªn S­ linh ho¹t t¨ng	Minh Gi¸o søc m¹nh t¨ng	Minh Gi¸o nhanh nhÑn t¨ng	Minh Gi¸o néi c«ng t¨ng	Minh Gi¸o g©n cèt t¨ng	Minh Gi¸o linh ho¹t t¨ng	Minh Gi¸o Th¸nh ChiÕn søc m¹nh t¨ng	Minh Gi¸o Th¸nh ChiÕn nhanh nhÑn t¨ng	Minh Gi¸o Th¸nh ChiÕn néi c«ng t¨ng	Minh Gi¸o Th¸nh ChiÕn g©n cèt t¨ng	Minh Gi¸o Th¸nh ChiÕn linh ho¹t t¨ng	Minh Gi¸o TrËn Binh søc m¹nh t¨ng	Minh Gi¸o TrËn Binh nhanh nhÑn t¨ng	Minh Gi¸o TrËn Binh néi c«ng t¨ng	Minh Gi¸o TrËn Binh g©n cèt t¨ng	Minh Gi¸o TrËn Binh linh ho¹t t¨ng	Minh Gi¸o HuyÕt Nh©n søc m¹nh t¨ng	Minh Gi¸o HuyÕt Nh©n nhanh nhÑn t¨ng	Minh Gi¸o HuyÕt Nh©n néi c«ng t¨ng	Minh Gi¸o HuyÕt Nh©n g©n cèt t¨ng	Minh Gi¸o HuyÕt Nh©n linh ho¹t t¨ng	Thóy Yªn søc m¹nh t¨ng	Thóy Yªn nhanh nhÑn t¨ng	Thóy Yªn néi c«ng t¨ng	Thóy Yªn g©n cèt t¨ng	Thóy Yªn linh ho¹t t¨ng	Thóy Yªn Vò Tiªn søc m¹nh t¨ng	Thóy Yªn Vò Tiªn nhanh nhÑn t¨ng	Thóy Yªn Vò Tiªn néi c«ng t¨ng	Thóy Yªn Vò Tiªn g©n cèt t¨ng	Thóy Yªn Vò Tiªn linh ho¹t t¨ng	Thóy Yªn Linh N÷ søc m¹nh t¨ng	Thóy Yªn Linh N÷ nhanh nhÑn t¨ng	Thóy Yªn Linh N÷ néi c«ng t¨ng	Thóy Yªn Linh N÷ g©n cèt t¨ng	Thóy Yªn Linh N÷ linh ho¹t t¨ng	§­êng M«n NhËm HiÖp søc m¹nh t¨ng	§­êng M«n NhËm HiÖp nhanh nhÑn t¨ng	§­êng M«n NhËm HiÖp néi c«ng t¨ng	§­êng M«n NhËm HiÖp g©n cèt t¨ng	§­êng M«n NhËm HiÖp linh ho¹t t¨ng	C«n L«n KiÕm T«n søc m¹nh t¨ng	C«n L«n KiÕm T«n nhanh nhÑn t¨ng	C«n L«n KiÕm T«n néi c«ng t¨ng	C«n L«n KiÕm T«n g©n cèt t¨ng	C«n L«n KiÕm T«n linh ho¹t t¨ng
13	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	7	1	0	0	1	4	1	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	4	1	1	0	4	2	0	0	0	0	0	0	0	7	0	0	1	0	0	4	0	1	1	0	0	0	0	0	0	0	6	1	1	0	1	1	0	4	0	0	0	0	0	7	0	1	0	0	0	7	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	1	1	4	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	7	0	0	1	0	0	1	1	0	4	0	7	0	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	7	1	0	0	0	7	0	7	0	1	0
14	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	7	1	1	0	2	4	1	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	4	2	1	0	4	2	1	0	0	0	0	0	0	7	1	0	1	0	0	4	0	1	2	0	0	0	0	0	0	0	7	1	1	0	1	1	0	4	0	0	0	0	0	7	0	2	0	0	0	7	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	2	2	4	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	7	0	0	1	1	0	1	1	0	4	0	7	0	2	0	0	0	0	0	0	2	7	0	0	0	0	0	0	1	7	1	0	0	0	7	0	7	0	1	0
15	0	0	0	0	0	0	0	0	0	0	1	1	0	7	0	0	0	7	2	1	0	2	4	2	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	4	2	2	0	4	3	1	0	0	0	0	0	0	7	1	1	1	0	0	5	0	1	2	0	0	0	0	0	0	0	7	1	2	0	2	1	0	4	0	0	0	0	0	8	0	2	0	0	0	8	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	2	2	4	0	0	0	0	0	0	0	7	1	2	0	0	0	0	0	7	1	0	1	1	0	2	1	0	4	0	8	0	2	0	0	0	0	0	0	2	8	0	0	0	0	0	0	1	8	1	0	0	0	8	0	8	0	1	0
16	0	0	0	0	0	0	0	0	0	0	2	1	0	7	0	0	0	8	2	1	0	2	5	2	0	0	0	0	0	0	1	8	2	0	0	0	0	0	0	0	0	0	5	2	2	0	5	3	1	0	0	0	0	0	0	8	1	1	1	0	0	5	1	1	2	0	0	0	0	0	0	0	7	2	2	0	2	2	0	5	0	0	0	0	0	8	0	2	1	0	1	8	1	1	0	0	0	0	0	0	2	5	2	0	0	0	0	2	2	5	0	0	0	0	0	0	0	7	2	2	0	0	0	0	0	8	1	0	1	1	0	2	2	0	5	0	8	1	2	0	0	0	0	0	0	2	8	0	1	0	1	0	0	2	8	2	0	0	1	8	1	8	0	2	0
17	0	0	0	0	0	0	0	0	0	0	2	1	0	8	0	0	0	8	3	1	0	2	6	2	0	0	0	0	0	0	1	9	2	0	0	0	0	0	0	0	0	0	6	2	2	0	6	3	1	0	0	0	0	0	0	8	1	1	2	0	0	6	1	1	2	0	0	0	0	0	0	0	8	2	2	0	2	2	0	6	0	0	0	0	0	9	0	2	1	0	1	9	1	1	0	0	0	0	0	0	2	6	2	0	0	0	0	2	2	6	0	0	0	0	0	0	0	8	2	2	0	0	0	0	0	8	1	0	2	1	0	2	2	0	6	0	9	1	2	0	0	0	0	0	0	2	9	0	1	0	1	0	0	2	9	2	0	0	1	9	1	9	0	2	0
18	0	0	0	0	0	0	0	0	0	0	2	1	0	9	0	0	0	9	3	1	0	3	6	2	0	0	0	0	0	0	1	9	3	0	0	0	0	0	0	0	0	0	6	3	2	0	6	4	1	0	0	0	0	0	0	9	1	1	2	0	0	6	1	1	3	0	0	0	0	0	0	0	9	2	2	0	2	2	0	6	0	0	0	0	0	9	0	3	1	0	1	9	1	1	0	0	0	0	0	0	3	6	3	0	0	0	0	3	3	6	0	0	0	0	0	0	0	9	2	2	0	0	0	0	0	9	1	0	2	1	0	2	2	0	6	0	9	1	3	0	0	0	0	0	0	3	9	0	1	0	1	0	0	2	9	2	0	0	1	9	1	9	0	2	0
19	0	0	0	0	0	0	0	0	0	0	2	1	0	9	0	0	0	9	3	2	0	3	6	2	0	0	0	0	0	0	1	10	3	0	0	0	0	0	0	0	0	0	6	3	3	0	6	4	2	0	0	0	0	0	0	9	2	1	2	0	0	7	1	1	3	0	0	0	0	0	0	0	9	2	3	0	3	2	0	6	0	0	0	0	0	10	0	3	1	0	1	10	1	1	0	0	0	0	0	0	3	6	3	0	0	0	0	3	3	6	0	0	0	0	0	0	0	9	2	3	0	0	0	0	0	9	1	0	2	2	0	3	2	0	6	0	10	1	3	0	0	0	0	0	0	3	10	0	1	0	1	0	0	2	10	2	0	0	1	10	1	10	0	2	0
20	0	0	0	0	0	0	0	0	0	0	2	1	0	10	0	0	0	10	3	2	0	3	7	2	0	0	0	0	0	0	1	11	3	0	0	0	0	0	0	0	0	0	7	3	3	0	7	4	2	0	0	0	0	0	0	10	2	1	2	0	0	7	1	2	3	0	0	0	0	0	0	0	10	2	3	0	3	2	0	7	0	0	0	0	0	11	0	3	1	0	1	11	1	1	0	0	0	0	0	0	3	7	3	0	0	0	0	3	3	7	0	0	0	0	0	0	0	10	2	3	0	0	0	0	0	10	1	0	2	2	0	3	2	0	7	0	11	1	3	0	0	0	0	0	0	3	11	0	1	0	1	0	0	2	11	2	0	0	1	11	1	11	0	2	0
21	0	0	0	0	0	0	0	0	0	0	3	1	0	10	0	0	0	10	4	2	0	3	7	3	0	0	0	0	0	0	1	11	4	0	0	0	0	0	0	0	0	0	7	4	3	0	7	5	2	0	0	0	0	0	0	10	2	2	2	0	0	7	1	2	4	0	0	0	0	0	0	0	10	3	3	0	3	3	0	7	0	0	0	0	0	11	0	4	1	0	1	11	1	1	0	0	0	0	0	0	4	7	4	0	0	0	0	4	4	7	0	0	0	0	0	0	0	10	3	3	0	0	0	0	0	10	2	0	2	2	0	3	3	0	7	0	11	1	4	0	0	0	0	0	0	4	11	0	1	0	1	0	0	3	11	3	0	0	1	11	1	11	0	3	0
22	0	0	0	0	0	0	0	0	0	0	3	1	0	11	0	0	0	11	4	2	0	4	7	3	0	0	0	0	0	0	1	12	3	0	0	0	0	0	0	0	0	0	7	4	4	0	7	6	2	0	0	0	0	0	0	11	2	2	2	0	0	8	1	2	3	0	0	0	0	0	0	0	11	3	3	0	4	3	0	7	0	0	0	0	0	12	0	3	1	0	1	12	1	1	0	0	0	0	0	0	3	7	3	0	0	0	0	3	3	7	0	0	0	0	0	0	0	11	3	3	0	0	0	0	0	11	2	0	2	2	0	4	3	0	7	0	12	1	3	0	0	0	0	0	0	3	12	0	1	0	1	0	0	3	12	3	0	0	1	12	1	12	0	3	0
23	0	0	0	0	0	0	0	0	0	0	3	2	0	11	0	0	0	11	5	2	0	4	8	3	0	0	0	0	0	0	2	12	3	0	0	0	0	0	0	0	0	0	8	4	4	0	8	6	2	0	0	0	0	0	0	11	2	2	3	0	0	8	2	2	3	0	0	0	0	0	0	0	11	3	4	0	4	3	0	8	0	0	0	0	0	12	0	3	2	0	2	12	2	2	0	0	0	0	0	0	3	8	3	0	0	0	0	3	3	8	0	0	0	0	0	0	0	11	3	4	0	0	0	0	0	11	2	0	3	2	0	4	3	0	8	0	12	2	3	0	0	0	0	0	0	3	12	0	2	0	2	0	0	3	12	3	0	0	2	12	2	12	0	3	0
24	0	0	0	0	0	0	0	0	0	0	3	2	0	12	0	0	0	12	5	2	0	4	9	3	0	0	0	0	0	0	2	13	3	0	0	0	0	0	0	0	0	0	9	4	4	0	9	6	2	0	0	0	0	0	0	12	2	2	3	0	0	9	2	2	3	0	0	0	0	0	0	0	12	3	4	0	4	3	0	9	0	0	0	0	0	13	0	3	2	0	2	13	2	2	0	0	0	0	0	0	3	9	3	0	0	0	0	3	3	9	0	0	0	0	0	0	0	12	3	4	0	0	0	0	0	12	2	0	3	2	0	4	3	0	9	0	13	2	3	0	0	0	0	0	0	3	13	0	2	0	2	0	0	3	13	3	0	0	2	13	2	13	0	3	0
25	0	0	0	0	0	0	0	0	0	0	3	2	0	12	0	0	0	12	5	3	0	5	9	3	0	0	0	0	0	0	2	13	4	0	0	0	0	0	0	0	0	0	9	5	4	0	9	6	3	0	0	0	0	0	0	12	3	2	3	0	0	9	2	2	4	0	0	0	0	0	0	0	12	3	4	0	5	3	0	9	0	0	0	0	0	13	0	4	2	0	2	13	2	2	0	0	0	0	0	0	4	9	4	0	0	0	0	4	4	9	0	0	0	0	0	0	0	12	3	4	0	0	0	0	0	12	2	0	3	3	0	5	3	0	9	0	13	2	4	0	0	0	0	0	0	4	13	0	2	0	2	0	0	3	13	3	0	0	2	13	2	13	0	3	0
26	0	0	0	0	0	0	0	0	0	0	4	2	0	12	0	0	0	13	5	3	0	5	9	4	0	0	0	0	0	0	2	14	4	0	0	0	0	0	0	0	0	0	9	5	5	0	9	7	3	0	0	0	0	0	0	13	3	2	3	0	0	10	2	2	4	0	0	0	0	0	0	0	13	3	4	0	5	4	0	9	0	0	0	0	0	14	0	4	2	0	2	14	2	2	0	0	0	0	0	0	4	9	4	0	0	0	0	4	4	9	0	0	0	0	0	0	0	13	3	4	0	0	0	0	0	13	2	0	3	3	0	5	4	0	9	0	14	2	4	0	0	0	0	0	0	4	14	0	2	0	2	0	0	4	14	4	0	0	2	14	2	14	0	4	0
27	0	0	0	0	0	0	0	0	0	0	4	2	0	13	0	0	0	13	6	3	0	5	10	4	0	0	0	0	0	0	2	15	4	0	0	0	0	0	0	0	0	0	10	5	5	0	10	7	3	0	0	0	0	0	0	13	3	3	3	0	0	10	2	3	4	0	0	0	0	0	0	0	13	3	5	0	5	4	0	10	0	0	0	0	0	15	0	4	2	0	2	15	2	2	0	0	0	0	0	0	4	10	4	0	0	0	0	4	4	10	0	0	0	0	0	0	0	13	3	5	0	0	0	0	0	13	3	0	3	3	0	5	4	0	10	0	15	2	4	0	0	0	0	0	0	4	15	0	2	0	2	0	0	4	15	4	0	0	2	15	2	15	0	4	0
28	0	0	0	0	0	0	0	0	0	0	4	2	0	14	0	0	0	14	6	3	0	6	10	4	0	0	0	0	0	0	2	15	5	0	0	0	0	0	0	0	0	0	10	6	5	0	10	8	3	0	0	0	0	0	0	14	3	3	3	0	0	10	2	3	5	0	0	0	0	0	0	0	14	3	5	0	6	4	0	10	0	0	0	0	0	15	0	5	2	0	2	15	2	2	0	0	0	0	0	0	5	10	5	0	0	0	0	5	5	10	0	0	0	0	0	0	0	14	3	5	0	0	0	0	0	14	3	0	3	3	0	6	4	0	10	0	15	2	5	0	0	0	0	0	0	5	15	0	2	0	2	0	0	4	15	4	0	0	2	15	2	15	0	4	0
29	0	0	0	0	0	0	0	0	0	0	4	2	0	14	0	0	0	14	7	3	0	6	10	4	0	0	0	0	0	0	2	16	5	0	0	0	0	0	0	0	0	0	10	6	6	0	10	9	3	0	0	0	0	0	0	14	3	3	4	0	0	11	2	3	5	0	0	0	0	0	0	0	14	3	6	0	6	5	0	10	0	0	0	0	0	16	0	5	2	0	2	16	2	2	0	0	0	0	0	0	5	10	5	0	0	0	0	5	5	10	0	0	0	0	0	0	0	14	3	6	0	0	0	0	0	14	3	0	4	3	0	6	5	0	10	0	16	2	5	0	0	0	0	0	0	5	16	0	2	0	2	0	0	5	16	5	0	0	2	16	2	16	0	5	0
30	0	0	0	0	0	0	0	0	0	0	4	2	0	15	0	0	0	15	7	3	0	6	11	4	0	0	0	0	0	0	3	16	5	0	0	0	0	0	0	0	0	0	11	6	6	0	11	9	3	0	0	0	0	0	0	15	3	3	4	0	0	11	3	3	5	0	0	0	0	0	0	0	15	3	6	0	6	5	0	11	0	0	0	0	0	16	0	5	3	0	3	16	3	3	0	0	0	0	0	0	5	11	5	0	0	0	0	5	5	11	0	0	0	0	0	0	0	15	3	6	0	0	0	0	0	15	3	0	4	3	0	6	5	0	11	0	16	3	5	0	0	0	0	0	0	5	16	0	3	0	3	0	0	5	16	5	0	0	3	16	3	16	0	5	0
31	0	0	0	0	0	0	0	0	0	0	5	2	0	15	0	0	0	15	7	4	0	6	12	4	0	0	0	0	0	0	3	17	5	0	0	0	0	0	0	0	0	0	12	6	6	0	12	9	3	0	0	0	0	0	0	15	4	3	4	0	0	12	3	3	5	0	0	0	0	0	0	0	15	4	6	0	6	5	0	12	0	0	0	0	0	17	0	5	3	0	3	17	3	3	0	0	0	0	0	0	5	12	5	0	0	0	0	5	5	12	0	0	0	0	0	0	0	15	4	6	0	0	0	0	0	15	3	0	4	4	0	6	5	0	12	0	17	3	5	0	0	0	0	0	0	5	17	0	3	0	3	0	0	5	17	5	0	0	3	17	3	17	0	5	0
32	0	0	0	0	0	0	0	0	0	0	5	2	0	16	0	0	0	16	7	4	0	7	12	4	0	0	0	0	0	0	3	17	6	0	0	0	0	0	0	0	0	0	12	7	6	0	12	9	4	0	0	0	0	0	0	16	4	3	4	0	0	12	3	3	6	0	0	0	0	0	0	0	16	4	6	0	6	6	0	12	0	0	0	0	0	17	0	6	3	0	3	17	3	3	0	0	0	0	0	0	6	12	6	0	0	0	0	6	6	12	0	0	0	0	0	0	0	16	4	6	0	0	0	0	0	16	3	0	4	4	0	6	6	0	12	0	17	3	6	0	0	0	0	0	0	6	17	0	3	0	3	0	0	6	17	6	0	0	3	17	3	17	0	6	0
33	0	0	0	0	0	0	0	0	0	0	5	3	0	16	0	0	0	16	8	4	0	7	12	5	0	0	0	0	0	0	3	18	6	0	0	0	0	0	0	0	0	0	12	7	7	0	12	10	4	0	0	0	0	0	0	16	4	4	4	0	0	13	3	3	6	0	0	0	0	0	0	0	16	4	7	0	7	6	0	12	0	0	0	0	0	18	0	6	3	0	3	18	3	3	0	0	0	0	0	0	6	12	6	0	0	0	0	6	6	12	0	0	0	0	0	0	0	16	4	7	0	0	0	0	0	16	4	0	4	4	0	7	6	0	12	0	18	3	6	0	0	0	0	0	0	6	18	0	3	0	3	0	0	6	18	6	0	0	3	18	3	18	0	6	0
34	0	0	0	0	0	0	0	0	0	0	5	3	0	17	0	0	0	17	8	4	0	7	13	5	0	0	0	0	0	0	3	19	6	0	0	0	0	0	0	0	0	0	13	7	7	0	13	10	4	0	0	0	0	0	0	17	4	4	4	0	0	13	3	4	6	0	0	0	0	0	0	0	17	4	7	0	7	6	0	13	0	0	0	0	0	19	0	6	3	0	3	19	3	3	0	0	0	0	0	0	6	13	6	0	0	0	0	6	6	13	0	0	0	0	0	0	0	17	4	7	0	0	0	0	0	17	4	0	4	4	0	7	6	0	13	0	19	3	6	0	0	0	0	0	0	6	19	0	3	0	3	0	0	6	19	6	0	0	3	19	3	19	0	6	0
35	0	0	0	0	0	0	0	0	0	0	5	3	0	17	0	0	0	17	9	4	0	8	13	5	0	0	0	0	0	0	3	19	7	0	0	0	0	0	0	0	0	0	13	8	7	0	13	11	4	0	0	0	0	0	0	17	4	4	5	0	0	13	3	4	7	0	0	0	0	0	0	0	17	5	7	0	7	7	0	13	0	0	0	0	0	19	0	7	3	0	3	19	3	3	0	0	0	0	0	0	7	13	7	0	0	0	0	7	7	13	0	0	0	0	0	0	0	17	5	7	0	0	0	0	0	17	4	0	5	4	0	7	7	0	13	0	19	3	7	0	0	0	0	0	0	7	19	0	3	0	3	0	0	7	19	7	0	0	3	19	3	19	0	7	0
36	0	0	0	0	0	0	0	0	0	0	6	3	0	17	0	0	0	18	9	4	0	8	13	5	0	0	0	0	0	0	3	20	7	0	0	0	0	0	0	0	0	0	13	8	8	0	13	12	4	0	0	0	0	0	0	18	4	4	5	0	0	14	3	4	7	0	0	0	0	0	0	0	17	5	8	0	8	7	0	13	0	0	0	0	0	20	0	7	3	0	3	20	3	3	0	0	0	0	0	0	7	13	7	0	0	0	0	7	7	13	0	0	0	0	0	0	0	17	5	8	0	0	0	0	0	18	4	0	5	4	0	8	7	0	13	0	20	3	7	0	0	0	0	0	0	7	20	0	3	0	3	0	0	7	20	7	0	0	3	20	3	20	0	7	0
37	0	0	0	0	0	0	0	0	0	0	6	3	0	18	0	0	0	18	9	5	0	8	14	5	0	0	0	0	0	0	4	20	7	0	0	0	0	0	0	0	0	0	14	8	8	0	14	12	4	0	0	0	0	0	0	18	5	4	5	0	0	14	4	4	7	0	0	0	0	0	0	0	18	5	8	0	8	7	0	14	0	0	0	0	0	20	0	7	4	0	4	20	4	4	0	0	0	0	0	0	7	14	7	0	0	0	0	7	7	14	0	0	0	0	0	0	0	18	5	8	0	0	0	0	0	18	4	0	5	5	0	8	7	0	14	0	20	4	7	0	0	0	0	0	0	7	20	0	4	0	4	0	0	7	20	7	0	0	4	20	4	20	0	7	0
38	0	0	0	0	0	0	0	0	0	0	6	3	0	19	0	0	0	19	9	5	0	8	15	5	0	0	0	0	0	0	4	21	7	0	0	0	0	0	0	0	0	0	15	8	8	0	15	12	4	0	0	0	0	0	0	19	5	4	5	0	0	15	4	4	7	0	0	0	0	0	0	0	19	5	8	0	8	7	0	15	0	0	0	0	0	21	0	7	4	0	4	21	4	4	0	0	0	0	0	0	7	15	7	0	0	0	0	7	7	15	0	0	0	0	0	0	0	19	5	8	0	0	0	0	0	19	4	0	5	5	0	8	7	0	15	0	21	4	7	0	0	0	0	0	0	7	21	0	4	0	4	0	0	7	21	7	0	0	4	21	4	21	0	7	0
39	0	0	0	0	0	0	0	0	0	0	6	3	0	20	0	0	0	19	9	5	0	8	15	6	0	0	0	0	0	0	4	21	8	0	0	0	0	0	0	0	0	0	15	9	8	0	15	13	4	0	0	0	0	0	0	19	5	5	5	0	0	15	4	4	8	0	0	0	0	0	0	0	20	5	8	0	8	8	0	15	0	0	0	0	0	21	0	8	4	0	4	21	4	4	0	0	0	0	0	0	8	15	8	0	0	0	0	8	8	15	0	0	0	0	0	0	0	20	5	8	0	0	0	0	0	19	5	0	5	5	0	8	8	0	15	0	21	4	8	0	0	0	0	0	0	8	21	0	4	0	4	0	0	8	21	8	0	0	4	21	4	21	0	8	0
40	0	0	0	0	0	0	0	0	0	0	6	3	0	21	0	0	0	20	9	5	0	9	15	6	0	0	0	0	0	0	4	22	8	0	0	0	0	0	0	0	0	0	15	9	9	0	15	13	5	0	0	0	0	0	0	20	5	5	5	0	0	16	4	4	8	0	0	0	0	0	0	0	21	5	8	0	9	8	0	15	0	0	0	0	0	22	0	8	4	0	4	22	4	4	0	0	0	0	0	0	8	15	8	0	0	0	0	8	8	15	0	0	0	0	0	0	0	21	5	8	0	0	0	0	0	20	5	0	5	5	0	9	8	0	15	0	22	4	8	0	0	0	0	0	0	8	22	0	4	0	4	0	0	8	22	8	0	0	4	22	4	22	0	8	0
41	0	0	0	0	0	0	0	0	0	0	7	3	0	21	0	0	0	20	10	5	0	9	16	6	0	0	0	0	0	0	4	23	8	0	0	0	0	0	0	0	0	0	16	9	9	0	16	13	5	0	0	0	0	0	0	20	5	5	6	0	0	16	4	5	8	0	0	0	0	0	0	0	21	6	8	0	9	8	0	16	0	0	0	0	0	23	0	8	4	0	4	23	4	4	0	0	0	0	0	0	8	16	8	0	0	0	0	8	8	16	0	0	0	0	0	0	0	21	6	8	0	0	0	0	0	20	5	0	6	5	0	9	8	0	16	0	23	4	8	0	0	0	0	0	0	8	23	0	4	0	4	0	0	8	23	8	0	0	4	23	4	23	0	8	0
