	ItemIndex	BodyType	GroupName	GDP	SellPrice	PopPrice	GiftPrice	Not4Sale	Charm
	26	3		0;109;30023	300	4			
	26	4		0;109;30024	300	4			
	27	1		0;110;30021	300	4			
	27	2		0;110;30022	300	4			
	27	3		0;110;30023	300	4			
	27	4		0;110;30024	300	4			
	28	1	Cöu Ch©u Trang	0;108;30025	300	4			
	28	2		0;108;30026	300	4			
	28	3		0;108;30027	300	4			
	28	4		0;108;30028	300	4			
	29	1		0;109;30025	300	4			
	29	2		0;109;30026	300	4			
	29	3		0;109;30027	300	4			
	29	4		0;109;30028	300	4			
	30	1		0;110;30025	300	4			
	30	2		0;110;30026	300	4			
	30	3		0;110;30027	300	4			
	30	4		0;110;30028	300	4			
	31	1	ThÊt TÞch Trang	0;108;30029	300	4			
	31	2		0;108;30030	300	4			
	31	3		0;108;30031	300	4			
	31	4		0;108;30032	300	4			
	32	1		0;109;30029	300	4			
	32	2		0;109;30030	300	4			
	32	3		0;109;30031	300	4			
	32	4		0;109;30032	300	4			
	33	1		0;110;30029	300	4			
	33	2		0;110;30030	300	4			
	33	3		0;110;30031	300	4			
	33	4		0;110;30032	300	4			
	34	1	Hång S©m trang	0;108;630	300	4			
	34	2		0;108;631	300	4			
	34	3		0;108;632	300	4			
	34	4		0;108;633	300	4			
	35	1		0;109;630	300	4			
	35	2		0;109;631	300	4			
	35	3		0;109;632	300	4			
	35	4		0;109;633	300	4			
	36	1		0;110;630	300	4			
	36	2		0;110;631	300	4			
	36	3		0;110;632	300	4			
	36	4		0;110;633	300	4			
	37	1	ChØ Tóy Kim Mª trang 	0;108;618	300	4			
	37	2		0;108;619	300	4			
	37	3		0;108;620	300	4			
	37	4		0;108;621	300	4			
	38	1		0;109;618	300	4			
	38	2		0;109;619	300	4			
	38	3		0;109;620	300	4			
	38	4		0;109;621	300	4			
	39	1		0;110;618	300	4			
	39	2		0;110;619	300	4			
	39	3		0;110;620	300	4			
	39	4		0;110;621	300	4			
	40	1	Thiªn Ba Trang	0;108;676	300	4			
	40	2		0;108;677	300	4			
	40	3		0;108;678	300	4			
	40	4		0;108;679	300	4			
	41	1		0;109;676	300	4			
	41	2		0;109;677	300	4			
	41	3		0;109;678	300	4			
	41	4		0;109;679	300	4			
	42	1		0;110;676	300	4			
	42	2		0;110;677	300	4			
	42	3		0;110;678	300	4			
	42	4		0;110;679	300	4			
	43	1	T©n Niªn Trang	0;108;30033	300	4			
	43	2		0;108;30034	300	4			
	43	3		0;108;30035	300	4			
	43	4		0;108;30036	300	4			
	44	1		0;109;30033	300	4			
	44	2		0;109;30034	300	4			
	44	3		0;109;30035	300	4			
	44	4		0;109;30036	300	4			
	45	1		0;110;30033	300	4			
	45	2		0;110;30034	300	4			
	45	3		0;110;30035	300	4			
	45	4		0;110;30036	300	4			
	46	1	ChuyÓn Sinh Y	0;108;514	300	4			
	47	1		0;109;514	300	4			
	48	1		0;110;514	300	4			
	46	2	ChuyÓn Sinh Y	0;108;515	300	4			
	47	2		0;109;515	300	4			
	48	2		0;110;515	300	4			
	46	3	ChuyÓn Sinh Y	0;108;516	300	4			
	47	3		0;109;516	300	4			
	48	3		0;110;516	300	4			
	46	4	ChuyÓn Sinh Y	0;108;517	300	4			
	47	4		0;109;517	300	4			
	48	4		0;110;517	300	4			
	49	3	Linh Lung Trang (®á)	0;108;207	200	4			
	49	4		0;108;213	200	4			
	50	3		0;109;281	200	4			
	50	4		0;109;287	200	4			
	51	3		0;110;281	200	4			
	51	4		0;110;287	200	4			
	52	3	Linh Lung Trang (vµng)	0;108;208	200	4			
	52	4		0;108;214	200	4			
	53	3		0;109;282	200	4			
	53	4		0;109;288	200	4			
	54	3		0;110;282	200	4			
	54	4		0;110;288	200	4			
	55	3	Linh Lung Trang (hång)	0;108;209	200	4			
	55	4		0;108;215	200	4			
	56	3		0;109;283	200	4			
	56	4		0;109;289	200	4			
	57	3		0;110;283	200	4			
	57	4		0;110;289	200	4			
	58	3	Linh Lung Trang (tÝm)	0;108;210	200	4			
	58	4		0;108;216	200	4			
	59	3		0;109;284	200	4			
	59	4		0;109;290	200	4			
	60	3		0;110;284	200	4			
	60	4		0;110;290	200	4			
	61	3	Linh Lung Trang (lam)	0;108;211	200	4			
	61	4		0;108;217	200	4			
	62	3		0;109;285	200	4			
	62	4		0;109;291	200	4			
	63	3		0;110;285	200	4			
	63	4		0;110;291	200	4			
	64	3	Linh Lung Trang (lôc)	0;108;212	200	4			
	64	4		0;108;218	200	4			
	65	3		0;109;286	200	4			
	65	4		0;109;292	200	4			
	66	3		0;110;286	200	4			
	66	4		0;110;292	200	4			
	67	1	TuÕ Thñ bµo	0;108;139	200	4			
	68	1		0;109;185	200	4			
	69	1		0;110;81	200	4			
	67	2	ChÝnh Sãc gi¸p	0;108;140	200	4			
	68	2		0;109;186	200	4			
	69	2		0;110;82	200	4			
	67	3	T©n ChÝnh §¹i	0;108;141	200	4			
	68	3		0;109;187	200	4			
	69	3		0;110;83	200	4			
	67	4	Nguyªn ChÝnh th­êng	0;108;142	200	4			
	68	4		0;109;188	200	4			
	69	4		0;110;84	200	4			
	70	1	Thu Thi bµo	0;108;195	200	4			
	71	1		0;109;255	200	4			
	72	1		0;110;85	200	4			
	70	2	§«ng Hµn gi¸p	0;108;196	200	4			
	71	2		0;109;256	200	4			
	72	2		0;110;86	200	4			
	70	3	H¹ Vinh trang	0;108;197	200	4			
	71	3		0;109;257	200	4			
	72	3		0;110;87	200	4			
	70	4	Xu©n No·n th­êng	0;108;198	200	4			
	71	4		0;109;258	200	4			
	72	4		0;110;88	200	4			
	73	1	Bµo §­êng B¶o Y	0;108;510	200	4			
	74	1		0;109;510	200	4			
	75	1		0;110;510	200	4			
	73	2	B¶o Tiªu ChiÕn Y	0;108;511	200	4			
	74	2		0;109;511	200	4			
	75	2		0;110;511	200	4			
	73	3	Vò §iÖp Tó Trang	0;108;513	200	4			
	74	3		0;109;513	200	4			
	75	3		0;110;513	200	4			
	73	4	Hµm Yªn Tó Trang	0;108;512	200	4			
	74	4		0;109;512	200	4			
	75	4		0;110;512	200	4			
	76	1	Tè Ng©n Bµo	0;108;526	200	4			
	77	1		0;109;526	200	4			
	78	1		0;110;526	200	4			
	76	2	XÝch LuyÖn Gi¸p Y	0;108;527	200	4			
	77	2		0;109;527	200	4			
	78	2		0;110;527	200	4			
	76	3	Ngäc Thoa Vò Y	0;108;528	200	4			
	77	3		0;109;528	200	4			
	78	3		0;110;528	200	4			
	76	4	§¹i Yªn Nghª Th­êng	0;108;529	200	4			
	77	4		0;109;529	200	4			
	78	4		0;110;529	200	4			
	79	1	Gi¸ng Tö Bµo	0;108;522	200	4			
	80	1		0;109;522	200	4			
	81	1		0;110;522	200	4			
	79	2	L­u Kim Gi¸p Y	0;108;523	200	4			
	80	2		0;109;523	200	4			
	81	2		0;110;523	200	4			
	79	3	Song §¹i Vò Th­êng.	0;108;524	200	4			
	80	3		0;109;524	200	4			
	81	3		0;110;524	200	4			
	79	4	Phông Vò Nghª Sa	0;108;525	200	4			
	80	4		0;109;525	200	4			
	81	4		0;110;525	200	4			
	82	1	ThÊt ThÇn Y	0;108;518	200	4			
	83	1		0;109;518	200	4			
	84	1		0;110;518	200	4			
	82	2	Long L©n ¤ Kim Gi¸p	0;108;519	200	4			
	83	2		0;109;519	200	4			
	84	2		0;110;519	200	4			
	82	3	Lôc Oanh Vò Y	0;108;520	200	4			
	83	3		0;109;520	200	4			
	84	3		0;110;520	200	4			
	82	4	Doanh Vò Th­êng	0;108;521	200	4			
	83	4		0;109;521	200	4			
	84	4		0;110;521	200	4			
	85	1	KiÕm TuyÖt y	0;108;135	200	4			
	86	1		0;109;181	200	4			
	87	1		0;110;77	200	4			
	85	2	HiÖp KhiÕu gi¸p	0;108;136	200	4			
	86	2		0;109;182	200	4			
	87	2		0;110;78	200	4			
	85	3	T×nh Hinh Th­êng	0;108;137	200	4			
	86	3		0;109;183	200	4			
	87	3		0;110;79	200	4			
	85	4	Duyªn Doanh Th­êng	0;108;138	200	4			
	86	4		0;109;184	200	4			
	87	4		0;110;80	200	4			
	88	1	S¬n Quû huyÕt y	0;108;17	200	4			
	89	1		0;109;17	200	4			
	90	1		0;110;17	200	4			
	88	2	Long B¸ ¤ kim y	0;108;36	200	4			
	89	2		0;109;36	200	4			
	90	2		0;110;36	200	4			
	88	3	Phi Thiªn Th¸i Th­êng	0;108;54	200	4			
	89	3		0;109;54	200	4			
	90	3		0;110;54	200	4			
	88	4	Ngò S¾c Nghª Th­êng	0;108;72	200	4			
	89	4		0;109;72	200	4			
	90	4		0;110;72	200	4			
	91	1	B¨ng Tµm Trï sam	0;108;16	200	4			
	92	1		0;109;16	200	4			
	93	1		0;110;16	200	4			
	91	2	HuyÕt Hµ Quû V­¬ng gi¸p	0;108;35	200	4			
	92	2		0;109;35	200	4			
	93	2		0;110;35	200	4			
	91	3	Thiªn y	0;108;53	200	4			
	92	3		0;109;53	200	4			
	93	3		0;110;53	200	4			
	91	4	V« Song §Êu y	0;108;71	200	4			
	92	4		0;109;71	200	4			
	93	4		0;110;71	200	4			
	94	1	Thiªn Lang y	0;108;15	200	4			
	95	1		0;109;15	200	4			
	96	1		0;110;15	200	4			
	94	2	Tinh Cang HuyÒn Kim gi¸p	0;108;33	200	4			
	95	2		0;109;33	200	4			
	96	2		0;110;33	200	4			
	94	3	Nghª Th­êng Vò y	0;108;52	200	4			
	95	3		0;109;52	200	4			
	96	3		0;110;52	200	4			
	94	4	CÈm V©n Th­êng	0;108;70	200	4			
	95	4		0;109;70	200	4			
	96	4		0;110;70	200	4			
	97	1	XÝch Long bµo	0;108;14	200	4			
	98	1		0;109;14	200	4			
	99	1		0;110;14	200	4			
	97	2	L«i Ng©n Gi¸p	0;108;32	200	4			
	98	2		0;109;32	200	4			
	99	2		0;110;32	200	4			
	97	3	Minh Quang gi¸p	0;108;51	200	4			
	98	3		0;109;51	200	4			
	99	3		0;110;51	200	4			
	97	4	NghÞch V©n §Êu y	0;108;69	200	4			
	98	4		0;109;69	200	4			
	99	4		0;110;69	200	4			
	100	1	Lam K×nh b× gi¸p	0;108;13	200	4			
	101	1		0;109;13	200	4			
	102	1		0;110;13	200	4			
	100	2	ThÇn S¸ch Kim gi¸p	0;108;31	200	4			
	101	2		0;109;31	200	4			
	102	2		0;110;31	200	4			
	100	3	L©n Quang gi¸p	0;108;49	200	4			
	101	3		0;109;49	200	4			
	102	3		0;110;49	200	4			
	100	4	Th¸i Hoa Th­êng	0;108;68	200	4			
	101	4		0;109;68	200	4			
	102	4		0;110;68	200	4			
	103	1	Th­¬ng  Lan y	0;108;12	200	4			
	104	1		0;109;12	200	4			
	105	1		0;110;12	200	4			
	103	2	Thiªn NhÉn y	0;108;30	200	4			
	104	2		0;109;30	200	4			
	105	2		0;110;30	200	4			
	103	3	Hång Nghª Th­êng	0;108;48	200	4			
	104	3		0;109;48	200	4			
	105	3		0;110;48	200	4			
	103	4	Linh Lung Th­êng	0;108;66	200	4			
	104	4		0;109;66	200	4			
	105	4		0;110;66	200	4			
	106	1	Gi¸ng Sinh Trang	0;108;109	200	4			
	106	2		0;108;110	200	4			
	106	3		0;108;112	200	4			
	106	4		0;108;111	200	4			
	107	1		0;109;109	200	4			
	107	2		0;109;110	200	4			
	107	3		0;109;112	200	4			
	107	4		0;109;111	200	4			
	108	1		0;110;73	200	4			
	108	2		0;110;74	200	4			
	108	3		0;110;76	200	4			
	108	4		0;110;75	200	4			
	109	1	NhuyÔn Kim y	0;108;11	200	4			
	110	1		0;109;11	200	4			
	111	1		0;110;11	200	4			
	109	2	Di Nhiªm Kh¸ch y	0;108;29	200	4			
	110	2		0;109;29	200	4			
	111	2		0;110;29	200	4			
	109	3	N÷ KiÖt Th­êng	0;108;46	200	4			
	110	3		0;109;46	200	4			
	111	3		0;110;46	200	4			
	109	4	Thiªn C«ng §Êu y	0;108;65	200	4			
	110	4		0;109;65	200	4			
	111	4		0;110;65	200	4			
	112	1	XÝch §ång trô	0;108;10	200	4			
	113	1		0;109;10	200	4			
	114	1		0;110;10	200	4			
	112	2	Tö Thanh S­¬ng Hoa sam	0;108;28	200	4			
	113	2		0;109;28	200	4			
	114	2		0;110;28	200	4			
	112	3	CÈm Anh Th­êng	0;108;45	200	4			
	113	3		0;109;45	200	4			
	114	3		0;110;45	200	4			
	112	4	û La Th­êng	0;108;64	200	4			
	113	4		0;109;64	200	4			
	114	4		0;110;64	200	4			
	115	1	Thanh S­¬ng bµo	0;108;8	200	4			
	116	1		0;109;8	200	4			
	117	1		0;110;8	200	4			
	115	2	Hoµng Hæ y	0;108;26	200	4			
	116	2		0;109;26	200	4			
	117	2		0;110;26	200	4			
	115	3	Ho¸n Hoa Th­êng	0;108;44	200	4			
	116	3		0;109;44	200	4			
	117	3		0;110;44	200	4			
	115	4	Thiªn Tµm gi¸p y	0;108;63	200	4			
	116	4		0;109;63	200	4			
	117	4		0;110;63	200	4			
	118	1	ThÇn Hµnh phôc	0;108;7	200	4			
	119	1		0;109;7	200	4			
	120	1		0;110;7	200	4			
	118	2	Lôc L©m trang	0;108;25	200	4			
	119	2		0;109;25	200	4			
	120	2		0;110;25	200	4			
	118	3	LuyÖn Gi¸p Th­êng	0;108;43	200	4			
	119	3		0;109;43	200	4			
	120	3		0;110;43	200	4			
	118	4	MËt V©n Sam	0;108;61	200	4			
	119	4		0;109;61	200	4			
	120	4		0;110;61	200	4			
	121	1	YÓm T©m gi¸p	0;108;6	200	4			
	122	1		0;109;6	200	4			
	123	1		0;110;6	200	4			
	121	2	Kim Ngäc Trï sam	0;108;24	200	4			
	122	2		0;109;24	200	4			
	123	2		0;110;24	200	4			
	121	3	Vò LuyÖn Th­êng	0;108;41	200	4			
	122	3		0;109;41	200	4			
	123	3		0;110;41	200	4			
	121	4	Phong Vò Th­êng	0;108;60	200	4			
	122	4		0;109;60	200	4			
	123	4		0;110;60	200	4			
	124	1	Tö C©m Bè Y	0;108;3	200	4			
	125	1		0;109;3	200	4			
	126	1		0;110;3	200	4			
	124	2	Hµo HiÖp y	0;108;23	200	4			
	125	2		0;109;23	200	4			
	126	2		0;110;23	200	4			
	124	3	T©m Ên Th­êng	0;108;40	200	4			
	125	3		0;109;40	200	4			
	126	3		0;110;40	200	4			
	124	4	C©n Qu¾c sam	0;108;59	200	4			
	125	4		0;109;59	200	4			
	126	4		0;110;59	200	4			
	127	1	Bé ThiÕu HiÖp [®Æc gi¸]	0;108;1	100	4			
	128	1		0;109;1	100	4			
	129	1		0;110;1	100	4			
	127	2	Bé ThiÕu HiÖp [®Æc gi¸]	0;108;19	100	4			
	128	2		0;109;19	100	4			
	129	2		0;110;19	100	4			
	127	3	Bé Th¸i Th­êng [®Æc gi¸]	0;108;37	100	4			
	128	3		0;109;37	100	4			
	129	3		0;110;37	100	4			
	127	4	Bé Vò Th­êng [®Æc gi¸]	0;108;55	100	4			
	128	4		0;109;55	100	4			
	129	4		0;110;55	100	4			
	130	1	Bé H¾c T¹o [®Æc gi¸]	0;108;2	100	4			
	131	1		0;109;2	100	4			
	132	1		0;110;2	100	4			
	130	2	Bé ThiÕt Hé [®Æc gi¸]	0;108;20	100	4			
	131	2		0;109;20	100	4			
	132	2		0;110;20	100	4			
	130	3	Bé Tö L¨ng [®Æc gi¸]	0;108;38	100	4			
	131	3		0;109;38	100	4			
	132	3		0;110;38	100	4			
	130	4	Bé Hång V©n [®Æc gi¸]	0;108;56	100	4			
	131	4		0;109;56	100	4			
	132	4		0;110;56	100	4			
	133	1	Bé Bµn Long [®Æc gi¸]	0;108;4	100	4			
	134	1		0;109;4	100	4			
	135	1		0;110;4	100	4			
	133	2	Bé Thó V­¬ng [®Æc gi¸]	0;108;21	100	4			
	134	2		0;109;21	100	4			
	135	2		0;110;21	100	4			
	133	3	Bé Tö Nhung [®Æc gi¸]	0;108;39	100	4			
	134	3		0;109;39	100	4			
	135	3		0;110;39	100	4			
	133	4	Bé Tö KÝnh [®Æc gi¸]	0;108;57	100	4			
	134	4		0;109;57	100	4			
	135	4		0;110;57	100	4			
	136	1	Bé Th­¬ng Lang [®Æc gi¸]	0;108;5	100	4			
	137	1		0;109;5	100	4			
	138	1		0;110;5	100	4			
	136	2	Bé CÈm Ti [®Æc gi¸]	0;108;22	100	4			
	137	2		0;109;22	100	4			
	138	2		0;110;22	100	4			
	136	3	Bé Thiªn Ma [®Æc gi¸]	0;108;42	100	4			
	137	3		0;109;42	100	4			
	138	3		0;110;42	100	4			
	136	4	Bé Linh VËn [®Æc gi¸]	0;108;58	100	4			
	137	4		0;109;58	100	4			
	138	4		0;110;58	100	4			
	139	1	Bé Tham Lang [®Æc gi¸]	0;108;9	100	4			
	140	1		0;109;9	100	4			
	141	1		0;110;9	100	4			
	139	2	Bé ThÇn Ng­u [®Æc gi¸]	0;108;27	100	4			
	140	2		0;109;27	100	4			
	141	2		0;110;27	100	4			
	139	3	Bé Thanh Linh [®Æc gi¸]	0;108;47	100	4			
	140	3		0;109;47	100	4			
	141	3		0;110;47	100	4			
	139	4	Bé Vâ §Êu [®Æc gi¸]	0;108;62	100	4			
	140	4		0;109;62	100	4			
	141	4		0;110;62	100	4			
	142	1	Bé Thiªn Gi¸ng [®Æc gi¸]	0;108;18	100	4			
	143	1		0;109;18	100	4			
	144	1		0;110;18	100	4			
	142	2	Bé Háa Thï [®Æc gi¸]	0;108;34	100	4			
	143	2		0;109;34	100	4			
	144	2		0;110;34	100	4			
	142	3	Bé Hå C¬ [®Æc gi¸]	0;108;50	100	4			
	143	3		0;109;50	100	4			
	144	3		0;110;50	100	4			
	142	4	Bé Thó §Êu [®Æc gi¸]	0;108;67	100	4			
	143	4		0;109;67	100	4			
	144	4		0;110;67	100	4			
	145	1	¢m Hån Kim [TiÖm Kim PhiÕu]	0;108;680	300	4		1	
	145	2		0;108;681	300	4		1	
	145	3		0;108;682	300	4		1	
	145	4		0;108;683	300	4		1	
	146	1		0;109;680	300	4		1	
	146	2		0;109;681	300	4		1	
	146	3		0;109;682	300	4		1	
	146	4		0;109;683	300	4		1	
	147	1		0;110;680	300	4		1	
	147	2		0;110;681	300	4		1	
	147	3		0;110;682	300	4		1	
	147	4		0;110;683	300	4		1	
	148	1	T­¬ng KiÕn Huan [TiÖm Kim PhiÕu]	0;108;725	300	4		1	
	148	2		0;108;726	300	4		1	
	148	3		0;108;727	300	4		1	
	148	4		0;108;728	300	4		1	
	149	1		0;109;725	300	4		1	
	149	2		0;109;726	300	4		1	
	149	3		0;109;727	300	4		1	
	149	4		0;109;728	300	4		1	
	150	1		0;110;725	300	4		1	
	150	2		0;110;726	300	4		1	
	150	3		0;110;727	300	4		1	
	150	4		0;110;728	300	4		1	
	151	1	ThiÕu Niªn Du [TiÖm Kim PhiÕu]	0;108;721	300	4		1	
	151	2		0;108;722	300	4		1	
	151	3		0;108;723	300	4		1	
	151	4		0;108;724	300	4		1	
	152	1		0;109;721	300	4		1	
	152	2		0;109;722	300	4		1	
	152	3		0;109;723	300	4		1	
	152	4		0;109;724	300	4		1	
	153	1		0;110;721	300	4		1	
	153	2		0;110;722	300	4		1	
	153	3		0;110;723	300	4		1	
	153	4		0;110;724	300	4		1	
