Index	Level	Genre	Detail	Particular	Text			
1128	50	0	103	953	Ng‰c N˜ D≠¨ng  Qu∏n			
1129	70	0	103	973	Ng‰c N˜ Dao Qu∏n			
1130	50	0	103	954	Ng‰c N˜ D≠¨ng  Qu∏n			
1131	70	0	103	974	Ng‰c N˜ Dao Qu∏n			
1132	50	0	100	953	Ng‰c N˜ D≠¨ng  Th≠Íng			
1133	70	0	100	973	Ng‰c N˜ Dao Th≠Íng			
1134	50	0	100	954	Ng‰c N˜ D≠¨ng  Th≠Íng			
1135	70	0	100	974	Ng‰c N˜ Dao Th≠Íng			
1136	50	0	102	953	Ng‰c N˜ D≠¨ng  BÈi			
1137	70	0	102	973	Ng‰c N˜ Dao BÈi			
1138	50	0	102	954	Ng‰c N˜ D≠¨ng  BÈi			
1139	70	0	102	974	Ng‰c N˜ Dao BÈi			
1140	50	0	10	953	Ng‰c N˜ D≠¨ng  C«m			
1141	70	0	10	973	Ng‰c N˜ Dao C«m			
1142	50	0	10	954	Ng‰c N˜ D≠¨ng  C«m			
1143	70	0	10	974	Ng‰c N˜ Dao C«m			
1144	50	0	101	1151	Gi∏ng Long D≠¨ng Trang			
1145	70	0	101	1171	Gi∏ng Long Dao Trang			
1146	50	0	101	1152	Gi∏ng Long D≠¨ng Trang			
1147	70	0	101	1172	Gi∏ng Long Dao Trang			
1148	50	0	101	1153	Gi∏ng Long D≠¨ng Trang			
1149	70	0	101	1173	Gi∏ng Long Dao Trang			
1150	50	0	101	1154	Gi∏ng Long D≠¨ng Trang			
1151	70	0	101	1174	Gi∏ng Long Dao Trang			
1152	50	0	103	1151	Gi∏ng Long D≠¨ng Qu∏n			
1153	70	0	103	1171	Gi∏ng Long Dao Qu∏n			
1154	50	0	103	1152	Gi∏ng Long D≠¨ng Qu∏n			
1155	70	0	103	1172	Gi∏ng Long Dao Qu∏n			
1156	50	0	103	1153	Gi∏ng Long D≠¨ng Qu∏n			
1157	70	0	103	1173	Gi∏ng Long Dao Qu∏n			
1158	50	0	103	1154	Gi∏ng Long D≠¨ng Qu∏n			
1159	70	0	103	1174	Gi∏ng Long Dao Qu∏n			
1160	50	0	100	1151	Gi∏ng Long D≠¨ng Th≠Íng			
1161	70	0	100	1171	Gi∏ng Long Dao Th≠Íng			
1162	50	0	100	1152	Gi∏ng Long D≠¨ng Th≠Íng			
1163	70	0	100	1172	Gi∏ng Long Dao Th≠Íng			
1164	50	0	100	1153	Gi∏ng Long D≠¨ng Th≠Íng			
1165	70	0	100	1173	Gi∏ng Long Dao Th≠Íng			
1166	50	0	100	1154	Gi∏ng Long D≠¨ng Th≠Íng			
1167	70	0	100	1174	Gi∏ng Long Dao Th≠Íng			
1168	50	0	102	1151	Gi∏ng Long D≠¨ng BÈi			
1169	70	0	102	1171	Gi∏ng Long Dao BÈi			
1170	50	0	102	1152	Gi∏ng Long D≠¨ng BÈi			
1171	70	0	102	1172	Gi∏ng Long Dao BÈi			
1172	50	0	102	1153	Gi∏ng Long D≠¨ng BÈi			
1173	70	0	102	1173	Gi∏ng Long Dao BÈi			
1174	50	0	102	1154	Gi∏ng Long D≠¨ng BÈi			
1175	70	0	102	1174	Gi∏ng Long Dao BÈi			
1176	50	0	0	1151	Gi∏ng Long D≠¨ng ThÒ			
1177	70	0	0	1171	Gi∏ng Long Dao ThÒ			
1178	50	0	0	1152	Gi∏ng Long D≠¨ng ThÒ			
1179	70	0	0	1172	Gi∏ng Long Dao ThÒ			
1180	50	0	0	1153	Gi∏ng Long D≠¨ng ThÒ			
1181	70	0	0	1173	Gi∏ng Long Dao ThÒ			
1182	50	0	0	1154	Gi∏ng Long D≠¨ng ThÒ			
1183	70	0	0	1174	Gi∏ng Long Dao ThÒ			
1184	50	0	101	1251	Phong Ma D≠¨ng Trang			
1185	70	0	101	1271	Phong Ma Dao Trang			
1186	50	0	101	1252	Phong Ma D≠¨ng Trang			
1187	70	0	101	1272	Phong Ma Dao Trang			
1188	50	0	101	1253	Phong Ma D≠¨ng Trang			
1189	70	0	101	1273	Phong Ma Dao Trang			
1190	50	0	101	1254	Phong Ma D≠¨ng Trang			
1191	70	0	101	1274	Phong Ma Dao Trang			
1192	50	0	103	1251	Phong Ma D≠¨ng Qu∏n			
1193	70	0	103	1271	Phong Ma Dao Qu∏n			
1194	50	0	103	1252	Phong Ma D≠¨ng Qu∏n			
1195	70	0	103	1272	Phong Ma Dao Qu∏n			
1196	50	0	103	1253	Phong Ma D≠¨ng Qu∏n			
1197	70	0	103	1273	Phong Ma Dao Qu∏n			
1198	50	0	103	1254	Phong Ma D≠¨ng Qu∏n			
1199	70	0	103	1274	Phong Ma Dao Qu∏n			
1200	50	0	100	1251	Phong Ma D≠¨ng Th≠Íng			
1201	70	0	100	1271	Phong Ma Dao Th≠Íng			
1202	50	0	100	1252	Phong Ma D≠¨ng Th≠Íng			
1203	70	0	100	1272	Phong Ma Dao Th≠Íng			
1204	50	0	100	1253	Phong Ma D≠¨ng Th≠Íng			
1205	70	0	100	1273	Phong Ma Dao Th≠Íng			
1206	50	0	100	1254	Phong Ma D≠¨ng Th≠Íng			
1207	70	0	100	1274	Phong Ma Dao Th≠Íng			
1208	50	0	102	1251	Phong Ma D≠¨ng BÈi			
1209	70	0	102	1271	Phong Ma Dao BÈi			
1210	50	0	102	1252	Phong Ma D≠¨ng BÈi			
1211	70	0	102	1272	Phong Ma Dao BÈi			
1212	50	0	102	1253	Phong Ma D≠¨ng BÈi			
1213	70	0	102	1273	Phong Ma Dao BÈi			
1214	50	0	102	1254	Phong Ma D≠¨ng BÈi			
1215	70	0	102	1274	Phong Ma Dao BÈi			
1216	50	0	5	1251	Phong Ma D≠¨ng C´n			
1217	70	0	5	1271	Phong Ma Dao C´n			
1218	50	0	5	1252	Phong Ma D≠¨ng C´n			
1219	70	0	5	1272	Phong Ma Dao C´n			
1220	50	0	5	1253	Phong Ma D≠¨ng C´n			
1221	70	0	5	1273	Phong Ma Dao C´n			
1222	50	0	5	1254	Phong Ma D≠¨ng C´n			
1223	70	0	5	1274	Phong Ma Dao C´n			
1224	50	0	101	1451	Ch©n VÚ D≠¨ng Trang			
1225	70	0	101	1471	Ch©n VÚ Dao Trang			
1226	50	0	101	1452	Ch©n VÚ D≠¨ng Trang			
1227	70	0	101	1472	Ch©n VÚ Dao Trang			
1228	50	0	101	1453	Ch©n VÚ D≠¨ng Trang			
1229	70	0	101	1473	Ch©n VÚ Dao Trang			
1230	50	0	101	1454	Ch©n VÚ D≠¨ng Trang			
1231	70	0	101	1474	Ch©n VÚ Dao Trang			
1232	50	0	103	1451	Ch©n VÚ D≠¨ng Qu∏n			
1233	70	0	103	1471	Ch©n VÚ Dao Qu∏n			
1234	50	0	103	1452	Ch©n VÚ D≠¨ng Qu∏n			
1235	70	0	103	1472	Ch©n VÚ Dao Qu∏n			
1236	50	0	103	1453	Ch©n VÚ D≠¨ng Qu∏n			
1237	70	0	103	1473	Ch©n VÚ Dao Qu∏n			
1238	50	0	103	1454	Ch©n VÚ D≠¨ng Qu∏n			
1239	70	0	103	1474	Ch©n VÚ Dao Qu∏n			
1240	50	0	100	1451	Ch©n VÚ D≠¨ng Th≠Íng			
1241	70	0	100	1471	Ch©n VÚ Dao Th≠Íng			
1242	50	0	100	1452	Ch©n VÚ D≠¨ng Th≠Íng			
1243	70	0	100	1472	Ch©n VÚ Dao Th≠Íng			
1244	50	0	100	1453	Ch©n VÚ D≠¨ng Th≠Íng			
1245	70	0	100	1473	Ch©n VÚ Dao Th≠Íng			
1246	50	0	100	1454	Ch©n VÚ D≠¨ng Th≠Íng			
1247	70	0	100	1474	Ch©n VÚ Dao Th≠Íng			
1248	50	0	102	1451	Ch©n VÚ D≠¨ng BÈi			
1249	70	0	102	1471	Ch©n VÚ Dao BÈi			
1250	50	0	102	1452	Ch©n VÚ D≠¨ng BÈi			
1251	70	0	102	1472	Ch©n VÚ Dao BÈi			
1252	50	0	102	1453	Ch©n VÚ D≠¨ng BÈi			
1253	70	0	102	1473	Ch©n VÚ Dao BÈi			
1254	50	0	102	1454	Ch©n VÚ D≠¨ng BÈi			
1255	70	0	102	1474	Ch©n VÚ Dao BÈi			
1256	50	0	2	1451	Ch©n VÚ D≠¨ng Ki’m			
1257	70	0	2	1471	Ch©n VÚ Dao Ki’m			
1258	50	0	2	1452	Ch©n VÚ D≠¨ng Ki’m			
1259	70	0	2	1472	Ch©n VÚ Dao Ki’m			
1260	50	0	2	1453	Ch©n VÚ D≠¨ng Ki’m			
1261	70	0	2	1473	Ch©n VÚ Dao Ki’m			
1262	50	0	2	1454	Ch©n VÚ D≠¨ng Ki’m			
1263	70	0	2	1474	Ch©n VÚ Dao Ki’m			
1264	50	0	101	1551	Nh t D≠¨ng Trang			
1265	70	0	101	1571	Nh t D≠¨ng Dao Trang			
1266	50	0	101	1552	Nh t D≠¨ng Trang			
1267	70	0	101	1572	Nh t D≠¨ng Dao Trang			
1268	50	0	101	1553	Nh t D≠¨ng Trang			
1269	70	0	101	1573	Nh t D≠¨ng Dao Trang			
1270	50	0	101	1554	Nh t D≠¨ng Trang			
1271	70	0	101	1574	Nh t D≠¨ng Dao Trang			
1272	50	0	103	1551	Nh t D≠¨ng Qu∏n			
1273	70	0	103	1571	Nh t D≠¨ng Dao Qu∏n			
1274	50	0	103	1552	Nh t D≠¨ng Qu∏n			
1275	70	0	103	1572	Nh t D≠¨ng Dao Qu∏n			
1276	50	0	103	1553	Nh t D≠¨ng Qu∏n			
1277	70	0	103	1573	Nh t D≠¨ng Dao Qu∏n			
1278	50	0	103	1554	Nh t D≠¨ng Qu∏n			
1279	70	0	103	1574	Nh t D≠¨ng Dao Qu∏n			
1280	50	0	100	1551	Nh t D≠¨ng Th≠Íng			
1281	70	0	100	1571	Nh t D≠¨ng Dao Th≠Íng			
1282	50	0	100	1552	Nh t D≠¨ng Th≠Íng			
1283	70	0	100	1572	Nh t D≠¨ng Dao Th≠Íng			
1284	50	0	100	1553	Nh t D≠¨ng Th≠Íng			
1285	70	0	100	1573	Nh t D≠¨ng Dao Th≠Íng			
1286	50	0	100	1554	Nh t D≠¨ng Th≠Íng			
1287	70	0	100	1574	Nh t D≠¨ng Dao Th≠Íng			
1288	50	0	102	1551	Nh t D≠¨ng BÈi			
1289	70	0	102	1571	Nh t D≠¨ng Dao BÈi			
1290	50	0	102	1552	Nh t D≠¨ng BÈi			
1291	70	0	102	1572	Nh t D≠¨ng Dao BÈi			
1292	50	0	102	1553	Nh t D≠¨ng BÈi			
1293	70	0	102	1573	Nh t D≠¨ng Dao BÈi			
1294	50	0	102	1554	Nh t D≠¨ng BÈi			
1295	70	0	102	1574	Nh t D≠¨ng Dao BÈi			
1296	50	0	9	1551	Nh t D≠¨ng BÛt			
1297	70	0	9	1571	Nh t D≠¨ng Dao BÛt			
1298	50	0	9	1552	Nh t D≠¨ng BÛt			
1299	70	0	9	1572	Nh t D≠¨ng Dao BÛt			
1300	50	0	9	1553	Nh t D≠¨ng BÛt			
1301	70	0	9	1573	Nh t D≠¨ng Dao BÛt			
1302	50	0	9	1554	Nh t D≠¨ng BÛt			
1303	70	0	9	1574	Nh t D≠¨ng Dao BÛt			
