Index	Level	TaskID	TaskValue	TaskInfo
21	8	1	19	<color=green>Nh.vô S¬ nhËp<color>: Sau khi nãi chuyÖn víi B¸ch HiÓu Sinh biÕt ®­îc 1 sè ®iÒu cña c¸c m«n ph¸i, h·y vÒ gÆp <color=yellow>D· TÈu<color>?
22	9	1	20	<color=green>Nh.vô S¬ nhËp<color>: §¹t ®Õn cÊp 9, h·y ®i gÆp <color=yellow>D· TÈu<color>.
23	9	1	21	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp <color=yellow>TriÖu Diªn Niªn (161.197)<color> ë BiÖn Kinh µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
24	9	1	22	<color=green>Nh.vô S¬ nhËp<color>: <color=yellow>TriÖu Diªn Niªn<color> nhê b»ng h÷u lµm <color=yellow>1 c¸i b¸nh ng«<color>
25	10	1	23	<color=green>Nh.vô S¬ nhËp<color>: §¹t ®Õn cÊp 10, h·y gÆp <color=yellow>TriÖu Diªn Niªn (161.197)<color> ë BiÖn Kinh.
26	10	1	24	<color=green>Nh.vô S¬ nhËp<color>: <color=yellow>TriÖu Diªn Niªn (161.197)<color> ë BiÖn Kinh nhê b»ng h÷u ®­a 3 bøc th­ cho D· TÈu.
27	10	104	0	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Nghe nãi «ng chñ <color=yellow>V­¬ng NghiÖp VÜ (196.185)<color> ë TuyÒn Ch©u gÇn ®©y buån phiÒn, kh«ng biÕt b»ng h÷u cã thÓ ®i gióp kh«ng?
28	10	104	1	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u dÔ quªn thÕ, ®· høa gióp <color=yellow>V­¬ng NghiÖp VÜ (196.185)<color> ë TuyÒn Ch©u lÊy l¹i <color=yellow>hµng ngäc th¹ch<color> sao?
29	10	104	2	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u dÔ quªn thÕ, ®· høa gióp <color=yellow>V­¬ng NghiÖp VÜ (196.185)<color> t×m l¹i <color=yellow>Sæ s¸ch ®· bÞ Diªu LËp Thµnh (B¾c TuyÒn Ch©u 198.187) lÊy mÊt<color> sao?
30	10	104	3	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>:<color=yellow>V­¬ng NghiÖp VÜ (196.185)<color> kh«ng ph¶i b¶o b¹n ®Õn gÆp <color=yellow>H¹ KiÖt (166.182)<color> hái t¹i sao c­íp mÊt hµng hãa vµ Sæ s¸ch ­??
31	10	105	1	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: §Ó lµm cho <color=yellow>H¹ KiÖt (166.182)<color> tin t­ëng, b»ng h÷u h·y mau ®Õn B¾c TuyÒn Ch©u, Nam TuyÒn Ch©u, ®¸nh b¹i <color=yellow>10 tªn L­u manh vµ 10 tªn C«n ®å<color>.
32	10	105	4	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Ng­êi vî <color=yellow>H¹ KiÖt (166.182)<color> bÖnh nÆng, nhê b¹n ®Õn T©y TuyÒn Ch©u thu thËp <color=yellow>RÔ s¾n, Ng¶i bôi, Béi Lan, Liªn KiÒu, Kim Ng©n Hoa mçi lo¹i 3 c¸i<color> vµ ®Õn B¾c TuyÒn Ch©u t×m <color=yellow>10 l«ng Sãi xanh<color>.
33	10	105	5	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: H¹ KiÖt nãi nh÷ng ng­êi cã tªn trong sæ s¸ch ®ã sÏ gÆp nguy hiÓm, b»ng h÷u h·y ®i hái <color=yellow>V­¬ng NghiÖp VÜ (196.185)<color>
34	10	105	6	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: GÆp <color=yellow>§¹i ChÝ C­êng (175.177)<color> ®èi tho¹i, nghe nãi «ng ta bÞ mÊt trém.
35	10	106	1	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u ch­a gÆp th­ sinh <color=yellow>Chu B©n Cö (162.185)<color> ®Ó hái vÒ m¶nh giÊy kh«ng râ ch÷ sao?
36	10	106	2	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Th­ sinh <color=yellow>Chu B©n Cö (162.185)<color> kh«ng ph¶i nhê b»ng h÷u t×m <color=yellow>ChiÕt Xung Bót (TiÖm vò khÝ), Chu Sa (Kü n¨ng TËp linh) vµ D· Tr­ Mao (Heo rõng ë T©y TuyÒn Ch©u)<color> sao?
37	10	106	3	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: L­u qu¶n gia ®ang ë <color=yellow>T©y TuyÒn Ch©u (176.192)<color>, b»ng h÷u h·y mau ®Õn ®ã.
38	10	106	4	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Th× ra lµ do Thî rÌn <color=yellow>Chung Phãng (171.188)<color> sai L­u qu¶n gia lÊy trém, b»ng h÷u ®i hái t¹i sao lµm vËy!
39	10	107	1	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Th× ra tÊt c¶ lµ do Xi Háa Gi¸o TiÓu §Çu Môc <color=yellow>Ch­¬ng VÜ Cang (180.180)<color> Ðp Chung Phãng lµm vËy, b»ng h÷u h·y ®i cøu vî h¾n vÒ.
40	10	117	1	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u vÉn ch­a th«ng b¸o cho <color=yellow>H¹ HÇu CÇm (223.196)<color> ë D­¬ng Ch©u biÕt sao?
41	10	118	2	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: §Ó v­ît qua kh¶o nghiÖm cña <color=yellow>H¹ HÇu CÇm (223.196)<color>, b»ng h÷u h·y ®Õn Long TuyÒn th«n thu phôc <color=yellow>20 con Hå ly<color>.
42	10	118	3	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u ®· v­ît qua cuéc kh¶o nghiÖm, sao vÉn ch­a vÒ gÆp <color=yellow>H¹ HÇu CÇm (223.196)<color>?
43	10	119	2	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: Mau ®i th«ng b¸o cho <color=yellow>C«ng T«n Th­ (T­¬ng D­¬ng 192.182), TriÖu Diªn Niªn (BiÖn Kinh 161.197), Gia C¸t Kú (Nam Thµnh §« 197.197)<color> vÒ viÖc cã liªn quan Xi Háa Gi¸o.
44	10	119	5	<color=green>Nh.vô V­¬ng NghiÖp VÜ<color>: B»ng h÷u ®· th«ng b¸o cho ng­êi cña Tr­êng Ca M«n, h·y trë vÒ gÆp <color=yellow>H¹ HÇu CÇm (223.196)<color> ë D­¬ng Ch©u.
45	15	1402	0	<color=green>Nh.vô Phong §« Quû Thµnh<color>: Nghe nãi Giang T©n th«n x¶y ra chuyÖn, phiÒn b»ng h÷u ®i hái <color=yellow>N¹n d©n Thµnh §« (233.244)<color> mét chuyÕn.
46	15	1402	5	<color=green>Nh.vô Phong §« Quû Thµnh<color>: NÕu muèn biÕt t×nh h×nh Giang T©n th«n, b»ng h÷u h·y lµm <color=yellow>2 c¸i b¸nh ng« (kü n¨ng giang hå)<color> cho <color=yellow>N¹n d©n Thµnh §« (233.244)<color> ¨n ®ì ®ãi.
47	15	1402	10	<color=green>Nh.vô Phong §« Quû Thµnh<color>: N¹n d©n nãi Giang T©n th«n cã <color=yellow>Tr­¬ng §×nh (191.167)<color> ®¹i hiÖp ®ang trõ yªu ma, lµm phiÒn b»ng h÷u ®i hái xem cã chuyÖn g×
48	15	1402	15	<color=green>Nh.vô Phong §« Quû Thµnh<color>: B»ng h÷u kh«ng ph¶i muèn t×m <color=yellow>10 Ph¸ Ma Chó<color> ®Ó gi¶i ®éc cho Tr­¬ng §×nh sao? (Tæ V¨n §¹t ThiÕu L©m cã b¸n)
49	15	1402	20	<color=green>Nh.vô Phong §« Quû Thµnh<color>: Tr­¬ng §×nh còng kh«ng râ lai lÞch cña yªu ma, nhê b¹n ®Õn Nga My gÆp <color=yellow>D­¬ng NguyÖt S­ Th¸i (205.192)<color>
50	15	1402	25	<color=green>Nh.vô Phong §« Quû Thµnh<color>: D­¬ng NguyÖt S­ Th¸i thi ph¸p gióp b»ng h÷u vµo Phong Ma ®éng, kh«ng ph¶i b»ng h÷u muèn t×m <color=yellow>1 viªn X¸ Lîi Kim §¬n<color> sao? (DiÖp Tö Hinh ë Nga My cã b¸n)
51	15	1402	30	<color=green>Nh.vô Phong §« Quû Thµnh<color>: B»ng h÷u kh«ng ph¶i ®· høa víi D­¬ng ¢m S­ Th¸i, t×m vÒ <color=yellow>10 U Hån<color> ®ã sao?<color=yellow>[§Õn tÇng 2 Phong Ma ®éng-(Giang t©n th«n)-®¸nh Du Hån lÊy U Hån]<color>
52	15	1402	35	<color=green>Nh.vô Phong §« Quû Thµnh<color>: D­¬ng ¢m S­ Th¸i b¶o b¹n t×m <color=yellow>Lam D· Quû (Phong Ma §éng 202.180)<color>, hái ai më cöa ®éng Phong Ma.
53	15	1402	40	<color=green>Nh.vô Phong §« Quû Thµnh<color>: Kh«ng ngê Phong §« Quû Thµnh ®· bÞ më, mau ®i th«ng b¸o cho <color=yellow>D­¬ng NguyÖt S­ Th¸i (205.192)<color> biÕt.
54	15	1402	45	<color=green>Nh.vô Phong §« Quû Thµnh<color>: §Ó vµo Quû Thµnh, b»ng h÷u ph¶i t×m <color=yellow>hai b×nh X¸ Lîi Kim §an<color> vÒ cho D­¬ng NguyÖt S­ Th¸i (205.192) (DiÖp Tö Hinh ë Nga My cã b¸n).
55	15	1402	50	<color=green>Nh.vô Phong §« Quû Thµnh<color>: S­ Th¸i nãi cã X¸ Lîi Kim §¬nvÉn ch­a ®ñ, nhê b»ng h÷u lªn ThiÕu L©m gÆp <color=yellow>HuyÒn DiÖt T«n Gi¶ (216.291)<color>.
56	15	1402	55	<color=green>Nh.vô Phong §« Quû Thµnh<color>: HuyÒn DiÖt T«n Gi¶ nhê b»ng h÷u t×m <color=yellow>2 chuçi Thiªn PhËt Ch©u<color> (Tæ V¨n §¹t cã b¸n)
57	15	1402	60	<color=green>Nh.vô Phong §« Quû Thµnh<color>: HiÖn giê chØ cßn §én Èn Linh Phï vµo ®­îc Phong §« Quû Thµnh, b»ng h÷u h·y ®Õn Vâ §ang gÆp <color=yellow>TËp Nguyªn Ch©n Nh©n (230.203)<color>
58	15	1402	65	<color=green>Nh.vô Phong §« Quû Thµnh<color>: Lµm §én Èn Linh Phï, cÇn <color=yellow>1 ChiÕt Xung Bót (TiÖm vò khÝ) vµ 1 Chu Sa (Kü n¨ng TËp linh)<color>.
59	15	1402	70	<color=green>Nh.vô Phong §« Quû Thµnh<color>: §· ®ñ råi, b»ng h÷u h·y ®Õn <color=yellow>Phong §« Quû Thµnh<color> th¸m thÝnh. (Phong §« Quû Thµnh ë §«ng Giang T©n th«n).
60	15	1402	75	<color=green>Nh.vô Phong §« Quû Thµnh<color>: ViÖc Phong §« Quû Thµnh ®· dß la xong, b»ng h÷u h·y vÒ gÆp <color=yellow>D­¬ng NguyÖt S­ Th¸i (205.192)<color>.
61	15	1402	80	<color=green>Nh.vô Phong §« Quû Thµnh<color>: D­¬ng NguyÖt S­ Th¸i kh«ng ph¶i b¶o b¹n ®Õn Thµnh §« gÆp <color=yellow>V­¬ng CÈn (223.226)<color> ­? Sao vÉn ch­a ®i?
62	15	1401	0	<color=green>Nh.vô Thiªn M«n trËn<color>: GÇn ®©y, BiÖn Kinh cã l­u truyÒn 1 sè tin tøc vÒ b¶n S¬n Hµ X· T¾c, <color=yellow>TiÓu NhÞ (184.179)<color> trong thµnh lµ ng­êi biÕt râ nhÊt, phiÒn b»ng h÷u ®Õn hái th¨m tin tøc.
63	15	1401	5	<color=green>Nh.vô Thiªn M«n trËn<color>: TiÓu NhÞ kh«ng ph¶i nhê b»ng h÷u hái th¨m <color=yellow>Nh©n sÜ giang hå<color> bªn c¹nh sao?
64	15	1401	10	<color=green>Nh.vô Thiªn M«n trËn<color>: Nh©n sÜ giang hå muèn uèng hæ vÜ töu, b»ng h÷u h·y ®Õn <color=yellow>ThiÕu L©m<color> thu phôc <color=yellow>Hæ d÷<color>.
65	15	1401	15	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u muèn n¾m râ néi t×nh, h·y gÆp bang chñ bang Kim Ng­u <color=yellow>Tµo §¹i Lùc (186.180)<color>.
66	15	1401	20	<color=green>Nh.vô Thiªn M«n trËn<color>: Tµo §¹i Lùc nhê t×m <color=yellow>5 bé quan phôc<color>, b»ng h÷u h·y ®Õn <color=yellow>H¹nh Hoa th«n<color> ®¸nh b¹i Quan sø mang quan phôc vÒ ®©y!
67	15	1401	25	<color=green>Nh.vô Thiªn M«n trËn<color>: Muèn n¾m râ h¬n tin tøc vÒ b¶n SHXT, h·y ®Õn Nh¹n M«n Quan Qu©n Doanh gÆp <color=yellow>Hé VÖ Thñ LÜnh (164.184)<color>.
68	15	1401	30	<color=green>Nh.vô Thiªn M«n trËn<color>: Muèn vµo Nh¹n M«n Quan Qu©n Doanh dß th¸m tin tøc, b»ng h÷u ph¶i ®Õn BiÖn Kinh gÆp <color=yellow>Binh Bé ThÞ Lang (195.176)<color> HiÖp kh¸ch héi!
69	15	1401	35	<color=green>Nh.vô Thiªn M«n trËn<color>: §Ó chøng tá thùc lùc, b»ng h÷u h·y t×m gióp <color=yellow>Binh Bé ThÞ Lang (195.176)<color> 1 hæ vÜ (®¸nh b¹i Hæ d÷ ë ThiÕu L©m).
70	15	1401	40	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®Õn Thiªn Ba D­¬ng Phñ gÆp <color=yellow>Xa Th¸i Qu©n (191.196)<color> xin phÐp ®Õn Nh¹n M«n Quan chèng Liªu binh sao?
71	15	1401	45	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u h·y ®Õn Nh¹n M«n Quan gÆp <color=yellow>D­¬ng NghiÖp (167.179)<color> D­¬ng L·o T­íng Qu©n xin gia nhËp qu©n sÜ.
72	15	1401	50	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®· høa víi <color=yellow>D­¬ng NghiÖp L·o T­íng Qu©n (167.179)<color> trõng trÞ kiªu binh, vµ mang vÒ <color=yellow>10 M©u méc bµi (®¸nh Tèng qu©n Tö SÜ)<color> sao?
73	15	1401	55	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u ®· høa víi D­¬ng l·o t­íng qu©n ®Õn gÆp Hµn TrÝ Nh­îng cã kÕt qu¶ ch­a, nghe nãi <color=yellow>Hµng xãm Hµn TrÝ Nh­¬ng còng ë BiÖn Kinh (153.181)<color>, lµm phiÒn b»ng h÷u hái th¨m tin tøc.
74	15	1401	60	<color=green>Nh.vô Thiªn M«n trËn<color>: Nghe nãi Hµn TrÝ Nh­îng dän ®Õn H¹nh Hoa th«n, nÕu t×m kh«ng thÊy, phiÒn b»ng h÷u ®i hái §¹i hiÖp <color=yellow>Tr­¬ng V©n (177.187)<color>.
75	15	1401	65	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®· høa gióp ®¹i hiÖp <color=yellow>Tr­¬ng V©n (177.187)<color> trõng trÞ Quan sø, vµ mang vÒ <color=yellow>10 bé quan phôc<color> sao?
76	15	1401	70	<color=green>Nh.vô Thiªn M«n trËn<color>: §· biÕt ®­îc Hµn TrÝ Nh­îng ë <color=yellow>T©y BiÖn Kinh (189.174)<color>, b»ng h÷u cßn kh«ng mau ®Õn ®ã?
77	15	1401	75	<color=green>Nh.vô Thiªn M«n trËn<color>: Cã ph¶i b»ng h÷u ch­a t×m ®­îc Tiªu YÕn YÕn vµ Hµn §øc Nh­îng kh«ng, <color=yellow>Nhiªu L©n (196.189)<color> ë §¹i Th¶o Nguyªn 2 rÊt râ sù viÖc, h·y mau ®i hái.
78	15	1401	80	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®Õn <color=yellow>V­¬ng Kú bé l¹c<color> dß th¸m tin tøc? Sao cßn ë ®©y.
79	15	1401	85	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®Õn §¹i Th¶o Nguyªn gÆp <color=yellow>Nhiªu L©n (196.189)<color> nghÜ c¸ch vµo V­¬ng Kú bé l¹c sao?
80	15	1401	90	<color=green>Nh.vô Thiªn M«n trËn<color>: Nhiªu L©n ch¼ng ph¶i nhê b»ng h÷u t×m <color=yellow>10 Môc L«i V¨n §ao, 10 GÊm vµng (HuyÒn Vâ §ao trong Kim Quang ®éng); 5 ChØ Nam Ng­ (L­u KhÊu ë Long Hæ ®éng)<color> ®Õn V­¬ng Kú giao cho <color=yellow>Phß M· Môc NghÜa (193.185)<color> ®ã sao??
81	15	1401	95	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u ®· giao vËt liÖu cho <color=yellow>Phß M· Môc NghÜa (193.185)<color>, nh©n tiÖn hái th¨m tin tøc vÒ Tiªu YÕn YÕn vµ Hµn §øc Nh­îng.
82	15	1401	100	<color=green>Nh.vô Thiªn M«n trËn<color>: Kh«ng thÓ ®Ó uæng phÝ c¬ héi nµy, h·y mau ®Õn V­¬ng Kú bé l¹c t×m <color=yellow>Phß M· Môc NghÜa (193.185)<color> hái th¨m tin tøc Tiªu YÕn YÕn vµ Hµn §øc Nh­îng.
83	15	1401	105	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®Õn Nh¹n M«n Quan b¸o cho <color=yellow>D­¬ng NghiÖp l·o t­íng qu©n (167.179)<color> tin tøc phß m· Môc NghÜa kÐo 10 v¹n qu©n Liªu nam h¹ sao?
84	15	1401	110	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i gióp D­¬ng NghiÖp chuyÓn lêi víi <color=yellow>Phß M· Môc NghÜa (193.185)<color> b¶o cã c¬ héi h·y vÒ th¨m mÑ.
85	15	1401	115	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®· høa gióp <color=yellow>Phß M· Môc NghÜa (193.185)<color> t×m <color=yellow>Liªu Th«ng lÖnh (®¸nh S¸t thñ ngo¹i téc) vµ Tèng qu©n qu©n phôc (Tèng qu©n tö sÜ Nh¹n M«n Quan)<color> ®Ó ®­a phß m· vÒ b¶n quèc ®ã sao?
86	15	1401	120	<color=green>Nh.vô Thiªn M«n trËn<color>: B»ng h÷u kh«ng ph¶i ®Õn V­¬ng Kú bé l¹c t×m <color=yellow>Tiªu Thiªn H÷u (194.179)<color> ®Ó n¾m râ tin tøc hay sao?
87	10	1	25	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u kh«ng ph¶i ®· høa víi D· TÈu ®­a th­ cho <color=yellow>KhÊu ChuÈn (177.174)<color> ë BiÖn Kinh, <color=yellow>V­¬ng NghiÖp VÜ (196. 185)<color> ë TuyÒn Ch©u, vµ <color=yellow>Ph¹m Träng Yªm (195.182)<color> ë Nam Thµnh §« ®ã sao?
88	10	110	1	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i ®Õn Thiªn Ba D­¬ng Phñ gÆp <color=yellow>Xa Th¸i Qu©n (191.196)<color>, t×m hiÓu t¹i sao gÇn ®©y BiÖn Kinh kh«ng yªn b×nh ®ã sao?
89	10	110	2	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>Xa Th¸i Qu©n (191.196)<color> trõng trÞ 20 tªn L­u manh ë ngoµi thµnh, vµ mang 10 b×nh Thiªu töu ñy l¹o qu©n sÜ ®ã sao?
90	10	110	3	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u ®· gióp <color=yellow>Xa Th¸i Qu©n (191.196)<color> trõng trÞ xong L­u manh ngoµi thµnh, cßn 10 b×nh Thiªu Töu n÷a? NÕu ®ñ råi, h·y vÒ gÆp Th¸i qu©n.
91	10	110	4	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>Xa Th¸i Qu©n (191.196)<color> th¸m thÝnh tin tøc sao? H·y ®i gi¸o huÊn <color=yellow>10 tªn C«n ®å<color>.
92	10	110	5	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u ®· gióp <color=yellow>Xa Th¸i Qu©n (191.196)<color> th¸m thÝnh tin tøc cña C«n ®å ngoµi thµnh, h·y mau vÒ gÆp th¸i qu©n.
93	10	110	6	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>Xa Th¸i Qu©n (191.196)<color> gÆng hái C«n ®å ngoµi thµnh råi ®ã sao? H·y mang vÒ <color=yellow>5 lêi khai cña C«n ®å<color>.
94	10	110	7	<color=green>Nh.vô KhÊu ChuÈn<color>:B»ng h÷u kh«ng ph¶i ®Õn H¹nh Hoa Th«n t×m gÆp danh y BiÖn Kinh B¸ch Th¶o ¤ng sao? NÕu kh«ng thÊy, h·y t×m con g¸i cña tiªn sinh lµ <color=yellow>B¸ch Thóy B×nh (175.189)<color> hái th¨m.
95	10	110	8	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>B¸ch Thóy B×nh (175.189)<color> t×m <color=yellow>5 tæ ong (Ong vµng H¹nh Hoa Th«n), 5 C¸t c¸nh (tõ thá rõng ngoµi thµnh hoÆc kü n¨ng sèng h¸i thuèc)<color> ®ã sao?
96	10	110	9	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>B¸ch Thóy B×nh (175.189)<color> t×m <color=yellow>10 No·n trïng (tõ ThiÕt gi¸p trïng ë H¹nh Hoa th«n)<color> ®ã sao?
97	10	110	10	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u kh«ng ph¶i gióp <color=yellow>B¸ch Thóy B×nh<color> dïng MÞch T«ng Cæ t×m tung tÝch B¸ch Th¶o ¤ng ®ã sao? <color=yellow>(®Õn H¹nh Hoa Th«n, nhÊn chuét ph¶i vµo MÞch T«ng Cæ sÏ xuÊt hiÖn täa ®é B¸ch Th¶o ¤ng)<color>
98	10	110	11	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u ®· biÕt n¬i giam gi÷, h·y mau ®i ®¸nh b¹i Tiªu Hµn (183.170), cøu B¸ch Th¶o ¤ng!
99	10	110	12	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u ®· gi¶i tho¸t xong, h·y xem B¸ch Th¶o ¤ng nãi chuyÖn g×
100	10	110	13	<color=green>Nh.vô KhÊu ChuÈn<color>: VÒ gÆp <color=yellow>KhÊu ChuÈn (177.174)<color> xem xem mËt th­ cña Tiªu Hµn nãi g×
101	10	111	101	<color=green>Nh.vô KhÊu ChuÈn<color>: §i hái th¨m <color=yellow>TriÖu Diªn Niªn (161.179)<color> chuyÖn cña Tr­êng Ca M«n, nh©n tiÖn nãi vÒ mËt th­ cña Thiªn ¢m Gi¸o.
102	10	110	102	<color=green>Nh.vô KhÊu ChuÈn<color>: B»ng h÷u cßn kh«ng mau b¸o tin cho ng­êi cña Tr­êng Ca M«n biÕt viÖc liªn quan ®Õn Thiªn ¢m Gi¸o, <color=yellow>H¹ HÇu CÇm (223.196) ë D­¬ng Ch©u<color>, <color=yellow>C«ng T«n Th­ ë T­¬ng D­¬ng (191.182)<color>, <color=yellow>Gia C¸t Kú ë Nam Thµnh §« (197.197)<color>.
