TaskID	NpcID	EventID	Attrib	TaskValueBase	TaskValueExt	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfoA	TaskInfoB	TaskInfoC	TaskInfoD
50010011	LÔ quan	1011	11	0	0	250	250	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	LÔ quan	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>LÔ Quan<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010012	D· TÈu	1012	11	0	0	250	250	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	D· TÈu	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>D· TÈu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010013	Chñ TiÖm vò khÝ	1013	11	0	0	250	250	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm vò khÝ	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Thî rÌn<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010014	Chñ D­îc ®iÕm	1014	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ D­îc ®iÕm	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ D­îc ®iÕm<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010015	Chñ T¹p hãa	1015	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ T¹p hãa	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ tiÖm t¹p hãa<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010016	Chñ TiÖm Nam phôc	1016	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm Nam phôc	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ TiÖm Nam phôc<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010017	Chñ TiÖm N÷ phôc	1017	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm N÷ phôc	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ TiÖm N÷ phôc<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010018	Chñ töu lÇu	1018	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ töu lÇu	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ Töu lÇu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010019	TiÓu nhÞ	1019	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	TiÓu nhÞ	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>TiÓu nhÞ<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010020	Nh©n sÜ giang hå	1020	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Nh©n sÜ giang hå	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Nh©n sÜ giang hå<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010021	Tµo §¹i Lùc	1021	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Tµo §¹i Lùc	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Tµo §¹i Lùc<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010022	Vâ s­	1022	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Vâ s­	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Vâ s­<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010023	Chñ tiÒn trang	1023	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ tiÒn trang	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ TiÒn trang<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010024	Chñ Kim hoµn	1024	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ Kim hoµn	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ Kim hoµn<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010025	Sø gi¶ m«n ph¸i	1025	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Sø gi¶ m«n ph¸i	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Sø gi¶ m«n ph¸i<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010026	Hµng xãm Hµn TrÝ Nh­îng	1026	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Hµng xãm Hµn TrÝ Nh­îng	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Hµng xãm Hµn TrÝ Nh­îng<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010027	Tiªu s­	1027	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Tiªu s­	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Tiªu s­<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010028	Vò N­¬ng	1028	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Vò N­¬ng	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Vò N­¬ng<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010029	ThÇy bãi	1029	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	ThÇy bãi	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>ThÇy bãi<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010030	Quan viªn tho¸i nhiÖm	1030	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Quan viªn tho¸i nhiÖm	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Quan viªn tho¸i nhiÖm<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010032	Hµnh C­íc Th­¬ng Nh©n	1032	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Hµnh C­íc Th­¬ng Nh©n	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Hµnh C­íc Th­¬ng nh©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010033	B¸ch HiÓu Sinh	1033	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	B¸ch HiÓu Sinh	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>B¸ch HiÓu Sinh<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010034	Ngù Trï	1034	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Ngù Trï	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Ngù Trï<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010035	Chñ Kim hoµn	1035	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ Kim hoµn	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ Kim hoµn<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010036	V©n Du §¹o Nh©n	1036	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	V©n Du §¹o Nh©n	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>V©n Du §¹o Nh©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010037	Xa Th¸i Qu©n	1037	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	45	45	45	35	35	35	35	Xa Th¸i Qu©n	H·y ®Õn <color=yellow>Thiªn Ba D­¬ng Phñ<color> gÆp <color=yellow>Xa Th¸i Qu©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010038	B¸n ngùa	1038	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	B¸n ngùa	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Chñ b¸n ngùa<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010039	KhÊu ChuÈn	1039	11	0	0	0	0	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	KhÊu ChuÈn	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>KhÊu ChuÈn<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010040	Thñ khè	1040	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Thñ khè	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Thñ khè<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010041	Xa phu	1041	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Xa phu	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Xa Phu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010042	D· TÈu	1042	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	D· TÈu	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>D· TÈu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010043	A ThÞnh	1043	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	A ThÞnh	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>A ThÞnh<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010044	Sø gi¶ m«n ph¸i	1044	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Sø gi¶ m«n ph¸i	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Sø gi¶ m«n ph¸i<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010045	N¹n d©n_Gi¸p	1045	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	N¹n d©n_Gi¸p	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n Gi¸p<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010046	N¹n d©n Êt	1046	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	N¹n d©n Êt	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n Êt<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010047	N¹n d©n_BÝnh	1047	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	N¹n d©n_BÝnh	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n BÝnh<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010048	N¹n d©n_§inh	1048	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	N¹n d©n_§inh	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n §inh<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010049	Chñ TiÖm Nam phôc	1049	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm Nam phôc	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Chñ TiÖm Nam phôc<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010050	Chñ TiÖm N÷ phôc	1050	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm N÷ phôc	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Chñ TiÖm N÷ phôc<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010051	VÖ binh thµnh m«n	1051	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	VÖ binh thµnh m«n	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>VÖ Binh<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010052	Th¸i thó	1052	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Th¸i thó	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Th¸i Thó<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010053	Bé ®Çu	1053	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Bé ®Çu	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Bé §Çu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010054	Vâ s­	1054	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Vâ s­	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Vâ s­<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010055	Chñ D­îc ®iÕm	1055	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ D­îc ®iÕm	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Chñ D­îc ®iÕm<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010056	Du Ph­¬ng ®¹i phu	1056	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Du Ph­¬ng ®¹i phu	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Du Ph­¬ng ®¹i phu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010057	CÈm n­¬ng	1057	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	CÈm n­¬ng	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>CÈm N­¬ng<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010058	M¹c NhÞ	1058	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	M¹c NhÞ	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>M¹c NhÞ<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010059	Chñ TiÖm vò khÝ	1059	11	0	0	250	250	165	165	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chñ TiÖm vò khÝ	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Thî rÌn<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010060	Chu ThiÖn Nh©n	1060	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Chu ThiÖn Nh©n	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Chu ThiÖn Nh©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010062	N¹n d©n	1062	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	N¹n d©n	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>N¹n d©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010063	Quan viªn tho¸i nhiÖm	1063	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Quan viªn tho¸i nhiÖm	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Quan viªn tho¸i nhiÖm<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010064	ThÇy bãi	1064	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	ThÇy bãi	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>ThÇy bãi<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010065	Vò N­¬ng	1065	11	0	0	0	0	0	0	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Vò N­¬ng	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Vò N­¬ng<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010066	Chñ T¹p hãa	1066	11	0	0	250	250	165	165	120	120	95	95	80	80	60	60	45	45	45	45	35	35	35	35	Chñ T¹p hãa	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Chñ tiÖm t¹p hãa<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010067	Tiªu s­	1067	11	0	0	0	0	0	0	120	120	95	95	80	80	60	60	45	45	45	45	35	35	35	35	Tiªu s­	H·y ®Õn <color=yellow>Thµnh §«<color> gÆp <color=yellow>Tiªu s­<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
