Name	ID	FX	FY	FZ	五行-金	五行-木	五行-水	五行-火	五行-土	强化5级	强化6级	强化7级
棍1c	42	1.2	2.5	2.5	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍2a	43	1.2	2.5	2.5	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍2b	44	1.2	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍3a	45	1.4	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍3b	46	1.4	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍4a	47	1.3	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍4b	48	1.3	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍5a	49	1.4	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍5b	50	1.4	3	3	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍6a	51	1.4	3	3	image\effect\sfx\其他\棍b_金.3e	image\effect\sfx\其他\棍b_木.3e	image\effect\sfx\其他\棍b_水.3e	image\effect\sfx\其他\棍b_火.3e	image\effect\sfx\其他\棍b_土.3e	image\effect\sfx\其他\棍b_强化5.3e	image\effect\sfx\其他\棍b_强化6.3e	image\effect\sfx\其他\棍b_强化7.3e
棍6b	52	1.4	3	3	image\effect\sfx\其他\棍b_金.3e	image\effect\sfx\其他\棍b_木.3e	image\effect\sfx\其他\棍b_水.3e	image\effect\sfx\其他\棍b_火.3e	image\effect\sfx\其他\棍b_土.3e	image\effect\sfx\其他\棍b_强化5.3e	image\effect\sfx\其他\棍b_强化6.3e	image\effect\sfx\其他\棍b_强化7.3e
锡杖1b	54	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖2a	55	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖2b	56	1.1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖3a	57	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖3b	58	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖4a	59	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖4b	60	1.05	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖5a	61	1.15	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖5b	62	1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖6a	63	1.1	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
锡杖6b	64	1.2	1	1	image\effect\sfx\其他\杖a_金.3e	image\effect\sfx\其他\杖a_木.3e	image\effect\sfx\其他\杖a_水.3e	image\effect\sfx\其他\杖a_火.3e	image\effect\sfx\其他\杖a_土.3e	image\effect\sfx\其他\杖a_强化5.3e	image\effect\sfx\其他\杖a_强化6.3e	image\effect\sfx\其他\杖a_强化7.3e
笔1b	29	1.2	2	2	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔2a	30	1.45	2	2	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔2b	31	1.45	2	2	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔3a	32	1.6	1.6	1.6	image\effect\sfx\其他\笔a_金.3e	image\effect\sfx\其他\笔a_木.3e	image\effect\sfx\其他\笔a_水.3e	image\effect\sfx\其他\笔a_火.3e	image\effect\sfx\其他\笔a_土.3e	image\effect\sfx\其他\笔a_强化5.3e	image\effect\sfx\其他\笔a_强化6.3e	image\effect\sfx\其他\笔a_强化7.3e
笔3b	33	1.6	1.6	1.6	image\effect\sfx\其他\笔a_金.3e	image\effect\sfx\其他\笔a_木.3e	image\effect\sfx\其他\笔a_水.3e	image\effect\sfx\其他\笔a_火.3e	image\effect\sfx\其他\笔a_土.3e	image\effect\sfx\其他\笔a_强化5.3e	image\effect\sfx\其他\笔a_强化6.3e	image\effect\sfx\其他\笔a_强化7.3e
笔4a	34	1.2	1.5	1.5	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔4b	35	1.25	1.5	1.5	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔5a	36	1.55	1.6	1.6	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔5b	37	1.5	2	2	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔6a	38	1.25	1.6	2	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
笔6b	39	0.9	1.5	1.5	image\effect\sfx\其他\笔b_金.3e	image\effect\sfx\其他\笔b_木.3e	image\effect\sfx\其他\笔b_水.3e	image\effect\sfx\其他\笔b_火.3e	image\effect\sfx\其他\笔b_土.3e	image\effect\sfx\其他\笔b_强化5.3e	image\effect\sfx\其他\笔b_强化6.3e	image\effect\sfx\其他\笔b_强化7.3e
琴1b	66	0.6	0.1	0.25	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴2a	67	0.65	0.1	0.25	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴2b	68	0.65	0.1	0.3	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴3a	69	0.4	0.1	0.35	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴3b	70	0.4	0.3	0.3	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴4a	71	0.65	0.1	0.35	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴4b	72	0.65	0.3	0.35	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴5a	73	0.7	0.2	0.25	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴5b	74	0.65	0.2	0.4	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴6a	75	0.6	0.35	0.35	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
琴6b	76	0.65	0.4	0.45	image\effect\sfx\其他\琴a_金.3e	image\effect\sfx\其他\琴a_木.3e	image\effect\sfx\其他\琴a_水.3e	image\effect\sfx\其他\琴a_火.3e	image\effect\sfx\其他\琴a_土.3e	image\effect\sfx\其他\琴a_强化5.3e	image\effect\sfx\其他\琴a_强化6.3e	image\effect\sfx\其他\琴a_强化7.3e
