NeedAttr1	NeedPos1	Attr1Level	Attr1Count	NeedAttr2	NeedPos2	Attr2Level	Attr2Count	NeedAttr3	NeedPos3	Attr3Level	Attr3Count	NeedAttr4	NeedPos4	Attr4Level	Attr4Count	NeedAttr5	NeedPos5	Attr5Level	Attr5Count	NeedAttr6	NeedPos6	Attr6Level	Attr6Count	NeedAttr7	NeedPos7	Attr7Level	Attr7Count	NeedAttr8	NeedPos8	Attr8Level	Attr8Count	NeedAttr9	NeedPos9	Attr9Level	Attr9Count	NeedAttr10	NeedPos10	Attr10Level	Attr10Count	Genre	Detail	Particular	CreateAttr	CreatePos	CreateAttrLevel	pinzhi
370	2	4	5	335	2	6	1	77	2	6	1	337	2	6	1	362	2	6	1																								370	2	5	
370	2	5	5	335	2	7	1	77	2	7	1	337	2	7	1	362	2	7	1																								370	2	6	
371	0	4	5	345	0	6	1	100	0	6	1	46	0	6	1	365	0	6	1																								371	0	5	
371	0	5	5	345	0	7	1	100	0	7	1	46	0	7	1	365	0	7	1																								371	0	6	
-1	-1	1	2																																								-1	-1	1	
-1	-1	2	2																																								-1	-1	2	
-1	-1	3	2																																								-1	-1	3	
-1	-1	4	2																																								-1	-1	4	
-1	-1	5	2																																								-1	-1	5	
-1	-1	6	2																																								-1	-1	6	
-1	-1	7	2																																								-1	-1	7	
-1	-1	3	2																																					2	21	2012	368	2	3	3
368	2	3	3																																					2	21	2013	368	2	4	3
368	2	4	4																																					2	21	2014	368	2	5	3
368	2	5	5																																					2	21	2015	368	2	6	3
368	2	6	5																																					2	21	2016	368	2	7	3
-1	-1	3	2																																					2	21	2017	369	2	3	3
369	2	3	3																																					2	21	2018	369	2	4	3
369	2	4	4																																					2	21	2019	369	2	5	3
369	2	5	5																																					2	21	2020	369	2	6	3
369	2	6	5																																					2	21	2021	369	2	7	3
-1	-1	5	2																																					2	21	2022	366	0	5	3
366	0	5	5																																					2	21	2023	366	0	6	3
366	0	6	5																																					2	21	2024	366	0	7	3
-1	-1	5	2																																					2	21	2025	366	1	5	3
366	1	5	5																																					2	21	2026	366	1	6	3
366	1	6	5																																					2	21	2027	366	1	7	3
-1	-1	5	2																																					2	21	2028	366	3	5	3
366	3	5	5																																					2	21	2029	366	3	6	3
366	3	6	5																																					2	21	2030	366	3	7	3
-1	-1	5	2																																					2	21	2031	366	2	5	3
366	2	5	5																																					2	21	2032	366	2	6	3
366	2	6	5																																					2	21	2033	366	2	7	3
-1	-1	4	2																																					2	21	2034	373	3	4	3
373	3	4	4																																					2	21	2035	373	3	5	3
373	3	5	5																																					2	21	2036	373	3	6	3
373	3	6	5																																					2	21	2037	373	3	7	3
-1	-1	4	2																																					2	21	2038	374	3	4	3
374	3	4	4																																					2	21	2039	374	3	5	3
374	3	5	5																																					2	21	2040	374	3	6	3
374	3	6	5																																					2	21	2041	374	3	7	3
-1	-1	4	2																																					2	21	2042	375	3	4	3
375	3	4	5																																					2	21	2043	375	3	5	3
375	3	5	5																																					2	21	2044	375	3	6	3
375	3	6	5																																					2	21	2045	375	3	7	3
-1	-1	4	2																																					2	21	2046	376	3	4	3
376	3	4	4																																					2	21	2047	376	3	5	3
376	3	5	5																																					2	21	2048	376	3	6	3
376	3	6	5																																					2	21	2049	376	3	7	3
-1	-1	4	2																																					2	21	2050	377	0	4	3
377	0	4	4																																					2	21	2051	377	0	5	3
377	0	5	5																																					2	21	2052	377	0	6	3
377	0	6	5																																					2	21	2053	377	0	7	3
-1	-1	4	2																																					2	21	2054	378	0	4	3
378	0	4	4																																					2	21	2055	378	0	5	3
378	0	5	5																																					2	21	2056	378	0	6	3
378	0	6	5																																					2	21	2057	378	0	7	3
-1	-1	4	2																																					2	21	2058	379	0	4	3
379	0	4	3																																					2	21	2059	379	0	5	3
379	0	5	5																																					2	21	2060	379	0	6	3
379	0	6	5																																					2	21	2061	379	0	7	3
-1	-1	4	2																																					2	21	2062	380	1	4	3
380	1	4	4																																					2	21	2063	380	1	5	3
380	1	5	5																																					2	21	2064	380	1	6	3
380	1	6	5																																					2	21	2065	380	1	7	3
-1	-1	4	2																																					2	21	2066	381	1	4	3
381	1	4	4																																					2	21	2067	381	1	5	3
381	1	5	5																																					2	21	2068	381	1	6	3
381	1	6	5																																					2	21	2069	381	1	7	3
-1	-1	1	2																																					2	21	2070	18	1	1	3
18	1	1	2																																					2	21	2071	18	1	2	3
18	1	2	2																																					2	21	2072	18	1	3	3
18	1	3	3																																					2	21	2073	18	1	4	3
18	1	4	4																																					2	21	2074	18	1	5	3
18	1	5	5																																					2	21	2075	18	1	6	3
18	1	6	5																																					2	21	2076	18	1	7	3
-1	-1	1	2																																					2	21	2077	19	1	1	3
19	1	1	2																																					2	21	2078	19	1	2	3
19	1	2	2																																					2	21	2079	19	1	3	3
19	1	3	3																																					2	21	2080	19	1	4	3
19	1	4	4																																					2	21	2081	19	1	5	3
19	1	5	5																																					2	21	2082	19	1	6	3
19	1	6	5																																					2	21	2083	19	1	7	3
-1	-1	3	2																																					2	21	2084	372	2	3	3
372	2	3	3																																					2	21	2085	372	2	4	3
372	2	4	4																																					2	21	2086	372	2	5	3
372	2	5	5																																					2	21	2087	372	2	6	3
372	2	6	5																																					2	21	2088	372	2	7	3
-1	-1	3	2																																					2	21	2089	367	1	3	3
367	4	3	3																																					2	21	2090	367	1	4	3
367	4	4	4																																					2	21	2091	367	1	5	3
367	4	5	5																																					2	21	2092	367	1	6	3
367	4	6	5																																					2	21	2093	367	1	7	3
-1	-1	3	2																																					2	21	2094	367	2	3	3
367	4	3	3																																					2	21	2095	367	2	4	3
367	4	4	4																																					2	21	2096	367	2	5	3
367	4	5	5																																					2	21	2097	367	2	6	3
367	4	6	5																																					2	21	2098	367	2	7	3
-1	-1	3	2																																					2	21	2099	367	0	3	3
367	4	3	3																																					2	21	2100	367	0	4	3
367	4	4	4																																					2	21	2101	367	0	5	3
367	4	5	5																																					2	21	2102	367	0	6	3
367	4	6	5																																					2	21	2103	367	0	7	3
-1	-1	3	2																																					2	21	2104	367	3	3	3
367	4	3	3																																					2	21	2105	367	3	4	3
367	4	4	4																																					2	21	2106	367	3	5	3
367	4	5	5																																					2	21	2107	367	3	6	3
367	4	6	5																																					2	21	2108	367	3	7	3
-1	-1	4	2																																					2	21	2109	370	2	4	3
370	2	4	4																																					2	21	2110	370	2	5	3
370	2	5	5																																					2	21	2111	370	2	6	3
370	2	6	5																																					2	21	2112	370	2	7	3
-1	-1	3	2																																					2	21	2113	371	0	3	3
371	0	3	3																																					2	21	2114	371	0	4	3
371	0	4	4																																					2	21	2115	371	0	5	3
371	0	5	5																																					2	21	2116	371	0	6	3
371	0	6	5																																					2	21	2117	371	0	7	3
-1	-1	5	2																																					2	21	2118	49	2	5	2
49	2	5	5																																					2	21	2119	49	2	6	2
49	2	6	5																																					2	21	2120	49	2	7	2
-1	-1	1	2																																					2	21	2121	363	2	1	2
363	2	1	2																																					2	21	2122	363	2	2	2
363	2	2	2																																					2	21	2123	363	2	3	2
363	2	3	3																																					2	21	2124	363	2	4	2
363	2	4	4																																					2	21	2125	363	2	5	2
363	2	5	5																																					2	21	2126	363	2	6	2
363	2	6	5																																					2	21	2127	363	2	7	2
-1	-1	5	2																																					2	21	2128	362	2	5	2
362	2	5	5																																					2	21	2129	362	2	6	2
362	2	6	5																																					2	21	2130	362	2	7	2
-1	-1	1	2																																					2	21	2131	79	2	1	2
79	4	1	2																																					2	21	2132	79	2	2	2
79	4	2	2																																					2	21	2133	79	2	3	2
79	4	3	3																																					2	21	2134	79	2	4	2
79	4	4	4																																					2	21	2135	79	2	5	2
79	4	5	5																																					2	21	2136	79	2	6	2
79	4	6	5																																					2	21	2137	79	2	7	2
-1	-1	1	2																																					2	21	2138	79	1	1	2
79	4	1	2																																					2	21	2139	79	1	2	2
79	4	2	2																																					2	21	2140	79	1	3	2
79	4	3	3																																					2	21	2141	79	1	4	2
79	4	4	4																																					2	21	2142	79	1	5	2
79	4	5	5																																					2	21	2143	79	1	6	2
79	4	6	5																																					2	21	2144	79	1	7	2
-1	-1	1	2																																					2	21	2145	79	0	1	2
79	4	1	2																																					2	21	2146	79	0	2	2
79	4	2	2																																					2	21	2147	79	0	3	2
79	4	3	3																																					2	21	2148	79	0	4	2
79	4	4	4																																					2	21	2149	79	0	5	2
79	4	5	5																																					2	21	2150	79	0	6	2
79	4	6	5																																					2	21	2151	79	0	7	2
-1	-1	1	2																																					2	21	2152	79	3	1	2
79	4	1	2																																					2	21	2153	79	3	2	2
79	4	2	2																																					2	21	2154	79	3	3	2
79	4	3	3																																					2	21	2155	79	3	4	2
79	4	4	4																																					2	21	2156	79	3	5	2
79	4	5	5																																					2	21	2157	79	3	6	2
79	4	6	5																																					2	21	2158	79	3	7	2
-1	-1	1	2																																					2	21	2159	80	2	1	2
80	4	1	2																																					2	21	2160	80	2	2	2
80	4	2	2																																					2	21	2161	80	2	3	2
80	4	3	3																																					2	21	2162	80	2	4	2
80	4	4	4																																					2	21	2163	80	2	5	2
80	4	5	5																																					2	21	2164	80	2	6	2
80	4	6	5																																					2	21	2165	80	2	7	2
-1	-1	1	2																																					2	21	2166	80	1	1	2
80	4	1	2																																					2	21	2167	80	1	2	2
80	4	2	2																																					2	21	2168	80	1	3	2
80	4	3	3																																					2	21	2169	80	1	4	2
80	4	4	4																																					2	21	2170	80	1	5	2
80	4	5	5																																					2	21	2171	80	1	6	2
80	4	6	5																																					2	21	2172	80	1	7	2
-1	-1	1	2																																					2	21	2173	80	0	1	2
80	4	1	2																																					2	21	2174	80	0	2	2
80	4	2	2																																					2	21	2175	80	0	3	2
80	4	3	3																																					2	21	2176	80	0	4	2
80	4	4	4																																					2	21	2177	80	0	5	2
80	4	5	5																																					2	21	2178	80	0	6	2
80	4	6	5																																					2	21	2179	80	0	7	2
-1	-1	1	2																																					2	21	2180	80	3	1	2
80	4	1	2																																					2	21	2181	80	3	2	2
80	4	2	2																																					2	21	2182	80	3	3	2
80	4	3	3																																					2	21	2183	80	3	4	2
80	4	4	4																																					2	21	2184	80	3	5	2
80	4	5	5																																					2	21	2185	80	3	6	2
80	4	6	5																																					2	21	2186	80	3	7	2
-1	-1	3	2																																					2	21	2187	364	1	3	2
364	1	3	3																																					2	21	2188	364	1	4	2
364	1	4	4																																					2	21	2189	364	1	5	2
364	1	5	5																																					2	21	2190	364	1	6	2
364	1	6	5																																					2	21	2191	364	1	7	2
-1	-1	1	2																																					2	21	2192	41	0	1	2
41	4	1	2																																					2	21	2193	41	0	2	2
41	4	2	2																																					2	21	2194	41	0	3	2
41	4	3	3																																					2	21	2195	41	0	4	2
41	4	4	4																																					2	21	2196	41	0	5	2
41	4	5	5																																					2	21	2197	41	0	6	2
41	4	6	5																																					2	21	2198	41	0	7	2
-1	-1	1	2																																					2	21	2199	41	1	1	2
41	4	1	2																																					2	21	2200	41	1	2	2
41	4	2	2																																					2	21	2201	41	1	3	2
41	4	3	3																																					2	21	2202	41	1	4	2
41	4	4	4																																					2	21	2203	41	1	5	2
41	4	5	5																																					2	21	2204	41	1	6	2
41	4	6	5																																					2	21	2205	41	1	7	2
-1	-1	1	2																																					2	21	2206	41	3	1	2
41	4	1	2																																					2	21	2207	41	3	2	2
41	4	2	2																																					2	21	2208	41	3	3	2
41	4	3	3																																					2	21	2209	41	3	4	2
41	4	4	4																																					2	21	2210	41	3	5	2
41	4	5	5																																					2	21	2211	41	3	6	2
41	4	6	5																																					2	21	2212	41	3	7	2
-1	-1	1	2																																					2	21	2213	42	0	1	2
42	4	1	2																																					2	21	2214	42	0	2	2
42	4	2	2																																					2	21	2215	42	0	3	2
42	4	3	3																																					2	21	2216	42	0	4	2
42	4	4	4																																					2	21	2217	42	0	5	2
42	4	5	5																																					2	21	2218	42	0	6	2
42	4	6	5																																					2	21	2219	42	0	7	2
-1	-1	1	2																																					2	21	2220	42	1	1	2
42	4	1	2																																					2	21	2221	42	1	2	2
42	4	2	2																																					2	21	2222	42	1	3	2
42	4	3	3																																					2	21	2223	42	1	4	2
42	4	4	4																																					2	21	2224	42	1	5	2
42	4	5	5																																					2	21	2225	42	1	6	2
42	4	6	5																																					2	21	2226	42	1	7	2
-1	-1	1	2																																					2	21	2227	42	3	1	2
42	4	1	2																																					2	21	2228	42	3	2	2
42	4	2	2																																					2	21	2229	42	3	3	2
42	4	3	3																																					2	21	2230	42	3	4	2
42	4	4	4																																					2	21	2231	42	3	5	2
42	4	5	5																																					2	21	2232	42	3	6	2
42	4	6	5																																					2	21	2233	42	3	7	2
-1	-1	1	2																																					2	21	2234	382	2	1	2
382	2	1	2																																					2	21	2235	382	2	2	2
382	2	2	2																																					2	21	2236	382	2	3	2
382	2	3	3																																					2	21	2237	382	2	4	2
382	2	4	4																																					2	21	2238	382	2	5	2
382	2	5	5																																					2	21	2239	382	2	6	2
382	2	6	5																																					2	21	2240	382	2	7	2
-1	-1	1	2																																					2	21	2241	383	2	1	2
383	2	1	2																																					2	21	2242	383	2	2	2
383	2	2	2																																					2	21	2243	383	2	3	2
383	2	3	3																																					2	21	2244	383	2	4	2
383	2	4	4																																					2	21	2245	383	2	5	2
383	2	5	5																																					2	21	2246	383	2	6	2
383	2	6	5																																					2	21	2247	383	2	7	2
-1	-1	5	2																																					2	21	2248	365	1	5	2
365	4	5	5																																					2	21	2249	365	1	6	2
365	4	6	5																																					2	21	2250	365	1	7	2
-1	-1	5	2																																					2	21	2251	365	0	5	2
365	4	5	5																																					2	21	2252	365	0	6	2
365	4	6	5																																					2	21	2253	365	0	7	2
-1	-1	5	2																																					2	21	2254	365	3	5	2
365	4	5	5																																					2	21	2255	365	3	6	2
365	4	6	5																																					2	21	2256	365	3	7	2
-1	-1	1	2																																					2	21	2257	39	0	1	1
39	0	1	2																																					2	21	2258	39	0	2	1
39	0	2	2																																					2	21	2259	39	0	3	1
39	0	3	3																																					2	21	2260	39	0	4	1
39	0	4	4																																					2	21	2261	39	0	5	1
39	0	5	5																																					2	21	2262	39	0	6	1
39	0	6	5																																					2	21	2263	39	0	7	1
-1	-1	1	2																																					2	21	2264	77	2	1	1
77	2	1	2																																					2	21	2265	77	2	2	1
77	2	2	2																																					2	21	2266	77	2	3	1
77	2	3	3																																					2	21	2267	77	2	4	1
77	2	4	4																																					2	21	2268	77	2	5	1
77	2	5	5																																					2	21	2269	77	2	6	1
77	2	6	5																																					2	21	2270	77	2	7	1
-1	-1	1	2																																					2	21	2271	336	1	1	1
336	1	1	2																																					2	21	2272	336	1	2	1
336	1	2	2																																					2	21	2273	336	1	3	1
336	1	3	3																																					2	21	2274	336	1	4	1
336	1	4	4																																					2	21	2275	336	1	5	1
336	1	5	5																																					2	21	2276	336	1	6	1
336	1	6	5																																					2	21	2277	336	1	7	1
-1	-1	1	2																																					2	21	2278	337	2	1	1
337	2	1	2																																					2	21	2279	337	2	2	1
337	2	2	2																																					2	21	2280	337	2	3	1
337	2	3	3																																					2	21	2281	337	2	4	1
337	2	4	4																																					2	21	2282	337	2	5	1
337	2	5	5																																					2	21	2283	337	2	6	1
337	2	6	5																																					2	21	2284	337	2	7	1
-1	-1	1	2																																					2	21	2285	338	3	1	1
338	3	1	2																																					2	21	2286	338	3	2	1
338	3	2	2																																					2	21	2287	338	3	3	1
338	3	3	3																																					2	21	2288	338	3	4	1
338	3	4	4																																					2	21	2289	338	3	5	1
338	3	5	5																																					2	21	2290	338	3	6	1
338	3	6	5																																					2	21	2291	338	3	7	1
-1	-1	1	2																																					2	21	2292	339	1	1	1
339	1	1	2																																					2	21	2293	339	1	2	1
339	1	2	2																																					2	21	2294	339	1	3	1
339	1	3	3																																					2	21	2295	339	1	4	1
339	1	4	4																																					2	21	2296	339	1	5	1
339	1	5	5																																					2	21	2297	339	1	6	1
339	1	6	5																																					2	21	2298	339	1	7	1
-1	-1	5	2																																					2	21	2299	340	0	5	1
340	4	5	5																																					2	21	2300	340	0	6	1
340	4	6	5																																					2	21	2301	340	0	7	1
-1	-1	5	2																																					2	21	2302	340	1	5	1
340	4	5	5																																					2	21	2303	340	1	6	1
340	4	6	5																																					2	21	2304	340	1	7	1
-1	-1	5	2																																					2	21	2305	340	3	5	1
340	4	5	5																																					2	21	2306	340	3	6	1
340	4	6	5																																					2	21	2307	340	3	7	1
-1	-1	5	2																																					2	21	2308	341	0	5	1
341	4	5	5																																					2	21	2309	341	0	6	1
341	4	6	5																																					2	21	2310	341	0	7	1
-1	-1	5	2																																					2	21	2311	341	1	5	1
341	4	5	5																																					2	21	2312	341	1	6	1
341	4	6	5																																					2	21	2313	341	1	7	1
-1	-1	5	2																																					2	21	2314	341	3	5	1
341	4	5	5																																					2	21	2315	341	3	6	1
341	4	6	5																																					2	21	2316	341	3	7	1
-1	-1	1	2																																					2	21	2317	342	2	1	1
342	2	1	2																																					2	21	2318	342	2	2	1
342	2	2	2																																					2	21	2319	342	2	3	1
342	2	3	3																																					2	21	2320	342	2	4	1
342	2	4	4																																					2	21	2321	342	2	5	1
342	2	5	5																																					2	21	2322	342	2	6	1
342	2	6	5																																					2	21	2323	342	2	7	1
-1	-1	1	2																																					2	21	2324	343	0	1	1
343	4	1	2																																					2	21	2325	343	0	2	1
343	4	2	2																																					2	21	2326	343	0	3	1
343	4	3	3																																					2	21	2327	343	0	4	1
343	4	4	4																																					2	21	2328	343	0	5	1
343	4	5	5																																					2	21	2329	343	0	6	1
343	4	6	5																																					2	21	2330	343	0	7	1
-1	-1	1	2																																					2	21	2331	343	1	1	1
343	4	1	2																																					2	21	2332	343	1	2	1
343	4	2	2																																					2	21	2333	343	1	3	1
343	4	3	3																																					2	21	2334	343	1	4	1
343	4	4	4																																					2	21	2335	343	1	5	1
343	4	5	5																																					2	21	2336	343	1	6	1
343	4	6	5																																					2	21	2337	343	1	7	1
-1	-1	1	2																																					2	21	2338	343	3	1	1
343	4	1	2																																					2	21	2339	343	3	2	1
343	4	2	2																																					2	21	2340	343	3	3	1
343	4	3	3																																					2	21	2341	343	3	4	1
343	4	4	4																																					2	21	2342	343	3	5	1
343	4	5	5																																					2	21	2343	343	3	6	1
343	4	6	5																																					2	21	2344	343	3	7	1
-1	-1	1	2																																					2	21	2345	344	0	1	1
344	4	1	2																																					2	21	2346	344	0	2	1
344	4	2	2																																					2	21	2347	344	0	3	1
344	4	3	3																																					2	21	2348	344	0	4	1
344	4	4	4																																					2	21	2349	344	0	5	1
344	4	5	5																																					2	21	2350	344	0	6	1
344	4	6	5																																					2	21	2351	344	0	7	1
-1	-1	1	2																																					2	21	2352	344	1	1	1
344	4	1	2																																					2	21	2353	344	1	2	1
344	4	2	2																																					2	21	2354	344	1	3	1
344	4	3	3																																					2	21	2355	344	1	4	1
344	4	4	4																																					2	21	2356	344	1	5	1
344	4	5	5																																					2	21	2357	344	1	6	1
344	4	6	5																																					2	21	2358	344	1	7	1
-1	-1	1	2																																					2	21	2359	344	3	1	1
344	4	1	2																																					2	21	2360	344	3	2	1
344	4	2	2																																					2	21	2361	344	3	3	1
344	4	3	3																																					2	21	2362	344	3	4	1
344	4	4	4																																					2	21	2363	344	3	5	1
344	4	5	5																																					2	21	2364	344	3	6	1
344	4	6	5																																					2	21	2365	344	3	7	1
-1	-1	1	2																																					2	21	2366	345	0	1	1
345	0	1	2																																					2	21	2367	345	0	2	1
345	0	2	2																																					2	21	2368	345	0	3	1
345	0	3	3																																					2	21	2369	345	0	4	1
345	0	4	4																																					2	21	2370	345	0	5	1
345	0	5	5																																					2	21	2371	345	0	6	1
345	0	6	5																																					2	21	2372	345	0	7	1
-1	-1	1	2																																					2	21	2373	346	2	1	1
346	2	1	2																																					2	21	2374	346	2	2	1
346	2	2	2																																					2	21	2375	346	2	3	1
346	2	3	3																																					2	21	2376	346	2	4	1
346	2	4	4																																					2	21	2377	346	2	5	1
346	2	5	5																																					2	21	2378	346	2	6	1
346	2	6	5																																					2	21	2379	346	2	7	1
-1	-1	4	2																																					2	21	2380	53	2	4	1
53	2	4	4																																					2	21	2381	53	2	5	1
53	2	5	5																																					2	21	2382	53	2	6	1
53	2	6	5																																					2	21	2383	53	2	7	1
-1	-1	4	2																																					2	21	2384	54	2	4	1
54	2	4	4																																					2	21	2385	54	2	5	1
54	2	5	5																																					2	21	2386	54	2	6	1
54	2	6	5																																					2	21	2387	54	2	7	1
-1	-1	1	2																																					2	21	2388	347	0	1	1
347	4	1	2																																					2	21	2389	347	0	2	1
347	4	2	2																																					2	21	2390	347	0	3	1
347	4	3	3																																					2	21	2391	347	0	4	1
347	4	4	4																																					2	21	2392	347	0	5	1
347	4	5	5																																					2	21	2393	347	0	6	1
347	4	6	5																																					2	21	2394	347	0	7	1
-1	-1	1	2																																					2	21	2395	347	1	1	1
347	4	1	2																																					2	21	2396	347	1	2	1
347	4	2	2																																					2	21	2397	347	1	3	1
347	4	3	3																																					2	21	2398	347	1	4	1
347	4	4	4																																					2	21	2399	347	1	5	1
347	4	5	5																																					2	21	2400	347	1	6	1
347	4	6	5																																					2	21	2401	347	1	7	1
-1	-1	1	2																																					2	21	2402	347	3	1	1
347	4	1	2																																					2	21	2403	347	3	2	1
347	4	2	2																																					2	21	2404	347	3	3	1
347	4	3	3																																					2	21	2405	347	3	4	1
347	4	4	4																																					2	21	2406	347	3	5	1
347	4	5	5																																					2	21	2407	347	3	6	1
347	4	6	5																																					2	21	2408	347	3	7	1
-1	-1	1	2																																					2	21	2409	348	2	1	1
348	2	1	2																																					2	21	2410	348	2	2	1
348	2	2	2																																					2	21	2411	348	2	3	1
348	2	3	3																																					2	21	2412	348	2	4	1
348	2	4	4																																					2	21	2413	348	2	5	1
348	2	5	5																																					2	21	2414	348	2	6	1
348	2	6	5																																					2	21	2415	348	2	7	1
-1	-1	1	2																																					2	21	2416	349	2	1	1
349	2	1	2																																					2	21	2417	349	2	2	1
349	2	2	2																																					2	21	2418	349	2	3	1
349	2	3	3																																					2	21	2419	349	2	4	1
349	2	4	4																																					2	21	2420	349	2	5	1
349	2	5	5																																					2	21	2421	349	2	6	1
349	2	6	5																																					2	21	2422	349	2	7	1
-1	-1	1	2																																					2	21	2423	350	2	1	1
350	2	1	2																																					2	21	2424	350	2	2	1
350	2	2	2																																					2	21	2425	350	2	3	1
350	2	3	3																																					2	21	2426	350	2	4	1
350	2	4	4																																					2	21	2427	350	2	5	1
350	2	5	5																																					2	21	2428	350	2	6	1
350	2	6	5																																					2	21	2429	350	2	7	1
-1	-1	1	2																																					2	21	2430	351	2	1	1
351	2	1	2																																					2	21	2431	351	2	2	1
351	2	2	2																																					2	21	2432	351	2	3	1
351	2	3	3																																					2	21	2433	351	2	4	1
351	2	4	4																																					2	21	2434	351	2	5	1
351	2	5	5																																					2	21	2435	351	2	6	1
351	2	6	5																																					2	21	2436	351	2	7	1
-1	-1	1	2																																					2	21	2437	352	2	1	1
352	2	1	2																																					2	21	2438	352	2	2	1
352	2	2	2																																					2	21	2439	352	2	3	1
352	2	3	3																																					2	21	2440	352	2	4	1
352	2	4	4																																					2	21	2441	352	2	5	1
352	2	5	5																																					2	21	2442	352	2	6	1
352	2	6	5																																					2	21	2443	352	2	7	1
-1	-1	1	2																																					2	21	2444	353	2	1	1
353	2	1	2																																					2	21	2445	353	2	2	1
353	2	2	2																																					2	21	2446	353	2	3	1
353	2	3	3																																					2	21	2447	353	2	4	1
353	2	4	4																																					2	21	2448	353	2	5	1
353	2	5	5																																					2	21	2449	353	2	6	1
353	2	6	5																																					2	21	2450	353	2	7	1
-1	-1	1	2																																					2	21	2451	354	2	1	1
354	2	1	2																																					2	21	2452	354	2	2	1
354	2	2	2																																					2	21	2453	354	2	3	1
354	2	3	3																																					2	21	2454	354	2	4	1
354	2	4	4																																					2	21	2455	354	2	5	1
