Sè hiÖu thuéc tÝnh: 	Lo¹i phô chØ xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i h×nh chi tiÕt chØ xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i phô kh«ng xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i h×nh chi tiÕt kh«ng xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Cã/Kh«ng ®¸nh qu¸i r¬i ra (1kü n¨ng sèng/2qu¸i vËt)	§èi nghÞch thuéc tÝnh (ch÷ sè kh¸c nhau míi cã thÓ cïng tån t¹i)
257			0;127			
258			0;127			
259	11					
260			0;127			
261			0;127			
262			0;127			
263			0;127			
264			0;127			
265			0;127			
266			0;127			
267			0;127			
268			0;127			
269			0;127			
270			0;127			
271			0;127			
272			0;127			
273			0;127			
274			0;127			
275			0;127			
276			0;127			
277			0;127			
278			0;127			
279			0;127			
280			0;127			
281			0;127			
282			0;127			
283			0;127			
284			0;127			
285			0;127			
286			0;127			
287			0;127			
288			0;127			
289			0;127			
290			0;127			
291			0;127			
292			0;127			
293			0;127			
294			0;127			
295			0;127			
296			0;127			
297			0;127			
298			0;127			
299			0;127			
300			0;127			
301			0;127			
302			0;127			
303			0;127			
304			0;127			
305			0;127			
306			0;127			
307			0;127			
308			0;127			
309			0;127			
310			0;127			
311			0;127			
312			0;127			
313			0;127			
314			0;127			
315			0;127			
316			0;127			
317			0;127			
318			0;127			
319			0;127			
320			0;127			
321			0;127			
322			0;127			
323			0;127			
324			0;127			
325			0;127			
326			0;127			
327			0;127			
328			0;127			
329			0;127			
330			0;127			
331			0;127			
332			0;127			
333			0;127			
334			0;127			
335			0;127			
336			0;127			
337			0;127			
338			0;127			
339			0;127			
340			0;127			
341			0;127			
342			0;127			
343			0;127			
344			0;127			
345			0;127			
346			0;127			
347			0;127			
348			0;127			
349			0;127			
350			0;127			
351			0;127			
352			0;127			
353			0;127			
354			0;127			
355			0;127			
356			0;127			
357			0;127			
358			0;127			
359			0;127			
360			0;127			
361			0;127			
362			0;127			
363			0;127			
364			0;127			
365			0;127			
366			0;127			
367			0;127			
368			0;127			
369			0;127			
370			0;127			
371			0;127			
372			0;127			
373			0;127			
374			0;127			
375			0;127			
376			0;127			
377			0;127			
378			0;127			
379			0;127			
380			0;127			
381			0;127			
382			0;127			
383			0;127			
384			0;127			
385			0;127			
386			0;127			
387			0;127			
388			0;127			
389			0;127			
390			0;127			
391			0;127			
392			0;127			
393			0;127			
394			0;127			
395			0;127			
