Tªn lo¹i ®éc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Yªu cÇu: ®éc hÖ	Yªu cÇu: huyÕt hÖ	Yªu cÇu: linh hÖ	Yªu cÇu: ma hÖ	Suy gi¶m hÖ §éc	Suy gi¶m hÖ HuyÕt	Suy gi¶m hÖ Linh	Suy gi¶m hÖ Ma	Suy gi¶m tuæi thä	Suy gi¶m ®ãi bông	Ph©n lo¹i	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	L­u ( Ch÷ sè)	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)
Thùc Yªu Cæ	2	17	15	0	1	999	70	40	40	40					60	50	1	\image\item\gu\Ê³Ñı¹Æ_a1.spr	\image\item\gu\Ê³Ñı¹Æ_a0.spr	Lµ lo¹i s©u ®éc cã thÓ ph¸ gi¶i yªu ph¸p tµ thuËt		Sinh ho¹t			0	0		
Yªu Hoµng Cæ	2	17	16	0	1	999	90	60	60	60					300	100	1	\image\item\gu\Ñı»Ê¹Æ_a1.spr	\image\item\gu\Ñı»Ê¹Æ_a0.spr	D©n gian truyÒn r»ng nã lµ loµi s©u tu luyÖn tr¨m n¨m, ®øng ®Çu trong c¸c lo¹i s©u ®éc		Sinh ho¹t			0	0		
T©m cæ	2	17	17	0	1	999	0	0	25	0					5	20	3	\image\item\gu\ĞÄ¹Æ_a1.spr	\image\item\gu\ĞÄ¹Æ_a0.spr	Th©n sau cã vßi dµi, th©n mµu ®á rùc, ®éc tİnh cã thÓ khiÕn vËt chñ ho¶ng lo¹n		Sinh ho¹t			0	0		
Thùc T©m Cæ	2	17	18	0	1	999	35	35	65	35					50	50	3	\image\item\gu\Ê´ĞÄ¹Æ_a1.spr	\image\item\gu\Ê´ĞÄ¹Æ_a0.spr	Bao lÊy t©m cang tõ tõ x©u xĞ ®Õn khi vËt chñ chÕt		Sinh ho¹t			0	0		
T©m S¸t cæ	2	17	19	0	1	999	60	60	90	60					300	100	3	\image\item\gu\ĞÄÉ·¹Æ_a1.spr	\image\item\gu\ĞÄÉ·¹Æ_a0.spr	CÊu xĞ t©m m¹ch cña vËt chñ, khñng khiÕp dŞ th­êng		Sinh ho¹t			0	0		
HuyÔn Cæ	2	17	20	0	1	999	0	50	0	0					20	20	2	\image\item\gu\»Ã¹Æ_a1.spr	\image\item\gu\»Ã¹Æ_a0.spr	Xinh x¾n nhÑ nhµng, cã thÓ t¹o ra líp s­¬ng mï máng manh		Sinh ho¹t			0	0		
B¨ng HuyÔn Cæ	2	17	21	0	1	999	40	70	40	40					75	50	2	\image\item\gu\±ù»Ã¹Æ_a1.spr	\image\item\gu\±ù»Ã¹Æ_a0.spr	Khi bay táa ra s­¬ng l¹nh khiÕn ng­êi sinh ¶o gi¸c		Sinh ho¹t			0	0		
Vong Tiªn cæ	2	17	22	0	1	999	65	90	65	65					400	100	2	\image\item\gu\ÍüÏÉ¹Æ_a1.spr	\image\item\gu\ÍüÏÉ¹Æ_a0.spr	T¹o ra ¶o ¶nh khiÕn ng­êi quªn hÕt u buån		Sinh ho¹t			0	0		
Tµm cæ	2	17	23	0	1	999	40	40	40	60					20	20	4	\image\item\gu\ĞQ¹Æ_a1.spr	\image\item\gu\ĞQ¹Æ_a0.spr	Lo¹i s©u mµu tr¾ng, cæ s­ chiªm bao sai chóng ®Ó h¹i ng­êi		Sinh ho¹t			0	0		
HuyÕt Tµm cæ	2	17	24	0	1	999	55	55	55	75					80	50	4	\image\item\gu\»ğĞQ¹Æ_a1.spr	\image\item\gu\»ğĞQ¹Æ_a0.spr	Kim gi¸p ph¸t s¸ng, cã mïi l¹ khiÕn ng­êi kh¸c sî h·i		Sinh ho¹t			0	0		
Kim Tµm cæ	2	17	25	0	1	999	85	85	85	90					500	100	4	\image\item\gu\½ğĞQ¹Æ_a1.spr	\image\item\gu\½ğĞQ¹Æ_a0.spr	§­îc phong lµ vua c¸c lo¹i s©u ®éc, ®éc tİnh rÊt cao		Sinh ho¹t			0	0		
Linh cæ	2	17	26	0	1	999	0	0	60	0					10	20	3	\image\item\gu\Áé¹Æ_a1.spr	\image\item\gu\Áé¹Æ_a0.spr	Lo¹i s©u mµu vµng rÊt cã İch víi con ng­êi		Sinh ho¹t			0	0		
Linh Lung cæ	2	17	27	0	1	999	50	50	75	50					50	50	3	\image\item\gu\Ááçç¹Æ_a1.spr	\image\item\gu\Ááçç¹Æ_a0.spr	Th©n h×nh nh­ con ong vµng, ph¸p lùc rÊt m¹nh vµ lu«n trung thµnh víi chñ nh©n		Sinh ho¹t			0	0		
ThÊt Th¸i TiÓu Tiªn Cæ	2	17	28	0	1	999	80	80	90	80					400	100	3	\image\item\gu\Æß²ÊĞ¡ÏÉ¹Æ_a1.spr	\image\item\gu\Æß²ÊĞ¡ÏÉ¹Æ_a0.spr	H×nh d¸ng ®Ñp m¾t, gÇn gòi víi chñ nh©n		Sinh ho¹t			0	0		
Ma cæ	2	17	29	0	1	999	70	70	70	70					100	20	4	\image\item\gu\Ä§¹Æ_a1.spr	\image\item\gu\Ä§¹Æ_a0.spr	§en nh­ mùc, ®éc tİnh v« b×, cæ s­ th«ng th­êng kh«ng thÓ khèng chÕ chóng		Sinh ho¹t			0	0		
U ¶nh cæ	2	17	30	0	1	999	80	80	80	80					500	50	4	\image\item\gu\ÓÄÓ°¹Æ_a1.spr	\image\item\gu\ÓÄÓ°¹Æ_a0.spr	Lo¹i s©u trong truyÒn thuyÕt, h×nh thï qu¸i dŞ, cho dï chØ nh×n mét lÇn còng bŞ ®o¹t mÊt t©m ph¸ch		Sinh ho¹t			0	0		
V« ¶nh Ma Cæ	2	17	31	0	1	999	95	95	95	95					2000	100	4	\image\item\gu\ÎŞÓ°Ä§¹Æ_a1.spr	\image\item\gu\ÎŞÓ°Ä§¹Æ_a0.spr	Lo¹i s©u ®éc nhÊt, kh«ng thÓ gi¶i ®éc		Sinh ho¹t			0	0		
