Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
D· Tr­ Quû Nha	2	0	14	2	0	1												\image\item\other\coll_003a1.spr	\image\item\other\coll_003a0.spr	Nanh thÇn bİ, xung quanh ph¸t ra ¸nh s¸ng xanh nh¹t.		NhiÖm vô		1	2	1		
B×nh nhá	2	0	15	2	0	1												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	B×nh nhá ®ùng n­íc suèi dïng ®Ó pha trµ.		NhiÖm vô	\script\task\world\ox_quest\the_black_blood\Step001_002_³É¶¼±±½¼Ğ¡Æ¿×Ó.lua	1	2	1		
M¸u ®en	2	0	16	2	0	1												\image\item\other\coll_029a1.spr	\image\item\other\coll_029a0.spr	B×nh nhá chøa m¸u ®en.		NhiÖm vô		1	2	1		
LÖnh bµi Bé §Çu	2	0	17	2	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	LÖnh bµi cña bé ®Çu ë Thµnh §«.		NhiÖm vô		1	2	1		
Th­ cña Thêi Thiªn 1	2	0	18	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ do Thêi Thiªn viÕt cho b»ng h÷u		NhiÖm vô		1	2	0		
MËt th­ TriÒu ®×nh	2	0	19	2	0	1												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	Ghi nhiÒu tin tøc bÊt lîi cho giang hå lôc l©m h¶o h¸n.		NhiÖm vô		1	2	0		
Thñ cÊp quan binh	2	0	20	2	0	1												\image\item\other\quest_011a1.spr	\image\item\other\quest_011a0.spr	Thñ cÊp quan binh		NhiÖm vô		1	2	0		
Kh«ng Kh«ng DiÖu Thñ	2	0	21	2	0	1												\image\item\other\coll_074a1.spr	\image\item\other\coll_074a0.spr	Bao tay diÖu thñ kh«ng kh«ng cña Thêi Thiªn.		NhiÖm vô		1	2	0		
Th­ cña Thêi Thiªn 2	2	0	22	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ do Thêi Thiªn viÕt cho b»ng h÷u		NhiÖm vô		1	2	0		
Th­ cña Thêi Thiªn 3	2	0	23	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ do Thêi Thiªn viÕt cho b»ng h÷u		NhiÖm vô		1	2	0		
Trung Th­ LÖnh	2	0	24	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	LÖnh bµi chøng minh chøc quan Trung Th­.		NhiÖm vô		1	2	0		
Cê lÖnh	2	0	25	2	0	1												\image\item\other\quest_010a1.spr	\image\item\other\quest_010a0.spr	Cê lín cña cÊm qu©n trong TriÒu ®×nh.		NhiÖm vô		1	2	0		
Lôa vµng	2	0	26	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	M¶nh lôa vµng cã thªu h×nh rång.		NhiÖm vô		1	2	0		
Tèng Hµ phï	2	0	27	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	Con d©n §¹i Tèng: Tèng Hµ		NhiÖm vô		1	2	0		
Lı Quû phï	2	0	28	2	0	1												\image\item\other\quest_009a1.spr	\image\item\other\quest_009a0.spr	Con d©n §¹i Tèng: Lı Quû		NhiÖm vô		1	2	0		
CÈm nang nhiÖm vô	2	0	29	2	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Xem qu¸ tr×nh thùc hiÖn nhiÖm vô cña m×nh. Cã thÓ nhËn hoÆc hñy bá nhiÖm vô.		NhiÖm vô	\script\item\task_pack.lua	1	0	0		
D­îc cña L·nh ®¹i phu	2	0	30	2	0	1												\image\item\usable\heal_002a1.spr	\image\item\usable\heal_002a0.spr	§¬n d­îc cña L·nh ®¹i phu bµo chÕ cho TiÓu Hæ n­¬ng.		NhiÖm vô		1	2	1		
Tµng KiÕm anh hïng thiÕp	2	0	31	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ cña Tµng KiÕm s¬n trang mêi quÇn hïng thiªn h¹.<enter><color=Gold>(§éi tr­ëng mang theo ®Ó dÉn ®éi ®Õn Tµng KiÕm s¬n trang)		NhiÖm vô		1	0	1		
Sæ S¸ch	2	0	32	2	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Sæ ghi chĞp viÖc mua b¸n cña V­¬ng NghiÖp VÜ.		NhiÖm vô		1	2	0		
C©y ng·i	2	0	33	2	0	999												\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	VŞ ®¾ng, cã t¸c dông thanh nhiÖt gi¶i ®éc.		NhiÖm vô		1	2	0		
RÔ s¾n	2	0	34	2	0	999												\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	VŞ ngät , thanh nhiÖt, cã t¸c dông gi¶i ®éc, trŞ bÖnh.		NhiÖm vô		1	2	0		
Béi lan	2	0	35	2	0	999												\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	M¸t gan, gi¶i ®éc.		NhiÖm vô		1	2	0		
Liªn KiÒu	2	0	36	2	0	999												\image\item\usable\medi_010a1.spr	\image\item\usable\medi_010a0.spr	Cã 3 c«ng dông tuyÖt diÖu: thanh nhiÖt, gi¶i ®éc, trŞ th­¬ng.		NhiÖm vô		1	2	0		
Kim Ng©n Hoa	2	0	37	2	0	999												\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	H­¬ng th¬m, vŞ ngät, cã c«ng dông gi¶i ®éc thanh nhiÖt.		NhiÖm vô		1	2	0		
M¶nh giÊy	2	0	38	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	NĞt ch÷ trªn giÊy bŞ mê, ch¼ng biÕt viÕt g× trªn ®ã.		NhiÖm vô		1	2	0		
D· tr­ mao	2	0	39	2	0	1												\image\item\other\coll_001a1.spr	\image\item\other\coll_001a0.spr	L«ng heo rõng cùc mŞn, rÊt khã t×m		NhiÖm vô		1	2	0		
MËt hµm Ch­¬ng VÜ Cang	2	0	40	2	0	1												\image\item\other\secr_019a1.spr	\image\item\other\secr_019a0.spr	MËt th­ cña Ch­¬ng VÜ C­¬ng, ¶nh h­ëng rÊt lín ®Õn giang hå.		NhiÖm vô	\script\task\world\lizhi_ÈªÖİ\task_letter.lua	1	2	0		
Th­ tİn 1	2	0	41	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ H¹ HÇu CÇm göi hä Gia		NhiÖm vô		1	2	0		
Thø tİn 2	2	0	42	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ H¹ HÇu CÇm göi T«n Th­.		NhiÖm vô		1	2	0		
Th­ tİn 3	2	0	43	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ H¹ HÇu CÇm göi hä TriÖu		NhiÖm vô		1	2	0		
Hoµng Hæ Linh Cèt	2	0	44	2	0	1												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	Hæ cèt quı hiÕm dïng bµo chÕ thuèc rÊt tèt.		NhiÖm vô		1	2	0		
Hæ Cèt Linh PhÊn	2	0	45	2	0	1												\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	Thuèc bµo chÕ tõ Hoµng Hæ Linh Cèt.		NhiÖm vô		1	2	0		
C«n ®å khÈu cung	2	0	46	2	0	5												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Lêi khai cña C«n ®å		NhiÖm vô		1	2	0		
MŞch T«ng Cæ	2	0	47	2	0	1												\image\item\other\coll_055a1.spr	\image\item\other\coll_055a0.spr	Bİ thuËt gia truyÒn cña B¸ch Th¶o ¤ng chÕ t¹o, cã thÓ khèng chÕ ®­îc c¸c lo¹i ®éc trïng		NhiÖm vô	\script\task\world\lizhi_ãê¾©\task_trigger.lua	1	2	0		
Th­ göi TriÖu Diªn Niªn	2	0	48	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ D· TÈu göi TriÖu Diªn Niªn		NhiÖm vô		1	2	0		
Th­ TriÖu Diªn Niªn	2	0	49	2	0	3												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ hä TriÖu ®İch th©n viÕt.		NhiÖm vô		1	2	0		
MËt th­ cña Tiªu Hµn	2	0	50	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt th­ Tiªu Hµn mang theo.		NhiÖm vô		1	2	0		
Tr­êng M«n S¸ch	2	0	51	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chĞp tªn c¸c nh©n vËt trong Tr­êng Ca M«n.		NhiÖm vô		1	2	0		
Thiªn ¢m Gi¸o t¹p th­	2	0	52	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chĞp chuyÖn ë Thiªn ¢m gi¸o.		NhiÖm vô		1	2	0		
Xi Háa gi¸o d©n tôc	2	0	53	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chĞp c¸c phong tôc ë Xi Háa gi¸o.		NhiÖm vô		1	2	0		
Bİ mËt NhÊt PhÈm §­êng	2	0	54	2	0	9												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Ghi chĞp chuyÖn ë NhÊt PhÈm §­êng.		NhiÖm vô		1	2	0		
Hæ Cèt	2	0	55	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	X­¬ng ®Çu Hæ cã thÓ bµo chÕ thuèc.		NhiÖm vô		1	2	0		
Cê tiªu côc	2	0	56	2	0	1												\image\item\other\quest_010a1.spr	\image\item\other\quest_010a0.spr	L¸ cê ®· r¸ch n¸t.		NhiÖm vô		1	2	0		
Hµng hãa bŞ mÊt	2	0	57	2	0	20												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	Hµng hãa bŞ LiÖp Hé c­íp mÊt.		NhiÖm vô		1	2	0		
LÖnh bµi S¬n trang	2	0	58	2	0	1												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	LÖnh bµi ra vµo Mé TuyÕt s¬n trang		NhiÖm vô		1	2	0		
Danh bµi	2	0	59	2	0	1												\image\item\other\skius_010a1.spr	\image\item\other\skius_010a0.spr	Danh bµi lÊy ®­îc ë ThÊt Tinh ®éng.		NhiÖm vô		1	2	0		
Th­ göi Th¸c B¹t Kú	2	0	60	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ göi Th¸c B¹t Kú ë KiÕm M«n Quan.		NhiÖm vô		1	2	0		
T©y H¹ bè trËn ®å	2	0	61	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	B¶n ®å bè trİ qu©n cña T©y H¹.		NhiÖm vô		1	2	0		
MËt th­ T©y H¹	2	0	62	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt th­ mang theo cña T©y H¹ t­íng lÜnh.		NhiÖm vô		1	2	0		
NhÊt PhÈm bµi	2	0	63	2	0	10												\image\item\other\skius_012a1.spr	\image\item\other\skius_012a0.spr	Chøng minh lµ thµnh viªn cña NhÊt PhÈm §­êng		NhiÖm vô		1	2	0		
D­îc phÈm thÇn bİ	2	0	64	2	0	1												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Thuèc tïy th©n cña Gia LuËt B¸ Nham.		NhiÖm vô		1	2	0		
Mª Hån H­¬ng	2	0	65	2	0	10												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Thuèc tïy th©n cña c¸c N÷ KiÕm kh¸ch.		NhiÖm vô		1	2	0		
Thuèc gi¶i ®éc	2	0	66	2	0	5												\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Cã thÓ gi¶i ®éc tİnh cña Bi T« Thanh Phong.		NhiÖm vô		1	2	0		
C«ng V¨n Liªu Quèc	2	0	67	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	C«ng v¨n Liªu Quèc t×m ®­îc trong r­¬ng chøa ®éc d­îc.		NhiÖm vô		1	2	0		
H¾c Thiªn Nh·n ch©u	2	0	68	2	0	10												\image\item\other\coll_108a1.spr	\image\item\other\coll_108a0.spr	H¹t ch©u mµu ®en cña T©y H¹ t¨ng nh©n mang theo ng­êi.		NhiÖm vô		1	2	0		
B¶n ®å Phôc Ng­u s¬n	2	0	69	2	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	§¸nh dÊu ph©n bè cña Liªu Quèc.		NhiÖm vô		1	2	0		
Thuèc næ	2	0	70	2	0	1												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Trang bŞ háa c«ng trong qu©n, cã thÓ ph¸ hñy kiÕn tróc, kho l­¬ng cña ®Şch		NhiÖm vô	\script\task\world\lizhi_ÏåÑô\Item_hy.lua	1	2	0		
MËt th­ Thiªn ¢m gi¸o	2	0	71	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt th­ Thiªn ¢m gi¸o t×m ®­îc trong doanh tr¹i phe Liªu.		NhiÖm vô		1	2	0		
MËt th­ NhÊt PhÈm §­êng	2	0	72	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt th­ NhÊt PhÈm §­êng t×m ®­îc trªn ng­êi t¨ng nh©n T©y H¹		NhiÖm vô		1	2	0		
MËt th­ L­¬ng S¬n	2	0	73	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	MËt th­ trªn ng­êi §Çu lÜnh S¬n tÆc		NhiÖm vô		1	2	0		
Thæ Lang Cèt	2	0	74	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	X­¬ng tiÓu thæ lang cã thÓ bµo chÕ d­îc liÖu.		NhiÖm vô		1	2	0		
Thanh Lang Cèt	2	0	75	2	0	10												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	X­¬ng sãi xanh cã thÓ bµo chÕ d­îc liÖu.		NhiÖm vô		1	2	0		
Tö Tinh Hoa	2	0	76	2	0	10												\image\item\other\secr_004a1.spr	\image\item\other\secr_004a0.spr	Hoa tİm nhá cã 5 c¸nh, cã thÓ bµo chÕ d­îc liÖu.		NhiÖm vô		1	2	0		
Lang Cèt Töu	2	0	77	2	0	1												\image\item\other\coll_012a1.spr	\image\item\other\coll_012a0.spr	R­îu thuèc ®Æc chÕ cña §­êng M«n, rÊt th¬m ngon, gióp c­êng tr¸ng th©n thÓ.		NhiÖm vô		1	2	0		
Tİn vËt Träng Yªm	2	0	78	2	0	1												\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	Ngäc béi Ph¹m Träng Yªm		NhiÖm vô		1	2	0		
Hµnh trang thÊt l¹c	2	0	79	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Hµnh lı bŞ mÊt cña ®Ö tö C¸i Bang.		NhiÖm vô		1	2	0		
Th­ göi Ph¹m Träng Yªm	2	0	80	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ Hång ThÊt C¸i Bang göi cho Ph¹m Träng Yªm.		NhiÖm vô		1	2	0		
Th­ göi TrÇn Phi D­¬ng	2	0	81	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ Gia C¸t Kú göi Phi D­¬ng.		NhiÖm vô		1	2	0		
Lang HuyÕt	2	0	82	2	0	2												\image\item\usable\heal_004a1.spr	\image\item\usable\heal_004a0.spr	Cã thÓ bµo chÕ thuèc, dïng trŞ ngo¹i th­¬ng rÊt c«ng hiÖu.		NhiÖm vô		1	2	0		
Tói ph¸p khİ	2	0	83	2	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Tói Ph¸p khİ trõ yªu cña TrÇn Phi D­¬ng göi Gia C¸t Kú.		NhiÖm vô		1	2	0		
Táa Yªu Chung	2	0	84	2	0	1												\image\item\cloth\tool_008a1.spr	\image\item\cloth\tool_008a0.spr	Ph¸p b¶o do Tr­¬ng Thiªn S­ chÕ luyÖn, cã thÓ nhèt hån ph¸ch cña yªu ma vµo trong.		NhiÖm vô		1	2	0		
Oan hån Hñ Thi	2	0	85	2	0	25												\image\item\other\coll_091a1.spr	\image\item\other\coll_091a0.spr	Hån ph¸ch cña Hñ Thi bŞ nhèt trong Táa Yªu Chung kÕt tinh thµnh mµu xanh lôc.		NhiÖm vô		1	2	0		
Oan hån Hµnh thi	2	0	86	2	0	15												\image\item\other\coll_032a1.spr	\image\item\other\coll_032a0.spr	Hån ph¸ch cña Hµnh thi bŞ nhèt trong Táa Yªu Chung kÕt tinh thµnh mµu hång.		NhiÖm vô		1	2	0		
Väng Giang Hång	2	0	87	2	0	10												\image\item\other\coll_076a1.spr	\image\item\other\coll_076a0.spr	Loµi hoa d¹i mµu hång mäc gÇn Giang T©n th«n rÊt ®Ñp.		NhiÖm vô		1	2	0		
L«ng qu¹ ®en	2	0	88	2	0	4												\image\item\other\coll_109a1.spr	\image\item\other\coll_109a0.spr	Cã thÓ dïng ®Ó chÕ mùc.		NhiÖm vô		1	2	0		
Bøc th­	2	0	89	2	0	1												\image\item\other\coll_111a1.spr	\image\item\other\coll_111a0.spr	Bøc th­ ®· bŞ më, tªn ng­êi nhËn lµ ch­ëng m«n Tr­êng Ca M«n		NhiÖm vô		1	2	0		
Phong th­ 1	2	0	90	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang th­ ®Çu tiªn Tèng Giang viÕt göi Tr­êng Ca M«n.		NhiÖm vô		1	2	0		
Phong th­ 2	2	0	91	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang th­ thø 2 göi Tr­êng Ca M«n.		NhiÖm vô		1	2	0		
Phong th­ 3	2	0	92	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang th­ thø 3 göi Tr­êng Ca M«n.		NhiÖm vô		1	2	0		
Phong th­ 4	2	0	93	2	0	1												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Trang th­ thø 4 göi Tr­êng Ca M«n.		NhiÖm vô		1	2	0		
M¶nh ®ång	2	0	94	2	0	8												\image\item\other\secr_009a1.spr	\image\item\other\secr_009a0.spr	M¶nh ®ång phİa trªn cã kh¾c ch÷ kú qu¸i.		NhiÖm vô		1	2	0		
Di th­ TrÇn Phi D­¬ng 1	2	0	95	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Di th­ TrÇn Phi D­¬ng muèn göi cho ph­¬ng tr­îng ThiÕu L©m.		NhiÖm vô		1	2	0		
Di th­ TrÇn Phi D­¬ng 2	2	0	96	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Di th­ TrÇn Phi D­¬ng muèn göi cho ch­ëng m«n C¸i Bang.		NhiÖm vô		1	2	0		
§ïi heo rõng	2	0	97	2	0	10												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	§ïi heo rõng th­êng dïng ®Ó cóng tÕ.		NhiÖm vô		1	2	0		
Sinh ThiÕt	2	0	98	2	0	20												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	Nguyªn vËt liÖu quan träng dïng ®óc t¹o binh khİ.		NhiÖm vô		1	2	0		
ThiÒm T«	2	0	99	2	0	10												\image\item\usable\heal_028a1.spr	\image\item\usable\heal_028a0.spr	D­îc liÖu cùc quı chiÕt tõ cãc ®éc		NhiÖm vô		1	2	0		
Phi Béc Kim Ch©m	2	0	100	2	0	1												\image\item\other\skius_005a1.spr	\image\item\other\skius_005a0.spr	¸m khİ cao cÊp ®Æc biÖt cña §­êng M«n		NhiÖm vô	\script\task\world\lizhi_ÑïÖİ\task_fpjz.lua	1	2	0		
D÷ Thª th­	2	0	101	2	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Th­ viÕt göi vî cña L«i Th¾ng		NhiÖm vô	\script\task\world\lizhi_ÑïÖİ\task_yqs.lua	1	2	0		
Thiªn H¹t VÜ Ch©m	2	0	102	2	0	20												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	Cùc phÈm chøa nhiÒu chÊt ®éc.		NhiÖm vô		1	2	0		
M¶nh tr¸i B¶n ®å thÇn bİ	2	0	103	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Cã ghi chĞp tin tøc quan träng.		NhiÖm vô		1	2	0		
M¶nh ph¶i B¶n ®å thÇn bİ	2	0	104	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Cã ghi chĞp tin tøc quan träng.		NhiÖm vô		1	2	0		
B¶n ®å ThÇn bİ	2	0	105	2	0	1												\image\item\other\secr_024a1.spr	\image\item\other\secr_024a0.spr	Ph¶i ch¨ng bªn trong cã Èn chøa ®iÒu quan träng?		NhiÖm vô	\script\task\world\lizhi_ÑïÖİ\task_smdt.lua	1	2	0		
B¶o vËt thÇn bİ	2	0	106	2	0	1												\image\item\other\secr_027a1.spr	\image\item\other\secr_027a0.spr	VËt hé m¹ng quan träng cña L«i Th¾ng.		NhiÖm vô		1	2	0		
Tèng anh hïng lÖnh	2	0	107	1	0	100												\image\item\other\holi_022a1.spr	\image\item\other\holi_022a0.spr	Dïng §¹i Tèng anh hïng lÖnh ®Õn Nh¹n M«n Quan b¸o danh phe Tèng.		NhiÖm vô	\script\item\heroling_song.lua	1	0	0		
Liªu anh hïng lÖnh	2	0	108	1	0	100												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	Dïng §¹i Liªu anh hïng lÖnh®Õn Nh¹n M«n quan b¸o danh phe Liªu.		NhiÖm vô	\script\item\heroling_liao.lua	1	0	0		
Bång Lai Tiªn Lé	2	0	109	1	0	1												\image\item\other\quest_035a1.spr	\image\item\other\quest_035a0.spr	D­îc thñy tõ Bång Lai tiªn ®¶o.<enter><color=Gold>§¸nh qu¸i nh©n 2 kinh nghiÖm trong 2 giê		ThÇn bİ	\script\item\xiancao.lua	1	0	1		
Héi Minh LÖnh Bµi	2	0	125	1	0	1												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	<enter><color=Gold>VËt phÈm cÇn thiÕt ®Ó s¸ng lËp bang héi		NhiÖm vô		1	0	0		
