Tªn cæ mÉu	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	CÊp bËt ­u tiªn	Yªu cÇu: ®éc hÖ	Yªu cÇu: huyÕt hÖ	Yªu cÇu: linh hÖ	Yªu cÇu: ma hÖ	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	L­u ( Ch÷ sè)	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)
MËt B¹ch Cæ MÉu	2	16	31	1	1	45	0	0	0	80								\image\item\gumu\¼«°×¹ÆÄ¸a1.spr	\image\item\gumu\¼«°×¹ÆÄ¸a0.spr	Thuéc tİnh ma, tr¶i qua chİn chİn t¸m m­¬i mèt ngµy míi tr­ëng thµnh.		Sinh ho¹t			2	1		
Tr¹m Thanh Cæ MÉu	2	16	32	1	1	50	70	0	0	0								\image\item\gumu\Õ¿Çà¹ÆÄ¸a1.spr	\image\item\gumu\Õ¿Çà¹ÆÄ¸a0.spr	Thuéc hÖ ®éc, toµn th©n trong suèt, ®u«i cã ®èm ®á		Sinh ho¹t			2	1		
Chu Xİch Cæ MÉu	2	16	33	1	1	50	0	70	0	0								\image\item\gumu\Öì³à¹ÆÄ¸a1.spr	\image\item\gumu\Öì³à¹ÆÄ¸a0.spr	Thuéc hÖ huyÕt, gièng èc ma, gi¸c mót rÊt nhiÒu.		Sinh ho¹t			2	1		
¸m Tö Cæ MÉu	2	16	34	1	1	50	0	0	70	0								\image\item\gumu\°µ×Ï¹ÆÄ¸a1.spr	\image\item\gumu\°µ×Ï¹ÆÄ¸a0.spr	Thuéc hÖ linh, xóc gi¸c th« vµ dµi tiÖn cho viÖc hót chÊt dinh d­ìng.		Sinh ho¹t			2	1		
Cùc B¹ch Cæ MÉu	2	16	35	1	1	50	0	0	0	70								\image\item\gumu\¼«°×¹ÆÄ¸a1.spr	\image\item\gumu\¼«°×¹ÆÄ¸a0.spr	Thuéc hÖ ma, ph¸t ra v« sè ¸nh s¸ng xanh, d­íi bông cã bµo tö rÊt to.		Sinh ho¹t			2	1		
Th©m Thanh Cæ MÉu	2	16	36	1	1	55	50	0	0	0								\image\item\gumu\Çà¹ÆÄ¸a1.spr	\image\item\gumu\Çà¹ÆÄ¸a0.spr	Thuéc hÖ ®éc, mµu xanh ®Ëm.		Sinh ho¹t			2	1		
§¹i Xİch Cæ MÉu	2	16	37	1	1	55	0	50	0	0								\image\item\gumu\³à¹ÆÄ¸a1.spr	\image\item\gumu\³à¹ÆÄ¸a0.spr	Thuéc hÖ huyÕt, mµu ®á ®Ëm.		Sinh ho¹t			2	1		
MÆc Tö Cæ MÉu	2	16	38	1	1	55	0	0	50	0								\image\item\gumu\×Ï¹ÆÄ¸a1.spr	\image\item\gumu\×Ï¹ÆÄ¸a0.spr	Thuéc hÖ linh, mµu tİm ®en.		Sinh ho¹t			2	1		
Kh«i B¹ch Cæ MÉu	2	16	39	1	1	55	0	0	0	50								\image\item\gumu\°×¹ÆÄ¸a1.spr	\image\item\gumu\°×¹ÆÄ¸a0.spr	Thuéc hÖ ma, mµu x¸m tr¾ng.		Sinh ho¹t			2	1		
Thanh Cæ MÉu	2	16	40	1	1	60	30	0	0	0								\image\item\gumu\Çà¹ÆÄ¸a1.spr	\image\item\gumu\Çà¹ÆÄ¸a0.spr	Thuéc hÖ ®éc, mµu xanh.		Sinh ho¹t			2	1		
Xİch Cæ MÉu	2	16	41	1	1	60	0	30	0	0								\image\item\gumu\³à¹ÆÄ¸a1.spr	\image\item\gumu\³à¹ÆÄ¸a0.spr	Thuéc hÖ huyÕt,  mµu ®á.		Sinh ho¹t			2	1		
Tö Cæ MÉu	2	16	42	1	1	60	0	0	30	0								\image\item\gumu\×Ï¹ÆÄ¸a1.spr	\image\item\gumu\×Ï¹ÆÄ¸a0.spr	Thuéc hÖ linh, mµu tİm		Sinh ho¹t			2	1		
B¹ch Cæ MÉu	2	16	43	1	1	60	0	0	0	30								\image\item\gumu\°×¹ÆÄ¸a1.spr	\image\item\gumu\°×¹ÆÄ¸a0.spr	Thuéc hÖ ma, mµu tr¾ng.		Sinh ho¹t			2	1		
Cæ MÉu	2	16	44	1	1	100	0	0	0	0								\image\item\gumu\¹ÆÄ¸a1.spr	\image\item\gumu\¹ÆÄ¸a0.spr	C¬ thÓ dïng ®Ó nu«i d­ìng s©u nhá, b¶n th©n kh«ng cã ®éc tİnh.		Sinh ho¹t			2	1		
