ID	Tips	nG	nD	nP	CoinType	CoinCost	cG	cD	cP	cNum	gG1	gD1	gP1	gNum1	gBind1	gG2	gD2	gP2	gNum2	gBind2	NeedCfm
9	V« H×nh Chi Cæ CÊp 2	2	150	58							2	1	30729	2	0						
9	Ch©n khÝ hé thÓ CÊp 3	2	150	3							2	1	30729	3	0						
9	Ých Thä Diªn D­¬ng CÊp 3	2	150	7							2	1	30729	3	0						
9	C­êng Th©n B¸ ThÓ CÊp 3	2	150	11							2	1	30729	3	0						
9	¢m Phong Thùc Cèt CÊp 3	2	150	15							2	1	30729	3	0						
9	HuyÒn Vò V« Song CÊp 3	2	150	19							2	1	30729	3	0						
9	V« Hµnh V« T­¬ng CÊp 3	2	150	23							2	1	30729	3	0						
9	Kim Linh Phô ThÓ CÊp 3	2	150	27							2	1	30729	3	0						
9	Méc Linh Phô ThÓ CÊp 3	2	150	31							2	1	30729	3	0						
9	Thuû Linh Phô ThÓ CÊp 3	2	150	35							2	1	30729	3	0						
9	Ho¶ Linh Phô ThÓ CÊp 3	2	150	39							2	1	30729	3	0						
9	Thæ Linh Phô ThÓ CÊp 3	2	150	43							2	1	30729	3	0						
9	Ph¸ Kh«ng Tr¶m ¶nh CÊp 3	2	150	47							2	1	30729	3	0						
9	S¸t th­¬ng gia n©ng cÊp 3	2	150	51							2	1	30729	3	0						
9	Khinh Linh TÊn TËt  CÊp 3	2	150	55							2	1	30729	3	0						
9	V« H×nh Chi Cæ CÊp 3	2	150	59							2	1	30729	3	0						
9	Ch©n khÝ hé thÓ CÊp 4	2	150	4							2	1	30729	4	0						
9	Ých Thä Diªn D­¬ng CÊp 4	2	150	8							2	1	30729	4	0						
9	C­êng Th©n B¸ ThÓ CÊp 4	2	150	12							2	1	30729	4	0						
9	¢m Phong Thùc Cèt CÊp 4	2	150	16							2	1	30729	4	0						
9	HuyÒn Vò V« Song CÊp 4	2	150	20							2	1	30729	4	0						
9	V« Hµnh V« T­¬ng CÊp 4	2	150	24							2	1	30729	4	0						
9	Kim Linh Phô ThÓ CÊp 4	2	150	28							2	1	30729	4	0						
9	Méc Linh Phô ThÓ CÊp 4	2	150	32							2	1	30729	4	0						
9	Thuû Linh Phô ThÓ CÊp 4	2	150	36							2	1	30729	4	0						
9	Ho¶ Linh Phô ThÓ CÊp 4	2	150	40							2	1	30729	4	0						
9	Thæ Linh Phô ThÓ CÊp 4	2	150	44							2	1	30729	4	0						
9	Ph¸ Kh«ng Tr¶m ¶nh CÊp 4	2	150	48							2	1	30729	4	0						
9	S¸t th­¬ng gia n©ng cÊp 4	2	150	52							2	1	30729	4	0						
9	Khinh Linh TÊn TËt  CÊp 4	2	150	56							2	1	30729	4	0						
9	V« H×nh Chi Cæ CÊp 4	2	150	60							2	1	30729	4	0						
