Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
Thiªu §ao Tö	1	1	10	0	10	999	state_add_vitality	10	state_life_max_point_add	100	state_add_vitality	10	state_life_max_point_add	100	300	1	-1	\image\item\usable\food_010a1.spr	\image\item\usable\food_010a0.spr	R­îu ngon, cã vŞ cay.		Thùc vËt		1				110
N÷ Nhi Hång	1	1	11	0	30	999	state_add_vitality	15	state_life_max_point_add	200	state_add_vitality	15	state_life_max_point_add	200	300	1	-1	\image\item\usable\food_011a1.spr	\image\item\usable\food_011a0.spr	Mét lo¹i r­îi næi tiÕng ë vïng Giang Nam.		Thùc vËt		2				110
§¹o Hoa H­¬ng	1	1	12	0	50	999	state_add_vitality	20	state_life_max_point_add	300	state_add_vitality	20	state_life_max_point_add	300	300	1	-1	\image\item\usable\food_012a1.spr	\image\item\usable\food_012a0.spr	Ng¹c Ch©u danh töu, h­¬ng th¬m ph­ng phøc.		Thùc vËt		3				110
Tóy Méng Töu	1	1	13	0	70	999	state_add_vitality	40	state_life_max_point_add	600	state_add_vitality	40	state_life_max_point_add	600	300	1	-1	\image\item\usable\food_013a1.spr	\image\item\usable\food_013a0.spr	Giang Nam danh töu, say ®¾m lßng ng­êi.		Thùc vËt		4				110
B¨ng	1	0	1	0	2	999	state_life_restore_per8f	10							10	1		\image\item\usable\heal_001a1.spr	\image\item\usable\heal_001a0.spr	Lµm tõ v¶i th«, dïng b¨ng bã vÕt th­¬ng cÇm m¸u.		D­îc phÈm		1				101
Kim S¸ng T¸n	1	0	2	0	40	999	state_life_restore_per8f	15							20	1		\image\item\usable\heal_002a1.spr	\image\item\usable\heal_002a0.spr	§¬n d­îc th«ng th­êng dïng ®Ó trŞ vÕt th­¬ng nhÑ.		D­îc phÈm		1				199
ChØ HuyÕt T¸n	1	0	3	0	45	999	state_life_restore_per8f	40							20	1		\image\item\usable\heal_003a1.spr	\image\item\usable\heal_003a0.spr	§¬n d­îc th«ng th­êng dïng ®Ó trŞ vÕt th­¬ng nhÑ.		D­îc phÈm		2				199
B¹ch V©n t¸n	1	0	4	0	50	999	state_life_restore_per8f	75			state_life_per_per8f	300			20	1	-1	\image\item\usable\heal_004a1.spr	\image\item\usable\heal_004a0.spr	§­îc tinh chÕ tõ th¶o d­îc vïng Trung Nguyªn vµ nguån n­íc suèi tinh khiÕt, trŞ th­¬ng h÷u hiÖu.		D­îc phÈm		3			3240	199
Thiªn H­¬ng CÈm Tôc	1	0	5	0	55	999	state_life_restore_per8f	600			state_life_per_per8f	500			10	1	-1	\image\item\usable\heal_005a1.spr	\image\item\usable\heal_005a0.spr	§Ö tö Nga My lu«n ®em bªn m×nh, nhanh chãng phôc håi vÕt th­¬ng.		D­îc phÈm		4			3240	199
H¾c Ngäc §o¹n Tôc Cao	1	0	6	0	60	999	state_life_restore_per8f	1000			state_life_per_per8f	1000			5	1	-1	\image\item\usable\heal_006a1.spr	\image\item\usable\heal_006a0.spr	Th¸nh d­îc, t­¬ng truyÒn ®­îc mang tõ T©y Vùc vµo Trung Nguyªn, phôc håi vÕt th­¬ng cùc kú h÷u hiÖu.		D­îc phÈm		5			3240	199
TiÓu Hoµn ®¬n	1	0	7	0	50	999	state_neili_restore_per8f	1							10	1		\image\item\usable\heal_007a1.spr	\image\item\usable\heal_007a0.spr	§¬n d­îc th«ng th­êng, cã thÓ phôc håi néi lùc, rÊt dÔ mua.		D­îc phÈm		1				198
Hoµn D­¬ng ®¬n	1	0	8	0	55	999	state_neili_restore_per8f	1							20	1		\image\item\usable\heal_008a1.spr	\image\item\usable\heal_008a0.spr	§¬n d­îc th«ng th­êng, cã thÓ t¨ng c«ng lùc.		D­îc phÈm		2				198
§¹i Hoµn ®¬n	1	0	9	0	60	999	state_neili_restore_per8f	1			state_neili_per_per8f	300			30	1	-1	\image\item\usable\heal_009a1.spr	\image\item\usable\heal_009a0.spr	T¨ng c«ng lùc, nhanh chãng phôc håi néi lùc.		D­îc phÈm		3			1080	198
NhÊt Nguyªn Phôc Thñy §¬n	1	0	10	0	65	999	state_neili_restore_per8f	4			state_neili_per_per8f	500			10	1	-1	\image\item\usable\heal_010a1.spr	\image\item\usable\heal_010a0.spr	Nhanh chãng phôc håi néi lùc.		D­îc phÈm		4			1080	198
V¹n VËt Quy Nguyªn §¬n	1	0	11	0	70	999	state_neili_restore_per8f	10			state_neili_per_per8f	1000			5	1	-1	\image\item\usable\heal_011a1.spr	\image\item\usable\heal_011a0.spr	Nhanh chãng phôc håi néi lùc.		D­îc phÈm		5			1080	198
Thanh T©m t¸n	1	0	12	0	60	999	state_life_restore_per8f	30	state_neili_restore_per8f	1					10	1		\image\item\usable\heal_012a1.spr	\image\item\usable\heal_012a0.spr	§¬n d­îc th«ng dông, cã thÓ ®em theo bªn m×nh ®Ó trŞ th­¬ng vµ phôc håi néi lùc.		D­îc phÈm		1				197
İch Khİ t¸n	1	0	13	0	65	999	state_life_restore_per8f	40	state_neili_restore_per8f	1					20	1		\image\item\usable\heal_013a1.spr	\image\item\usable\heal_013a0.spr	CÇm m¸u vµ ch÷a lµnh vÕt th­¬ng cùc kú h÷u hiÖu.		D­îc phÈm		2				197
Ngäc Linh t¸n	1	0	14	0	70	999	state_life_restore_per8f	75	state_neili_restore_per8f	2	state_life_per_per8f	300	state_neili_per_per8f	300	20	1	-1	\image\item\usable\heal_014a1.spr	\image\item\usable\heal_014a0.spr	Thuèc hay do B¸ch Th¶o ®­êng chÕ, cã thÓ trŞ th­¬ng phôc håi néi lùc		D­îc phÈm		3			3240	197
Ngò Hoa Ngäc Lé Hoµn	1	0	15	0	75	999	state_life_restore_per8f	300	state_neili_restore_per8f	4	state_life_per_per8f	500	state_neili_per_per8f	500	10	1	-1	\image\item\usable\heal_015a1.spr	\image\item\usable\heal_015a0.spr	Nhanh chãng phôc håi sinh lùc vµ néi lùc.		D­îc phÈm		4			3240	197
Sinh Sinh Hãa T¸n	1	0	16	0	80	999	state_life_restore_per8f	500	state_neili_restore_per8f	5	state_life_per_per8f	800	state_neili_per_per8f	800	10	1	-1	\image\item\usable\heal_016a1.spr	\image\item\usable\heal_016a0.spr	Nhanh chãng phôc håi sinh lùc vµ néi lùc.		D­îc phÈm		5			3240	197
B¹ch NhËt ®¬n	1	0	17	0	60	999	state_cure_outside_wound	1			state_cure_outside_wound	1			1	1	-1	\image\item\usable\heal_017a1.spr	\image\item\usable\heal_017a0.spr	§¬n d­îc gi¸ rÎ tÇm th­êng, gióp gi¶m ®au ®«i chót.		Lo¹i PK		1				105
Toµn Sinh ®¬n	1	0	18	0	65	999	state_cure_outside_wound	2			state_cure_outside_wound	2			1	1	-1	\image\item\usable\heal_018a1.spr	\image\item\usable\heal_018a0.spr	Dïng trŞ th­¬ng rÊt c«ng hiÖu.		Lo¹i PK		2				105
Chiªu Hån ®¬n	1	0	19	0	70	999	state_cure_outside_wound	3			state_cure_outside_wound	3			1	1	-1	\image\item\usable\heal_019a1.spr	\image\item\usable\heal_019a0.spr	Do ®¹o s­ v« danh bµo chÕ, c¸c tiªn nh©n ë chèn bång lai khi v©n du kh¾p n¬i th­êng dïng.		Lo¹i PK		3				105
Ng­ DŞch §¬n	1	0	20	0	75	999	state_cure_outside_wound	4			state_cure_outside_wound	4			1	1	-1	\image\item\usable\heal_020a1.spr	\image\item\usable\heal_020a0.spr	Dïng c¸c d­îc liÖu quı tr¶i qua 49 ngµy luyÖn trong lß tiªn ®¬n míi cã thÓ luyÖn thµnh.		Lo¹i PK		4				105
B«n Tinh NguyÖt §¬n	1	0	21	0	80	999	state_cure_outside_wound	5			state_cure_outside_wound	5			1	1	-1	\image\item\usable\heal_021a1.spr	\image\item\usable\heal_021a0.spr	Gióp nèi liÒn kinh m¹ch, kh«i phôc tr¹ng th¸i nh­ ban ®Çu.		Lo¹i PK		5				105
İch D­¬ng t¸n	1	0	22	0	80	999	state_cure_inside_wound	1			state_cure_inside_wound	1			1	1	-1	\image\item\usable\heal_022a1.spr	\image\item\usable\heal_022a0.spr	§¬n d­îc phæ th«ng gi¸ rÎ, t¸c dông trŞ th­¬ng rÊt thÊp.		Lo¹i PK		1				106
Thiªn Kim t¸n	1	0	23	0	85	999	state_cure_inside_wound	2			state_cure_inside_wound	2			1	1	-1	\image\item\usable\heal_023a1.spr	\image\item\usable\heal_023a0.spr	§¬n d­îc ®­îc giang hå th­êng dïng ch÷a th­¬ng rÊt c«ng hiÖu.		Lo¹i PK		2				106
Bæ Thiªn t¸n	1	0	24	0	90	999	state_cure_inside_wound	3			state_cure_inside_wound	3			1	1	-1	\image\item\usable\heal_024a1.spr	\image\item\usable\heal_024a0.spr	Thuèc quı dïng trŞ th­¬ng cùc kú hiÖu qu¶.		Lo¹i PK		3				106
ThÊt Trïng ThÊt Hoa T¸n	1	0	25	0	95	999	state_cure_inside_wound	4			state_cure_inside_wound	4			1	1	-1	\image\item\usable\heal_025a1.spr	\image\item\usable\heal_025a0.spr	Danh d­îc bµo chÕ tõ b¶y lo¹i Linh Trïng vµ b¶y lo¹i Kú Hoa, chuyªn trŞ néi th­¬ng.		Lo¹i PK		4				106
§¹i NhËt D­¬ng T¸n	1	0	26	0	100	999	state_cure_inside_wound	5			state_cure_inside_wound	5			1	1	-1	\image\item\usable\heal_026a1.spr	\image\item\usable\heal_026a0.spr	Bµo chÕ tõ nhiÒu lo¹i d­îc th¶o quı hiÕm, phôc håi néi th­¬ng nhanh chãng.		Lo¹i PK		5				106
Gi¶i §éc ®¬n	1	0	27	0	60	999	state_poison_damage_poi_dec	25			state_poison_damage_poi_dec	25			1	1	-1	\image\item\usable\heal_027a1.spr	\image\item\usable\heal_027a0.spr	Gióp hÕt ngøa gi¶i ®éc.		Lo¹i PK		1				107
ChØ Thñy ®¬n	1	0	28	0	65	999	state_poison_damage_poi_dec	50			state_poison_damage_poi_dec	50			1	1	-1	\image\item\usable\heal_028a1.spr	\image\item\usable\heal_028a0.spr	Th­îng d­îc, gióp æn ®Şnh nguyªn khİ.		Lo¹i PK		2				107
Bµi V©n ®¬n	1	0	29	0	70	999	state_poison_damage_poi_dec	100			state_poison_damage_poi_dec	100			1	1	-1	\image\item\usable\heal_029a1.spr	\image\item\usable\heal_029a0.spr	Th­îng d­îc, nhanh chãng phôc håi vÕt th­¬ng.		Lo¹i PK		3				107
Cµn Nguyªn Chİnh Khİ §¬n	1	0	30	0	75	999	state_poison_damage_poi_dec	150			state_poison_damage_poi_dec	150			1	1	-1	\image\item\usable\heal_030a1.spr	\image\item\usable\heal_030a0.spr	Danh d­îc gi¶i ®éc rÊt hiÖu qu¶.		Lo¹i PK		4				107
Thiªn V­¬ng Bæ T©m §¬n	1	0	31	0	80	999	state_poison_damage_poi_dec	300			state_poison_damage_poi_dec	300			1	1	-1	\image\item\usable\heal_031a1.spr	\image\item\usable\heal_031a0.spr	Th¸nh d­îc gi¶i ®éc v« cïng thÇn hiÖu cña §­êng M«n ®Êt Thôc.		Lo¹i PK		5				107
Cöu chuyÓn håi hån ®¬n	1	0	32	0	100	999	imme_life_percent_add	100	imme_mana_percent_add	100	imme_life_percent_add	100	imme_mana_percent_add	100		1	-1	\image\item\usable\heal_032a1.spr	\image\item\usable\heal_032a0.spr	ThÇn d­îc, bÊt luËn m¾c bÖnh g× ®Òu cã thÓ lËp tøc khái bÖnh.<enter><color=Gold>(Sö dông lËp tøc håi phôc toµn bé néi lùc sinh lùc)		Lo¹i PK		7			3240	190
Sñi c¶o thŞt heo	1	0	33	0	1	999	state_life_restore_per8f	1500	state_neili_restore_per8f	1500					1	1		\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn. Sö dông sÏ phôc håi 15 00 ®iÓm sinh lùc vµ 15 00 ®iÓm néi lùc.		ThÇn bİ		1				101
Sñi c¶o thŞt bß	1	0	34	0	1	999	state_add_allability	20							600	1		\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn.Sö dông tÊt c¶ c¸c thuéc tİnh sÏ t¨ng 20 ®iÓm trong vßng 10 phót.		ThÇn bİ		1				111
Sñi c¶o t«m	1	0	35	0	1	100	state_p_attack_percent_add	8	state_m_attack_percent_add	8					600	1		\image\item\other\holi_006a1.spr	\image\item\other\holi_006a0.spr	Mïi vŞ th¬m ngon, cùc kú hÊp dÉn.Sö dông néi c«ng vµ ngo¹i c«ng sÏ t¨ng 8% trong vßng 10 phót.		ThÇn bİ		1				112
BiÖn Kinh Håi phï	1	5	1	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn BiÖn Kinh.		Phï ChØ		1				
Thµnh §« Håi phï	1	5	2	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn Thµnh §«.		Phï ChØ		1				
TuyÒn Ch©u Håi phï	1	5	3	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn TuyÒn Ch©u.		Phï ChØ		1				
T­¬ng D­¬ng Håi phï	1	5	4	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn T­¬ng D­¬ng.		Phï ChØ		1				
Phông T­êng Håi phï	1	5	5	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn Phông T­êng.		Phï ChØ		1				
§¹i Lı Håi phï	1	5	6	0	10	999											-1	\image\item\usable\fu_003a1.spr	\image\item\usable\fu_003a0.spr	Mét lo¹i thÇn phï, trªn cã viÕt ch÷ Ph¹n, nhanh chãng ®­a ®Õn §¹i Lı.		Phï ChØ		1				
