Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tô ThiÕt th¹ch	2	8	1	0	2	999												\image\item\other\ormeta_001a1.spr	\image\item\other\ormeta_001a0.spr	Cã thÓ chÕ t¹o Tinh ThiÕt kho¸ng th¹ch.		Sinh ho¹t											
Tô §ång th¹ch	2	8	2	0	2	999												\image\item\other\ormeta_002a1.spr	\image\item\other\ormeta_002a0.spr	Cã thÓ chÕ t¹o Tinh §ång kho¸ng th¹ch.		Sinh ho¹t											
Tô Tİch th¹ch	2	8	3	0	2	999												\image\item\other\ormeta_003a1.spr	\image\item\other\ormeta_003a0.spr	Cã thÓ chÕ t¹o B¹ch Ng©n kho¸ng th¹ch.		Sinh ho¹t											
Tô Ng©n th¹ch	2	8	4	0	3	999												\image\item\other\ormeta_004a1.spr	\image\item\other\ormeta_004a0.spr	Cã thÓ chÕ t¹o B¹ch Ng©n kho¸ng th¹ch.		Sinh ho¹t											
Th¸i B¹ch Tinh Th¹ch	2	8	6	0	3	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	Mét m¶nh thiªn th¹ch, ®Ñp nh­ ngäc cã thÓ ph¸t s¸ng.		Sinh ho¹t											
HuyÒn Th¹ch	2	8	7	0	4	999												\image\item\other\ormeta_007a1.spr	\image\item\other\ormeta_007a0.spr	Mét m¶nh thiªn th¹ch, ®Ñp nh­ ngäc cã thÓ ph¸t s¸ng.		Sinh ho¹t		8									
HuyÒn Méc	2	7	1	0	2	999												\image\item\other\orwood_001a1.spr	\image\item\other\orwood_001a0.spr	DÎo dai, cã thÓ dïng lµm gi¸o th­¬ng		Sinh ho¹t											
Ch­¬ng Méc	2	7	2	0	2	999												\image\item\other\orwood_002a1.spr	\image\item\other\orwood_002a0.spr	BÒn ch¾c, ng­êi Giang §«ng hay dïng ®Ó ®ãng thuyÒn.		Sinh ho¹t											
Ngäc Thô Can	2	7	3	0	2	999												\image\item\other\orwood_003a1.spr	\image\item\other\orwood_003a0.spr	Thæ d©n th­êng dïng lµm nhµ.		Sinh ho¹t											
§an Thanh Méc	2	7	4	0	3	999												\image\item\other\orwood_004a1.spr	\image\item\other\orwood_004a0.spr	Cùc kú dÎo dai, thæ d©n th­êng ®Îo lµm cµy.		Sinh ho¹t											
V« Häa Méc	2	7	5	0	3	999												\image\item\other\orwood_005a1.spr	\image\item\other\orwood_005a0.spr	Mïi h­¬ng dŞu nhÑ cã thÓ tr¸nh ®­îc tµ khİ, th­êng dïng lµm vò khİ.		Sinh ho¹t											
Ba La Méc Can	2	7	6	0	3	999												\image\item\other\orwood_006a1.spr	\image\item\other\orwood_006a0.spr	Hoa gièng hoa sen, ®i xa tr¨m b­íc ®· nghe thÊy mïi th¬m.		Sinh ho¹t											
Khóc gç Bå §Ò	2	7	7	0	2	999												\image\item\other\orwood_007a1.spr	\image\item\other\orwood_007a0.spr	Loµi c©y g¾n liÒn víi lŞch sö ph¸t triÓn cña PhËt Gi¸o.		Sinh ho¹t											
Tï Thó b×	2	10	5	0	2	999												\image\item\other\orskin_005a1.spr	\image\item\other\orskin_005a0.spr	Da cña mét loµi thó h×nh d¹ng gièng nh­ hæ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
Thôy øng b×	2	10	4	0	2	999												\image\item\other\orskin_001a1.spr	\image\item\other\orskin_001a0.spr	Da cña hå ly chİn ®u«i, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
Ba xµ b×	2	10	3	0	3	999												\image\item\other\orskin_003a1.spr	\image\item\other\orskin_003a0.spr	Da ®éc xµ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t											
SuÊt Nhiªn b×	2	10	2	0	3	999												\image\item\other\orskin_002a1.spr	\image\item\other\orskin_002a0.spr	Da ®éc xµ, 10 n¨m míi lét x¸c mét lÇn.		Sinh ho¹t		8									
Cuång Hïng b×	2	10	1	0	3	999												\image\item\other\orskin_004a1.spr	\image\item\other\orskin_004a0.spr	Cã thÓ may ¸o gi¸p chèng rĞt cùc tèt.		Sinh ho¹t											
§éc Lang Nguyªn B×	2	10	6	0	2	999												\image\item\other\orskin_006a1.spr	\image\item\other\orskin_006a0.spr	Da sãi cã thÓ may ¸o gi¸p.		Sinh ho¹t											
L«ng thá	2	9	1	0	1	999												\image\item\other\orsilk_001a1.spr	\image\item\other\orsilk_001a0.spr	Cã thÓ may thµnh trang phôc		Sinh ho¹t		1									
Tµm t¬	2	9	2	0	2	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	Lo¹i t¬ næi tiÕng ë vïng Giang Nam ®­îc xem lµ th­îng phÈm.		Sinh ho¹t		2									
T¬ Ngò S¾c	2	9	3	0	3	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	§Æc s¶n cña vïng LÜnh Nam.		Sinh ho¹t		3									
Lang chu t¬	2	2	52	0	4	999												\image\item\other\orsilk_009a1.spr	\image\item\other\orsilk_009a0.spr	MŞn mµng bÒn ch¾c		Sinh ho¹t		4									
Hång t¬	2	2	53	0	5	999												\image\item\other\orsilk_012a1.spr	\image\item\other\orsilk_012a0.spr	Mét lo¹i t¬ ë T©y Vùc, mµu s¾c ®á th¾m		Sinh ho¹t		5									
Linh Chu t¬	2	2	54	0	6	999												\image\item\other\orsilk_010a1.spr	\image\item\other\orsilk_010a0.spr	Mét lo¹i t¬ cña vïng t©y nam cã thÓ kh¸ng ®éc.		Sinh ho¹t		6									
Kim tµm t¬	2	2	55	0	7	999												\image\item\other\orsilk_008a1.spr	\image\item\other\orsilk_008a0.spr	Mét lo¹i T¬ t»m ë Thiªn Tróc cã thÓ trõ háa thanh nhiÖt.		Sinh ho¹t		7									
L·nh trïng t¬	2	9	4	0	8	999												\image\item\other\orsilk_004a1.spr	\image\item\other\orsilk_004a0.spr	Cã thÓ dÖt thµnh trang phôc		Sinh ho¹t		8									
Háa chu t¬	2	9	5	0	9	999												\image\item\other\orsilk_005a1.spr	\image\item\other\orsilk_005a0.spr	Lo¹i t¬ chØ cã ë vïng Nam LÜnh		Sinh ho¹t		9									
B¨ng tµm t¬	2	9	6	0	10	999												\image\item\other\orsilk_006a1.spr	\image\item\other\orsilk_006a0.spr	T¬ cña mét lo¹i nhÖn trªn nói Thiªn S¬n vïng T©y Vùc, mÒm m¹i bÒn ch¾c.		Sinh ho¹t		10									
¤ Tµm  t¬	2	9	7	0	4	999												\image\item\other\orsilk_007a1.spr	\image\item\other\orsilk_007a0.spr	Lo¹i t»m trªn nói TuyÕt S¬n, mçi n¨m chØ nh¶ t¬ mét lÇn. Dïng lµm d­îc liÖu trŞ th­¬ng cùc kú h÷u dông.		Sinh ho¹t		8									
Thiªn Tµm t¬	2	2	56	0	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Lo¹i t¬ chØ cã ë vïng Nam LÜnh		Sinh ho¹t		9									
T¬ Th¸i V©n	2	2	100	0	10	999												\image\item\other\²ÊÔÆË¿a1.spr	\image\item\other\²ÊÔÆË¿a0.spr	Sîi t¬ Tiªn n÷ dïng ®Ó dÖt m©y trong truyÒn thuyÕt, vËt liÖu dïng ®Ó t¹o trang bŞ cao cÊp.		Sinh ho¹t		10									
Bæ Thiªn TuyÕn	2	2	101	0	10	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Sîi t¬ dïng ®Ó v¸ trêi trong truyÒn thuyÕt, vËt liÖu may phßng cô cùc kú hiÕm cã.		Sinh ho¹t											
Thiªn H¹t Ch©m	2	2	102	0	10	999												\image\item\other\coll_112a1.spr	\image\item\other\coll_112a0.spr	Lo¹i da trong truyÒn thuyÕt, v« cïng cøng c¸p, c¸c lo¹i kim th­êng kh«ng thÓ xuyªn thñng.		Sinh ho¹t											
Tinh ThiÕt	2	2	1	0	1	999												\image\item\other\meta_001a1.spr	\image\item\other\meta_001a0.spr	§­îc tinh luyÖn tõ kho¸ng th¹ch, cã thÓ lµm vò khİ.		Sinh ho¹t		1									
B¸ch LuyÖn C­¬ng	2	2	2	0	2	999												\image\item\other\meta_002a1.spr	\image\item\other\meta_002a0.spr	Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		2									
¤ kim th¹ch	2	8	5	0	3	999												\image\item\other\ormeta_005a1.spr	\image\item\other\ormeta_005a0.spr	Dïng lµm nguyªn liÖu.		Sinh ho¹t		3									
Hµn thiÕt	2	2	4	0	4	999												\image\item\other\meta_004a1.spr	\image\item\other\meta_004a0.spr	Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		4									
Th¸i b¹ch tinh kim	2	2	5	0	5	999												\image\item\other\meta_005a1.spr	\image\item\other\meta_005a0.spr	Nguyªn liÖu chÕ t¹o vò khİ cùc kú quı hiÕm.		Sinh ho¹t		5									
HuyÒn thiÕt	2	2	6	0	6	999												\image\item\other\meta_006a1.spr	\image\item\other\meta_006a0.spr	Nguyªn liÖu chÕ t¹o vò khİ cùc kú quı hiÕm.		Sinh ho¹t		6									
Thiªn thanh th¹ch	2	2	36	0	7	999												\image\item\other\ormeta_011a1.spr	\image\item\other\ormeta_011a0.spr	Nguyªn liÖu chÕ t¹o cao cÊp cùc kú quı hiÕm. .		Sinh ho¹t		7									
H¾c « th¹ch	2	2	37	0	8	999												\image\item\other\ormeta_010a1.spr	\image\item\other\ormeta_010a0.spr	§¸ nam ch©m, nguyªn liÖu cao cÊp.		Sinh ho¹t		8									
H¾c ¤ tinh th¹ch	2	2	66	0	8	999												\image\item\other\ormeta_010Sa1.spr	\image\item\other\ormeta_010Sa0.spr	§­îc tinh luyÖn l¹i tõ ®¸ nam ch©m.		Sinh ho¹t		8									
Xİch ¤ linh phï	2	2	69	0	1	999												\image\item\other\fu_002Sa1.spr	\image\item\other\fu_002Sa0.spr	Linh phï ®­îc lµm tõ Gi¸m ®Şnh phï kÕt hîp víi Bå §Ò méc tr¶i qua qu¸ tr×nh phøc t¹p chÕ thµnh.		Sinh ho¹t		8									
Xİch thiÕt	2	2	38	0	9	999												\image\item\other\ormeta_008a1.spr	\image\item\other\ormeta_008a0.spr	Nguyªn liÖu cao cÊp		Sinh ho¹t		9									
V©n mÉu	2	2	39	0	10	999												\image\item\other\ormeta_012a1.spr	\image\item\other\ormeta_012a0.spr	Tinh kho¸ng th¹ch, nguyªn liÖu cao cÊp.		Sinh ho¹t		10									
C¸o th¹ch	2	2	40	0	10	999												\image\item\other\ormeta_009a1.spr	\image\item\other\ormeta_009a0.spr	Nguyªn liÖu cao cÊp quı hiÕm.		Sinh ho¹t											
Tö Kim	2	2	3	0	3	999												\image\item\other\meta_003a1.spr	\image\item\other\meta_003a0.spr	Nguyªn liÖu cao cÊp		Sinh ho¹t		3									
Hån Th¹ch	2	2	103	0	10	999												\image\item\other\ormeta_006a1.spr	\image\item\other\ormeta_006a0.spr	ThÇn binh lîi khİ ®Ò cã linh hån, Hån th¹ch vÉn lµ vËt kh«ng thÓ thiÕu ®Ó chÕ t¹o ThÇn khİ.		Sinh ho¹t											
M¶nh Thiªn th¹ch	2	2	7	0	4	999												\image\item\other\ÔÉÌúËéÆ¬(x).spr	\image\item\other\ÔÉÌúËéÆ¬(d).spr	Nguyªn liÖu ®Ó ®óc thÇn khİ. (VËt thªm vµo, gi¸ trŞ lµ 10, gi¸ trŞ tèi ®a lµ 6000)		ThÇn bİ		1	0	1							
Thiªn th¹ch	2	2	8	0	7	999												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	Cuèi n¨m Êt DËu, Xİch tinh r¬i ë T©y B¾c, C«ng Th©u Ban dïng liÖt háa luyÖn thµnh tinh th¹ch, nguyªn liÖu ®Ó ®óc thÇn khİ. (VËt thªm vµo, gi¸ trŞ lµ 40, gi¸ trŞ tèi ®a lµ 7000)		ThÇn bİ		1	0	1							
Tïng Méc	2	2	41	0	1	999												\image\item\other\orwood_009a1.spr	\image\item\other\orwood_009a0.spr	Hoa v¨n tù nhiªn cã thÓ dïng lµm giÊy.		Sinh ho¹t		1									
D­¬ng Méc	2	2	42	0	2	999												\image\item\other\orwood_012a1.spr	\image\item\other\orwood_012a0.spr	Ng­êi ph­¬ng B¾c th­êng sö dông.		Sinh ho¹t		2									
Sam Méc	2	2	43	0	3	999												\image\item\other\orwood_008a1.spr	\image\item\other\orwood_008a0.spr	Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		3									
ThiÕt Méc	2	2	44	0	4	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	Nguyªn liÖu cùc tèt.		Sinh ho¹t		4									
Ng« §ång	2	2	45	0	5	999												\image\item\other\orwood_011a1.spr	\image\item\other\orwood_011a0.spr	Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		5									
Trïng Méc	2	2	9	0	6	999												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	Cã thÓ dïng chÕ t¹o vò khİ.		Sinh ho¹t		6									
ThiÕt Ch­¬ng Méc	2	2	10	0	7	999												\image\item\other\wood_002a1.spr	\image\item\other\wood_002a0.spr	Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		7									
ThiÕt TuyÕn Méc	2	2	11	0	8	999												\image\item\other\wood_003a1.spr	\image\item\other\wood_003a0.spr	Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		8									
ThiÕt TuyÕn tinh méc	2	2	67	0	8	999												\image\item\other\wood_003Sa1.spr	\image\item\other\wood_003Sa0.spr	Cã thÓ dïng lµm nguyªn liÖu		Sinh ho¹t		8									
Ba La Méc	2	2	12	0	9	999												\image\item\other\wood_004a1.spr	\image\item\other\wood_004a0.spr	Nguyªn liÖu chÕ t¹o vò khİ.		Sinh ho¹t		9									
§µn Méc	2	2	13	0	10	999												\image\item\other\wood_005a1.spr	\image\item\other\wood_005a0.spr	Mïi h­¬ng cã thÓ trõ ®­îc tµ ma. Nguyªn liÖu cùc kú quı hiÕm.		Sinh ho¹t		10									
Bå §Ò Méc	2	2	14	0	6	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	Nguyªn liÖu quı hiÕm.		Sinh ho¹t		8									
ThiÕt Hoa Méc	2	2	104	0	10	999												\image\item\other\orwood_010a1.spr	\image\item\other\orwood_010a0.spr	ThiÕt Hoa Méc, cøng h¬n thĞp, dïng ®Ó chÕ t¹o vò khİ.		Sinh ho¹t		4									
KiÕn Méc	2	2	105	0	10	999												\image\item\other\wood_006a1.spr	\image\item\other\wood_006a0.spr	Gç lÊy tõ c©y cao chäc trêi trong truyÒn thuyÕt, dïng ®Ó chÕ t¹o vò khİ.		Sinh ho¹t		8									
Da sãi	2	2	15	0	1	999												\image\item\other\skin_001a1.spr	\image\item\other\skin_001a0.spr	Da sãi th«ng th­êng, dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		1									
Da hæ	2	2	16	0	2	999												\image\item\other\skin_002a1.spr	\image\item\other\skin_002a0.spr	Dïng lµm nguyªn liÖu phßng hé, rÊt hiÖu qu¶ khi chiÕn ®Êu!		Sinh ho¹t		2									
Da r¾n	2	2	18	0	3	999												\image\item\other\skin_003a1.spr	\image\item\other\skin_003a0.spr	Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		3									
Da c¸o	2	2	17	0	4	999												\image\item\other\skin_004a1.spr	\image\item\other\skin_004a0.spr	Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		4									
Da hæ tr¾ng	2	2	46	0	5	999												\image\item\other\orskin_011a1.spr	\image\item\other\orskin_011a0.spr	Da hæ tr¨m tuæi, cùc kú quı hiÕm.		Sinh ho¹t		5									
Da gÊu	2	2	20	0	6	999												\image\item\other\skin_006a1.spr	\image\item\other\skin_006a0.spr	Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		6									
Loan ®iÓu vò	2	10	7	0	7	999												\image\item\other\orskin_007a1.spr	\image\item\other\orskin_007a0.spr	Dïng lµm nguyªn liÖu phßng hé.		Sinh ho¹t		7									
Da S­ tö	2	2	47	0	8	999												\image\item\other\orskin_008a1.spr	\image\item\other\orskin_008a0.spr	Mét trong 4 tø linh, dïng lµm nguyªn liÖu phßng hé cùc kú quı hiÕm.		Sinh ho¹t		8									
Da S­ tinh	2	2	68	0	1	999												\image\item\other\orskin_008Sa1.spr	\image\item\other\orskin_008Sa0.spr	Da S­ tö qua nhiÒu c«ng ®o¹n tinh luyÖn chÕ biÕn thµnh.		Sinh ho¹t		8									
Da V­în tr¾ng	2	2	48	0	9	999												\image\item\other\orskin_010a1.spr	\image\item\other\orskin_010a0.spr	Da V­în tr¾ng cña vïng §«ng S¬n, cã thÓ trõ ®éc.		Sinh ho¹t											
Chu T­íc vò	2	2	49	0	10	999												\image\item\other\orsilk_013a1.spr	\image\item\other\orsilk_013a0.spr	L«ng chim sÎ ë vïng Giang Nam, löa thiªu kh«ng ch¸y		Sinh ho¹t		10									
Da Linh ngao	2	2	50	0	10	999												\image\item\other\orskin_009a1.spr	\image\item\other\orskin_009a0.spr	Vâ ngao ë biÓn Bét H¶i, n­íc kh«ng thÊm.		Sinh ho¹t		9									
Phông Hoµng Vò	2	2	51	0	10	999												\image\item\other\orsilk_014a1.spr	\image\item\other\orsilk_014a0.spr	Cã thÓ dïng lµm nguyªn liÖu tinh chÕ ®¬n d­îc C¶i tö håi sinh.		Sinh ho¹t											
H¾c CÈm	2	2	21	0	1	999												\image\item\other\silk_001a1.spr	\image\item\other\silk_001a0.spr	Lo¹i gÊm chØ cã ë vïng Giang Nam, mÒm m¹i quı ph¸i, nguyªn liÖu may trang phôc.		Sinh ho¹t		7									
Chøc cÈm	2	2	22	0	2	999												\image\item\other\silk_002a1.spr	\image\item\other\silk_002a0.spr	Do Tïng Giang phñ chÕ t¹o tõ v¶i b«ng vµ chØ mµu ®Ó dÖt.		Sinh ho¹t		7									
Háa Ho¸n CÈm	2	2	23	0	3	999												\image\item\other\silk_003a1.spr	\image\item\other\silk_003a0.spr	Lo¹i gÊm do §¹i Lı di téc dÖt, mµu s¾c sÆc sì, hoa v¨n tinh x¶o.		Sinh ho¹t		7									
Méc Miªn CÈm	2	2	24	0	4	999												\image\item\other\silk_004a1.spr	\image\item\other\silk_004a0.spr	Lo¹i gÊm trø danh do §¹i Lı di téc dÖt, mµu s¾c rùc rì.		Sinh ho¹t		4									
V©n CÈm	2	2	25	0	5	999												\image\item\other\silk_005a1.spr	\image\item\other\silk_005a0.spr	Lo¹i gÊm sang träng, ®¸ng gi¸ ngµn vµng do nh÷ng ng­êi thî næi tiÕng ë ®Êt Thôc dÖt thµnh.		Sinh ho¹t		5									
Thiªn T«n CÈm	2	2	26	0	6	999												\image\item\other\silk_006a1.spr	\image\item\other\silk_006a0.spr	Do c¸c thiÕu n÷ ë vïng T« Ch©u dÖt nªn, ®Ñp ®Ï thanh tó, t«n lªn nĞt sang träng.		Sinh ho¹t		6									
Liªn Hoµnh Phæ	2	2	27	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Binh khİ phæ do c¸c tiÒn bèi vâ l©m ®êi tr­íc truyÒn l¹i.		Sinh ho¹t		7									
Tu La Phæ	2	2	57	0	6	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Binh khİ phæ thÇn kú cña c¸c cña c¸c ®¹i s­ binh khİ næi tiÕng cña Tu La gi¸o n¨m x­a, dïng ®óc t¹o nh÷ng binh khİ th­îng ®¼ng.		Sinh ho¹t		7									
ThÇn Binh Phæ	2	2	58	0	9	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	Binh khİ phæ thÇn kú tõ thêi th­îng cæ truyÒn l¹i, chØ ng­êi h÷u duyªn míi cã thÓ ®óc t¹o ®­îc thÇn binh lîi khİ.		Sinh ho¹t		7									
H¾c Kim PhÊn	2	2	59	0	3	999												\image\item\other\coll_110a1.spr	\image\item\other\coll_110a0.spr	Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		1									
H¾c Kim nhá	2	2	60	0	6	999												\image\item\other\ºÚ½ğa1.spr	\image\item\other\ºÚ½ğa0.spr	Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		2									
H¾c Kim lín	2	2	61	0	9	999												\image\item\other\ºÚ½ğa1.spr	\image\item\other\ºÚ½ğa0.spr	Kim lo¹i thÇn kú ®­îc ng­êi T©y Vùc du nhËp vµo Trung Nguyªn tõ thêi H¸n Vâ §Õ, vËt liÖu quan träng ®Ó ®óc t¹o vò khİ.		Sinh ho¹t		3									
ChØ t¬	2	2	62	0	3	999												\image\item\other\orsilk_002a1.spr	\image\item\other\orsilk_002a0.spr	Kim tuyÕn b×nh d©n th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		1									
CÈm tuyÕn	2	2	63	0	6	999												\image\item\other\orsilk_003a1.spr	\image\item\other\orsilk_003a0.spr	Kim tuyÕn b×nh d©n th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		2									
Sîi t¬	2	2	64	0	9	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Kim tuyÕn phó hé th­êng dïng, nguyªn liÖu cÇn thiÕt ®Ó may v¸		Sinh ho¹t		3									
Linh Phï ChØ	2	2	65	0	9	999												\image\item\cloth\tool_010a1.spr	\image\item\cloth\tool_010a0.spr	Lo¹i giÊy chuyªn dïng ®Ó viÕt bïa chó.		Sinh ho¹t		1									
D­îc V­¬ng ThÇn biªn	2	2	28	0	3	999												\image\item\other\slife_001a1.spr	\image\item\other\slife_001a0.spr	S¸ch ghi chĞp c¸ch bµo chÕ thuèc cña D­îc V­¬ng T«n T­ M¹c ®Ó chÕ t¹o thÇn ®¬n vµ c¸c lo¹i thuèc quı.		Sinh ho¹t		3									
