T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Biªn hiÖu bé trang bŞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
NhuyÔn Kim y	0	100	11	100	2789	0	200	33;8						44	1	1		\image\item\cloth\man1_arm_011a1.spr	\image\item\cloth\man1_arm_011a0.spr	§­îc ®óc tõ kim lo¹i máng, bÒn nhÑ	±ê×¼ÄĞÇû¸É016	Th­îng y		4	0	0		0					
Th­¬ng  Lan y	0	100	12	50	2986	0	160	8;33						45	1	1		\image\item\cloth\man1_arm_012a1.spr	\image\item\cloth\man1_arm_012a0.spr	DÖt tõ nhiÒu loµi t¶o d­îc, ng­êi mang c¶m gi¸c dÔ chŞu, t©m tİnh «n hßa	±ê×¼ÄĞÇû¸É013	Th­îng y		4	0	0		0					
Lam K×nh b× gi¸p	0	100	13	120	4831	0	220	35;10						52	1	1		\image\item\cloth\man1_arm_013a1.spr	\image\item\cloth\man1_arm_013a0.spr	§­îc lµm tõ da c¸ voi tr¬n bãng, phßng ngù cùc tèt	±ê×¼ÄĞÇû¸É017	Th­îng y		5	0	0		0					
Xİch Long bµo	0	100	14	60	5088	0	180	10;35						53	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	Kú tr©n dŞ b¶o, ngµn vµng khã mua	±ê×¼ÄĞÇû¸É011	Th­îng y		5	0	0		0					
Thiªn Lang y	0	100	15	140	8588	0	240	37;11						61	1	1		\image\item\cloth\man1_arm_015a1.spr	\image\item\cloth\man1_arm_015a0.spr	§­îc lµm tõ Da hæ, bªn trong cã líp gi¸p s¾t kiÕm ®©m kh«ng thñng	±ê×¼ÄĞÇû¸É006	Th­îng y		6	0	0		0					
B¨ng Tµm Trï sam	0	100	16	70	8741	0	200	11;37						62	1	1		\image\item\cloth\man1_arm_016a1.spr	\image\item\cloth\man1_arm_016a0.spr	§­îc dÖt tõ T¬ t»m, phßng ngù cao	±ê×¼ÄĞÇû¸É014	Th­îng y		6	0	0		0					
S¬n Quû huyÕt y	0	100	17	160	11962	0	260	40;13						69	1	1		\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Cã thÓ tr¸nh ®­îc tµ ma vµ biÕt tr­íc tai häa s¾p x¶y ra.	±ê×¼ÄĞÇû¸É018	Th­îng y		7	0	0		0					
Thiªn Gi¸ng bµo	0	100	18	80	12729	0	220	13;40						70	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn	±ê×¼ÄĞÇû¸É009	Th­îng y		7	0	0		0					
HiÖp ThiÕu y	0	100	19	10	1	0	80	18;5						1	1	2		\image\item\cloth\man2_arm_001a1.spr	\image\item\cloth\man2_arm_001a0.spr	§­îc lµm tõ nguyªn liÖu ®¬n gi¶n, rÊt dÔ mua	¿ıÎàÄĞÇû¸É004	Th­îng y		1	0	0		0					
ThiÕt Hé Kiªn	0	100	20	10	1	0	90	20;5						6	1	2		\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	§­îc lµm tõ thĞp tinh luyÖn, phßng ngù cùc tèt	¿ıÎàÄĞÇû¸É001	Th­îng y		1	0	0		0					
Thó Hé Kiªn	0	100	21	20	258	0	120	23;6						10	1	2		\image\item\cloth\man2_arm_003a1.spr	\image\item\cloth\man2_arm_003a0.spr	M« pháng d¸ng h×nh thó Tr¹nh Nanh, ®èi ph­¬ng nh×n thÊy ®· khiÕp sî.	¿ıÎàÄĞÇû¸É002	Th­îng y		2	0	0		0					
CÈm Ti C©n	0	100	22	10	305	0	100	6;23						11	1	2		\image\item\cloth\man2_arm_004a1.spr	\image\item\cloth\man2_arm_004a0.spr	§­îc dÖt tõ gÊm mÒm m¹i, gi¶m s¸t th­¬ng  néi lùc.	¿ıÎàÄĞÇû¸É013	Th­îng y		2	0	0		0					
Hµo HiÖp y	0	100	23	40	724	0	140	25;6						18	1	2		\image\item\cloth\man2_arm_005a1.spr	\image\item\cloth\man2_arm_005a0.spr	Trang phôc cña c¸c hiÖp kh¸ch trõ gian diÖt ®¹o	¿ıÎàÄĞÇû¸É010	Th­îng y		2	0	0		0					
Kim Ngäc Trï sam	0	100	24	20	766	0	110	6;25						19	1	2		\image\item\cloth\man2_arm_006a1.spr	\image\item\cloth\man2_arm_006a0.spr	§­îc c¸c thî dÖt næi tiÕng ë TriÕt Giang dÖt thµnh, trªn cã kh¶m ngäc ®¸ng gi¸ ngµn vµng.	¿ıÎàÄĞÇû¸É014	Th­îng y		2	0	0		0					
Lôc L©m trang	0	100	25	60	992	0	160	28;7						27	1	2		\image\item\cloth\man2_arm_007a1.spr	\image\item\cloth\man2_arm_007a0.spr	Trang phôc cña c¸c Lôc L©m h¶o h¸n	¿ıÎàÄĞÇû¸É011	Th­îng y		3	0	0		0					
Hoµng Hæ y	0	100	26	30	1046	0	120	7;28						28	1	2		\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	Kú tr©n dŞ b¶o. §­îc lµm tõ Da hæ tr¨m n¨m, Èn chøa linh lùc gi¶m s¸t th­¬ng rÊt hiÖu qu¶	¿ıÎàÄĞÇû¸É003	Th­îng y		3	0	0		0					
ThÇn Ng­u Hé gi¸p	0	100	27	80	1527	0	180	30;8						35	1	2		\image\item\cloth\man2_arm_009a1.spr	\image\item\cloth\man2_arm_009a0.spr	§­îc may tõ da cña tª ng­u ngoµi cã d¸t b¹c, phßng ngù cùc tèt	¿ıÎàÄĞÇû¸É015	Th­îng y		3	0	0		0					
Tö Thanh S­¬ng Hoa sam	0	100	28	40	1620	0	140	8;30						36	1	2		\image\item\cloth\man2_arm_010a1.spr	\image\item\cloth\man2_arm_010a0.spr	§­îc kÕt nªn tõ tuyÕt quanh n¨m trªn ®Ønh TuyÕt S¬n, kh¸ng b¨ng cùc tèt	¿ıÎàÄĞÇû¸É008	Th­îng y		3	0	0		0					
Di Nhiªm Kh¸ch y	0	100	29	100	2789	0	200	33;8						44	1	2		\image\item\cloth\man2_arm_011a1.spr	\image\item\cloth\man2_arm_011a0.spr	M« pháng theo trang phôc cuèi ®êi Tïy	¿ıÎàÄĞÇû¸É012	Th­îng y		4	0	0		0					
Thiªn NhÉn y	0	100	30	50	2986	0	160	8;33						45	1	2		\image\item\cloth\man2_arm_012a1.spr	\image\item\cloth\man2_arm_012a0.spr	§»ng ®»ng s¸t khİ, ng­êi yÕu bãng vİa nh×n thÊy lµ khiÕp sî	¿ıÎàÄĞÇû¸É018	Th­îng y		4	0	0		0					
ThÇn S¸ch Kim gi¸p	0	100	31	120	4831	0	220	35;10						52	1	2		\image\item\cloth\man2_arm_013a1.spr	\image\item\cloth\man2_arm_013a0.spr	Kh«i gi¸p cña thñ lÜnh cÊm qu©n ®êi ®­êng, phßng ngù cao	¿ıÎàÄĞÇû¸É005	Th­îng y		5	0	0		0					
L«i Ng©n Gi¸p	0	100	32	60	5088	0	180	10;35						53	1	2		\image\item\cloth\man2_arm_014a1.spr	\image\item\cloth\man2_arm_014a0.spr	HÊp thu linh lùc ®Êt trêi, cã thÓ phßng tr¸nh s¸t th­¬ng ngò hµnh	¿ıÎàÄĞÇû¸É017	Th­îng y		5	0	0		0					
Tinh Cang HuyÒn Kim gi¸p	0	100	33	140	8588	0	240	37;11						61	1	2		\image\item\cloth\man2_arm_015a1.spr	\image\item\cloth\man2_arm_015a0.spr	§­îc lµm tõ thiÕt tinh khiÕt, bÒn ch¾c v« song	¿ıÎàÄĞÇû¸É006	Th­îng y		6	0	0		0					
Háa Chu Th¸nh sam	0	100	34	70	8741	0	200	11;37						62	1	2		\image\item\cloth\man2_arm_016a1.spr	\image\item\cloth\man2_arm_016a0.spr	§­îc dÖt tõ t¬ cña mét lo¹i nhÖn trªn háa s¬n, phßng háa cùc tèt.	¿ıÎàÄĞÇû¸É009	Th­îng y		6	0	0		0					
HuyÕt Hµ Quû V­¬ng gi¸p	0	100	35	160	11962	0	260	40;13						69	1	2		\image\item\cloth\man2_arm_017a1.spr	\image\item\cloth\man2_arm_017a0.spr	T­¬ng truyÒn sau khi ThÇn Chung Quú thu phôc ®­îc quû v­¬ng ®· chÕ t¹o ra b¶o gi¸p, gi¸ trŞ v« song.	¿ıÎàÄĞÇû¸É007	Th­îng y		7	0	0		0					
Long B¸ ¤ kim y	0	100	36	80	12729	0	220	13;40						70	1	2		\image\item\cloth\man2_arm_018a1.spr	\image\item\cloth\man2_arm_018a0.spr	§­îc dÖt tõ l«ng Kim ¤, bÒn ch¾c, phßng ngù cao.	¿ıÎàÄĞÇû¸É016	Th­îng y		7	0	0		0					
Th¸i Th­êng	0	100	37	10	1	0	80	18;5						1	2	3		\image\item\cloth\fm1_arm_001a1.spr	\image\item\cloth\fm1_arm_001a0.spr	§­îc may tõ lo¹i voan máng ®a s¾c, nhÑ nhµng quyÕn rò	ĞÔ¸ĞÅ®Çû¸É033	Th­îng y		1	0	0		0					
Tö L¨ng Th­êng	0	100	38	10	1	0	90	20;5						6	2	3		\image\item\cloth\fm1_arm_002a1.spr	\image\item\cloth\fm1_arm_002a0.spr	§­îc may tõ lo¹i v¶i nhuém s¾c cñ Êu, l·ng tö phong l­u	ĞÔ¸ĞÅ®Çû¸É003	Th­îng y		1	0	0		0					
Tö Nhung Th­êng	0	100	39	20	258	0	120	23;6						10	2	3		\image\item\cloth\fm1_arm_003a1.spr	\image\item\cloth\fm1_arm_003a0.spr	§­îc lµm tõ v¶i l«ng b×nh th­êng, rÊt dÔ mua.	ĞÔ¸ĞÅ®Çû¸É021	Th­îng y		2	0	0		0					
T©m Ên Th­êng	0	100	40	10	305	0	100	6;23						11	2	3		\image\item\cloth\fm1_arm_004a1.spr	\image\item\cloth\fm1_arm_004a0.spr	§­îc dÖt nªn tõ bµn tay khĞo lĞo cña c¸c thiÕu n÷ Giang Nam, mµu s¾c sÆc sì	ĞÔ¸ĞÅ®Çû¸É022	Th­îng y		2	0	0		0					
Vò LuyÖn Th­êng	0	100	41	40	724	0	140	25;6						18	2	3		\image\item\cloth\fm1_arm_005a1.spr	\image\item\cloth\fm1_arm_005a0.spr	Trang phôc cña c¸c hiÖp n÷, uy phong lÉm liÖt.	ĞÔ¸ĞÅ®Çû¸É031	Th­îng y		2	0	0		0					
Thiªn Ma Th­êng	0	100	42	20	766	0	110	6;25						19	2	3		\image\item\cloth\fm1_arm_006a1.spr	\image\item\cloth\fm1_arm_006a0.spr	Phôc trang cña n÷ Ma gi¸o th­êng mÆc khi luyÖn ph¸p thuËt	ĞÔ¸ĞÅ®Çû¸É034	Th­îng y		2	0	0		0					
LuyÖn Gi¸p Th­êng	0	100	43	60	992	0	160	28;7						27	2	3		\image\item\cloth\fm1_arm_007a1.spr	\image\item\cloth\fm1_arm_007a0.spr	§­îc ®óc tõ kim lo¹i lÊy tõ Tö Kim s¬n, phßng ngù cùc tèt	ĞÔ¸ĞÅ®Çû¸É028	Th­îng y		3	0	0		0					
Ho¸n Hoa Th­êng	0	100	44	30	1046	0	120	7;28						28	2	3		\image\item\cloth\fm1_arm_016a1.spr	\image\item\cloth\fm1_arm_016a0.spr	May tõ lo¹i v¶i ­íp h­¬ng hoa, xa tr¨m b­íc vÉn nghe ®­îc mïi h­¬ng	ĞÔ¸ĞÅ®Çû¸É030	Th­îng y		3	0	0		0					
CÈm Anh Th­êng	0	100	45	80	1527	0	180	30;8						35	2	3		\image\item\cloth\fm1_arm_009a1.spr	\image\item\cloth\fm1_arm_009a0.spr	§­îc dÖt tõ t¬ Thiªn Tµm næi tiÕng cña vïng Giang Nam, võa ®Ñp võa bÒn.	ĞÔ¸ĞÅ®Çû¸É027	Th­îng y		3	0	0		0					
N÷ KiÖt Th­êng	0	100	46	40	1620	0	140	8;30						36	2	3		\image\item\cloth\fm1_arm_010a1.spr	\image\item\cloth\fm1_arm_010a0.spr	C¸c tiÓu th­ muèn c¶i trang ®Ó hµnh hiÖp giang hå	ĞÔ¸ĞÅ®Çû¸É025	Th­îng y		3	0	0		0					
Thanh Linh Th­êng	0	100	47	100	2789	0	200	33;8						44	2	3		\image\item\cloth\fm1_arm_011a1.spr	\image\item\cloth\fm1_arm_011a0.spr	§­îc dÖt tõ t¬ nhÖn, kh«ng thÊm n­íc	ĞÔ¸ĞÅ®Çû¸É008	Th­îng y		4	0	0		0					
Hång Nghª Th­êng	0	100	48	50	2986	0	160	8;33						45	2	3		\image\item\cloth\fm1_arm_012a1.spr	\image\item\cloth\fm1_arm_012a0.spr	Kú tr©n dŞ b¶o, cã thÓ kh¸ng háa	ĞÔ¸ĞÅ®Çû¸É023	Th­îng y		4	0	0		0					
L©n Quang gi¸p	0	100	49	120	4831	0	220	35;10						52	2	3		\image\item\cloth\fm1_arm_013a1.spr	\image\item\cloth\fm1_arm_013a0.spr	§­îc ghĞp tõ nhiÒu m¶nh v©y c¸, phßng ngù cùc tèt	ĞÔ¸ĞÅ®Çû¸É007	Th­îng y		5	0	0		0					
Hå C¬ Vò y	0	100	50	60	5088	0	180	10;35						53	2	3		\image\item\cloth\fm1_arm_014a1.spr	\image\item\cloth\fm1_arm_014a0.spr	Trang bŞ th­êng thÊy cña c¸c ph­êng h¸t vïng Giang Nam	ĞÔ¸ĞÅ®Çû¸É024	Th­îng y		5	0	0		0					
Minh Quang gi¸p	0	100	51	140	8588	0	240	37;11						61	2	3		\image\item\cloth\fm1_arm_015a1.spr	\image\item\cloth\fm1_arm_015a0.spr	Lo¹i gi¸p dµy cã d¸t ®ång, phßng ngù tèt	ĞÔ¸ĞÅ®Çû¸É032	Th­îng y		6	0	0		0					
Nghª Th­êng Vò y	0	100	52	70	8741	0	200	11;37						62	2	3		\image\item\cloth\fm1_arm_008a1.spr	\image\item\cloth\fm1_arm_008a0.spr	M« pháng theo trang phôc cña c¸c Cung  n÷ thêi §­êng	ĞÔ¸ĞÅ®Çû¸É020	Th­îng y		6	0	0		0					
Thiªn y	0	100	53	160	11962	0	260	40;13						69	2	3		\image\item\cloth\fm1_arm_017a1.spr	\image\item\cloth\fm1_arm_017a0.spr	M« pháng theo trang phôc cña c¸c vŞ tiªn.	ĞÔ¸ĞÅ®Çû¸É036	Th­îng y		7	0	0		0					
Phi Thiªn Th¸i Th­êng	0	100	54	80	12729	0	220	13;40						70	2	3		\image\item\cloth\fm1_arm_018a1.spr	\image\item\cloth\fm1_arm_018a0.spr	B¶o vËt cùc hiÕm! MÆc vµo cã thÓ biÕt tr­íc v¹n sù.	ĞÔ¸ĞÅ®Çû¸É026	Th­îng y		7	0	0		0					
Vò Th­êng	0	100	55	10	1	0	80	18;5						1	2	4		\image\item\cloth\fm2_arm_001a1.spr	\image\item\cloth\fm2_arm_001a0.spr	§­îc may tõ voan máng nh­ng cùc kú bÒn ch¾c	½¿Ğ¡Å®Çû¸É003	Th­îng y		1	0	0		0					
Hång V©n Th­êng	0	100	56	10	1	0	90	20;5						6	2	4		\image\item\cloth\fm2_arm_002a1.spr	\image\item\cloth\fm2_arm_002a0.spr	§­îc may tõ lo¹i voan máng, mµu s¾c hµi hßa quyÕn rò	½¿Ğ¡Å®Çû¸É005	Th­îng y		1	0	0		0					
Tö Kinh sam	0	100	57	20	258	0	120	23;6						10	2	4		\image\item\cloth\fm2_arm_003a1.spr	\image\item\cloth\fm2_arm_003a0.spr	Trang phôc th­êng, rÊt dÔ mua	½¿Ğ¡Å®Çû¸É008	Th­îng y		2	0	0		0					
Linh VËn Th­êng	0	100	58	10	305	0	100	6;23						11	2	4		\image\item\cloth\fm2_arm_004a1.spr	\image\item\cloth\fm2_arm_004a0.spr	C¸c thiÕu n÷ trong giíi Vâ L©m th­êng sö dông, linh ho¹t bÒn ch¾c	½¿Ğ¡Å®Çû¸É004	Th­îng y		2	0	0		0					
C©n Qu¾c sam	0	100	59	40	724	0	140	25;6						18	2	4		\image\item\cloth\fm2_arm_005a1.spr	\image\item\cloth\fm2_arm_005a0.spr	Trang phôc cña n÷ t­íng, mÆc vµo dòng khİ còng kh«ng thua g× nam nh©n	½¿Ğ¡Å®Çû¸É011	Th­îng y		2	0	0		0					
Phong Vò Th­êng	0	100	60	20	766	0	110	6;25						19	2	4		\image\item\cloth\fm2_arm_006a1.spr	\image\item\cloth\fm2_arm_006a0.spr	HiÖp n÷ hµnh ®¹o giang hå th­êng sö dông, méc m¹c ®¬n gi¶n	½¿Ğ¡Å®Çû¸É001	Th­îng y		2	0	0		0					
MËt V©n Sam	0	100	61	60	992	0	160	28;7						27	2	4		\image\item\cloth\fm2_arm_007a1.spr	\image\item\cloth\fm2_arm_007a0.spr	C¸c cao thñ th­êng sö dông	½¿Ğ¡Å®Çû¸É010	Th­îng y		3	0	0		0					
Vâ §Êu Th­êng	0	100	62	30	1046	0	120	7;28						28	2	4		\image\item\cloth\fm2_arm_008a1.spr	\image\item\cloth\fm2_arm_008a0.spr	Vâ phôc mÆc trong c¸c trËn ®Êu L«i ®µi	½¿Ğ¡Å®Çû¸É002	Th­îng y		3	0	0		0					
Thiªn Tµm gi¸p y	0	100	63	80	1527	0	180	30;8						35	2	4		\image\item\cloth\fm2_arm_009a1.spr	\image\item\cloth\fm2_arm_009a0.spr	§­îc dÖt tõ T¬ t»m cao cÊp, bÒn ch¾c v« song	½¿Ğ¡Å®Çû¸É007	Th­îng y		3	0	0		0					
û La Th­êng	0	100	64	40	1620	0	140	8;30						36	2	4		\image\item\cloth\fm2_arm_010a1.spr	\image\item\cloth\fm2_arm_010a0.spr	Pháng theo kiÓu d¸ng trang phôc cña c¸c Cung  n÷, dŞu dµng quı ph¸i.	½¿Ğ¡Å®Çû¸É016	Th­îng y		3	0	0		0					
Thiªn C«ng §Êu y	0	100	65	100	2789	0	200	33;8						44	2	4		\image\item\cloth\fm2_arm_011a1.spr	\image\item\cloth\fm2_arm_011a0.spr	Thî rÌn Thµnh §« ®· ®Æt chÕ ®Ó tÆng con g¸i trong ngµy sinh nhËt.	½¿Ğ¡Å®Çû¸É012	Th­îng y		4	0	0		0					
Linh Lung Th­êng	0	100	66	50	2986	0	160	8;33						45	2	4		\image\item\cloth\fm2_arm_012a1.spr	\image\item\cloth\fm2_arm_012a0.spr	§­îc kÕt tõ hoa d¹i, h­¬ng th¬m ngµo ng¹t.	½¿Ğ¡Å®Çû¸É006	Th­îng y		4	0	0		0					
Thó V­¬ng §Êu y	0	100	67	120	4831	0	220	35;10						52	2	4		\image\item\cloth\fm2_arm_013a1.spr	\image\item\cloth\fm2_arm_013a0.spr	§­îc chÕ t¹o tõ huyÒn kim cùc kú quı hiÕm.	½¿Ğ¡Å®Çû¸É013	Th­îng y		5	0	0		0					
Th¸i Hoa Th­êng	0	100	68	60	5088	0	180	10;35						53	2	4		\image\item\cloth\fm2_arm_014a1.spr	\image\item\cloth\fm2_arm_014a0.spr	Trang phôc Vâ T¾c Thiªn mçi khi c¶i trang vi hµnh	½¿Ğ¡Å®Çû¸É015	Th­îng y		5	0	0		0					
NghŞch V©n §Êu y	0	100	69	140	8588	0	240	37;11						61	2	4		\image\item\cloth\fm2_arm_015a1.spr	\image\item\cloth\fm2_arm_015a0.spr	Trang phôc cña c¸c thiÕu n÷ Liªu bang.	½¿Ğ¡Å®Çû¸É009	Th­îng y		6	0	0		0					
CÈm V©n Th­êng	0	100	70	70	8741	0	200	11;37						62	2	4		\image\item\cloth\fm2_arm_016a1.spr	\image\item\cloth\fm2_arm_016a0.spr	NhÑ nhµng nh­ c¸nh b­ím, trong cã ­íp h­¬ng hoa v« cïng quyÕn rò.	½¿Ğ¡Å®Çû¸É017	Th­îng y		6	0	0		0					
V« Song §Êu y	0	100	71	160	11962	0	260	40;13						69	2	4		\image\item\cloth\fm2_arm_017a1.spr	\image\item\cloth\fm2_arm_017a0.spr	T­¬ng truyÒn b¶o y cña Tiªn n÷, cã thÓ phßng ®­îc thñy háa.	½¿Ğ¡Å®Çû¸É014	Th­îng y		7	0	0		0					
Ngò S¾c Nghª Th­êng	0	100	72	80	12729	0	220	13;40						70	2	4		\image\item\cloth\fm2_arm_018a1.spr	\image\item\cloth\fm2_arm_018a0.spr	LÊp l¸nh nh­ s¾c cÇu vång, ban ®ªm ph¸t s¸ng	½¿Ğ¡Å®Çû¸É018	Th­îng y		7	0	0		0					
ThÊt ThÇn Y	0	100	73	60	15000	0	160	44;15						84	1	1		\image\item\cloth\ÆßÉñÒÂa1.spr	\image\item\cloth\ÆßÉñÒÂa0.spr	Trang phôc ChiÕn ThÇn ThÊt ChiÕn gióp gi¶m s¸t th­¬ng nÕu ®­îc ChiÕn ThÇn hé th©n.	±ê×¼ÄĞÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0					
Long L©n ¤ Kim Gi¸p	0	100	74	60	15000	0	140	44;15						84	1	2		\image\item\cloth\ÁúÁÛÎÚ½ğ¼×a1.spr	\image\item\cloth\ÁúÁÛÎÚ½ğ¼×a0.spr	V¶y rång kÕt hîp ¤ Kim ®óc thµnh ¤ Kim Gi¸p, t¨ng søc m¹nh ThÇn Long.	¿ıÎàÄĞÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0					
Lôc Oanh Vò Y	0	100	75	60	15000	0	200	44;15						84	2	3		\image\item\cloth\ÂÌİÓÓğÒÂa1.spr	\image\item\cloth\ÂÌİÓÓğÒÂa0.spr	¸o l«ng vô xanh lôc, uyÓn chuyÓn th­ít tha.	ĞÔ¸ĞÅ®ÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0					
Doanh Vò Th­êng	0	100	76	60	15000	0	175	44;15						84	2	4		\image\item\cloth\Ó¯ÎèÓğÉÑa1.spr	\image\item\cloth\Ó¯ÎèÓğÉÑa0.spr	¸o l«ng vò nhung tİm, t«n thªm nÎ ®Ñp n÷ tİnh.	½¿Ğ¡Å®ÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0					
