NpcID	NpcMode	NpcName
1108	KiÕm Hån	KiÕm Hån
1109	Miªu téc thiÕu n÷1	ThiÕu n÷ ¤ M«ng Bé
1110	Hoang m¹c ®ao kh¸ch	Hoang m¹c ®ao kh¸ch
1111	§éc Gi¸p Trïng	§éc Gi¸p Trïng
1112	RÕt ®éc	RÕt ®éc
1113	Ong ®éc nhá	Ong ®éc
1114	Muçi ®éc	Muçi ®éc
1115	Thùc Nh©n Th¶o	Thùc Nh©n Th¶o
1116	§éc TÝch	Cù §éc TÝch
1117	Xi Háa H¾c gi¸o ®å	Xi Háa H¾c gi¸o ®å
1118	Xi Háa B¹ch gi¸o ®å	Xi Háa B¹ch gi¸o ®å
1119	Xi Háa XÝch gi¸o ®å	Xi Háa XÝch gi¸o ®å
1120	Xi Háa sø gi¶	Xi Háa sø gi¶
1121	D¬i ®éc	D¬i ®éc
1122	Xi Háa hé ph¸p	Xi Háa hé ph¸p
1123	¸c lµ	¸c Lµ
1124	Miªu LÜnh TuÇn Tr¹i	Miªu LÜnh TuÇn Tr¹i
1125	Mao Ng­u	Mao Ng­u
1126	Miªu LÜnh Hé Ên	Miªu LÜnh Hé Ên
1127	Miªu LÜnh Phu nh©n	Miªu LÜnh Phu nh©n
1128	Miªu LÜnh Thæ ty	Miªu LÜnh Thæ ty
1129	B¹ch §Çu §iªu	B¹ch §Çu §iªu
1130	Tö D¹ Hæ	Tö D¹ Hæ
1131	H×nh nh©n	H×nh nh©n
1132	Xi Háa tr­ëng l·o	Xi Háa tr­ëng l·o
1133	Xi Háa ®µn chñ	Xi Háa ®µn chñ
1134	H¾c Tinh Tinh	H¾c Tinh Tinh
1135	D· Mao T­îng	D· Mao T­îng
1136	Ph¶n Qu©n tuÇn la	Ph¶n Qu©n tuÇn la
1137	Ph¶n qu©n vÖ binh	VÖ sÜ ph¶n qu©n
1138	Thiªn TÇm Vâ T¨ng	Thiªn TÇm Vâ T¨ng
1139	Thiªn TÇm Ph¸p T¨ng	Thiªn TÇm Ph¸p T¨ng
1140	Ma Ni T¨ng	Ma Ni T¨ng
1141	§µ La Ni T¨ng	§µ La Ni T¨ng
1142	Tr× §ao Hé VÖ	Tr× §ao Hé VÖ
1143	Tr× M©u Hé VÖ	Tr× M©u Hé VÖ
