ValueMin	ValueMax	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
3301	3400																																																		893	893	893	893	893	701	701	701	701	701	230	230	230	230	230	153	153	153	153	153	17	17	17	17	17	6	6	6	6	6																																									
3401	3500																																																		895	895	895	895	895	697	697	697	697	697	230	230	230	230	230	154	154	154	154	154	18	18	18	18	18	6	6	6	6	6																																									
3501	3600																																																		898	898	898	898	898	693	693	693	693	693	231	231	231	231	231	154	154	154	154	154	18	18	18	18	18	6	6	6	6	6																																									
3601	3700																																																		897	897	897	897	897	690	690	690	690	690	232	232	232	232	232	155	155	155	155	155	19	19	19	19	19	7	7	7	7	7																																									
3701	3800																																																		900	900	900	900	900	686	686	686	686	686	232	232	232	232	232	155	155	155	155	155	20	20	20	20	20	7	7	7	7	7																																									
3801	3900																																																		900	900	900	900	900	683	683	683	683	683	233	233	233	233	233	156	156	156	156	156	21	21	21	21	21	7	7	7	7	7																																									
3901	4000																																																		901	901	901	901	901	680	680	680	680	680	234	234	234	234	234	156	156	156	156	156	21	21	21	21	21	8	8	8	8	8																																									
4001	4100																																																							1143	1143	1143	1143	1143	452	452	452	452	452	375	375	375	375	375	22	22	22	22	22	8	8	8	8	8																																									
4101	4200																																																							1167	1167	1167	1167	1167	440	440	440	440	440	362	362	362	362	362	23	23	23	23	23	8	8	8	8	8																																									
4201	4300																																																							1189	1189	1189	1189	1189	428	428	428	428	428	350	350	350	350	350	24	24	24	24	24	9	9	9	9	9																																									
4301	4400																																																							1215	1215	1215	1215	1215	415	415	415	415	415	337	337	337	337	337	24	24	24	24	24	9	9	9	9	9																																									
4401	4500																																																							1240	1240	1240	1240	1240	402	402	402	402	402	324	324	324	324	324	25	25	25	25	25	9	9	9	9	9																																									
4501	4600																																																							1263	1263	1263	1263	1263	390	390	390	390	390	311	311	311	311	311	26	26	26	26	26	10	10	10	10	10																																									
4601	4700																																																							1287	1287	1287	1287	1287	377	377	377	377	377	299	299	299	299	299	27	27	27	27	27	10	10	10	10	10																																									
4701	4800																																																							1312	1312	1312	1312	1312	365	365	365	365	365	286	286	286	286	286	27	27	27	27	27	10	10	10	10	10																																									
4801	4900																																																							1336	1336	1336	1336	1336	353	353	353	353	353	273	273	273	273	273	28	28	28	28	28	10	10	10	10	10																																									
4901	5000																																																							1360	1360	1360	1360	1360	340	340	340	340	340	260	260	260	260	260	30	30	30	30	30	10	10	10	10	10																																									
5001	5100																																																												1145	1145	1145	1145	1145	812	812	812	812	812	32	32	32	32	32	11	11	11	11	11																																									
5101	5200																																																												1135	1135	1135	1135	1135	819	819	819	819	819	35	35	35	35	35	11	11	11	11	11																																									
5201	5300																																																												1125	1125	1125	1125	1125	826	826	826	826	826	37	37	37	37	37	12	12	12	12	12																																									
5301	5400																																																												1114	1114	1114	1114	1114	834	834	834	834	834	40	40	40	40	40	12	12	12	12	12																																									
5401	5500																																																												1192	1192	1192	1192	1192	929	929	929	929	929	42	42	42	42	42	13	13	13	13	13																																									
5501	5600																																																												1094	1094	1094	1094	1094	848	848	848	848	848	45	45	45	45	45	13	13	13	13	13																																									
5601	5700																																																												1083	1083	1083	1083	1083	856	856	856	856	856	47	47	47	47	47	14	14	14	14	14																																									
5701	5800																																																												1073	1073	1073	1073	1073	863	863	863	863	863	50	50	50	50	50	14	14	14	14	14																																									
5801	5900																																																												1063	1063	1063	1063	1063	870	870	870	870	870	52	52	52	52	52	15	15	15	15	15																																									
5901	6000																																																												1053	1053	1053	1053	1053	877	877	877	877	877	55	55	55	55	55	15	15	15	15	15																																									
6001	6100																																																												969	969	969	969	969	812	812	812	812	812	130	130	130	130	130	89	89	89	89	89																																									
6101	6200																																																												962	962	962	962	962	822	822	822	822	822	130	130	130	130	130	86	86	86	86	86																																									
6201	6300																																																												954	954	954	954	954	831	831	831	831	831	130	130	130	130	130	85	85	85	85	85																																									
6301	6400																																																												946	946	946	946	946	842	842	842	842	842	130	130	130	130	130	82	82	82	82	82																																									
6401	6500																																																												938	938	938	938	938	851	851	851	851	851	130	130	130	130	130	81	81	81	81	81																																									
6501	6600																																																												931	931	931	931	931	861	861	861	861	861	130	130	130	130	130	78	78	78	78	78																																									
6601	6700																																																												922	922	922	922	922	871	871	871	871	871	130	130	130	130	130	77	77	77	77	77																																									
6701	6800																																																												915	915	915	915	915	881	881	881	881	881	130	130	130	130	130	74	74	74	74	74																																									
6801	6900																																																												907	907	907	907	907	890	890	890	890	890	130	130	130	130	130	73	73	73	73	73																																									
6901	7000																																																												900	900	900	900	900	900	900	900	900	900	130	130	130	130	130	70	70	70	70	70																																									
7001	7100																																																																	764	764	764	764	764	668	668	668	668	668	508	508	508	508	508	35	35	35	35	35	25	25	25	25	25																															
7101	7200																																																																	754	754	754	754	754	655	655	655	655	655	525	525	525	525	525	40	40	40	40	40	26	26	26	26	26																															
7201	7300																																																																	743	743	743	743	743	642	642	642	642	642	543	543	543	543	543	45	45	45	45	45	27	27	27	27	27																															
7301	7400																																																																	735	735	735	735	735	631	631	631	631	631	561	561	561	561	561	45	45	45	45	45	28	28	28	28	28																															
7401	7500																																																																	724	724	724	724	724	618	618	618	618	618	580	580	580	580	580	50	50	50	50	50	28	28	28	28	28																															
7501	7600																																																																	714	714	714	714	714	605	605	605	605	605	597	597	597	597	597	55	55	55	55	55	29	29	29	29	29																															
7601	7700																																																																	706	706	706	706	706	594	594	594	594	594	615	615	615	615	615	55	55	55	55	55	30	30	30	30	30																															
7701	7800																																																																	696	696	696	696	696	580	580	580	580	580	633	633	633	633	633	60	60	60	60	60	31	31	31	31	31																															
7801	7900																																																																	686	686	686	686	686	568	568	568	568	568	650	650	650	650	650	65	65	65	65	65	31	31	31	31	31																															
7901	8000																																																																	677	677	677	677	677	557	557	557	557	557	669	669	669	669	669	65	65	65	65	65	32	32	32	32	32																															
8001	8100																																																																						993	993	993	993	993	904	904	904	904	904	70	70	70	70	70	33	33	33	33	33																															
8101	8200																																																																						985	985	985	985	985	906	906	906	906	906	75	75	75	75	75	34	34	34	34	34																															
8201	8300																																																																						981	981	981	981	981	910	910	910	910	910	75	75	75	75	75	34	34	34	34	34																															
8301	8400																																																																						973	973	973	973	973	912	912	912	912	912	80	80	80	80	80	35	35	35	35	35																															
8401	8500																																																																						965	965	965	965	965	914	914	914	914	914	85	85	85	85	85	36	36	36	36	36																															
8501	8600																																																																						960	960	960	960	960	918	918	918	918	918	85	85	85	85	85	37	37	37	37	37																															
8601	8700																																																																						953	953	953	953	953	920	920	920	920	920	90	90	90	90	90	37	37	37	37	37																															
8701	8800																																																																						945	945	945	945	945	922	922	922	922	922	95	95	95	95	95	38	38	38	38	38																															
8801	8900																																																																						939	939	939	939	939	927	927	927	927	927	95	95	95	95	95	39	39	39	39	39																															
8901	9000																																																																						850	850	850	850	850	850	850	850	850	850	180	180	180	180	180	120	120	120	120	120																															
9001	9100																																																																											1250	1250	1250	1250	1250	500	500	500	500	500	200	200	200	200	200	50	50	50	50	50																										
9101	9200																																																																											1190	1190	1190	1190	1190	500	500	500	500	500	250	250	250	250	250	60	60	60	60	60																										
9201	9300																																																																											1130	1130	1130	1130	1130	500	500	500	500	500	300	300	300	300	300	70	70	70	70	70																										
9301	9400																																																																											1070	1070	1070	1070	1070	500	500	500	500	500	350	350	350	350	350	80	80	80	80	80																										
9401	9500																																																																											1000	1000	1000	1000	1000	500	500	500	500	500	400	400	400	400	400	100	100	100	100	100																										
9501	9600																																																																											880	880	880	880	880	500	500	500	500	500	420	420	420	420	420	150	150	150	150	150	50	50	50	50	50																					
9601	9700																																																																																800	800	800	800	800	885	885	885	885	885	215	215	215	215	215	100	100	100	100	100																					
9701	9800																																																																																700	700	700	700	700	870	870	870	870	870	280	280	280	280	280	150	150	150	150	150																					
9801	9900																																																																																600	600	600	600	600	850	850	850	850	850	350	350	350	350	350	200	200	200	200	200																					
9901	9999																																																																																600	600	600	600	600	700	700	700	700	700	400	400	400	400	400	300	300	300	300	200	100																				
10000	10999																																																																																500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	400	400	400	400	400																				
11000	11999																																																																																					754	754	754	754	754	655	655	655	655	655	525	525	525	525	525	40	40	40	40	40	26	26	26	26	26											
12000	12999																																																																																					743	743	743	743	743	642	642	642	642	642	543	543	543	543	543	45	45	45	45	45	27	27	27	27	27											
13000	13999																																																																																					735	735	735	735	735	631	631	631	631	631	561	561	561	561	561	45	45	45	45	45	28	28	28	28	28											
14000	14999																																																																																					724	724	724	724	724	618	618	618	618	618	580	580	580	580	580	50	50	50	50	50	28	28	28	28	28											
15000	15999																																																																																					714	714	714	714	714	605	605	605	605	605	597	597	597	597	597	55	55	55	55	55	29	29	29	29	29											
16000	16999																																																																																					706	706	706	706	706	594	594	594	594	594	615	615	615	615	615	55	55	55	55	55	30	30	30	30	30											
17000	17999																																																																																					696	696	696	696	696	580	580	580	580	580	633	633	633	633	633	60	60	60	60	60	31	31	31	31	31											
18000	18999																																																																																					686	686	686	686	686	568	568	568	568	568	650	650	650	650	650	65	65	65	65	65	31	31	31	31	31											
19000	19999																																																																																					677	677	677	677	677	557	557	557	557	557	669	669	669	669	669	65	65	65	65	65	32	32	32	32	32											
20000	20999																																																																																										993	993	993	993	993	904	904	904	904	904	70	70	70	70	70	33	33	33	33	33											
21000	21999																																																																																										985	985	985	985	985	906	906	906	906	906	75	75	75	75	75	34	34	34	34	34											
22000	22999																																																																																										981	981	981	981	981	910	910	910	910	910	75	75	75	75	75	34	34	34	34	34											
23000	23999																																																																																										973	973	973	973	973	912	912	912	912	912	80	80	80	80	80	35	35	35	35	35											
24000	24999																																																																																										965	965	965	965	965	914	914	914	914	914	85	85	85	85	85	36	36	36	36	36											
25000	25999																																																																																										960	960	960	960	960	918	918	918	918	918	85	85	85	85	85	37	37	37	37	37											
26000	26999																																																																																										953	953	953	953	953	920	920	920	920	920	90	90	90	90	90	37	37	37	37	37											
27000	27999																																																																																										945	945	945	945	945	922	922	922	922	922	95	95	95	95	95	38	38	38	38	38											
28000	28999																																																																																										939	939	939	939	939	927	927	927	927	927	95	95	95	95	95	39	39	39	39	39											
29000	29999																																																																																										850	850	850	850	850	850	850	850	850	850	180	180	180	180	180	120	120	120	120	120											
30000	30999																																																																																															1250	1250	1250	1250	1250	500	500	500	500	500	200	200	200	200	200	50	50	50	50	50						
31000	31999																																																																																															1190	1190	1190	1190	1190	500	500	500	500	500	250	250	250	250	250	60	60	60	60	60						
32000	32999																																																																																															1130	1130	1130	1130	1130	500	500	500	500	500	300	300	300	300	300	70	70	70	70	70						
33000	33999																																																																																															1070	1070	1070	1070	1070	500	500	500	500	500	350	350	350	350	350	80	80	80	80	80						
34000	34999																																																																																															1000	1000	1000	1000	1000	500	500	500	500	500	400	400	400	400	400	100	100	100	100	100						
35000	35999																																																																																															880	880	880	880	880	500	500	500	500	500	420	420	420	420	420	150	150	150	150	150	50	50	50	50	50	
36000	36999																																																																																																				800	800	800	800	800	885	885	885	885	885	215	215	215	215	215	100	100	100	100	100	
37000	37999																																																																																																				700	700	700	700	700	870	870	870	870	870	280	280	280	280	280	150	150	150	150	150	
38000	38999																																																																																																				600	600	600	600	600	850	850	850	850	850	350	350	350	350	350	200	200	200	200	200	
39000	39999																																																																																																				600	600	600	600	600	700	700	700	700	700	400	400	400	400	400	300	300	300	300	200	100
40000	44999																																																																																																				500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	400	400	400	400	400
45000	49999																																																																																																															1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
50000	54999																																																																																																																	3000	3000	3000	2000	1000	1000	1000	1000
55000	99999																																																																																																																				2000	2000	2000	2000	2000
