Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	L­u ( Ch÷ sè)	Tû lÖ thµnh c«ng häc c¬ b¶n b¹n ®ång hµnh (tû lÖ phÇn 10000)	KÜ n¨ng mang theo 1	§¼ng cÊp kü n¨ng (1)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp ®é s¸ch b¹n ®ång hµnh	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 3	L­u 4
C­êng Th©n B¸ ThÓ CÊp 3	2	150	11	2	2	1		8000	30091	3								\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa1.spr	\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
C­êng Th©n B¸ ThÓ CÊp 4	2	150	12	2	2	1		7000	30091	4								\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa1.spr	\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
¢m Phong Thùc Cèt CÊp 1	2	150	13	2	2	1		10000	30092	1								\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa1.spr	\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
¢m Phong Thùc Cèt CÊp 2	2	150	14	2	2	1		9000	30092	2								\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa1.spr	\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
¢m Phong Thùc Cèt CÊp 3	2	150	15	2	2	1		8000	30092	3								\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa1.spr	\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
¢m Phong Thùc Cèt CÊp 4	2	150	16	2	2	1		7000	30092	4								\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa1.spr	\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
HuyÒn Vò V« Song CÊp 1	2	150	17	2	2	1		10000	30093	1								\image\item\book\ĞşÎäÎŞË«ĞÄµÃa1.spr	\image\item\book\ĞşÎäÎŞË«ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
HuyÒn Vò V« Song CÊp 2	2	150	18	2	2	1		9000	30093	2								\image\item\book\ĞşÎäÎŞË«ĞÄµÃa1.spr	\image\item\book\ĞşÎäÎŞË«ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
HuyÒn Vò V« Song CÊp 3	2	150	19	2	2	1		8000	30093	3								\image\item\book\ĞşÎäÎŞË«ĞÄµÃa1.spr	\image\item\book\ĞşÎäÎŞË«ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
HuyÒn Vò V« Song CÊp 4	2	150	20	2	2	1		7000	30093	4								\image\item\book\ĞşÎäÎŞË«ĞÄµÃa1.spr	\image\item\book\ĞşÎäÎŞË«ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
V« Hµnh V« T­¬ng CÊp 1	2	150	21	2	2	1		10000	30094	1								\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa1.spr	\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
V« Hµnh V« T­¬ng CÊp 2	2	150	22	2	2	1		9000	30094	2								\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa1.spr	\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
V« Hµnh V« T­¬ng CÊp 3	2	150	23	2	2	1		8000	30094	3								\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa1.spr	\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
V« Hµnh V« T­¬ng CÊp 4	2	150	24	2	2	1		7000	30094	4								\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa1.spr	\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Kim Linh Phô ThÓ CÊp 1	2	150	25	2	2	1		10000	30095	1								\image\item\book\½ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\½ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Kim Linh Phô ThÓ CÊp 2	2	150	26	2	2	1		9000	30095	2								\image\item\book\½ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\½ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Kim Linh Phô ThÓ CÊp 3	2	150	27	2	2	1		8000	30095	3								\image\item\book\½ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\½ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Kim Linh Phô ThÓ CÊp 4	2	150	28	2	2	1		7000	30095	4								\image\item\book\½ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\½ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Méc Linh Phô ThÓ CÊp 1	2	150	29	2	2	1		10000	30096	1								\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Méc Linh Phô ThÓ CÊp 2	2	150	30	2	2	1		9000	30096	2								\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Méc Linh Phô ThÓ CÊp 3	2	150	31	2	2	1		8000	30096	3								\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Méc Linh Phô ThÓ CÊp 4	2	150	32	2	2	1		7000	30096	4								\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Thuû Linh Phô ThÓ CÊp 1	2	150	33	2	2	1		10000	30097	1								\image\item\book\Ë®Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ë®Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Thuû Linh Phô ThÓ CÊp 2	2	150	34	2	2	1		9000	30097	2								\image\item\book\Ë®Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ë®Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Thuû Linh Phô ThÓ CÊp 3	2	150	35	2	2	1		8000	30097	3								\image\item\book\Ë®Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ë®Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Thuû Linh Phô ThÓ CÊp 4	2	150	36	2	2	1		7000	30097	4								\image\item\book\Ë®Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ë®Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Ho¶ Linh Phô ThÓ CÊp 1	2	150	37	2	2	1		10000	30098	1								\image\item\book\»ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\»ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Ho¶ Linh Phô ThÓ CÊp 2	2	150	38	2	2	1		9000	30098	2								\image\item\book\»ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\»ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Ho¶ Linh Phô ThÓ CÊp 3	2	150	39	2	2	1		8000	30098	3								\image\item\book\»ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\»ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Ho¶ Linh Phô ThÓ CÊp 4	2	150	40	2	2	1		7000	30098	4								\image\item\book\»ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\»ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Thæ Linh Phô ThÓ CÊp 1	2	150	41	2	2	1		10000	30099	1								\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Thæ Linh Phô ThÓ CÊp 2	2	150	42	2	2	1		9000	30099	2								\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Thæ Linh Phô ThÓ CÊp 3	2	150	43	2	2	1		8000	30099	3								\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Thæ Linh Phô ThÓ CÊp 4	2	150	44	2	2	1		7000	30099	4								\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Ph¸ Kh«ng Tr¶m ¶nh CÊp 1	2	150	45	2	2	1		10000	30100	1								\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa1.spr	\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Ph¸ Kh«ng Tr¶m ¶nh CÊp 2	2	150	46	2	2	1		9000	30100	2								\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa1.spr	\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Ph¸ Kh«ng Tr¶m ¶nh CÊp 3	2	150	47	2	2	1		8000	30100	3								\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa1.spr	\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Ph¸ Kh«ng Tr¶m ¶nh CÊp 4	2	150	48	2	2	1		7000	30100	4								\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa1.spr	\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
S¸t th­¬ng gia n©ng cÊp 1	2	150	49	2	2	1		10000	30101	1								\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa1.spr	\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
S¸t th­¬ng gia n©ng cÊp 2	2	150	50	2	2	1		9000	30101	2								\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa1.spr	\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
S¸t th­¬ng gia n©ng cÊp 3	2	150	51	2	2	1		8000	30101	3								\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa1.spr	\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
S¸t th­¬ng gia n©ng cÊp 4	2	150	52	2	2	1		7000	30101	4								\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa1.spr	\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
Khinh Linh TÊn TËt  CÊp 1	2	150	53	2	2	1		10000	30102	1								\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa1.spr	\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Khinh Linh TÊn TËt  CÊp 2	2	150	54	2	2	1		9000	30102	2								\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa1.spr	\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Khinh Linh TÊn TËt  CÊp 3	2	150	55	2	2	1		8000	30102	3								\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa1.spr	\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Khinh Linh TÊn TËt  CÊp 4	2	150	56	2	2	1		7000	30102	4								\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa1.spr	\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
V« H×nh Chi Cæ CÊp 1	2	150	57	2	2	1		10000	30103	1								\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa1.spr	\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
V« H×nh Chi Cæ CÊp 2	2	150	58	2	2	1		9000	30103	2								\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa1.spr	\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
V« H×nh Chi Cæ CÊp 3	2	150	59	2	2	1		8000	30103	3								\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa1.spr	\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
V« H×nh Chi Cæ CÊp 4	2	150	60	2	2	1		7000	30103	4								\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa1.spr	\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
KiÓm tra CÊp 5	2	150	61	2	2	1		10	30089	5								\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
KiÓm tra cÊp 6	2	150	62	2	2	1		10	30089	6								\image\item\book\book_078a1.spr	\image\item\book\book_078a0.spr			MËt tŞch	\script\pet\pet_book.lua	6	0	1		
KiÓm tra  cÊp 7	2	150	63	2	2	1		10	30089	7								\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr			MËt tŞch	\script\pet\pet_book.lua	7	0	1		
KiÓm tra  cÊp 8	2	150	64	2	2	1		10	30089	8								\image\item\book\book_078a1.spr	\image\item\book\book_078a0.spr			MËt tŞch	\script\pet\pet_book.lua	8	0	1		
KiÓm tra  cÊp 9	2	150	65	2	2	1		10	30089	9								\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr			MËt tŞch	\script\pet\pet_book.lua	9	0	1		
KiÓm tra  cÊp 10	2	150	66	2	2	1		10	30089	10								\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr			MËt tŞch	\script\pet\pet_book.lua	10	0	1		
Ch©n Khİ Hé ThÓ CÊp 5	2	150	67	2	2	1		6000	30089	5								\image\item\book\ÕæÆø»¤ÌåĞÄµÃa1.spr	\image\item\book\ÕæÆø»¤ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
İch Thä Diªn D­¬ng CÊp 5	2	150	68	2	2	1		6000	30090	5								\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa1.spr	\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
C­êng Th©n B¸ ThÓ CÊp 5	2	150	69	2	2	1		6000	30091	5								\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa1.spr	\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
¢m Phong Thùc Cèt CÊp 5	2	150	70	2	2	1		6000	30092	5								\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa1.spr	\image\item\book\Òõ·çÊ´¹ÇĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
HuyÒn Vò V« Song CÊp 5	2	150	71	2	2	1		6000	30093	5								\image\item\book\ĞşÎäÎŞË«ĞÄµÃa1.spr	\image\item\book\ĞşÎäÎŞË«ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
V« Hµnh V« T­¬ng CÊp 5	2	150	72	2	2	1		6000	30094	5								\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa1.spr	\image\item\book\ÎåĞĞÎŞÏàĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Kim Linh Phô ThÓ CÊp 5	2	150	73	2	2	1		6000	30095	5								\image\item\book\½ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\½ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Méc Linh Phô ThÓ CÊp 5	2	150	74	2	2	1		6000	30096	5								\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ä¾Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Thuû Linh Phô ThÓ CÊp 5	2	150	75	2	2	1		6000	30097	5								\image\item\book\Ë®Áé¸½ÌåĞÄµÃa1.spr	\image\item\book\Ë®Áé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Ho¶ Linh Phô ThÓ CÊp 5	2	150	76	2	2	1		6000	30098	5								\image\item\book\»ğÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\»ğÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Thæ Linh Phô ThÓ CÊp 5	2	150	77	2	2	1		6000	30099	5								\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa1.spr	\image\item\book\ÍÁÁé¸½ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Ph¸ Kh«ng Tr¶m ¶nh CÊp 5	2	150	78	2	2	1		6000	30100	5								\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa1.spr	\image\item\book\ÆÆ¿ÕÕ¶Ó°ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
S¸t Th­¬ng Gia N©ng CÊp 5	2	150	79	2	2	1		6000	30101	5								\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa1.spr	\image\item\book\ÉËº¦¼ÓÉîĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
Khinh Linh TÊn TËt CÊp 5	2	150	80	2	2	1		6000	30102	5								\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa1.spr	\image\item\book\ÇáÁéÑ¸¼²ĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
V« H×nh Chi Cæ CÊp 5	2	150	81	2	2	1		6000	30103	5								\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa1.spr	\image\item\book\ÎŞĞÎÖ®¹ÆĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	5	0	1		
