Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ChiÕn Hµi Tèng T­íng Qu©n	0	154	11	0	0		100	35;35					31151	80		2		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Tèng T­íng Qu©n	0	154	12	0	0		100	35;35					31152	80		3		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Tèng T­íng Qu©n	0	154	13	0	0		100	35;35					31153	80		4		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Tèng Nguyªn So¸i	0	154	14	0	0		100	35;35					31154	80		1		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Tèng Nguyªn So¸i	0	154	15	0	0		100	35;35					31155	80		2		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Tèng Nguyªn So¸i	0	154	16	0	0		100	35;35					31156	80		3		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Tèng Nguyªn So¸i	0	154	17	0	0		100	35;35					31157	80		4		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Liªu T­íng Qu©n	0	154	18	0	0		100	35;35					31158	80		1		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Liªu T­íng Qu©n	0	154	19	0	0		100	35;35					31159	80		2		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Liªu T­íng Qu©n	0	154	20	0	0		100	35;35					31160	80		3		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Liªu T­íng Qu©n	0	154	21	0	0		100	35;35					31161	80		4		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8
ChiÕn Hµi Liªu Nguyªn So¸i	0	154	22	0	0		100	35;35					31162	80		1		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Liªu Nguyªn So¸i	0	154	23	0	0		100	35;35					31163	80		2		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Liªu Nguyªn So¸i	0	154	24	0	0		100	35;35					31164	80		3		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
ChiÕn Hµi Liªu Nguyªn So¸i	0	154	25	0	0		100	35;35					31165	80		4		\image\item\banghui\ÔªË§Õ½Ñ¥36.spr	\image\item\banghui\ÔªË§Õ½Ñ¥120.spr	ChiÕn Hµi Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	15	9
Tr­êng Hµi Du HiÖp	0	154	26	0	0		100	35;35					31234	80				\image\item\banghui\ÓÎÏÀ³¤Ñ¥a1.spr	\image\item\banghui\ÓÎÏÀ³¤Ñ¥a0.spr	R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa 		Giµy		1;11	4	1		0		4	21	23	10
ChiÕn Hµi ThiÕt HuyÕt	0	154	27	0	0		100	40;30					31235	80				\image\item\banghui\ÌúÑªÕ½Ñ¥a1.spr	\image\item\banghui\ÌúÑªÕ½Ñ¥a0.spr	ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi		Giµy		1;11	4	1		0		4	22	24	10
§¹o Hµi V©n Du	0	154	28	0	0		100	30;40					31236	80				\image\item\banghui\ÔÆÓÎµÀÑ¥a1.spr	\image\item\banghui\ÔÆÓÎµÀÑ¥a0.spr	V©n du thiªn h¹, tiªu dao bèn ph­¬ng		Giµy		1;11	4	1		0		4	23	25	10
