ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8
19	<color=Gold>V« ¶nh C­íc<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value4] <color=White> «, lùc tÊn c«ng c­íc cuèi cïng t¨ng <color=Blue1>[=Value1]%<color=White>	2	189		state_m_attack_percent_add	0	220			1	3	1	0		190	state_m_attack_percent_add	0	220			1	3	1	0		191	state_m_attack_percent_add	0	220			1	3	1	0		42	state_missle_damage_range_add	0	6			1	2	1	0		188	state_missle_damage_range_add	0	6			1	2	1	0		189	state_missle_damage_range_add	0	6			1	2	1	0		190	state_missle_damage_range_add	0	6			1	2	1	0		191	state_missle_damage_range_add	0	6			1	2	1	0	
20	<color=Gold>ThiÕu L©m Long Tr¶o Thñ<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	3	192	43	state_sub1_rate_add	0	10			1	-3	1	8																																																																														
21	<color=Gold>Phôc Hæ KhÝ C«ng<color=White>: Tèc ®é thi triÓn t¨ng <color=Blue1>[=Value1]%<color=White>	2	46		state_burst_enhance_rate	0	35			1	-3	1	8																																																																														
22	<color=Gold>ThiÕu L©m Tu T©m Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nÐ tr¸nh ®èi ph­¬ng<color=White>	4	47		state_cost_free	0	10			1	-3	1	8																																																																														
23	<color=Gold>Ngò ChuyÓn ChØ<color=White>: xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	48		state_sub1_rate_add	0	50			1	-3	1	8																																																																														
24	<color=Gold>Ph¸ Ma Chó<color=White>: Hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	3	49		imme_damage_life	1	5000			1			1		198	imme_damage_life	1	5000			1			1																																																																			
25	<color=Gold>Kim Cang BÊt Ho¹i<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> 2 gi©y sau khi bÞ c«ng kÝch, phßng thñ ngo¹i c«ng t¨ng 25%, phßng thñ néi c«ng t¨ng 15%<color=White>	4	50		state_magic_parmor_poi_add	0	15	1	30		36	1	7		50	state_physical_parmor_poi_add	0	25	1	-1		36	1	7		200	state_magic_parmor_poi_add	0	15	1	30		36	1	7		200	state_physical_parmor_poi_add	0	25	1	-1		36	1	7																																													
26	<color=Gold>Nh©n §µ La L«i Ên Ph¸<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ néi c«ng trong 10 gi©y	2	51		state_magic_parmor_per_dec	1	25			1	180	1	1		201	state_magic_parmor_per_dec	1	25			1	180	1	1																																																																			
27	<color=Gold>Cµ Sa Phôc Ma ThÇn Th«ng<color=White>: Hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	2	52		imme_damage_life	1	600			1			1		202	imme_damage_life	1	600			1			1																																																																			
28	<color=Gold>V« T­íng ThÇn C«ng<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	53		state_cast_interval_reduce	0	810			1	-3	1	8																																																																														
29	<color=Gold>S­ Tö Hèng<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	2	54		state_cast_interval_reduce	0	90			1	-3	1	8																																																																														
30	<color=Gold>BÊt §éng Minh V­¬ng Chó<color=White>: Ph¹m vi hiÖu qu¶ t¨ng <color=Blue1>[=Value1] <color=White>	4	55		state_missle_damage_range_add	0	9			1	2	1	0		208	state_missle_damage_range_add	0	9			1	2	1	0		209	state_missle_damage_range_add	0	9			1	2	1	0																																																								
31	<color=Gold>§¹i Lùc Kim Cang ChØ<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	56		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
32	<color=Gold>¸m KhÝ ChÕ T¸c ThuËt<color=White>: Phßng thñ néi c«ng t¨ng <color=Blue1>[=Value1]<color=White>	3	59		state_i_defence_point_add	0	80			1	-3	1	8		59	state_o_defence_point_add	0	80			1	-3	1	8																																																																			
33	<color=Gold>T©m Nh·n<color=White>: Bá qua phßng thñ cña ®èi ph­¬ng <color=Blue1>[=Value1]%<color=White>	3	60		state_ignore_defence	1	10			1	-1	1	1		212	state_ignore_defence	1	10			1	-1	1	1																																																																			
34	<color=Gold>§éc ThÝch Cèt<color=White>: KÐo dµi thêi gian tróng ®éc<color=Blue1>[=Value1]%<color=White>	3	312	61	state_poison_perdure_add	1	35			1	3	1	9																																																																														
35	<color=Gold>Gi¶i §éc BÝ ThuËt<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> khiÕn ®èi ph­¬ng trong <color=Blue1>[=Time1] <color=White> gi©y gi¶m kh¸ng ®éc s¸t<color=White>.	4	62		state_poison_persist_time_dec	1	100	1	75		30		1																																																																														
36	<color=Gold>C©u Hån TÜnh<color=White>: T¨ng hiÖu qu¶ ®éc g©y hçn lo¹n cho ®èi ph­¬ng<color=Blue1>[=Value1]%<color=White>	4	63		state_poison_damage_add	1	35			1	144	1	1	state_confusion																																																																													
37	<color=Gold>C¬ Quan Ph¸ Gi¶i ThuËt<color=White>: T¨ng <color=Blue1>[=Value1]% tèc ®é ®Æt bÉy	4	64		state_burst_enhance_rate2	0	100			1	-3	1	8																																																																														
38	<color=Gold>Truy T©m TiÔn<color=White>: Thøc thø nhÊt, thøc thø hai lÇn l­ît hç trî c«ng kÝch  <color=Blue1>[=Value1], [=Value2]<color=White>	1	65		imme_damage_life	1	150			1			1		213	imme_damage_life	1	240			1			1		214	imme_damage_life	1	240			1			1																																																								
39	<color=Gold>Thu Hµo Minh Tra<color=White>: Cã tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nÐ tr¸nh cña ®èi ph­¬ng<color=White>	3	66		state_ignore_dodge	1	10			1	-1	1	1																																																																														
40	<color=Gold>Xuyªn T©m ThÝch<color=White>: Thêi gian ®éc ph¸t t¸n t¨ng <color=Blue1>[=Value1]%<color=White>	3	67		state_state_effect_interval_add	1	25			1	-1	1	1																																																																														
41	<color=Gold>Thèi §éc ThuËt<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> khi tÊn c«ng cã bæ sung thªm hiÖu qu¶ ®éc s¸t<color=White>	3	68		state_quench_posion_effect_skill	1	45			1	-1	1	1																																																																														
42	<color=Gold>§o¹t Ph¸ch Phiªn<color=White>: KÐo dµi g©y mª ®èi ph­¬ng <color=Blue1>[=Value1]%<color=White>	4	69		state_deep_sleep	1	50			1	-1	1	1																																																																														
43	<color=Gold>B¹o Vò Lª Hoa Ch©m<color=White>: Thøc thø nhÊt, thøc thø hai, thøc thø 3 lÇn l­ît hç trî c«ng kÝch <color=Blue1>[=Value1], [=Value2], [=Value3]<color=White>	1	70		imme_damage_life	1	100			1			1		215	imme_damage_life	1	200			1			1		216	imme_damage_life	1	250			1			1		217	imme_damage_life	1	250			1			1		218	imme_damage_life	1	250			1			1																																		
44	<color=Gold>Hµm Sa X¹ ¶nh<color=White>: Tû lÖ xuÊt chiªu Truy T©m TiÔn, B¹o Vò Lª Hoa Ch©m t¨ng <color=Blue1>[=Value1]%<color=White>	4	65		state_sub1_rate_add	0	30			1	-3	1	8		70	state_sub1_rate_add	0	30			1	-3	1	8																																																																			
45	<color=Gold>Táa MÖnh Ch©m<color=White>: KhiÕn ®èi ph­¬ng kh«ng thÓ sö dông bÊt kú d­îc phÈm trong <color=Blue1>[=Time1/18] <color=White>gi©y<color=White>	3	72		state_block_medicine	1				1	180		1																																																																														
46	<color=Gold>M·n Thiªn Hoa Vò<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	73		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
47	<color=Gold>Quan ¢m QuyÕt<color=White>: T¨ng <color=Blue1>[=Value1]%<color=White> søc s¸t th­¬ng ®èi víi qu¸i thuéc tÝnh ©m	4	76		state_life_add_damage_yin_add	0	30			1	18	1	0		219	state_life_add_damage_yin_add	0	30			1	18	1	0																																																																			
48	<color=Gold>Nga My PhËt ý<color=White>: Hç trî chÝnh diÖn <color=Blue1>[=Value1]%<color=White>	3	77		state_attack_buff_time	0	30			1	-3	1	8		77	state_defence_buff_time	0	30			1	-3	1	8																																																																			
49	<color=Gold>Ngäc N÷ KiÕm Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Rate1]%<color=White> ®¸nh lui môc tiªu<color=White>	2	78		imme_knockback	1	9	1	25				1		220	imme_knockback	1	9	1	25				1																																																																			
50	<color=Gold>§é Nguyªn QuyÕt<color=White>: HiÖu qu¶ t¨ng <color=Blue1>[=Value2]%<color=White> rót ng¾n thêi gian duy tr× <color=Blue1>[=Value1]%<color=White>	4	79		state_skill_persist_time_dec	1	50			1	27	1	0		79	state_assist_effect_add	1	50			1	27	1	0		221	state_skill_persist_time_dec	1	50			1	27	1	0		221	state_assist_effect_add	1	50			1	27	1	0																																													
51	<color=Gold>PhËt Quang Phæ ChiÕu<color=White>: Toµn bé thuéc tÝnh c¬ b¶n cña ®éi viªn trong vßng s¸ng t¨ng <color=Blue1>[=Value1]<color=White>	4	80		state_add_strength	1	20			1	-1	1	1		80	state_add_energy	1	20			1	-1	1	1		80	state_add_vitality	1	20			1	-1	1	1		80	state_add_dexterity	1	20			1	-1	1	1		80	state_add_observe	1	20			1	-1	1	1																																		
52	<color=Gold>Liªn Hoa T©m Kinh<color=White>: Sö dông vâ c«ng nµy tû lÖ phßng ngù néi ngo¹i c«ng t¨ng  <color=Blue1>[=Value1]%<color=White>	3	81		state_burst_time_defence_add	1	10			1	-1	1	1		222	state_burst_time_defence_add	1	10			1	-1	1	1																																																																			
53	<color=Gold>Thanh ¢m Ph¹n X­íng<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	82		state_cast_interval_reduce	0	270			1	-3	1	8																																																																														
54	<color=Gold>L­u Thñy QuyÕt<color=White>: NÐ tr¸nh t¨ng <color=Blue1>[=Value1]%<color=White>	4	83		state_perfect_dodge_rate	1	10			1	-1	1	1		225	state_perfect_dodge_rate	1	10			1	-1	1	1																																																																			
55	<color=Gold>Phæ TÕ Chóng Sinh<color=White>: Gióp ®ång ®éi  mçi n÷a gi©y sinh lùc phôc håi 0.5% duy tr× <color=Blue1>[=Time1/18] <color=White>gi©y<color=White>	4	84		state_life_per_per8f	1	50	1		1	4320		1		226	state_life_per_per8f	1	50	1		1	4320		1																																																																			
56	<color=Gold>BÊt diÖt t©m ph¸p<color=White>: KhiÕn môc tiªu trong 3 phót gi¶m <color=Blue1>[=Value1] <color=White>®iÓm<color=White> s¸t th­¬ng néi ngo¹i c«ng	4	85		state_physical_damage_absorb	1	3000			1	3240	1	1		227	state_physical_damage_absorb	1	3000			1	3240	1	1		228	state_physical_damage_absorb	1	3000			1	3240	1	1		85	state_magic_damage_absorb	1	3000			1	3240	1	1		227	state_magic_damage_absorb	1	3000			1	3240	1	1		228	state_magic_damage_absorb	1	3000			1	3240	1	1																							
57	<color=Gold>PhËt Quang ChiÕn KhÝ<color=White>: §ång ®éi ngåi xuèng trong 10 phót, phôc håi sinh lùc <color=Blue1>[=Value1]<color=White> ®iÓm	3	86		state_life_restore_per10s	1	8000			1	10800	1	1		230	state_life_restore_per10s	1	8000			1	10800	1	1		231	state_life_restore_per10s	1	8000			1	10800	1	1																																																								
58	<color=Gold>PhËt ¢m ChiÕn ý<color=White>: §ång ®éi ngåi xuèng trong 10 phót, phôc håi sinh lùc t¨ng <color=Blue1>[=Value1]<color=White> ®iÓm	3	87		state_neili_restore_per10s	1	300			1	10800	1	1		232	state_neili_restore_per10s	1	300			1	10800	1	1		233	state_neili_restore_per10s	1	300			1	10800	1	1																																																								
59	<color=Gold>§¹i Tõ §¹i Bi Chó<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value2/18] <color=White>gi©y<color=White>, xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	4	88		state_sub1_rate_add	0	25			1	-3	1	8		88	state_cast_interval_reduce	0	180			1	-3	1	8																																																																			
60	<color=Gold>Tïy ý Khóc<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> ®¸nh lui ®èi ph­¬ng<color=White>	2	91		imme_knockback	1	5	1	20				1		305	imme_knockback	1	5	1	20				1		333	imme_knockback	1	5	1	20				1																																																								
61	<color=Gold>Khóc NghÖ Tinh Th«ng<color=White>: Sö dông vâ c«ng nµy tû lÖ phßng ngù néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	4	92		state_burst_time_defence_add	0	10			1	-3	1	8																																																																														
62	<color=Gold>NguyÖt Thùc Khóc<color=White>: Ph¹m vi hiÖu qu¶ cña cÇm t¨ng <color=Blue1>[=Value1] <color=White>«<color=White>	3	313		state_missle_damage_range_add	0	13			1	2	1	0		314	state_missle_damage_range_add	0	13			1	2	1	0																																																																			
63	<color=Gold>§o¹n Thñy T©m Ph¸p<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	94		state_cast_interval_reduce	0	72			1	-3	1	8																																																																														
64	<color=Gold>TÜnh D¹ T­<color=White>: HiÖu qu¶ cña cÇm t¨ng <color=Blue1>[=Value4] <color=White> «, tû lÖ <color=Blue1>[=Rate1]% <color=White> khi tiÕng ®µn bÞ chÆn ®øng khiÕn ®èi ph­¬ng gi¶m 5% sinh lùc<color=White>	3	95		imme_life_percent_damage	1	5		50				5		316	imme_life_percent_damage	1	5		50				5		317	imme_life_percent_damage	1	5		50				5		316	state_missle_damage_range_add	0	13			1	2	1	0		317	state_missle_damage_range_add	0	13			1	2	1	0																																		
65	<color=Gold>D­ ¢m NhiÔu L­¬ng C«ng<color=White>: Gi¶m thä th­¬ng <color=Blue1>[=Value2]%<color=White>, khi bÞ tÊn c«ng cã tû lÖ <color=Blue1>[=Rate1]% <color=White> t¨ng tèc 30% trong 3 gi©y<color=White>	4	96		state_move_speed_percent_add	0	30	1	25		54	1	7		96	state_fast_recovery	0	30			1	-3	1	8																																																																			
66	<color=Gold>D­¬ng Quan Tam §iÖp<color=White>: Ph¹m vi hiÖu qu¶ cña cÇm t¨ng <color=Blue1>[=Value4] <color=White> «, tû lÖ <color=Blue1>[=Rate1]% <color=White> khi tiÕng ®µn bÞ chÆn ®øng khiÕn ®èi ph­¬ng gi¶m 5% sinh lùc<color=White>	3	97		imme_life_percent_damage	1	5		50				5		318	imme_life_percent_damage	1	5		50				5		319	imme_life_percent_damage	1	5		50				5		318	state_missle_damage_range_add	0	13			1	2	1	0		319	state_missle_damage_range_add	0	13			1	2	1	0																																		
67	<color=Gold>Phóc Thñy T©m Ph¸p<color=White>: tèc ®é xuÊt chiªu cÇm khóc t¨ng <color=Blue1>[=Value1]%<color=White>	4	98		state_sub1_rate_add	0	6			1	-3	1	8																																																																														
68	<color=Gold>PhÇn CÇm Chö H¹c QuyÕt<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value2/18] <color=White>gi©y<color=White>, xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	99		state_sub1_rate_add	0	15			1	-3	1	8		99	state_cast_interval_reduce	0	108			1	-3	1	8																																																																			
69	<color=Gold>¤ D¹ §Ò<color=White>: Ph¹m vi hiÖu qu¶ ®µn cÇm t¨ng <color=Blue1>[=Value5] <color=White> «, tû lÖ <color=Blue1>[=Rate1]% <color=White>®Èy lïi ®èi ph­¬ng<color=White>	3	100		imme_knockback	1	3	1	25				6		323	imme_knockback	1	3	1	25				6		324	imme_knockback	1	3	1	25				6		325	imme_knockback	1	3	1	25				6		323	state_missle_damage_range_add	0	13			1	2	1	0		324	state_missle_damage_range_add	0	13			1	2	1	0																							
70	<color=Gold>Mª T©m Phiªu H­¬ng Khóc<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	2	101		state_sub1_rate_add	0	7			1	-3	1	8																																																																														
71	<color=Gold>C¸i Bang Ch­ëng ph¸p<color=White>: Ph¹m vi thi triÓn B¸ V­¬ng QuyÒn, Lôc Hîp QuyÒn Ph¸p, Táa HÇu CÇm N· Thñ t¨ng thªm <color=Blue1>[=Value1]%<color=White>	3	107		state_skill_use_range_add	0	50			1	-3	1	8		110	state_skill_use_range_add	0	50			1	-3	1	8		108	state_skill_use_range_add	0	50			1	-3	1	8																																																								
72	<color=Gold>Th«ng Tý QuyÒn<color=White>: STCB ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	3	105		state_p_attack_percent_add	1	10			1	-1	1	1																																																																														
73	<color=Gold>Thiªn C©n H¹p<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> trong 4 gi©y sau khi bÞ tÊn c«ng miÔn dÞch ®¸nh ng·, cho¸ng, hçn lo¹n, ngñ mª<color=White>	4	106		state_knockdown_immune	0	100	1	30		72	1	7		106	state_vertigo_immune	0	100	1	30		72	1	7		106	state_confusion_immune	0	100	1	30		72	1	7		106	state_sleep_immune	0	100	1	30		72	1	7																																													
74	<color=Gold>B¸ V­¬ng QuyÒn<color=White>: KhiÕn môc tiªu gi¶m <color=Blue1>[=Value1]% phßng thñ ngo¹i c«ng trong 10 gi©y	1	107		state_physical_parmor_per_dec	1	25			1	180	1	1		236	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																			
75	<color=Gold>Táa HÇu CÇm N· Thñ<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	3	108		state_cast_interval_reduce	0	270			1	-3	1	8																																																																														
76	<color=Gold>Tiªu Dao Du<color=White>: Khi bÞ tÊn c«ng cã tû lÖ <color=Blue1>[=Rate1]% <color=White> t¨ng di chuyÓn 30% trong 3 gi©y<color=White>	3	109		state_move_speed_percent_add	0	30	1	45		54	1	7																																																																														
77	<color=Gold>Lôc Hîp QuyÒn Ph¸p<color=White>: Hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	1	110		imme_damage_life	1	1000			1			1		239	imme_damage_life	1	1000			1			1																																																																			
78	<color=Gold>Tóy §iÖp<color=White>: Toµn bé c«ng kÝch ®Òu cã tû lÖ <color=Blue1>[=Value1]% <color=White>g©y cho¸ng trong 1 gi©y<color=White>	3	111		state_vertigo_attack	1	8			1	-1	1	1		240	state_vertigo_attack	1	8			1	-1	1	1		241	state_vertigo_attack	1	8			1	-1	1	1																																																								
79	<color=Gold>Tóy QuyÒn<color=White>: Tû lÖ xuÊt chiªu t¨ng  <color=Blue1>[=Value1]%<color=White>	1	112		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
80	<color=Gold>C¸i Bang C«n ph¸p<color=White>: Tèc ®é thi triÓn Khu Xµ C«n Ph¸p, §¶ CÈu C«n Ph¸p t¨ng <color=Blue1>[=Value1]%<color=White>	3	116		state_burst_enhance_rate	0	12			1	-3	1	8		123	state_burst_enhance_rate	0	12			1	-3	1	8																																																																			
81	<color=Gold>Khu Xµ C«n Ph¸p<color=White>: Thøc thø nhÊt, thøc thø hai lÇn l­ît hç trî c«ng kÝch <color=Blue1>[=Value1], [=Value2]<color=White>	1	116		imme_damage_life	1	220			1			1		242	imme_damage_life	1	400			1			1		243	imme_damage_life	1	400			1			1																																																								
82	<color=Gold>KhÊt Thiªn Th¶o §Þa<color=White>: Phßng thñ néi ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	4	117		state_physical_parmor_poi_add	0	75			1	-1	1	1		117	state_magic_parmor_poi_add	0	75			1	-1	1	1		117	state_move_del_magic	0				1	-1	1	1																																																								
83	<color=Gold>Nª Thu C«ng<color=White>: Tû lÖ <color=Blue1>[=Value1]% <color=White> tr¸nh hiÖu qu¶ ®Þnh th©n<color=White>	4	118		state_fetter_immune	1	75			1	-1	1	1		244	state_fetter_immune	1	75			1	-1	1	1																																																																			
84	<color=Gold>DiÖu Thñ QuyÕt<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> ng¨n ®èi ph­¬ng xuÊt chiªu trong 2 gi©y<color=White>	3	119		state_block_type	1	3	1	30		36	1	1																																																																														
