Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Bİ kiÕp ©m d­¬ng	Sè thø tù bİ kiÕp	Thªm c«ng kİch ngo¹i c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch néi c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch phô trî: 	TÇng thø 	Thªm phßng ngù phô trî:	TÇng thø	Sè phô lôc mËt tŞch	TÇng thø 	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	PhÈm chÊt mËt tŞch kü n¨ng	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Bèi c¶nh
Quı Thiªn MËt tŞch	0	107	15	1	10	2	408;429	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_021a1.spr	\image\item\book\book_021a0.spr	MËt tŞch C¸i Bang ¤ Y, ghi chĞp tuyÖt häc Quı Thiªn §¹i H¹p C«n		MËt tŞch		45	0;60		12		
Quı Thiªn T©m Ph¸p	0	107	16	1	10	2	408;429	30;60	20;30	10;20	0;10	40;80	20;40	50;100	30;50	20;30	10	\image\item\book\book_022a1.spr	\image\item\book\book_022a0.spr	MËt tŞch C¸i Bang ¤ Y, ghi chĞp tuyÖt häc Quı Thiªn §¹i H¹p C«n		MËt tŞch		45	0;60		12		
HuyÒn ¶nh MËt tŞch	0	107	17	1	10	0	409	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_025a1.spr	\image\item\book\book_025a0.spr	Vâ §ang ®¹o gia, ghi chĞp tuyÖt häc ¶o ¶nh V« H×nh KiÕm		MËt tŞch		45	0;60		14		
HuyÒn ¶nh T©m Ph¸p	0	107	18	1	10	0	409	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_026a1.spr	\image\item\book\book_026a0.spr	Vâ §ang ®¹o gia, ghi chĞp tuyÖt häc ¶o ¶nh V« H×nh KiÕm		MËt tŞch		45	0;60		14		
Qu©n Tö MËt tŞch	0	107	19	1	10	0	410;430	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_027a1.spr	\image\item\book\book_027a0.spr	Vâ §ang Tôc gia, ghi chĞp tuyÖt häc Qu©n Tö C«ng		MËt tŞch		45	0;60		15		
Qu©n Tö T©m Ph¸p	0	107	20	1	10	0	410;430	40;80	20;40	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_028a1.spr	\image\item\book\book_028a0.spr	Vâ §ang Tôc gia, ghi chĞp tuyÖt häc Qu©n Tö C«ng		MËt tŞch		45	0;60		15		
TrÊn Qu©n MËt tŞch	0	107	21	1	10	1	426	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_082a1.spr	\image\item\book\book_082a0.spr	MËt tŞch D­¬ng M«n Th­¬ng Kş, ghi chĞp khÈu quyÕt TrÊn Qu©n TiÕu QuyÕt		MËt tŞch		45	0;60		17		
TrÊn Qu©n T©m Ph¸p	0	107	22	1	10	1	426	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_083a1.spr	\image\item\book\book_083a0.spr	MËt tŞch D­¬ng M«n Th­¬ng Kş, ghi chĞp khÈu quyÕt TrÊn Qu©n TiÕu QuyÕt		MËt tŞch		45	0;60		17		
Xuyªn V©n MËt tŞch	0	107	23	1	10	1	427;431	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_084a1.spr	\image\item\book\book_084a0.spr	MËt tŞch D­¬ng M«n Cung Kş, ghi l¹i tuyÖt häc cung ph¸p Xuyªn V©n Trôy NguyÖt TiÔn		MËt tŞch		45	0;60		18		
Xuyªn V©n T©m Ph¸p	0	107	24	1	10	1	427;431	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_085a1.spr	\image\item\book\book_085a0.spr	MËt tŞch D­¬ng M«n Cung Kş, ghi l¹i tuyÖt häc cung ph¸p Xuyªn V©n Trôy NguyÖt TiÔn		MËt tŞch		45	0;60		18		
U Minh Quû Lôc	0	107	25	1	10	1	434;435	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\ÓÄÚ¤¹íÂ¼a1.spr	\image\item\book\ÓÄÚ¤¹íÂ¼a0.spr	MËt tŞch Ngò §éc Tµ HiÖp ghi l¹i bİ truyÒn tµ thuËt U Minh ¶o Quû QuyÕt		MËt tŞch		45	0;60		20		
U Minh T©m Ph¸p	0	107	26	1	10	1	434;435	40;80	20;40	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\ÓÄÚ¤ĞÄ·¨a1.spr	\image\item\book\ÓÄÚ¤ĞÄ·¨a0.spr	MËt tŞch Ngò §éc Tµ HiÖp ghi l¹i bİ truyÒn tµ thuËt U Minh ¶o Quû QuyÕt		MËt tŞch		45	0;60		20		
Linh Cæ MËt tŞch	0	107	27	1	10	1	436	10;20	0;10	30;60	20;30	60;120	30;50	40;80	20;40	20;30	10	\image\item\book\Áé¹ÆÃØ¼®a1.spr	\image\item\book\Áé¹ÆÃØ¼®a0.spr	Ngò §éc Cæ S­, ghi l¹i bİ truyÒn cæ thuËt linh cæ		MËt tŞch		45	0;60		21		
Linh Cæ T©m Ph¸p	0	107	28	1	10	1	436	10;20	0;10	30;60	20;30	40;80	20;40	60;120	30;50	20;30	10	\image\item\book\Áé¹ÆĞÄ·¨a1.spr	\image\item\book\Áé¹ÆĞÄ·¨a0.spr	Ngò §éc Cæ S­, ghi l¹i bİ truyÒn cæ thuËt linh cæ		MËt tŞch		45	0;60		21		
Tr­êng QuyÒn Phæ	0	107	51	1	10	0	450	10;20	0;10	10;20	0;10	10;20	0;10	10;20	0;10	20	10;20	\image\item\book\book_031a1.spr	\image\item\book\book_031a0.spr	MËt tŞch ghi l¹i vâ c«ng thiªn h¹.		MËt tŞch		1	60				
T­îng H×nh Phæ	0	107	52	1	10	2	451	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_032a1.spr	\image\item\book\book_032a0.spr	MËt tŞch quyÒn ph¸p th«ng dông		MËt tŞch		6	30;60				
Trung B×nh Phæ	0	107	53	1	10	1	452	10;20	0	20;40	10;20	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_033a1.spr	\image\item\book\book_033a0.spr	MËt tŞch kiÕm ph¸p th«ng dông.		MËt tŞch		6	30;60				
Khai S¬n Phæ	0	107	54	1	10	2	453	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_034a1.spr	\image\item\book\book_034a0.spr	MËt tŞch c«n ph¸p th«ng dông.		MËt tŞch		6	30;60				
Khİ LiÖu ThuËt	0	107	55	1	10	2	454	10;20	0	10;20	0	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_035a1.spr	\image\item\book\book_035a0.spr	MËt tŞch t©m ph¸p th«ng dông		MËt tŞch		6	30;60				
To¸i DiÖp Phæ	0	107	56	1	10	1	455	20;40	10;20	10;20	0	20;30	10	20;30	10	10;20	10;20	\image\item\book\book_036a1.spr	\image\item\book\book_036a0.spr	MËt tŞch thuËt ¸m khİ th«ng dông		MËt tŞch		6	30;60				
Tô NguyÖn C«ng Phæ	0	107	57	1	10	0	456	20;30	10	30;60	10;30	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_037a1.spr	\image\item\book\book_037a0.spr	MËt tŞch c¬ b¶n luyÖn néi c«ng.		MËt tŞch		20	30;60				
HuyÒn Th¹ch C«ng Phæ	0	107	58	1	10	0	457	30;60	10;30	20;30	10	20;40	10;20	20;40	10;20	10;20	10;20	\image\item\book\book_038a1.spr	\image\item\book\book_038a0.spr	MËt tŞch c¬ b¶n luyÖn ngo¹i c«ng		MËt tŞch		20	30;60				
Kim ThiÒn Phæ	0	107	59	1	10	0	458	20;40	10;20	20;40	10;20	20;40	20	20;40	20	10;30	10	\image\item\book\book_039a1.spr	\image\item\book\book_039a0.spr	MËt tŞch ®Ó luyÖn th©n ph¸p.		MËt tŞch		30	30;60				
Tu La MËt tŞch	0	107	60	1	10	0	459	30;60	20;30	30;60	20;30	20;40	10;20	20;40	10;20	20;30	10	\image\item\book\book_040a1.spr	\image\item\book\book_040a0.spr	MËt tŞch hiÕm cã, thÊt truyÒn ®· l©u ghi l¹i 1 m«n vâ c«ng		MËt tŞch		35	0;60				
Bæ Kim MËt tŞch	0	107	61	1	10	0	460	30;60	10;30	20;40	20	20;40	20	20;40	20	20;30	10	\image\item\book\book_041a1.spr	\image\item\book\book_041a0.spr	MËt tŞch ghi l¹i khÈu quyÕt håi phôc ®é bÒn vò khİ		MËt tŞch		40	0;60				
Bæ Th¹ch MËt tŞch	0	107	62	1	10	0	461	20;40	20	30;60	10;30	20;40	20	20;40	20	20;30	10	\image\item\book\book_042a1.spr	\image\item\book\book_042a0.spr	MËt tŞch ghi l¹i khÈu quyÕt håi phôc ®é bÒn trang phôc		MËt tŞch		40	0;60				
Ngò Quû MËt tŞch	0	107	63	1	10	0	462	40;80	20;40	40;80	20;40	30;60	20;30	30;60	20;30	20;30	10	\image\item\book\book_043a1.spr	\image\item\book\book_043a0.spr	MËt tŞch kú bİ sai khiÕn ngò quû		MËt tŞch		45	0;60				
Thiªn Hµ MËt tŞch	0	107	64	1	10	0	463	30;60	10;30	30;60	10;30	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_044a1.spr	\image\item\book\book_044a0.spr	MËt tŞch ghi l¹i khÈu quyÕt néi lùc hé thÓ lµm suy gi¶m sù c«ng kİch cña ®èi ph­¬ng		MËt tŞch		50	0;60				
Tö Hµ MËt tŞch	0	107	65	1	10	0	464	30;60	10;30	30;60	10;30	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_045a1.spr	\image\item\book\book_045a0.spr	MËt tŞch ghi l¹i khÈu quyÕt néi lùc hé thÓ lµm t¨ng lùc c«ng kİch.		MËt tŞch		50	0;60				
Chiªm Y Phæ	0	107	66	1	10	0	465	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_046a1.spr	\image\item\book\book_046a0.spr	MËt tŞch ghi l¹i khÈu quyÕt néi lùc hé thÓ		MËt tŞch		55	0;60				
ThÊt Th­¬ng QuyÒn Phæ	0	107	67	1	10	2												\image\item\book\book_047a1.spr	\image\item\book\book_047a0.spr	Ghi l¹i tuyÖt kü cao thñ Tµng Linh Tö		MËt tŞch		60	0				
MÆc Kinh	0	107	68	1	10	1												\image\item\book\book_048a1.spr	\image\item\book\book_048a0.spr	MËt tŞch ghi l¹i MÆc tö kiÕm ph¸p		MËt tŞch		60	0				
Kim §Ønh MËt tŞch	0	107	69	1	10	1												\image\item\book\book_049a1.spr	\image\item\book\book_049a0.spr	Ghi l¹i tuyÖt kü cao thñ Kim §Ønh ThÇn Ni		MËt tŞch		60	0				
HuyÒn Minh MËt tŞch	0	107	70	1	10	2												\image\item\book\book_050a1.spr	\image\item\book\book_050a0.spr	MËt tŞch ghi l¹i HuyÒn Minh Mª Hån C«n.		MËt tŞch		60	0				
Ngò Chİnh Ngò Ph¶n §ao	0	107	71	1	10	2												\image\item\book\book_051a1.spr	\image\item\book\book_051a0.spr	Ghi l¹i tuyÖt kü ®ao ph¸p, biÕn hãa kh«n l­êng.		MËt tŞch		60	0				
Cöu Khóc MËt tŞch	0	107	72	1	10	2												\image\item\book\book_052a1.spr	\image\item\book\book_052a0.spr	MËt tŞch ghi l¹i Cöu Khóc Hîp NhÊt C«n, oai lùc dòng m·nh		MËt tŞch		60	0				
TiÓu Lı T©m Kinh	0	107	73	1	10	1												\image\item\book\book_053a1.spr	\image\item\book\book_053a0.spr	Ghi l¹i tuyÖt kü ¸m khİ cña Lı Th¸m Hoa.		MËt tŞch		60	0				
¶nh NguyÖt MËt tŞch	0	107	74	1	10	1												\image\item\book\book_054a1.spr	\image\item\book\book_054a0.spr	MËt tŞch ghi l¹i ¶nh NguyÖt TËt Phong QuyÕt		MËt tŞch		60	0				
NhÊt D­¬ng ChØ	0	107	75	1	10	2												\image\item\book\book_055a1.spr	\image\item\book\book_055a0.spr	Ghi l¹i tuyÖt kü vâ häc hoµng téc hä §oµn		MËt tŞch		60	0				
Thiªn S¸t Khóc Phæ	0	107	76	1	10	1												\image\item\book\book_056a1.spr	\image\item\book\book_056a0.spr	Ghi l¹i tuyÖt kü Lôc ChØ CÇm Ma.		MËt tŞch		60	0				
Long T­îng B¸t Nh· kinh	0	107	77	1	10	2												\image\item\book\book_057a1.spr	\image\item\book\book_057a0.spr	Ghi l¹i tuyÖt kü cao thñ Liªn Hoa Sinh.		MËt tŞch		65	0				
L¨ng Ba Vi Bé	0	112	78	1	10	0	477	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_058a1.spr	\image\item\book\book_058a0.spr	Ghi l¹i tuyÖt kü L¨ng Ba Vi Bé.		MËt tŞch		60	0	1			 ”L¨ng Ba Vi Bé\' lµ tuyÖt häc th­îng thõa cña Tiªu Dao ph¸i, lÊy 64 quÎ ph­¬ng vŞ trong DŞch Kinh lµm gèc, h×nh thµnh 1 vßng trßn B¸t Qu¸i, biÕn hãa kh«n l­êng, ng­êi ngé tİnh kh«ng cao sÏ kh«ng tu luyÖn ®­îc. L¨ng Ba Vi Bé quy tô vò trô vËt v¹n vµo 1 ®iÓm, ngµn con suèi vÒ 1 mèi nh­ng ®éng t¸c vÉn nhanh nhÑn thanh tho¸t, nh­ ®ang l­ít ®i trªn mÆt n­íc. Bé ph¸p nµy m­în søc m¹nh Cµn Kh«n, ngù khİ ë tõng b­íc ®i, lu©n chuyÓn nhÊt qu¸n. Nh­ng nÕu gi÷a chõng gÆp trë ng¹i, kinh m¹ch sÏ rèi lo¹n, néi lùc vµ khİ tİch tô khiÕn toµn th©n tª liÖt, nguy hiÓm kh«n l­êng. Ph¶i hÕt søc thËn träng.
Long Phông B¶o §iÓn	0	107	79	1	10	0												\image\item\book\book_059a1.spr	\image\item\book\book_059a0.spr	Ghi l¹i tuyÖt kü Song KiÕm Hîp Bİch.		MËt tŞch		60	0				
Long Hoµng B¶o §iÓn	0	107	80	1	10	0												\image\item\book\book_060a1.spr	\image\item\book\book_060a0.spr	MËt tŞch ghi l¹i vâ c«ng Long Hoµng B¸ Thiªn LÖnh.		MËt tŞch		65	0				
Cµn Kh«n b¶o ®iÓn	0	107	81	1	10	0												\image\item\book\book_061a1.spr	\image\item\book\book_061a0.spr	Ghi l¹i tuyÖt kü cña Minh Gi¸o.		MËt tŞch		70	0				
B¾c Minh B¶o §iÓn	0	107	82	1	10	0												\image\item\book\book_062a1.spr	\image\item\book\book_062a0.spr	Ghi l¹i tuyÖt kü B¾c Minh ThÇn C«ng.		MËt tŞch		80	0				
Th¸i HuyÒn B¶o §iÓn	0	107	83	1	10	0												\image\item\book\book_063a1.spr	\image\item\book\book_063a0.spr	Ghi l¹i tuyÖt kü cña Thanh Liªn C­ SÜ		MËt tŞch		80	0				
DŞch C©n Kinh	0	112	101	1	10	0	32	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_068a1.spr	\image\item\book\book_068a0.spr	MËt tŞch ThiÕu L©m, do tæ s­ §¹t Ma truyÒn l¹i.		MËt tŞch		85	30				§¹t Ma s¸ng lËp ThiÒn T«ng lµ nhê cã PhËt t©m. NhÊt niÖm bÊt khëi vi täa, kiÕn b¶n tİnh bÊt lo¹n vi thiÒn; ngo¹i bÊt tr¸c t­íng vi thiÒn, néi bÊt lo¹n vi ®Şnh. Ngo¹i thiÒn néi ®Şnh, nªn cßn ®­îc gäi lµ thiÒn ®Şnh. ThiÕu L©m §¹t Ma viÖn cã 72 tuyÖt kü, lµ th¸nh ®Şa vâ häc, ThiÕu L©m tõ x­a thê PhËt, lÊy PhËt lµm gèc, vâ häc còng cã chung nguån gèc víi PhËt. Kinh m¹ch dŞch chuyÓn lµ tr¸i víi ®¹o th­êng. Khİ sinh da thŞt vµ Èn tµng trong kinh m¹ch, kinh m¹ch biÕn ®æi nh­ng khİ kh«ng suy suyÔn, còng nh­ tÊm lßng h­íng phËt cña ®Ö tö tôc gia. M¹ch ph©n ©m d­¬ng, tuÇn hoµn bÊt tËn. VËn khİ chİ d­¬ng bæ trî Kh«n nhu ®Ó luyÖn thµnh BÊt diÖt kim th©n. VËn hµnh \'khİ, m¹ch, lu©n\' hîp nhÊt víi PhËt, uy lùc v« song.
Nh­ Lai Kinh	0	112	102	1	10	0	44	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_069a1.spr	\image\item\book\book_069a0.spr	MËt tŞch ThiÕu L©m, biÕn ¶o kh«n l­êng tùa Nh­ Lai ngh×n tay.		MËt tŞch		85	30				§¹t Ma s¸ng lËp ThiÒn T«ng lµ nhê cã PhËt t©m. NhÊt niÖm bÊt khëi vi täa, kiÕn b¶n tİnh bÊt lo¹n vi thiÒn; ngo¹i bÊt tr¸c t­íng vi thiÒn, néi bÊt lo¹n vi ®Şnh. Ngo¹i thiÒn néi ®Şnh, nªn cßn ®­îc gäi lµ thiÒn ®Şnh. ThiÕu L©m §¹t Ma viÖn cã 72 tuyÖt kü, lµ th¸nh ®Şa vâ häc, ThiÕu L©m tõ x­a thê PhËt, lÊy PhËt lµm gèc, vâ häc còng cã chung nguån gèc víi PhËt. Nh­ Lai ThÇn Ch­ëng bao trïm tÊt c¶, quy tô nguyªn tinh trêi ®Êt, vËn hµnh ©m d­¬ng v¹n linh, bao hµm cµn kh«n th¸i h­, phãng thİch thÇn lùc m¹nh mÏ, uy lùc v« cïng.
TÈy Tñy Kinh	0	112	103	1	10	0	57	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_070a1.spr	\image\item\book\book_070a0.spr	MËt tŞch ThiÕu L©m, do §¹t Ma tæ s­ truyÒn l¹i.		MËt tŞch		85	30				§¹t Ma s¸ng lËp ThiÒn T«ng lµ nhê cã PhËt t©m. NhÊt niÖm bÊt khëi vi täa, kiÕn b¶n tİnh bÊt lo¹n vi thiÒn; ngo¹i bÊt tr¸c t­íng vi thiÒn, néi bÊt lo¹n vi ®Şnh. Ngo¹i thiÒn néi ®Şnh, nªn cßn ®­îc gäi lµ thiÒn ®Şnh. ThiÕu L©m §¹t Ma viÖn cã 72 tuyÖt kü, lµ th¸nh ®Şa vâ häc, ThiÕu L©m tõ x­a thê PhËt, lÊy PhËt lµm gèc, vâ häc còng cã chung nguån gèc víi PhËt. Tñy, tinh khİ chi së t¹i, TÈy Tñy, tøc tho¸t thai ho¸n cèt. 
HÊp Tinh MËt tŞch	0	112	104	1	10	0	74	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_071a1.spr	\image\item\book\book_071a0.spr	§­êng M«n, ghi chĞp tuyÖt kü sö dông c¬ quan, biÕn hãa kh«n l­êng		MËt tŞch		85	30				Con ng­êi sinh ra cã tinh khİ, tinh khİ ®ñ míi sinh cèt tñy, kinh m¹ch da thŞt... Tinh khİ lµ nguyªn thÇn cña con ng­êi, lµ c¸i gèc cña cuéc sèng. Tinh sinh khİ, khİ sinh néi lùc, néi lùc ®­îc sinh ra ¾t còng cã lóc tiªu hao, §­êng M«n së tr­êng thiÕt lËp c¬ quan c¹m bÉy, tinh th«ng c¸ch thøc vËn hµnh tinh huyÕt kinh m¹ch, ®· t¹o ra HÊp Tinh trËn, mét khi kÎ ®Şch r¬i vµo c¹m bÉy, sÏ mÊt dÇn néi lùc, thÇn trİ bÊt ®Şnh, khİ m¹ch kh«ng th«ng, dÔ dµng bŞ chÕ phôc.
V¹n T­íng mËt tŞch	0	112	105	1	10	0	89	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_063a1.spr	\image\item\book\book_063a0.spr	MËt tŞch Nga My, thiªn nh©n hîp nhÊt, v¹n t­íng quy nguyªn, tho¸t ly khæ h¶i		MËt tŞch		85	30				PhËt ph¸p cã \'v« gi¶\', tøc v« t©m v« v¹n t­íng. Nga My kÕt duyªn víi PhËt, v¹n t­íng v« biªn, khæ ®é chóng sinh. PhËt gia cã tam mËt, ph©n biÖt lµ th©n - khÈu - ı, th©n tøc khÈu, khÈu tøc ı, ı tøc th©n, tuy ph©n chia nh­ng thùc chÊt vÉn lµ 1. V« T­íng ThÇn C«ng, ®Ò cao c¶nh giíi thiªn nh©n hîp nhÊt, lËp th©n thµnh phËt. LuyÖn V¹n T­íng ThÇn C«ng ph¶i quy v¹n t­íng vÒ 1 mèi, thÊu hiÓu c¸i khæ cña chóng sinh, tÊm lßng tõ bi, x¶ th©n quªn m×nh, nghiÖm ra ch©n lı ®­îc - mÊt.
