Tªn ¸o Choµng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
¸o Choµng Tèng T­íng Qu©n	0	152	12	0	0	0	100	35;35					31152	80		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng T­íng Qu©n	0	152	13	0	0	0	100	35;35					31153	80		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng Nguyªn So¸i	0	152	14	0	0	0	100	35;35					31154	80		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	15	0	0	0	100	35;35					31155	80		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	16	0	0	0	100	35;35					31156	80		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Tèng Nguyªn So¸i	0	152	17	0	0	0	100	35;35					31157	80		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu T­íng Qu©n	0	152	18	0	0	0	100	35;35					31158	80		1		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	19	0	0	0	100	35;35					31159	80		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	20	0	0	0	100	35;35					31160	80		3		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu T­íng Qu©n	0	152	21	0	0	0	100	35;35					31161	80		4		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Liªu T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Liªu Nguyªn So¸i	0	152	22	0	0	0	100	35;35					31162	80		1		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	23	0	0	0	100	35;35					31163	80		2		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	24	0	0	0	100	35;35					31164	80		3		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Liªu Nguyªn So¸i	0	152	25	0	0	0	100	35;35					31165	80		4		\image\item\banghui\ÔªË§Åû·ç36.spr	\image\item\banghui\ÔªË§Åû·ç120.spr	¸o Choµng Liªu Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	13	9
¸o Choµng Du HiÖp	0	152	26	0	0	0	100	35;35					31234	80				\image\item\banghui\ÓÎÏÀÅû·ça1.spr	\image\item\banghui\ÓÎÏÀÅû·ça0.spr	R­îu thŞt ®i qua ruét, vÉn l­u trong lßng hiÖp nghÜa 		¸o Choµng		1;11	4	1		0		4	15	17	10
¸o Choµng ThiÕt HuyÕt	0	152	27	0	0	0	100	40;30					31235	80				\image\item\banghui\ÌúÑªÅû·ça1.spr	\image\item\banghui\ÌúÑªÅû·ça0.spr	ThiÕt huyÕt ®¬n t©m, chÕt mµ v« hèi		¸o Choµng		1;11	4	1		0		4	16	18	10
¸o Choµng V©n Du	0	152	28	0	0	0	100	30;40					31236	80				\image\item\banghui\ÔÆÓÎÅû·ça1.spr	\image\item\banghui\ÔÆÓÎÅû·ça0.spr	V©n du thiªn h¹, tiªu dao bèn ph­¬ng		¸o Choµng		1;11	4	1		0		4	17	19	10
