SË hi÷u thuÈc t›nh: 	Trﬁ sË Æºng c p tËi Æa lµ 1	Trﬁ sË Æºng c p tËi Æa lµ 1	Trﬁ sË Æºng c p tËi Æa lµ 2	Trﬁ sË Æºng c p tËi Æa lµ 2	Trﬁ sË Æºng c p tËi Æa lµ 3	Trﬁ sË Æºng c p tËi Æa lµ 3	Trﬁ sË Æºng c p tËi Æa lµ 4	Trﬁ sË Æºng c p tËi Æa lµ 4	Trﬁ sË Æºng c p tËi Æa lµ 5	Trﬁ sË Æºng c p tËi Æa lµ 5	Trﬁ sË Æºng c p tËi Æa lµ 6	Trﬁ sË Æºng c p tËi Æa lµ 6	Trﬁ sË Æºng c p tËi Æa lµ 7	Trﬁ sË Æºng c p tËi Æa lµ 7
31	2	2	4	4	6	6	8	8	10	10	12	12	14	14
32	2	2	4	4	6	6	8	8	10	10	12	12	14	14
33	2	2	4	4	6	6	8	8	10	10	12	12	14	14
34	2	2	4	4	6	6	8	8	10	10	12	12	14	14
35	2	2	4	4	6	6	8	8	10	10	12	12	14	14
36	2	2	4	4	6	6	8	8	10	10	12	12	14	14
37	2	2	4	4	6	6	8	8	10	10	12	12	14	14
38	10	10	15	15	20	20	25	25	30	30	35	35	40	40
39	10	10	15	15	20	20	25	25	30	30	35	35	40	40
40	3	3	5	5	7	7	9	9	11	11	13	13	15	15
41	10	10	20	20	30	30	40	40	50	50	60	60	70	70
42	1	1	2	2	3	3	4	4	5	5	6	6	7	7
43	1	1	2	2	3	3	4	4	5	5	6	6	7	7
44	2	2	4	4	6	6	8	8	10	10	12	12	14	14
45	2	2	4	4	6	6	8	8	10	10	12	12	14	14
46	10	10	20	20	30	30	40	40	50	50	60	60	70	70
47	20	20	30	30	40	40	50	50	60	60	70	70	80	80
48	1	1	2	2	3	3	4	4	5	5	6	6	7	7
49	10	10	20	20	30	30	40	40	50	50	60	60	70	70
50	10	10	15	15	20	20	25	25	30	30	35	35	40	40
51	3	3	5	5	7	7	9	9	11	11	13	13	15	15
52	3	3	5	5	7	7	9	9	11	11	13	13	15	15
53	10	10	15	15	20	20	25	25	30	30	35	35	40	40
54	10	10	15	15	20	20	25	25	30	30	35	35	40	40
55	30	30	40	40	50	50	60	60	70	70	80	80	90	90
56	30	30	40	40	50	50	60	60	70	70	80	80	90	90
57	30	30	40	40	50	50	60	60	70	70	80	80	90	90
58	30	30	40	40	50	50	60	60	70	70	80	80	90	90
59	30	30	40	40	50	50	60	60	70	70	80	80	90	90
60	30	30	40	40	50	50	60	60	70	70	80	80	90	90
61	30	30	50	50	70	70	90	90	110	110	130	130	150	150
62	30	30	50	50	70	70	90	90	110	110	130	130	150	150
63	10	10	15	15	20	20	25	25	30	30	35	35	40	40
64	10	10	15	15	20	20	25	25	30	30	35	35	40	40
65	5	10	10	15	15	20	20	25	25	30	30	35	35	40
66	5	10	10	15	15	20	20	25	25	30	30	35	35	40
67	5	10	10	15	15	20	20	25	25	30	30	35	35	40
68	5	10	10	15	15	20	20	25	25	30	30	35	35	40
69	1	3	4	6	7	9	10	12	13	15	16	18	19	21
70	1	3	4	6	7	9	10	12	13	15	16	18	19	21
71	1	3	4	6	7	9	10	12	13	15	16	18	19	21
72	1	3	4	6	7	9	10	12	13	15	16	18	19	21
73	1	3	4	6	7	9	10	12	13	15	16	18	19	21
74	5	10	10	15	15	20	20	25	25	30	30	35	35	40
75	5	10	10	15	15	20	20	25	25	30	30	35	35	40
76	1	2	2	3	3	4	4	5	5	6	6	7	7	8
77	1	2	2	3	3	4	4	5	5	6	6	7	7	8
78	5	10	10	15	15	20	20	25	25	30	30	35	35	40
79	10	20	15	25	20	30	25	35	30	40	35	45	40	50
80	10	20	15	25	20	30	25	35	30	40	35	45	40	50
81	1	3	3	5	5	7	7	9	9	11	11	13	13	15
82	1	3	3	5	5	7	7	9	9	11	11	13	13	15
83	1	3	3	5	5	7	7	9	9	11	11	13	13	15
84	1	3	3	5	5	7	7	9	9	11	11	13	13	15
85	1	5	2	6	3	7	4	8	5	9	6	10	7	11
86	1	5	2	6	3	7	4	8	5	9	6	10	7	11
87	1	5	2	6	3	7	4	8	5	9	6	10	7	11
88	1	5	2	6	3	7	4	8	5	9	6	10	7	11
89	5	10	10	15	15	20	20	25	25	30	30	35	35	40
90	1	5	2	6	3	7	4	8	5	9	6	10	7	11
91	5	10	10	15	15	20	20	25	25	30	30	35	35	40
92	5	10	10	15	15	20	20	25	25	30	30	35	35	40
93	30	60	50	80	70	100	90	120	110	140	130	160	150	180
94	1	3	3	5	5	7	7	9	9	11	11	13	13	15
95	1	3	3	5	5	7	7	9	9	11	11	13	13	15
96	1	3	3	5	5	7	7	9	9	11	11	13	13	15
97	1	3	3	5	5	7	7	9	9	11	11	13	13	15
98	1	3	3	5	5	7	7	9	9	11	11	13	13	15
99	5	10	7	12	9	14	11	16	13	18	15	20	17	22
100	5	10	15	20	25	30	35	40	45	50	55	60	65	70
101	5	10	15	20	25	30	35	40	45	50	55	60	65	70
102	5	10	15	20	25	30	35	40	45	50	55	60	65	70
103	5	10	15	20	25	30	35	40	45	50	55	60	65	70
104	5	10	15	20	25	30	35	40	45	50	55	60	65	70
105	5	10	15	20	25	30	35	40	45	50	55	60	65	70
106	20	40	40	60	60	80	80	100	100	120	120	140	140	160
107	5	10	15	20	25	30	35	40	45	50	55	60	65	70
108	5	10	15	20	25	30	35	40	45	50	55	60	65	70
109	5	10	10	15	15	20	20	25	25	30	30	35	35	40
110	20	40	50	70	80	100	110	130	140	160	170	190	200	220
111	20	40	60	80	100	120	140	160	180	200	220	240	260	280
