Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
H¾c CÈm bè c©n	0	103	20	5	1	0	25	12;4						8	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	C¸c hiÖp kh¸ch th­êng mang khi hµnh hiÖp ®ªm tèi	¿ıÎàÄĞÍ·²¿001	M·o		1	0	0		0					
Ng­u B× ®Çu c©n	0	103	21	10	396	0	30	13;4						13	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	Võa ®Ñp võa duyªn d¸ng. C¸c v¨n nh©n rÊt thİch ®eo	¿ıÎàÄĞÍ·²¿002	M·o		2	0	0		0					
Kim §iÒu c©n	0	103	22	5	457	0	25	4;13						14	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp	¿ıÎàÄĞÍ·²¿013	M·o		2	0	0		0					
Vò Th¾ng Sa M·o	0	103	23	15	725	0	45	15;5						21	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	C¸c vâ s­ th­êng mang, phßng ngù rÊt tèt	¿ıÎàÄĞÍ·²¿010	M·o		2	0	0		0					
Hoµng Trï Thóc c©n	0	103	24	10	734	0	35	5;15						22	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	Võa ®Ñp võa cã thÓ b¶o vÖ phÇn ®Çu	¿ıÎàÄĞÍ·²¿014	M·o		2	0	0		0					
ThÇn Méc c©n	0	103	25	20	1046	0	60	17;6						30	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	KÕt tõ vá c©y cæ thô. Phßng ngù cùc tèt	¿ıÎàÄĞÍ·²¿011	M·o		3	0	0		0					
Nh­îc Thñy L¹p	0	103	26	10	1115	0	50	6;17						31	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Gän nhÑ nh­ng ch¾c ch¾n.	¿ıÎàÄĞÍ·²¿003	M·o		3	0	0		0					
Chu T­íc Thóc c©n	0	103	27	30	1695	0	80	19;7						38	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	C¸c v¨n nh©n th­êng ®eo, rÊt sang träng quı ph¸i	¿ıÎàÄĞÍ·²¿015	M·o		3	0	0		0					
H¶i ThÇn kÕt	0	103	28	15	1811	0	65	7;19						39	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	Gièng h×nh ®Çu c¸, phßng ngù cùc tèt	¿ıÎàÄĞÍ·²¿008	M·o		3	0	0		0					
§Şnh Quèc Tö C©n	0	103	29	40	3064	0	100	21;8						47	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	Hµo khİ xung thiªn, t¨ng thªm søc m¹nh chiÕn ®Êu	¿ıÎàÄĞÍ·²¿012	M·o		4	0	0		0					
MËt NhÉn DiÖn tr¸o	0	103	30	20	3302	0	85	8;21						48	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	C¸c thİch kh¸ch HuyÒn NhÉn gi¸o vïng Liªu §«ng th­êng mang	¿ıÎàÄĞÍ·²¿018	M·o		4	0	0		0					
ThÇn S¸ch Kim Kh«i	0	103	31	50	5074	0	130	23;8						55	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	CÊm vÖ qu©n §­êng triÒu th­êng ®éi. T­îng tr­ng cho søc m¹nh v­¬ng quyÒn	¿ıÎàÄĞÍ·²¿005	M·o		5	0	0		0					
Ngò Quû c©n	0	103	32	25	5402	0	110	8;23						56	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	M·o		5	0	0		0					
Tinh Cang ChiÕn Kh«i	0	103	33	60	8260	0	160	24;9						64	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	Tinh thĞp ®óc thµnh, ®ao th­¬ng bÊt nhËp	¿ıÎàÄĞÍ·²¿006	M·o		6	0	0		0					
L«i Tr× diÖn	0	103	34	30	8605	0	140	9;24						65	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	Phßng ngù cùc kú hiÖu qu¶	¿ıÎàÄĞÍ·²¿009	M·o		6	0	0		0					
Chung Quú diÖn	0	103	35	70	12923	0	200	26;12						72	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§eo vµo khiÕn quû thÇn còng ph¶i kinh sî	¿ıÎàÄĞÍ·²¿007	M·o		7	0	0		0					
DŞ ThÇn c©n	0	103	36	35	13863	0	175	12;26						73	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chøa nhiÒu n¨ng lùc thÇn bİ	¿ıÎàÄĞÍ·²¿016	M·o		7	0	0		0					
§µo Méc Tr©m	0	103	37	5	1	0	20	10;3						2	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	Lµm tõ ®µo méc, mang vµo sÏ khiÕn t©m tİnh hiÒn hßa	ĞÔ¸ĞÅ®Í·²¿033	M·o		1	0	0		0					
Th¸i Méc Tr©m	0	103	38	5	1	0	25	12;4						8	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Mïi h­¬ng cã thÓ xua ®uæi c¸c lo¹i ®éc trïng	ĞÔ¸ĞÅ®Í·²¿019	M·o		1	0	0		0					
Phßng Phong L¹p	0	103	39	10	396	0	30	13;4						13	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	Dïng ®Ó b¶o vÖ m¾t, cã thÓ ®i trong giã c¸t	ĞÔ¸ĞÅ®Í·²¿021	M·o		2	0	0		0					
TŞ Thñy L¹p	0	103	40	5	457	0	25	4;13						14	2	3		\image\item\cap\fm1_cap_004a1.spr	\image\item\cap\fm1_cap_004a0.spr	Lo¹i v¶i kh«ng thÊm n­íc, cã thÓ ®i trong m­a giã	ĞÔ¸ĞÅ®Í·²¿022	M·o		2	0	0		0					
Thanh §ång kÕt	0	103	41	15	725	0	45	15;5						21	2	3		\image\item\cap\fm1_cap_005a1.spr	\image\item\cap\fm1_cap_005a0.spr	H×nh d¸ng rÊt cæ x­a, lµm tõ ®ång thau	ĞÔ¸ĞÅ®Í·²¿029	M·o		2	0	0		0					
San H« tr©m	0	103	42	10	734	0	35	5;15						22	2	3		\image\item\cap\fm1_cap_006a1.spr	\image\item\cap\fm1_cap_006a0.spr	Lµm tõ san h« ngµn n¨m, ngh×n vµng khã mua	ĞÔ¸ĞÅ®Í·²¿034	M·o		2	0	0		0					
Bµn Th¹ch kÕt	0	103	43	20	1046	0	60	17;6						30	2	3		\image\item\cap\fm1_cap_007a1.spr	\image\item\cap\fm1_cap_007a0.spr	Lµm tõ háa th¹ch, cã thÓ trõ hµn gi¶i ®éc	ĞÔ¸ĞÅ®Í·²¿027	M·o		3	0	0		0					
Khæng T­íc Tr©m	0	103	44	10	1115	0	50	6;17						31	2	3		\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Kú tr©n dŞ b¶o. Cã thÓ phßng vµ gi¶i ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿020	M·o		3	0	0		0					
Chu T­íc Ph¸t KÕt	0	103	45	30	1695	0	80	19;7						38	2	3		\image\item\cap\fm1_cap_009a1.spr	\image\item\cap\fm1_cap_009a0.spr	Lµm tõ x­¬ng ®¹i ®iªu, cã thÓ ®i xuyªn löa	ĞÔ¸ĞÅ®Í·²¿027	M·o		3	0	0		0					
§»ng Xµ tr©m	0	103	46	15	1811	0	65	7;19						39	2	3		\image\item\cap\fm1_cap_010a1.spr	\image\item\cap\fm1_cap_010a0.spr	Lµm tõ x­¬ng m·ng xµ v­¬ng. Cã thÓ khèng chÕ d· thó	ĞÔ¸ĞÅ®Í·²¿025	M·o		3	0	0		0					
Minh §iÖp kÕt	0	103	47	40	3064	0	100	21;8						47	2	3		\image\item\cap\fm1_cap_011a1.spr	\image\item\cap\fm1_cap_011a0.spr	M« pháng theo h×nh 1 lo¹i b­ím kú dŞ vïng Miªu LÜnh	ĞÔ¸ĞÅ®Í·²¿031	M·o		4	0	0		0					
Kim Phông Tr©m	0	103	48	20	3302	0	85	8;21						48	2	3		\image\item\cap\fm1_cap_012a1.spr	\image\item\cap\fm1_cap_012a0.spr	Lo¹i tr©m chøa Èn linh lùc, cã thÓ ®iÒu khiÓn ®­îc ¸c thó	ĞÔ¸ĞÅ®Í·²¿023	M·o		4	0	0		0					
§Şa KiÖt	0	103	49	50	5074	0	130	23;8						55	2	3		\image\item\cap\fm1_cap_013a1.spr	\image\item\cap\fm1_cap_013a0.spr	Lo¹i m·o chØ dµnh cho c¸c n÷ t­íng	ĞÔ¸ĞÅ®Í·²¿034	M·o		5	0	0		0					
§o¹t hån	0	103	50	25	5402	0	110	8;23						56	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng	ĞÔ¸ĞÅ®Í·²¿024	M·o		5	0	0		0					
NhËt MiÖn	0	103	51	60	8260	0	160	24;9						64	2	3		\image\item\cap\fm1_cap_015a1.spr	\image\item\cap\fm1_cap_015a0.spr	Mét trong nh÷ng b¶o vËt do n÷ v­¬ng Oa quèc tiÕn cèng cho §­êng triÒu	ĞÔ¸ĞÅ®Í·²¿032	M·o		6	0	0		0					
ThÇn ¤	0	103	52	30	8605	0	140	9;24						65	2	3		\image\item\cap\fm1_cap_016a1.spr	\image\item\cap\fm1_cap_016a0.spr	Kh¾c tinh cña c¸c lo¹i ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿030	M·o		6	0	0		0					
Tu La	0	103	53	70	12923	0	200	26;12						72	2	3		\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Cã thÓ dïng ®Ó chiªu gäi yªu hån	ĞÔ¸ĞÅ®Í·²¿036	M·o		7	0	0		0					
Chu T­íc	0	103	54	35	13863	0	175	12;26						73	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Cã thÓ khiÕn m­a giã sÊm sĞt ph¶i dõng l¹i	ĞÔ¸ĞÅ®Í·²¿026	M·o		7	0	0		0					
§µo Méc thoa	0	103	55	5	1	0	20	10;3						2	2	4		\image\item\cap\fm2_cap_001a1.spr	\image\item\cap\fm2_cap_001a0.spr	Lo¹i tr©m dïng ®Ó thö c¸c lo¹i ®éc d­îc	½¿Ğ¡Å®Í·²¿003	M·o		1	0	0		0					
Th¸i V¨n Méc tr©m	0	103	56	5	1	0	25	12;4						8	2	4		\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Võa ®Ñp võa cã thÓ khö ®éc	½¿Ğ¡Å®Í·²¿005	M·o		1	0	0		0					
TrÇm Méc Thóc tr©m	0	103	57	10	396	0	30	13;4						13	2	4		\image\item\cap\fm2_cap_003a1.spr	\image\item\cap\fm2_cap_003a0.spr	Lµm tõ trÇm h­¬ng. Xa tr¨m b­íc vÉn nghe ®­îc mïi h­¬ng	½¿Ğ¡Å®Í·²¿008	M·o		2	0	0		0					
Ng©n Linh Tr©m	0	103	58	5	457	0	25	4;13						14	2	4		\image\item\cap\fm2_cap_004a1.spr	\image\item\cap\fm2_cap_004a0.spr	ThuÇn ng©n t¹o thµnh. Khi gÆp giã sÏ ph¸t ra tiÕng nh¹c du d­¬ng	½¿Ğ¡Å®Í·²¿004	M·o		2	0	0		0					
Quû DiÖn Thóc c©n	0	103	59	15	725	0	45	15;5						21	2	4		\image\item\cap\fm2_cap_005a1.spr	\image\item\cap\fm2_cap_005a0.spr	H×nh d¸ng nh­ mÆt quû khiÕn ng­êi nh¸t gan ph¶i tr¸nh xa	½¿Ğ¡Å®Í·²¿011	M·o		2	0	0		0					
Thanh Lam c©n	0	103	60	10	734	0	35	5;15						22	2	4		\image\item\cap\fm2_cap_006a1.spr	\image\item\cap\fm2_cap_006a0.spr	KÕt tõ t¬ Thiªn tµm, ngh×n vµng khã mua	½¿Ğ¡Å®Í·²¿001	M·o		2	0	0		0					
Lam §iÖp Thóc c©n	0	103	61	20	1046	0	60	17;6						30	2	4		\image\item\cap\fm2_cap_007a1.spr	\image\item\cap\fm2_cap_007a0.spr	H×nh nh­ c¸nh b­ím. Gi¶i ®éc cùc kú h÷u hiÖu	½¿Ğ¡Å®Í·²¿010	M·o		3	0	0		0					
B¹ch Hång Tr©m	0	103	62	10	1115	0	50	6;17						31	2	4		\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§óc tõ tinh thiÕt. Lóc nguy cÊp cã thÓ ph¸t ra hµo quang che m¾t ®èi ph­¬ng	½¿Ğ¡Å®Í·²¿002	M·o		3	0	0		0					
Thiªn C¬ Thóc tr©m	0	103	63	30	1695	0	80	19;7						38	2	4		\image\item\cap\fm2_cap_009a1.spr	\image\item\cap\fm2_cap_009a0.spr	ThiÕu n÷ Miªu téc vïng LÜnh Nam th­êng g¾n trªn ®Çu. Cã thÓ gi¶i ®éc.	½¿Ğ¡Å®Í·²¿007	M·o		3	0	0		0					
Thiªn La Thoa	0	103	64	15	1811	0	65	7;19						39	2	4		\image\item\cap\fm2_cap_010a1.spr	\image\item\cap\fm2_cap_010a0.spr	C¸c thiÕu n÷ Liªu bang th­êng mang. ChÕ tõ b¨ng tinh ngµn n¨m!	½¿Ğ¡Å®Í·²¿016	M·o		3	0	0		0					
Thiªn Phong Thóc tr©m	0	103	65	40	3064	0	100	21;8						47	2	4		\image\item\cap\fm2_cap_011a1.spr	\image\item\cap\fm2_cap_011a0.spr	C¸c thiÕu n÷ Liªu bang th­êng mang, trong th­êng chøa ®éc d­îc.	½¿Ğ¡Å®Í·²¿012	M·o		4	0	0		0					
V©n Méng Thoa	0	103	66	20	3302	0	85	8;21						48	2	4		\image\item\cap\fm2_cap_012a1.spr	\image\item\cap\fm2_cap_012a0.spr	Tİn vËt cña ch­ëng m«n Thóy yªn bŞ thÊt l¹c	½¿Ğ¡Å®Í·²¿006	M·o		4	0	0		0					
Phi §iÓu	0	103	67	50	5074	0	130	23;8						55	2	4		\image\item\cap\fm2_cap_013a1.spr	\image\item\cap\fm2_cap_013a0.spr	B¶o vËt mang vÒ tõ ph­¬ng T©y! Quı gi¸ v« song	½¿Ğ¡Å®Í·²¿013	M·o		5	0	0		0					
Hång Cèc	0	103	68	25	5402	0	110	8;23						56	2	4		\image\item\cap\fm2_cap_014a1.spr	\image\item\cap\fm2_cap_014a0.spr	Lµm tõ san h«, trŞ ®­îc b¸ch ®éc	½¿Ğ¡Å®Í·²¿015	M·o		5	0	0		0					
B¶o T­îng	0	103	69	60	8260	0	160	24;9						64	2	4		\image\item\cap\fm2_cap_015a1.spr	\image\item\cap\fm2_cap_015a0.spr	B¶o vËt do n­íc §¹i Thùc cèng cho §­êng triÒu	½¿Ğ¡Å®Í·²¿009	M·o		6	0	0		0					
Phong L«i	0	103	70	30	8605	0	140	9;24						65	2	4		\image\item\cap\fm2_cap_016a1.spr	\image\item\cap\fm2_cap_016a0.spr	Cã thÓ gäi sÊm sĞt trõ tµ ma	½¿Ğ¡Å®Í·²¿017	M·o		6	0	0		0					
Vu Hµm	0	103	71	70	12923	0	200	26;12						72	2	4		\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Chøa nhiÒu linh lùc. Khö ®­îc nhiÒu lo¹i ®éc ®­îc	½¿Ğ¡Å®Í·²¿014	M·o		7	0	0		0					
Tr­êng sinh	0	103	72	35	13863	0	175	12;26						73	2	4		\image\item\cap\fm2_cap_018a1.spr	\image\item\cap\fm2_cap_018a0.spr	Ng­êi mang vµo nh­ trÎ l¹i h¬n 10 tuæi	½¿Ğ¡Å®Í·²¿018	M·o		7	0	0		0					
B¸ch ChiÕn	0	103	73	60	14000	0	200	30;14						86	1	1		\image\item\cap\°ÙÕ½a1.spr	\image\item\cap\°ÙÕ½a0.spr	B¸ch ChiÕn Qu¸n, khİ thÕ hiªn ngang ngÊt ng­ìng.	±ê×¼ÄĞÍ·²¿8¼¶Íâ	M·o		8	0	0		0					
¤ Bµn	0	103	74	60	14000	0	200	30;14						86	1	2		\image\item\cap\ÎÚÅÍa1.spr	\image\item\cap\ÎÚÅÍa0.spr	C¸i kh«i ®­îc lµm tõ ¤ Kim Th¹ch, cøng c¸p vµ v÷ng nh­ th¹ch bµn, chuyªn hÊp thô vÕt th­¬ng chİ m¹ng.	¿ıÎàÄĞÍ·²¿8¼¶Íâ	M·o		8	0	0		0					
Häa Hu©n	0	103	75	60	14000	0	200	30;14						86	2	3		\image\item\cap\»­Ñ¬a1.spr	\image\item\cap\»­Ñ¬a0.spr	Tr©m cµi bu«ng rò xuèng tãc, yÓu ®iÖu nh­ hu©n phong nhËp huyÒn, c¶nh ®Ñp nh­ tranh.	ĞÔ¸ĞÅ®Í·²¿8¼¶Íâ	M·o		8	0	0		0					
Phiªn TuyÕt	0	103	76	60	14000	0	200	30;14						86	2	4		\image\item\cap\ôæÑ©a1.spr	\image\item\cap\ôæÑ©a0.spr	Trang søc ®­îc lµm tõ nhung tuyÕt, vÊn trªn tãc nh­ b«ng tuyÕt, táa h­¬ng th¬m nhÑ, ®Ñp lung linh.	½¿Ğ¡Å®Í·²¿8¼¶Íâ	M·o		8	0	0		0					
HuyÒn Vò	0	103	77	60	14000	0	200	14;30						87	1	1		\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	Lµm tõ l«ng vò ®en tuyÒn, ãng ¸nh méc m¹c. Chãp nhän mµ ®¸y s©u, dµy.	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0					
Cöu Anh	0	103	78	60	14000	0	200	14;30						87	1	2		\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	Lµm tõ t¬ L­u Kim, rÊt bÒn ch¾c, chèng ®ì ®­îc s¸t th­¬ng néi gia.	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0					
Yªn Hoa	0	103	79	60	14000	0	200	14;30						87	2	3		\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	C©y thoa h×nh d¸ng mét b«ng hoa xinh ®Ñp, rung rinh tr­íc giã, t«n thªm nĞt uyÓn ®iÖu thôc n÷.	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0					
Yªn Méng	0	103	80	60	14000	0	200	14;30						87	2	4		\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	Trang søc lµm b»ng t¬ Thiªn TÇm, ®Ñp tinh x¶o	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0					
