名字	大类型	副类型	详细类别	重量	价格	最大叠加数量	在诀要表里的编号	保留	保留	保留	保留	保留	保留	保留	保留	保留（数字）	保留（数字）	在界面上显示的小图	在界面上显示的大图	Disc	保留字段（字符串）	丢落在地面的时候，使用哪一个物件资源	脚本文件	等级	是否能交易(0能1不能)	保留（数字）	保留（数字）	保留（数字）
迦叶腿诀要	2	6	13	1	1	1	13											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>迦叶腿<color=White>：<color=Blue1>[=Rate1]% <color=White>概率施展完毕后恢复1格怒气<color=White>		诀要	\script\item\addenda.lua	7	0			
慧眼咒诀要	2	6	14	1	1	1	14											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>慧眼咒<color=White>：所有攻击 <color=Blue1>[=Value1]% <color=White>概率完全忽视对手闪避<color=White>		诀要	\script\item\addenda.lua	7	0			
韦陀拳诀要	2	6	15	1	1	1	15											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>韦陀拳<color=White>：连接时间延长 <color=Blue1>[=Value1] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
文殊出云腿诀要	2	6	16	1	1	1	16											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>文殊出云腿<color=White>：伤害范围扩大 <color=Blue1>[=Value1] <color=White>格		诀要	\script\item\addenda.lua	7	0			
罗汉阵诀要	2	6	17	1	1	1	17											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>罗汉阵<color=White>：光环效果范围扩大 <color=Blue1>[=Value1]%<color=White>，内力消耗降低 <color=Blue1>[=Value2]%<color=White>		诀要	\script\item\addenda.lua	7	0			
大须弥掌诀要	2	6	18	1	1	1	18											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=Gold>大须弥掌<color=White>：<color=Blue1>[=Rate1]% <color=White>概率使目标定身2秒<color=White>		诀要	\script\item\addenda.lua	7	0			
无影脚诀要	2	6	19	1	1	1	19											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=Gold>无影脚<color=White>：伤害范围扩大 <color=Blue1>[=Value4] <color=White>格，最后一腿攻击力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
少林龙爪手诀要	2	6	20	1	1	1	20											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>少林龙爪手<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
伏虎气功诀要	2	6	21	1	1	1	21											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>伏虎气功<color=White>：施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
少林修心法诀要	2	6	22	1	1	1	22											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>少林修心法<color=White>：<color=Blue1>[=Value1]% <color=White>概率使武功忽略任何消耗<color=White>		诀要	\script\item\addenda.lua	7	0			
五转指诀要	2	6	23	1	1	1	23											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>五转指<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
破魔咒诀要	2	6	24	1	1	1	24											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>破魔咒<color=White>：每10秒恢复生命 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
金刚不坏诀要	2	6	25	1	1	1	25											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>金刚不坏<color=White>：<color=Blue1>[=Rate1]% <color=White>概率受到攻击后2秒外功比例防御力提高25%、内功比例防御提高15%<color=White>		诀要	\script\item\addenda.lua	7	0			
因陀罗雷印破诀要	2	6	26	1	1	1	26											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>因陀罗雷印破<color=White>：使目标内功比例防御在10秒内削减 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
袈裟伏魔神通诀要	2	6	27	1	1	1	27											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>袈裟伏魔神通<color=White>：附加攻击力 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
无相神功诀要	2	6	28	1	1	1	28											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>无相神功<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
狮子吼诀要	2	6	29	1	1	1	29											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=Gold>狮子吼<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
不动明王咒诀要	2	6	30	1	1	1	30											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=Gold>不动明王咒<color=White>：效果范围扩大 <color=Blue1>[=Value1] <color=White>格		诀要	\script\item\addenda.lua	7	0			
大力金刚指诀要	2	6	31	1	1	1	31											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>大力金刚指<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
暗器制作术诀要	2	6	32	1	1	1	32											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>暗器制作术<color=White>：内外功防御点数增加 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
心眼诀要	2	6	33	1	1	1	33											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>心眼<color=White>：使所有攻击有 <color=Blue1>[=Value1]%<color=White> 概率忽视目标防御		诀要	\script\item\addenda.lua	7	0			
毒刺骨诀要	2	6	34	1	1	1	34											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>毒刺骨<color=White>：毒效果时间延长 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
解毒秘术诀要	2	6	35	1	1	1	35											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>解毒秘术<color=White>：<color=Blue1>[=Rate1]% <color=White>概率使目标在 <color=Blue1>[=Time1] <color=White>秒内抵抗毒伤害<color=White>		诀要	\script\item\addenda.lua	7	0			
勾魂阱诀要	2	6	36	1	1	1	36											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>勾魂阱<color=White>：使目标混乱时身上的毒效果加强 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
机关破解术诀要	2	6	37	1	1	1	37											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>机关破解术<color=White>：所有陷阱埋设速度提高 <color=Blue1>[=Value1]%		诀要	\script\item\addenda.lua	7	0			
追心箭诀要	2	6	38	1	1	1	38											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>追心箭<color=White>：第一式、第二式分别附加攻击力 <color=Blue1>[=Value1]、[=Value2]<color=White>		诀要	\script\item\addenda.lua	7	0			
秋毫明查诀要	2	6	39	1	1	1	39											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>秋毫明查<color=White>：有 <color=Blue1>[=Value1]% <color=White>概率完全忽略目标闪避<color=White>		诀要	\script\item\addenda.lua	7	0			
穿心刺诀要	2	6	40	1	1	1	40											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>穿心刺<color=White>：使目标身上的毒发作加快 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
淬毒秘术诀要	2	6	41	1	1	1	41											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>淬毒秘术<color=White>：<color=Blue1>[=Value1]% <color=White>概率使武功攻击也附带淬毒效果<color=White>		诀要	\script\item\addenda.lua	7	0			
夺魄幡诀要	2	6	42	1	1	1	42											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>夺魄幡<color=White>：使目标睡眠时有 <color=Blue1>[=Value1]%<color=White> 概率受到伤害不苏醒<color=White>		诀要	\script\item\addenda.lua	7	0			
暴雨梨花针诀要	2	6	43	1	1	1	43											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>暴雨梨花针<color=White>：第一式、第二式、第三式分别附加攻击力 <color=Blue1>[=Value1]、[=Value2]、[=Value3]<color=White>		诀要	\script\item\addenda.lua	7	0			
含沙射影诀要	2	6	44	1	1	1	44											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>含沙射影<color=White>：追心箭、暴雨梨花针招1触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
锁命针诀要	2	6	45	1	1	1	45											\image\item\book\jue_008a1.spr	\image\item\book\jue_008a0.spr	<color=Gold>锁命针<color=White>：使目标无法使用任何药品持续 <color=Blue1>[=Time1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
满天花雨诀要	2	6	46	1	1	1	46											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>满天花雨<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
观音诀诀要	2	6	47	1	1	1	47											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>观音诀<color=White>：对阴属性妖魔伤害力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
峨嵋佛意诀要	2	6	48	1	1	1	48											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>峨嵋佛意<color=White>：延长所有正面辅助技能效果持续时间 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
玉女剑法诀要	2	6	49	1	1	1	49											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>玉女剑法<color=White>：<color=Blue1>[=Rate1]% <color=White>概率击退目标<color=White>		诀要	\script\item\addenda.lua	7	0			
渡元诀诀要	2	6	50	1	1	1	50											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>渡元诀<color=White>：效果提高 <color=Blue1>[=Value2]%<color=White> 持续时间缩短 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
佛光普照诀要	2	6	51	1	1	1	51											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>佛光普照<color=White>：使光环内友方的全部基本属性点增加 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
莲华心经诀要	2	6	52	1	1	1	52											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>莲华心经<color=White>：使目标在使用武功时，内外功比例防御提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
清音梵唱诀要	2	6	53	1	1	1	53											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>清音梵唱<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
流水诀诀要	2	6	54	1	1	1	54											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>流水诀<color=White>：使目标完全闪避增加 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
普济众生诀要	2	6	55	1	1	1	55											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>普济众生<color=White>：使目标每半秒回复生命0.5%持续 <color=Blue1>[=Time1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
不灭心法诀要	2	6	56	1	1	1	56											\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=Gold>不灭心法<color=White>：使目标在3分钟内抵消内外功伤害各 <color=Blue1>[=Value1] <color=White>点<color=White>		诀要	\script\item\addenda.lua	7	0			
佛光战气诀要	2	6	57	1	1	1	57											\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=Gold>佛光战气<color=White>：使目标10分钟内打坐生命回复增加 <color=Blue1>[=Value1]<color=White> 点		诀要	\script\item\addenda.lua	7	0			
佛音战意诀要	2	6	58	1	1	1	58											\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=Gold>佛音战意<color=White>：使目标10分钟内打坐内力回复增加 <color=Blue1>[=Value1]<color=White> 点		诀要	\script\item\addenda.lua	7	0			
大慈大悲咒诀要	2	6	59	1	1	1	59											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>大慈大悲咒<color=White>：间隔时间缩短 <color=Blue1>[=Value2/18] <color=White>秒<color=White>，招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
随意曲诀要	2	6	60	1	1	1	60											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>随意曲<color=White>：<color=Blue1>[=Rate1]% <color=White>概率击退目标<color=White>		诀要	\script\item\addenda.lua	7	0			
曲艺精通诀要	2	6	61	1	1	1	61											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>曲艺精通<color=White>：使自身在使用武功时，内外功比例防御提高<color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
月蚀曲诀要	2	6	62	1	1	1	62											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>月蚀曲<color=White>：琴效果范围扩大 <color=Blue1>[=Value1] <color=White>格<color=White>		诀要	\script\item\addenda.lua	7	0			
断水心法诀要	2	6	63	1	1	1	63											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>断水心法<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
静夜思诀要	2	6	64	1	1	1	64											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>静夜思<color=White>：琴效果范围扩大 <color=Blue1>[=Value4] <color=White>格，<color=Blue1>[=Rate1]% <color=White>概率当琴声被打断时使打断者损失5%生命<color=White>		诀要	\script\item\addenda.lua	7	0			
余音绕梁功诀要	2	6	65	1	1	1	65											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>余音绕梁功<color=White>：受伤动作时间缩短 <color=Blue1>[=Value2]%<color=White>，受到攻击时有 <color=Blue1>[=Rate1]% <color=White>概率在3秒内加速30%<color=White>		诀要	\script\item\addenda.lua	7	0			
阳关三叠诀要	2	6	66	1	1	1	66											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>阳关三叠<color=White>：琴效果范围扩大 <color=Blue1>[=Value4] <color=White>格，<color=Blue1>[=Rate1]% <color=White>概率当琴声被打断时使打断者损失5%生命<color=White>		诀要	\script\item\addenda.lua	7	0			
覆水心法诀要	2	6	67	1	1	1	67											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>覆水心法<color=White>：使被重复的琴曲招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
焚琴煮鹤诀诀要	2	6	68	1	1	1	68											\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=Gold>焚琴煮鹤诀<color=White>：间隔时间缩短 <color=Blue1>[=Value2/18] <color=White>秒<color=White>，招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
乌夜啼诀要	2	6	69	1	1	1	69											\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=Gold>乌夜啼<color=White>：琴效果范围扩大 <color=Blue1>[=Value5] <color=White>格，<color=Blue1>[=Rate1]% <color=White>概率在弹琴过程中受到攻击时把攻击者击退<color=White>		诀要	\script\item\addenda.lua	7	0			
迷心飘香曲诀要	2	6	70	1	1	1	70											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>迷心飘香曲<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
丐帮掌法诀要	2	6	71	1	1	1	71											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>丐帮掌法<color=White>：霸王拳、六合拳法、锁喉擒拿手施展范围扩大 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
通臂拳诀要	2	6	72	1	1	1	72											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>通臂拳<color=White>：外功基本攻击力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
千斤闸诀要	2	6	73	1	1	1	73											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>千斤闸<color=White>：<color=Blue1>[=Rate1]% <color=White>概率受到攻击后4秒内免疫击倒、眩晕、混乱、睡眠<color=White>		诀要	\script\item\addenda.lua	7	0			
霸王拳诀要	2	6	74	1	1	1	74											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>霸王拳<color=White>：使目标外功比例防御在10秒内削减 <color=Blue1>[=Value1]%		诀要	\script\item\addenda.lua	7	0			
锁喉擒拿手诀要	2	6	75	1	1	1	75											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>锁喉擒拿手<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
逍遥游诀要	2	6	76	1	1	1	76											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>逍遥游<color=White>：受到攻击时有 <color=Blue1>[=Rate1]% <color=White>概率在3秒内移动速度提高30%<color=White>		诀要	\script\item\addenda.lua	7	0			
六合拳法诀要	2	6	77	1	1	1	77											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>六合拳法<color=White>：附加攻击力 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
醉蝶诀要	2	6	78	1	1	1	78											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>醉蝶<color=White>：使所有攻击都有 <color=Blue1>[=Value1]% <color=White>概率使目标眩晕1秒<color=White>		诀要	\script\item\addenda.lua	7	0			
醉拳诀要	2	6	79	1	1	1	79											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>醉拳<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
丐帮棍法诀要	2	6	80	1	1	1	80											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>丐帮棍法<color=White>：驱蛇棍法、打狗棍法施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
驱蛇棍法诀要	2	6	81	1	1	1	81											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>驱蛇棍法<color=White>：施展后增加 <color=Blue1>[=Value1]<color=White>伤害持续2秒		诀要	\script\item\addenda.lua	7	0			
乞天讨地诀要	2	6	82	1	1	1	82											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>乞天讨地<color=White>：乞讨状态下内外功比例防御力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
泥鳅功诀要	2	6	83	1	1	1	83											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>泥鳅功<color=White>：<color=Blue1>[=Value1]% <color=White>概率回避定身效果<color=White>		诀要	\script\item\addenda.lua	7	0			
妙手诀诀要	2	6	84	1	1	1	84											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>妙手诀<color=White>：<color=Blue1>[=Rate1]% <color=White>概率将目标封招2秒<color=White>		诀要	\script\item\addenda.lua	7	0			
偷龙转凤诀要	2	6	85	1	1	1	85											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>偷龙转凤<color=White>：使用偷取的技能时其持续时间延长 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
霸王卸甲诀要	2	6	86	1	1	1	86											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>霸王卸甲<color=White>：降低目标内外功点数防御 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
偷天换日诀要	2	6	87	1	1	1	87											\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=Gold>偷天换日<color=White>：使用偷取技能时发招速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
打狗棍法诀要	2	6	88	1	1	1	88											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>打狗棍法<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
武当剑法诀要	2	6	89	1	1	1	89											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>武当剑法<color=White>：内功基本攻击力提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
流光剑法诀要	2	6	90	1	1	1	90											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>流光剑法<color=White>：施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
未央剑法诀要	2	6	91	1	1	1	91											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>未央剑法<color=White>：<color=White>2秒内使目标减速 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
柔云剑法诀要	2	6	92	1	1	1	92											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>柔云剑法<color=White>：<color=White>2秒内使目标减速 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
烈焰剑法诀要	2	6	93	1	1	1	93											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>烈焰剑法<color=White>：施展速度提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
奔雷剑诀诀要	2	6	94	1	1	1	94											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>奔雷剑诀<color=White>：使目标内功比例防御在5秒内削减 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
无我心法诀要	2	6	95	1	1	1	95											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>无我心法<color=White>：施展速度提高 <color=Blue1>[=Value1]% ，<color=White>受到任何攻击有 <color=Blue1>[=Value2-589824]% <color=White>概率将攻击者 <color=Blue1>反震击退		诀要	\script\item\addenda.lua	7	0			
太清剑气诀要	2	6	96	1	1	1	96											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>太清剑气<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
缠梦剑意诀要	2	6	97	1	1	1	97											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>缠梦剑意<color=White>：持续时间延长 <color=Blue1>[=Value1]%<color=White>，内力消耗降低 <color=Blue1>[=Value3]%<color=White>		诀要	\script\item\addenda.lua	7	0			
落霜剑意诀要	2	6	98	1	1	1	98											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>落霜剑意<color=White>：持续时间延长 <color=Blue1>[=Value1]%<color=White>，内力消耗降低 <color=Blue1>[=Value3]%<color=White>		诀要	\script\item\addenda.lua	7	0			
