ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID
11	Th­¬ng tÊn c«ng b×nh th­êng				100	ÆïÂíÇ¹¹¥»÷02		Ç¹±©»÷,Ç¹¹¥»÷02																												ÆÕÍ¨¹¥»÷_Ç¹.spr							
12	Cung tiÔn tÊn c«ng b×nh th­êng				100	ÆïÂí¹­¹¥»÷02		¹­±©»÷,¹­¹¥»÷02																												ÆÕÍ¨¹¥»÷_¹­.spr							
13	Song ®ao tÊn c«ng b×nh th­êng				100			Ë«µ¶±©»÷,Ë«µ¶¹¥»÷02																												ÆÕÍ¨¹¥»÷_Ë«µ¶.spr							
14	Tr¶o tÊn c«ng b×nh th­êng				100			×¦±©»÷,×¦¹¥»÷02																												ÆÕÍ¨¹¥»÷_×¦.spr							
15	Linh Chi c«ng kİch				100			µ¥ÊÖÀà½£±©»÷,µ¥ÊÖÀà½£¹¥»÷03																												ÆÕÍ¨¹¥»÷_ÁéÖ¦.spr							
16	S¸o c«ng kİch b×nh th­êng				100			µ¥ÊÖÀà½£±©»÷,µ¥ÊÖÀà½£¹¥»÷03																												ÆÕÍ¨¹¥»÷_µÑ.spr							
17	Chñy Thñ tÊn c«ng b×nh th­êng				100			Ë«³ÖØ°Ê×¹¥»÷00,Ë«³ÖØ°Ê×¹¥»÷01																												Ø°Ê×ÆÕÍ¨¹¥»÷.spr							
18					100																																						
19	Ngåi thiÒn				100			´ò×ø																												´ò×ø.spr							
20	Khinh c«ng	<color=Gray>Vâ c«ng c¨n b¶n	<color=White>D­íi tr¹ng th¸i PK, thÓ lùc tiªu hao <color=Red1>5<color=White> ®iÓm <enter><color=White>Thi triÓn khinh c«ng ThÕ V©n Tung		100			Çá¹¦-Ô¾Æğ	Khinh c«ng-L¹c §Şa																											Çá¹¦.spr							
21	Hçn Nguyªn NhÊt Khİ C«ng	<color=Purple> NhËp m«n	<color=White>Yªu cÇu vò khİ  <color=Blue1>®ao<color=White> hoÆc <color=Blue1>c«n<enter><color=White>Khi ngåi thiÒn, mçi 10 gi©y t¨ng håi phôc sinh lùc <color=Blue1>[=state_0] <color=White>®iÓm{<enter>T¨ng tèc ®é phôc håi ngo¹i th­¬ng <color=Blue1>[=state_1]%}<enter><color=Blue1>Söa phßng ngù cña l­u ph¸i<enter><color=Blue1>Söa hiÖu qu¶ d­îc liÖu		100																															»ìÔªÒ»Æø¹¦.spr	ThiÕu L©m ®Ö tö tôc gia nhËp m«n t©m ph¸p, gióp kh«i phôc ngo¹i th­¬ng	Gold					
22	ThiÕu L©m ®ao ph¸p	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>N©ng lùc ®ao <color=Blue1>[=state_1]%<enter><color=White>Lùc ®ao t¨ng <color=Blue1>[=state_2]<color=White> ®iÓm		100																															ÉÙÁÖµ¶·¨.spr	ThiÕu L©m ®ao thuËt c¨n b¶n, n©ng cao kü x¶o dïng ®ao	Gold					
23	ThiÕu L©m c«n ph¸p	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>N©ng lùc c«n <color=Blue1>[=state_1]%<enter><color=White>S¸t th­¬ng t¨ng <color=Blue1>[=state_2]<color=White> ®iÓm		100																															ÉÙÁÖ¹÷·¨.spr	ThiÕu L©m c«n thuËt c¨n b¶n, n©ng cao kü x¶o dïng c«n	Gold					
24	Tr¶m Ma ®ao ph¸p	<color=Blue3> C«ng kİch ngo¹i c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>Lùc tÊn c«ng ®èi kh¸ng <color=Blue1>[=damage_0] ®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>1 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100			Õ¶Ä§µ¶·¨02																	ÉÙÁÖ\Õ¶Ä§µ¶·¨.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			Õ¶Ä§µ¶·¨.spr	ThiÕu L©m ®ao thuËt c¨n b¶n, ra ®ßn nhanh khi ®èi kh¸ng	Gold	PhËt §ao tr¶m ma	<color=White>Søc tÊn c«ng <color=Blue1>m¹nh nhÊt			
25	Phong Ma c«n ph¸p	<color=Blue3> C«ng kİch ngo¹i c«ng (thÊp)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>Lùc c«ng kİch <color=Blue1>[=damage_0] ®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>1 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100			·âÄ§¹÷·¨02																	ÉÙÁÖ\·âÄ§¹÷·¨.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			·âÄ§¹÷·¨.spr	ThiÕu L©m c«n thuËt c¨n b¶n, tÊn c«ng sè İt	Gold	NhËp Ma cÇu phËt	<color=White>Søc tÊn c«ng <color=Blue1>m¹nh nhÊt			
26	Kim Chung Tr¸o	<color=Red3> Hç trî phßng thñ chİnh diÖn (c­êng lùc c«ng ph¸p)	<color=White>tiªu hao néi lùc <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>t¨ng phßng ngù ®iÓm sè ngo¹i c«ng <color=Blue1>[=state_0]<enter><color=White>ph¶n ®ßn s¸t th­¬ng néi ngo¹i c«ng<color=Blue1> 10%<enter><color=White>thêi gian kĞo dµi <color=Green1>180 <color=White>gi©y<enter><color=White>gi·n c¸ch sö dông vâ c«ng <color=Green1>60 <color=White>gi©y<enter><color=Gray>(liªn quan hiÖu qu¶ g©n cèt)		100			½ğÖÓÕÖ(µ¶),½ğÖÓÕÖ(¹÷)		ÉÙÁÖ\003_a(½ğÖÓÕÖ).3e	1										ÉÙÁÖ\003_b(½ğÖÓÕÖ).3e	1			ÉÙÁÖ\½ğÖÓÕÖA.wav		ÉÙÁÖ\½ğÖÓÕÖB.wav	27								½ğÖÓÕÖ.spr	ThiÕu L©m ®éc m«n t©m ph¸p, t¨ng phßng ngù ngo¹i c«ng	Gold	Kim Th©n La h¸n	<color=White>t¨ng phßng ngù ngo¹i c«ng <color=Blue1>50 <color=White>®iÓm<enter><color=White>t¨ng ph¶n ®ßn néi ngo¹i c«ng <color=Blue1>5%<enter><color=Blue1>1% <color=White>bŞ th­¬ng chuyÓn hãa thµnh néi lùc			
165	Kim Chung Tr¸o (chiªu)									ÉÙÁÖ\003_a(½ğÖÓÕÖ).3e	1										ÉÙÁÖ\003_b(½ğÖÓÕÖ).3e	1			ÉÙÁÖ\½ğÖÓÕÖA.wav		ÉÙÁÖ\½ğÖÓÕÖB.wav	27															
27	Nhiªn Méc ®ao ph¸p	<color=Blue3> C«ng kİch ngo¹i c«ng (trung)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>§¸nh ®Şch theo hµng ngang, hiÖu qu¶ ®èi víi hÖ Méc<enter>TÊn c«ng ®¬n lÎ rÊt hiÖu qu¶. Lùc s¸t th­¬ng <color=Blue1>[=damage_0] ®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>3 <color=White>gi©y<enter><color=Gray>(Ngò hµnh: Kim)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100			È¼Ä¾µ¶·¨		ÉÙÁÖ\003_a(È¼Ä¾µ¶·¨).3e	2														ÉÙÁÖ\È¼Ä¾µ¶·¨.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			È¼Ä¾µ¶·¨.spr	ThiÕu L©m ®ao thuËt trung cÊp. <enter>HiÖu qu¶ h¬n khi ®èi kh¸ng hÖ Méc	Gold	NghiÖp Háa PhÇn Ma	<color=White>Søc tÊn c«ng <color=Blue1>m¹nh nhÊt			
28	V« Th­êng c«n ph¸p	<color=Blue3> C«ng kİch ngo¹i c«ng (trung)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm. <enter>TÊn c«ng trong ph¹m vi nhá, lùc ®¸nh <color=Blue1>[=damage_0] ®iÓm<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>3 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100			ÎŞ³£¹÷·¨02		ÉÙÁÖ\ÎŞ³£¹÷·¨.3e	1														ÉÙÁÖ\ÎŞ³£¹÷·¨A.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			ÎŞ³£¹÷·¨.spr	ThiÕu L©m c«n thuËt trung cÊp. <enter>Dïng khİ ®Èy lïi ®èi ph­¬ng	Gold	V« §Şnh V« Ph¸p	<color=Blue1> §¸nh lui			
29	X¶ Th©n QuyÕt	<color=Blue3> Chñ ®éng tÊn c«ng	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm.<enter>Lùc c«ng kİch <color=Blue1>[=damage_1] ®iÓm<enter><color=White>ChÆn ®èi ph­¬ng xuÊt chiªu <color=Blue1>[=skill_display_persist_time]%<enter><color=White>Gi¶m ph¶n ®ßn khi bŞ tÊn c«ng <color=Blue1>[=damage_3]%<enter><color=White>Tû lÖ <color=Blue1>100% <color=White>®Èy lui ®èi ph­¬ng<enter><color=White>Thêi gian ®Èy lui kĞo dµi <color=Blue1>[=damage_5]%<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>15 <color=White>gi©y		100			ÉáÉí¾÷(µ¶),ÉáÉí¾÷(¹÷)																	ÉÙÁÖ\ôÂôÄ·üÄ§ÉñÍ¨A.wav				ÆÕÍ¨\¹÷B.wav							ÉáÉí¾÷.spr	ThiÕu L©m ngo¹i gia tuyÖt häc.<enter>DÔ dµng khèng chÕ ®èi ph­¬ng	Gold	X¶ Th©n Thµnh PhËt	<color=White>Lùc tÊn c«ng+ <color=Blue1>500 <color=White>®iÓm<enter><color=White>ChÆn ®èi ph­¬ng xuÊt chiªu <color=Blue1>40%<enter><color=White>KĞo dµi thêi gian tĞ ng· <color=Blue1>20%			
30	§¹i Nh­ Lai Ph¸p	<color=Purple> Vâ c«ng bŞ ®éng	<color=White>Giíi h¹n sinh lùc t¨ng <color=Blue1>[=state_0]%<enter><color=White>Giíi h¹n néi lùc t¨ng <color=Blue1>[=state_1] <color=White>®iÓm<enter><color=White>§é chİnh x¸c t¨ng <color=Blue1>5%		100																															´ó³ËÈçÀ´ĞÄ·¨.spr	ThiÕu L©m t©m ph¸p th­îng thõa, dïng phËt ph¸p n©ng cao sinh lùc	Gold					
31	§¹t Ma Vò Kinh	<color=Blue3> C«ng kİch ngo¹i c«ng (cao)	<color=White>Néi lùc tiªu hao <color=Red1>[=cost_mana_point] <color=White>®iÓm.<enter>§¸nh liªn tiÕp 2 lÇn vµo ®èi ph­¬ng<enter>Thøc thø nhÊt <color=Blue1>[=damage_0] ®iÓm<enter><color=White>Thøc thø 2 <color=Blue1>[=172=damage_0] ®iÓm<enter><color=White>Tû lÖ 30% khiÕn ®èi ph­¬ng <color=Blue1>bŞ cho¸ng 2 gi©y<enter><color=White>Gi·n c¸ch xuÊt chiªu <color=Green1>6 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Søc m¹nh)		100			´ïÄ¦Îä¾­(µ¶),´ïÄ¦Îä¾­(¹÷)		ÉÙÁÖ\006_a(´ïÄ¦Îä¾­).3e	1														ÉÙÁÖ\´ïÄ¦Îä¾­A.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	»ÆÉ«1.Mtl			´ïÄ¦Îä¾­.spr	ThiÕu L©m mét trong 72 tuyÖt kü, vâ c«ng cao nhÊt cña c«n vµ ®ao	Gold	§¹t Ma Quan TriÒu K×nh	<color=White>T¨ng lùc tÊn c«ng <color=Blue1>50%<enter><color=White>Tû lÖ 50%<color=Blue1> cho¸ng 2 gi©y	§¹t Ma V« L­îng K×nh	<color=White>T¨ng lùc tÊn c«ng <color=Blue1>80%<enter><color=White>Tû lÖ 80%<color=Blue1> cho¸ng 2 gi©y	172
32	DŞch C©n Kinh	<color=Gold> Vâ c«ng TrÊn ph¸i	<color=White>S¸t khİ tiªu hao <color=Red1>[=cost_momentum] <color=White>« <enter>Toµn th©n mçi gi©y ph¸t ra 1 ®¹o chiÕn khİ chİ c­¬ng chİ d­¬ng<enter>Tæng céng <color=Blue1>[=skill_burst_time/18] <color=White>®¹o chiÕn khİ<enter>Mçi ®¹o chiÕn khİ t¨ng phßng ngù néi ngo¹i c«ng <color=Blue1>[=500=state_0] <color=White>®iÓm{<enter>Mçi ®¹o chiÕn khİ t¨ng c«ng kİch ngo¹i c«ng <color=Blue1>[=500=state_7]% <color=White>}{<enter>Mçi ®¹o chiÕn khİ gi¶m thä th­¬ng <color=Blue1>[=500=state_4]% <color=White>}<enter>Mçi ®¹o chiÕn khİ t¨ng tû lÖ miÔn dŞch tr¹ng th¸i g©y h¹i <color=Blue1>[=500=state_2]% <color=White>{<enter>Khi bŞ tÊn c«ng mçi ®¹o chiÕn khi cã tû lÖ khiÕn kÎ thï gi¶m tèc, lµm chËm <color=Blue1>[=500=state_5]% <color=White>}<enter>Mçi ®¹o chiÕn khİ sÏ hãa thµnh 3 <color=Gold>Kim Quang PhËt T­îng<color=White> phãng ra<enter>Mçi phËt t­îng g©y s¸t th­¬ng kÎ ®Şch <color=Blue1>[=imme_0]% <color=White><enter>Víi NPC s¸t th­¬ng t¨ng thªm <color=Blue1>[=damage_0] <color=White>®iÓm<enter><color=White>Chİ D­¬ng ChiÕn Khİ hiÖu lùc trong <color=Green1>30 <color=White>gi©y<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)	<enter>§¹t Ma s¸ng lËp ra ThiÒn T«ng<enter>Kh«ng xao ®éng tr­íc bÊt cø sù vËt g× lµ ThiÒn ®Şnh<enter>ThiÕu l©m §¹t Ma viÖn Èn tµng 72 tuyÖt kü<enter>LÊy niÖm PhËt lµm t«n chØ tu hµnh<enter>LuyÖn vâ lµ ®Ó g©n cèt tr¸ng kiÖn<enter> 	100			:µ¶Ò×½î¾­,µ¶Ò×½î¾­|:¹÷Ò×½î¾­,¹÷Ò×½î¾­		ÉÙÁÖ\Ò×½î¾­_a1.3e	1	-1													ÉÙÁÖ\Ò×½î¾­A.wav	-1								10	500	Ò×½î¾­.spr	Mét trong 72 tuyÖt kü ThiÕu L©m, thÇn c«ng trÊn ph¸i tôc gia.<enter> T¨ng n¨ng lùc phßng ngù	Gold	D­¬ng Tô §an §iÒn		D­¬ng §Şnh Ch©n Nguyªn		
33	ThiÕu L©m La H¸n C«ng	<color=Purple> NhËp m«n	<color=White>Yªu cÇu vò khİ <color=Blue1>Hé thñ.<enter><color=White>Ngåi thiÒn mçi 10 gi©y Sinh lùc håi phôc <color=Blue1>[=state_0] <color=White>®iÓm.<enter>Ngåi thiÒn mçi 10 gi©y néi lùc t¨ng <color=Blue1>[=state_1] <color=White>®iÓm.<enter>Sinh lùc t¨ng <color=Blue1>[=state_5] <color=White>®iÓm.{<enter>Tèc ®é håi phôc ngo¹i th­¬ng t¨ng <color=Blue1>[=state_2]%}.<enter><color=Blue1>T¨ng phßng ngù l­u ph¸i.<enter><color=Blue1>T¨ng hiÖu qu¶ d­îc liÖu		100																															ÉÙÁÖÂŞºº¹¦.spr	ThiÕu L©m vâ t¨ng nhËp m«n t©m ph¸p, gióp håi phôc néi ngo¹i khİ	Gold					
34	ThÊt B¶o ChiÕu Ph¸p	<color=Red3> Hç trî chñ ®éng tÊn c«ng chİnh diÖn	<color=White>TËp hîp mçi « né khİ tiªu hao néi lùc  <color=Red1>[=cost_mana_point] <color=White>®iÓm<enter>Tõ « thø 3 ®Õn thø 5, mçi « né khİ cÇn tiªu hao thªm  <color=Red1>30 <color=White>®iÓm néi lùc<enter>Tõ « thø 6 trë ®i, mçi « né khİ cÇn tiªu hao thªm <color=Red1>50 <color=White>®iÓm néi lùc<enter>Tèi ®a cã thÓ tËp hîp  <color=Blue1>[=skill_gaslimit] <color=White>« né khİ<enter>HiÖu qu¶ céng thªm cña né khİ:<enter>Ph¸t ®éng <color=Blue1>ThÊt B¶o QuyÒn Ph¸p<color=White>, khiÕn c«ng kİch th­êng gióp hÖ néi c«ng <enter>t¨ng hé gi¸p ngo¹i phßng <color=Blue1>80 <color=White>®iÓm<enter><color=White>T¨ng ®iÓm phßng thñ ngo¹i c«ng <color=Blue1>25 <color=White>®iÓm<enter>T¨ng tèc ®é tÊn c«ng th­êng <color=Blue1>40%<enter><color=Blue1>Ch©n Khİ Hé ThÓ Ph¸ Gi¸p v« hiÖu<enter><color=White>Mçi o né khİ duy tr× <color=Green1>180 <color=White>gi©y		100			Æß±¦ÉñÕÕĞÄ·¨		ÉÙÁÖ\008_a(Æß±¦ÉñÕÕĞÄ·¨).3e	6	13									ÉÙÁÖ\008_b(Æß±¦ÉñÕÕĞÄ·¨).3e	6			Îäµ±\²øÃÎ½£ÒâA.wav											Æß±¦ÉñÕÕĞÄ·¨.spr	ThiÕu L©m vâ t¨ng t©m ph¸p c¨n b¶n<enter>T¨ng c«ng víi néi khİ th©m hËu	Gold	NhËp ThÇn Täa ChiÕu	<color=White>Né khİ tİch tô t¨ng <color=Blue1>1 <color=White>møc			
176	ThÊt B¶o ChiÕu Ph¸p (chiªu)									ÉÙÁÖ\008_a(Æß±¦ÉñÕÕĞÄ·¨).3e	6	13									ÉÙÁÖ\008_b(Æß±¦ÉñÕÕĞÄ·¨).3e	6																					
35	La H¸n QuyÒn	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Né khİ tiªu hao <color=Red1>1<color=White> møc. <enter>Liªn tôc xuÊt chiªu<enter>Cã tû lÖ <color=Blue0>25%<color=White> khèng chÕ ®èi ph­¬ng trong <color=Green1>2<color=White> gi©y<enter>Thøc thø 1 <color=Blue1>[=damage_0] ®iÓm<color=White> tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn. <enter>Thøc thø 2 <color=Blue1>[=177=damage_0] ®iÓm<enter><color=White>Trong <color=Green1>3<color=White> gi©y cho phĞp ®¸nh liªn tiÕp chiªu kÕ. <enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			ÂŞººÈ­																												ÂŞººÈ­.spr	ThiÕu L©m quyÒn ph¸p c¨n b¶n, dïng néi khİ tÊn c«ng liªn tôc ®èi ph­¬ng	Gold	HiÖp S¬n Siªu H¶i	<color=White>Lùc tÊn c«ng+ <color=Blue1>50%<enter><color=White>®iÓm huyÖt <color=Blue1>2 <color=White>gi©y			177
36	Ca DiÖp Thèi	<color=Green3> C«ng kİch Néi c«ng (thÊp)	<color=White>Né khİ tiªu hao <color=Red1>1 <color=White>møc. <enter>Liªn tôc xuÊt chiªu <enter>Tû lÖ <color=Blue0>25%<color=White> khèng chÕ ®èi ph­¬ng trong <color=Green1>2<color=White> gi©y. <enter>Thøc thø 1 <color=Blue1>[=damage_0] ®iÓm<color=White> tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn. <enter>Thøc thø 2 <color=Blue1>[=179=damage_0] ®iÓm<enter><color=White>Trong <color=Green1>3 <color=White>gi©y cho phĞp ®¸nh chiªu kÕ tiÕp.<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			åÈÒ¶ÍÈ																												åÈÒ¶ÍÈ.spr	ThiÕu L©m thèi ph¸p c¨n b¶n, dïng néi khİ tÊn c«ng liªn tôc ®èi ph­¬ng	Gold	B¸t Bé C¶n ThiÒm	<color=White>N©ng lùc ®¸nh <color=Blue1>30%. <enter><color=White>§Şnh th©n <color=Blue1>2 <color=White>gi©y			179
37	HuÖ Nh·n Chó	<color=Red3> Hç trî chñ ®éng tÊn c«ng chİnh diÖn	<color=White>Tiªu hao né khİ <color=Red1>2<color=White> «<enter>Tû lÖ nĞ tr¸nh t¨ng <color=Blue1>5% <enter><color=White>Khi « né khİ kh«ng b»ng 0, khi bŞ tÊn c«ng sÏ cã tû lÖ <color=Blue0>[=state_1]% <color=White> tù ®éng<enter>phôc håi 1 « né khİ, ®ång thêi tiªu hao 30 ®iÓm néi lùc<enter>duy tr× <color=Green1>300<color=White> gi©y<enter><color=White>Thêi gian chê <color=Green1>60<color=White> gi©y<enter><color=Gray>(HiÖu qu¶ liªn quan ®Õn th©n ph¸p)		100			»ÛÑÛÖä		ÉÙÁÖ\011_a(»ÛÑÛÖä).3e	1										ÉÙÁÖ\011_b(»ÛÑÛÖä).3e	2			ÉÙÁÖ\»ÛÑÛÖä.wav											»ÛÑÛÖä.spr	ThiÕu L©m ®éc m«n t©m ph¸p, t¨ng chİnh x¸c	Gold	Hång TrÇn NhÊt TuyÕn	<color=White>Khi bŞ tÊn c«ng, tû lÖ tù ®éng phôc håi né khİ t¨ng <color=Blue1>5%			
181	HuÖ Nh·n Chó (chiªu)									ÉÙÁÖ\011_a(»ÛÑÛÖä).3e	1										ÉÙÁÖ\011_b(»ÛÑÛÖä).3e	2			ÉÙÁÖ\»ÛÑÛÖä.wav																		
38	Vi §µ QuyÒn	<color=Green3> C«ng kİch néi c«ng_trung cÊp	<color=White>Né khİ tiªu hao <color=Red1>2 <color=White>møc.<enter>CÇn ph¸t ®éng <color=Red0>La H¸n QuyÒn<color=White> hoÆc <color=Red0>Ca DiÖp Thèi<enter><color=White>Ra ®ßn cùc nhanh <enter><color=Blue0>10% <color=White>Khèng chÕ ®èi ph­¬ng trong <color=Green1>1<color=White> gi©y.<enter>Thøc thø 1 <color=Blue1>[=damage_0] ®iÓm<color=White> tÊn c«ng <color=Blue1>[=skill_missle_num] <color=White>lÇn.<enter>Thøc thø 2 <color=Blue1>[=182=damage_0] ®iÓm<enter><color=White>Trong <color=Green1>2<color=White> gi©y cho phĞp ®¸nh liªn tôc chiªu kÕ<enter><color=Gray>(Ngò hµnh do vò khİ quyÕt ®Şnh)<enter><color=Gray>(HiÖu qu¶ liªn quan Néi c«ng)		100			Î¤ÍÓÈ­		ÉÙÁÖ\012_a(Î¤ÍÓÈ­).3e	1																									Î¤ÍÓÈ­.spr	ThiÕu L©m quyÒn ph¸p trung cÊp, liªn tôc xuÊt chiªu<enter>Ph¶i ph¸t ®éng La H¸n QuyÒn hoÆc Ca DiÖp Thèi	Gold	Vi §µ Phôc Ma	<color=White>Lùc tÊn c«ng+ <color=Blue1>70%<enter><color=White>Khèng chÕ <color=Blue1>1 <color=White>gi©y			182
