ID	Name	MaxLevel	Faction	Route	Series	ExtraSeries	Type	Style1	Style2	DamageType	TargetType	WeaponLimit	HorseLimit	MoveType	CastInCity	CastInLeftKey	UseAR	Retrusive	FormerSkillID	FollowingSkillID	FollowingSkillBurstMode	FollowingSkillTargetType	NextSkillID	NextSkillWaitTime	MissleID	MissleWaitTime	SubSkill1ID	SubSkill2ID	PoisonFlag	PoisonSeries	MisslesForm	MissleReferenceFrame	MissleGenerateOrder	MissleRelativePosType	MissleGenerateData	MissleClientOnly	MissleStopWhenMove	ValidObject	UseRange	EffectRadius	BurstTime	BurstSpeed	AnkyloseTime	AnkyloseSpeed	MissleNum	LvlSetScript	LevelUpScript	DefaultAttrib1	DefaultValue1	DefaultAttrib2	DefaultValue2	DefaultAttrib3	DefaultValue3	DefaultAttrib4	DefaultValue4	PersistTimeEnhanceCoefficient	PersistTimeUpperLimitSec	SpecialStateLimit
11	Th­¬ng tÊn c«ng b×nh th­êng	1	0	0	7		-1	0	2	0	2	64	0		0	1	1	1							73	6					1	1	2					456	144	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10									
12	Cung tiÔn tÊn c«ng b×nh th­êng	1	0	0	7		-1	0	2	0	2	16	0		0	1	1	1							110	6					1		2					456	600	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10	cost_goods_id	983050	cost_goods_num	1					
13	Song ®ao tÊn c«ng b×nh th­êng	1	0	0	7		-1	0	2	0	2	128	1		0	1	1	1							71	6					1	1	2					456	96	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10									
14	Tr¶o tÊn c«ng b×nh th­êng	1	0	0	7		-1	0	2	0	2	2048	1		0	1	1	1							72	6					1	1	2					456	96	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10									
15	Linh Chi c«ng kİch	1	0	0	7		-1	0	2	0	2	8192	1		0	1	1	1							72	6					1	1	2					456	112	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10									
16	S¸o c«ng kİch b×nh th­êng	1	0	0	7		-1	0	2	0	2	4096	1		0	1	1	1							72	6					1	1	2					456	112	1	17	100			1	\script\skill\ÆÕÍ¨¹¥»÷\ÆÕÍ¨¹¥»÷.lua		skill_interrupt_rate	10									
17							4																																																			
18							4																																																			
19	Ngåi thiÒn						6								1																							2																				
20	Khinh c«ng						7				1		1		1																							2	600		8	30	8	20				cost_stamina_point_pk	5	skill_cast_interval	9							
21	Hçn Nguyªn NhÊt Khİ C«ng	10	1	2	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\ÉÙÁÖË×¼Ò\»ìÔªÒ»Æø¹¦.lua												
22	ThiÕu L©m ®ao ph¸p	10	1	2	0		3	14	1		0	8	0		1	0	0	0																				2								\script\skill\ÉÙÁÖË×¼Ò\ÉÙÁÖµ¶·¨.lua												
23	ThiÕu L©m c«n ph¸p	10	1	2	0		3	14	1		0	32	0		1	0	0	0																				2								\script\skill\ÉÙÁÖË×¼Ò\ÉÙÁÖ¹÷·¨.lua												
24	Tr¶m Ma ®ao ph¸p	5	1	2	7		1	0	2	0	2	40	1		0	1	1	1							56	12	160				1	1	2					456	96	1	18	100			1	\script\skill\ÉÙÁÖË×¼Ò\Õ¶Ä§µ¶·¨.lua		skill_cast_interval	18	skill_interrupt_rate	-55							
25	Phong Ma c«n ph¸p	5	1	2	7		1	0	2	0	2	40	1		0	1	1	1							57	12	162				1	1	2					456	300	1	18	100			1	\script\skill\ÉÙÁÖË×¼Ò\·âÄ§¹÷·¨.lua		skill_cast_interval	18	skill_interrupt_rate	-55							
26	Kim Chung Tr¸o	10	1	2	0		2	10	0		0	40	1		1	0	0	0								36	165											2	9999	1	37	100				\script\skill\ÉÙÁÖË×¼Ò\½ğÖÓÕÖ.lua		skill_interrupt_rate	10	skill_cast_interval	1080							
27	Nhiªn Méc ®ao ph¸p	7	1	2	1		1	1	2	0	2	40	1		0	0	1	1							49	12	166				1	0	2					456	300	1	18	100			1	\script\skill\ÉÙÁÖË×¼Ò\È¼Ä¾µ¶·¨.lua		skill_cast_interval	54	skill_interrupt_rate	-55							
28	V« Th­êng c«n ph¸p	7	1	2	7		1	1	2	0	2	40	1		0	0	1	1							58	12	168				1	1	2					456	300	1	18	100			1	\script\skill\ÉÙÁÖË×¼Ò\ÎŞ³£¹÷·¨.lua		skill_cast_interval	54	skill_interrupt_rate	-55							
29	X¶ Th©n QuyÕt	6	1	2	7		20	1	2	0	1	40	1		0	0	0	1									170											456	600	3	54	-100				\script\skill\ÉÙÁÖË×¼Ò\ÉáÉí¾÷.lua		skill_cast_interval	270	skill_interrupt_rate	-55							
30	§¹i Nh­ Lai Ph¸p	10	1	2	0		3	14	1		0	40	0		1	0	0	0																				2								\script\skill\ÉÙÁÖË×¼Ò\´ó³ËÈçÀ´ĞÄ·¨.lua												
31	§¹t Ma Vò Kinh	7	1	2	7		1	2	2	0	2	40	1		0	0	1	1					172	18	59	6					1	1	2					456	128	1	36	133			1	\script\skill\ÉÙÁÖË×¼Ò\´ïÄ¦Îä¾­.lua		skill_cast_interval	108	skill_interrupt_rate	-55							
32	DŞch C©n Kinh	20	1	2	7		1	3	2	0	1	40	1		0	0	0	0					500	17	133	18					2		5					456	600	1	181	100			3	\script\skill\ÉÙÁÖË×¼Ò\Ò×½î¾­.lua		skill_interrupt_rate	-500									
33	ThiÕu L©m La H¸n C«ng	10	1	4	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\ÉÙÁÖÎäÉ®\ÉÙÁÖÂŞºº¹¦.lua												
34	ThÊt B¶o ChiÕu Ph¸p	10	1	4	0		2	8	1		0	1	1		1	0	0	0								18	176											2	9999	1	20	-200				\script\skill\ÉÙÁÖÎäÉ®\Æß±¦ÉñÕÕĞÄ·¨.lua		skill_interrupt_rate	-55									
35	La H¸n QuyÒn	7	1	4	7		1	4	2	1	2	1	1		0	1	1	1					177	9	45	4					1	1	2		5			456	144	1	27	150				\script\skill\ÉÙÁÖÎäÉ®\ÂŞººÈ­.lua		cost_gas_point	1	skill_cast_effect_time	3	skill_interrupt_rate	-55					
36	Ca DiÖp Thèi	7	1	4	7		1	4	2	1	2	1	1		0	1	1	1					179	9	75	3					1	1	2		4			456	160	1	27	150				\script\skill\ÉÙÁÖÎäÉ®\åÈÒ¶ÍÈ.lua		cost_gas_point	1	skill_cast_effect_time	3	skill_interrupt_rate	-55					
37	HuÖ Nh·n Chó	6	1	4	0		2	8	1		0	1	1		1	0	0	0								18	181											2	9999	1	19	100				\script\skill\ÉÙÁÖÎäÉ®\»ÛÑÛÖä.lua		skill_interrupt_rate	10	cost_gas_point	2	skill_cast_interval	1080	skill_interrupt_rate	-55			
38	Vi §µ QuyÒn	9	1	4	7		1	5	2	1	2	1	1		0	0	1	1	35876				182	15	46	3					1	1	2		5			456	96	1	36	133				\script\skill\ÉÙÁÖÎäÉ®\Î¤ÍÓÈ­.lua		cost_gas_point	2	skill_cast_effect_time	2	skill_interrupt_rate	-55					
39	V¨n Thï XuÊt V©n Thèi	9	1	4	7		1	5	2	1	2	1	1		0	0	1	1	35876				184	6	76	2					1	1	2		3			456	96	1	27	100				\script\skill\ÉÙÁÖÎäÉ®\ÎÄÊâ³öÔÆÍÈ.lua		cost_gas_point	2	skill_cast_effect_time	2	skill_interrupt_rate	-55					
40	La H¸n TrËn	6	1	4	0		15	8	1			1	1		0	0	0	0																				6	9999	15	19	100				\script\skill\ÉÙÁÖÎäÉ®\ÂŞººÕó.lua												
41	§¹i Tu Di Ch­ëng	7	1	4	7		1	6	2	1	2	1	1		0	0	1	1	38						48	10	186	187			1	1	2					456	96	1	11	100			1	\script\skill\ÉÙÁÖÎäÉ®\´óĞëÃÖÕÆ.lua		cost_gas_point	2	skill_cast_effect_time	2	skill_interrupt_rate	-55					
42	V« ¶nh C­íc	9	1	4	7		1	6	2	1	2	1	1		0	0	1	1	38951				188	12	55	5					1	1	2		1			456	96	1	18	100				\script\skill\ÉÙÁÖÎäÉ®\ÎŞÓ°½Å.lua		cost_gas_point	3	skill_cast_effect_time	2	skill_interrupt_rate	-55					
43	ThiÕu L©m Long Tr¶o Thñ	7	1	4	0		2	8	0		0	1	1		1	0	0	0								34												2	9999	1	36	-200				\script\skill\ÉÙÁÖÎäÉ®\ÉÙÁÖÁú×¦ÊÖ.lua		skill_cast_interval	1080									
44	Nh­ Lai ThÇn Ch­ëng	20	1	4	7		1	7	2	1	1	1	1	2	0	0	0	0		519	1				138	6					2		3		3			456	600	1	108	100				\script\skill\ÉÙÁÖÎäÉ®\ÈçÀ´ÉñÕÆ.lua		skill_interrupt_rate	-500									
45	ThiÕu L©m ThiÒn Viªn C«ng	10	1	3	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\ÉÙÁÖìøÉ®\ÉÙÁÖìøÔ²¹¦.lua												
46	Phôc Hæ Khİ C«ng	7	1	3	0		1	4	2	1	2	256	1		0	1	1	0							4	11	195				1		2		2			456	600	1		100			1	\script\skill\ÉÙÁÖìøÉ®\·ü»¢Æø¹¦.lua		skill_interrupt_rate	-55									
47	ThiÕu L©m Tu T©m Ph¸p	6	1	3	0		3	14	1		0	256	0		1	0	0	0																				2								\script\skill\ÉÙÁÖìøÉ®\ÉÙÁÖĞŞĞÄ·¨.lua												
48	Ngò ChuyÓn ChØ	10	1	3	0		2	10	1		0	256	1		1	0	0	0								36	197											206	500	1	37	200				\script\skill\ÉÙÁÖìøÉ®\Îå×ªÖ¸.lua		skill_interrupt_rate	10	skill_cast_interval	180	cost_goods_id	4	cost_goods_num	1			
49	Ph¸ Ma Chó	8	1	3	0		2	11	1		0	256	1		0	0	0	0								36	198											264	500	1	37	133				\script\skill\ÉÙÁÖìøÉ®\ÆÆÄ§Öä.lua		skill_interrupt_rate	10	skill_cast_interval	180	cost_goods_id	12	cost_goods_num	1			
50	Kim Cang BÊt Ho¹i	10	1	3	0		2	10	0		0	256	1		1	0	0	0								36	200											2	9999	1	37	100				\script\skill\ÉÙÁÖìøÉ®\½ğ¸Õ²»»µ.lua		skill_interrupt_rate	10	skill_cast_interval	1080							
51	§µ L«i Ph¸	8	1	3	5		1	5	2	1	2	256	1		0	0	0	0							5	36	201				1	1	2					456	600	1	48	133			1	\script\skill\ÉÙÁÖìøÉ®\ÒòÍÓÂŞÀ×Ó¡ÆÆ.lua		skill_interrupt_rate	25									
52	Cµ Sa Phôc Ma thÇn c«ng	8	1	3	0		1	5	2	1	2	256	1		0	0	0	0							6	27	202				1		2					456	600	1	60	400			1	\script\skill\ÉÙÁÖìøÉ®\ôÂôÄ·üÄ§ÉñÍ¨.lua		skill_interrupt_rate	25	skill_cast_interval	108							
53	V« T­íng ThÇn C«ng	6	1	3	0		2	10	1		0	256	1		1	0	0	0								54	204											6	500	1	55	600			1	\script\skill\ÉÙÁÖìøÉ®\ÎŞÏàÉñ¹¦.lua		skill_interrupt_rate	25	skill_cast_interval	2160	cost_goods_id	4	cost_goods_num	1			
54	S­ Tö Hèng	5	1	3	0		1	6	2	1	1	256	1		0	0	0	0							41	54	206	207			1	0	2					456	9999	1	65	600			1	\script\skill\ÉÙÁÖìøÉ®\Ê¨×Óºğ.lua		skill_cast_interval	360	skill_interrupt_rate	10							
55	BÊt §éng Minh V­¬ng Chó	7	1	3	6		1	9	2	1	1	256	1		0	0	0	0							42	9	208	209			1	1	2					456	500	1	18	100			1	\script\skill\ÉÙÁÖìøÉ®\²»¶¯Ã÷ÍõÖä.lua		skill_interrupt_rate	10	skill_cast_interval	540	cost_goods_id	12	cost_goods_num	1			
56	§¹i Lùc Kim Cang ChØ	7	1	3	0		1	6	2	1	2	256	1		0	0	0	0							40	72	210	211			1	1	2					456	600	1	73	133			1	\script\skill\ÉÙÁÖìøÉ®\´óÁ¦½ğ¸ÕÖ¸.lua		skill_interrupt_rate	25									
57	TÈy Tñy Kinh	20	1	3	7		1	7	2	1	1	256	1		0	0	0	0					520	1	140	18					1	1	2		18			456	600	1	271	100			15	\script\skill\ÉÙÁÖìøÉ®\Ï´Ëè¾­.lua		skill_interrupt_rate	-500									
58	§­êng M«n ¸m khİ	10	5	6	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\ÌÆÃÅ\ÌÆÃÅ°µÆ÷.lua												
59	ChÕ ¸m thuËt	9	5	6	0		18	8	2		1	-1	1		1	0										180															181	-100				\script\skill\ÌÆÃÅ\°µÆ÷ÖÆ×÷Êõ.lua		skill_interrupt_rate	100									
60	T©m Nh·n	7	5	6	0		2	8	1		0	2	1		1	0	0	0								18	212											2	9999	1	19	100				\script\skill\ÌÆÃÅ\ĞÄÑÛ.lua		skill_cast_interval	1080	skill_interrupt_rate	10							
61	§éc Thİch Cèt	7	5	6	0		8	13	1	2	1	2	1		0	0	0	0							38	36			1		1	1	2					456	32	1	37	-200			1	\script\skill\ÌÆÃÅ\¶¾´Ì¹Ç.lua		skill_interrupt_rate	50	cost_goods_id	6	cost_goods_num	1					
62	Gi¶i §éc bİ thuËt	5	5	6	0		2	12	2		0	2	1		1	0	0	0								18												2	500	1	19	200				\script\skill\ÌÆÃÅ\½â¶¾ÃØÊõ.lua		skill_interrupt_rate	10	skill_cast_interval	18							
63	C©u Hån TÜnh	6	5	6	0		8	13	1		1	2	1		0	0	0	0							62	36			1		1	1	2					456	32	1	37	-200			1	\script\skill\ÌÆÃÅ\¹´»êÚå.lua		skill_interrupt_rate	50	cost_goods_id	6	cost_goods_num	1					
64	Ph¸ quan thuËt	6	5	6	0		9	10	2		3	2	1		0	0	0	0								36													200	1	37	150				\script\skill\ÌÆÃÅ\»ú¹ØÆÆ½âÊõ.lua		skill_interrupt_rate	10	cost_goods_id	6	cost_goods_num	-1					
65	Truy T©m TiÔn	6	5	6	7		1	1	2	0	2	2	1		0	1	1	0					213	6	31	3			1		1		2		3			456	600	1	27	100				\script\skill\ÌÆÃÅ\×·ĞÄ¼ı.lua		skill_cast_interval	18	cost_goods_id	720896	cost_goods_num	1	skill_interrupt_rate	-55			
66	Thu Hµo Minh Tra	6	5	6	0		2	10	1		0	2	1		1	0	0	0								36												2	9999	1	37	100				\script\skill\ÌÆÃÅ\ÇïºÁÃ÷²é.lua		skill_interrupt_rate	10	skill_cast_interval	3240							
67	Xuyªn T©m Thİch	7	5	6	0		8	13	1	2	1	2	1		0	0	0	0							63	36			1		1	1	2					456	32	1	37	-200			1	\script\skill\ÌÆÃÅ\´©ĞÄ´Ì.lua		skill_interrupt_rate	50	cost_goods_id	6	cost_goods_num	1					
68	Thèi §éc ThuËt	5	5	6	0		2	8	0		0	2	1		1	0	0	0								54			1									6	500	1	55	100				\script\skill\ÌÆÃÅ\´ã¶¾ÃØÊõ.lua		skill_interrupt_rate	10	skill_cast_interval	180							
69	§o¹t Ph¸ch Phiªn	6	5	6	0		8	13	1		1	2	1		0	0	0	0							64	36			1		1	1	2					456	32	1	37	-200			1	\script\skill\ÌÆÃÅ\¶áÆÇá¦.lua		skill_interrupt_rate	50	cost_goods_id	6	cost_goods_num	1					
70	B¹o Vò Lª Hoa Ch©m	7	5	6	7		1	2	2	0	1	2	1		0	0	1	0					215	14	33	4			1		2		2		1			456	600	1	27	100			4	\script\skill\ÌÆÃÅ\±©ÓêÀæ»¨Õë.lua		skill_cast_interval	72	cost_goods_id	720896	cost_goods_num	1	skill_interrupt_rate	-55			
71	Hµm Sa X¹ ¶nh	6	5	6	0		2	10	1		0	2	1		1	0	0	0								36	344	345										2	9999	1	37	400				\script\skill\ÌÆÃÅ\º¬É³ÉäÓ°.lua		skill_cast_interval	1080	skill_interrupt_rate	-500					250	30	
72	Táa MÖnh Ch©m	7	5	6	0		8	13	1	2	1	2	1		0	0	0	0							65	36			1		1	1	2					456	32	1	37	-200			1	\script\skill\ÌÆÃÅ\ËøÃüÕë.lua		skill_interrupt_rate	25	cost_goods_id	6	cost_goods_num	1					
73	M·n Thiªn Hoa Vò	7	5	6	7		1	2	2	0	1	2	1		0	0	1	0							36	27	301	303	1		4	1	2		2			456	600	1	35	100			9	\script\skill\ÌÆÃÅ\ÂúÌì»¨Óê.lua		skill_interrupt_rate	25	skill_cast_interval	108	cost_goods_id	720896	cost_goods_num	1			
74	HÊp Tinh TrËn	20	5	6	7		1	3	2	0	1	2	1		0	0	0	0							141	54			1		2	3	5					456	600	1	55	100			5	\script\skill\ÌÆÃÅ\ÎüĞÇÕó.lua		skill_interrupt_rate	-500									
75	Ngäc N÷ T©m Kinh	10	7	8	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\¶ëáÒ³ö¼Ò\ÓñÅ®ĞÄ¾­.lua												
76	Quan ¢m QuyÕt	6	7	8	0		2	12	2	1	0	4	1		1	0	0	0								18	219											270	500	1	19	100				\script\skill\¶ëáÒ³ö¼Ò\¹ÛÒô¾÷.lua		skill_interrupt_rate	-55									
77	Nga My PhËt ı	5	7	8	0		3	14	1		0	4	0		1	0	0	0																				2								\script\skill\¶ëáÒ³ö¼Ò\¶ëáÒ·ğÒâ.lua												
78	Ngäc N÷ kiÕm ph¸p	7	7	8	0		1	4	2	1	2	4	1		0	1	1	0							7	11	220				1		2		7			456	600	1	19	100			1	\script\skill\¶ëáÒ³ö¼Ò\ÓñÅ®½£·¨.lua		skill_interrupt_rate	-55									
79	§é Nguyªn QuyÕt	6	7	8	0		2	12	1		0	4	1		1	0	0	0								27	221											6	450	1	28	100				\script\skill\¶ëáÒ³ö¼Ò\¶ÉÔª¾÷.lua		skill_interrupt_rate	10	skill_cast_interval	72							
80	PhËt Quang Phæ ChiÕu	5	7	8	0		15	10	1			4	1		0	0	0	0																				6	9999	19	45	100				\script\skill\¶ëáÒ³ö¼Ò\·ğ¹âÆÕÕÕ.lua												
81	Liªn Hoa T©m Kinh	8	7	8	0		2	8	1		0	4	1		1	0	0	0								27	222											6	450	1	37	100				\script\skill\¶ëáÒ³ö¼Ò\Á«»ªĞÄ¾­.lua		skill_interrupt_rate	10	skill_cast_interval	270							
82	Thanh ¢m Ph¹n X­íng	7	7	8	0		2	12	1	1	0	4	1		0	0	0	0								18	224											6	450	1	19	134				\script\skill\¶ëáÒ³ö¼Ò\ÇåÒôèó³ª.lua		skill_interrupt_rate	10	skill_cast_interval	270							
83	L­u Thñy QuyÕt	9	7	8	0		1	8	1	1	1	4	1		1	0	0	0							132	27	225				1	1	2					6	450	1	37	100			1	\script\skill\¶ëáÒ³ö¼Ò\Á÷Ë®¾÷.lua		skill_interrupt_rate	10	skill_cast_interval	180							
84	Phæ TÕ Chóng Sinh	6	7	8	0		1	12	1	1	1	4	1		1	0	0	0							52	36	226				1	1	2					270	500	1	37	200			1	\script\skill\¶ëáÒ³ö¼Ò\ÆÕ¼ÃÖÚÉú.lua		skill_interrupt_rate	10	skill_cast_interval	72							
85	BÊt DiÖt T©m Ph¸p	5	7	8	0		1	10	1	1	1	4	1		1	0	0	0							119	36	227	228			1	1	2					6	450	1	37	100			1	\script\skill\¶ëáÒ³ö¼Ò\²»ÃğĞÄ·¨.lua		skill_interrupt_rate	10	skill_cast_interval	270							
86	PhËt Quang ChiÕn Khİ	6	7	8	0		1	8	1	1	1	4	1		1	0	0	0							53	54	230	231			1	1	2					6	500	1	55	100			1	\script\skill\¶ëáÒ³ö¼Ò\·ğ¹âÕ½Æø.lua		skill_interrupt_rate	10	skill_cast_interval	270							
87	PhËt ¢m ChiÕn ı	6	7	8	0		1	8	1	1	1	4	1		1	0	0	0							54	54	232	233			1	1	2					6	500	1	55	100			1	\script\skill\¶ëáÒ³ö¼Ò\·ğÒôÕ½Òâ.lua		skill_interrupt_rate	10	skill_cast_interval	270							
88	§¹i Bi Chó	7	7	8	0		2	12	1		0	4	1		1	0	0	0								45	342	343										16	450	1	54	100				\script\skill\¶ëáÒ³ö¼Ò\´ó´È´ó±¯Öä.lua		skill_interrupt_rate	10	skill_cast_interval	540	cost_goods_id	7	cost_goods_num	1			
89	V¹n T­íng ThÇn C«ng	20	7	8	7		2	7	1	1	0	4	1		0	0	0	0								36												2	9999	1	37	100				\script\skill\¶ëáÒ³ö¼Ò\ÍòÏàÉñ¹¦.lua		skill_interrupt_rate	-500									
90	Väng NguyÖt T©m Ph¸p	10	7	9	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\¶ëáÒË×¼Ò\ÍûÔÂĞÄ·¨.lua												
91	Tïy ı Khóc	7	7	9	7		10	4	2	1	1	1024	1		0	0	0	0					333	36	37	20					2		3		4			456	9999	1	270	100			4	\script\skill\¶ëáÒË×¼Ò\ËæÒâÇú.lua		skill_interrupt_rate	10	skill_cast_interval	90							
92	Khóc NghÖ Tinh Th«ng	9	7	9	0		3	14	1		0	1024	0		1	0	0	0																				2								\script\skill\¶ëáÒË×¼Ò\ÇúÒÕ¾«Í¨.lua												
93	NguyÖt Thùc khóc	8	7	9	0		10	9	2	1	1	1024	1		0	0	0	0					313	18	80	18	314				1		2					456	9999	1	252	100			1	\script\skill\¶ëáÒË×¼Ò\ÔÂÊ´Çú.lua		skill_interrupt_rate	10	skill_cast_interval	90							
94	§o¹n Thñy T©m Ph¸p	6	7	9	0		11	10	2		0	1024	1		0	0	0	0								18	315											74	600	1	19	100				\script\skill\¶ëáÒË×¼Ò\¶ÏË®ĞÄ·¨.lua		skill_cast_interval	90									
95	TÜnh D¹ T­	6	7	9	0		10	9	2		1	1024	1		0	0	0	0					316	18	81	18	317				1		2					456	9999	1	270	100			1	\script\skill\¶ëáÒË×¼Ò\¾²Ò¹Ë¼.lua		skill_interrupt_rate	10	skill_cast_interval	180							
96	D­ ¢m NhiÔu L­¬ng C«ng	5	7	9	0		3	14	1		0	1024	1		1	0	0	0																				2								\script\skill\¶ëáÒË×¼Ò\ÓàÒôÈÆÁº¹¦.lua												
97	D­¬ng Quan Tam §iÖp	6	7	9	0		10	11	2		1	1024	1		0	0	0	0					318	18	82	18	319				1		2					456	9999	1	270	100			1	\script\skill\¶ëáÒË×¼Ò\Ñô¹ØÈıµş.lua		skill_interrupt_rate	10	skill_cast_interval	180							
98	Phóc Thñy T©m Ph¸p	6	7	9	0		12	10	2		1	1024	1		0	0	0	0								1	320											2	9999	1	5	100				\script\skill\¶ëáÒË×¼Ò\¸²Ë®ĞÄ·¨.lua		skill_cast_interval	270									
99	PhÉn CÇm Chö H¹c QuyÕt	7	7	9	7		1	2	2	0	2	1024	1		0	0	1	1							85	18	321	322			1		2					456	600	1	22	100			1	\script\skill\¶ëáÒË×¼Ò\·ÙÇÙÖóº×¾÷.lua		skill_interrupt_rate	-55	skill_cast_interval	270							
100	¤ D¹ §Ò	6	7	9	0		10	9	2		1	1024	1		0	0	0	0					323	18	83	18	324	325			1		2					456	9999	1	270	100			1	\script\skill\¶ëáÒË×¼Ò\ÎÚÒ¹Ìä.lua		skill_interrupt_rate	10	skill_cast_interval	270							
101	Mª T©m Phiªu H­¬ng Khóc	7	7	9	0		10	6	2	1	1	1024	1		0	0	0	0					326	18	84	18	327	328			1		2					456	9999	1	270	100			1	\script\skill\¶ëáÒË×¼Ò\ÃÔĞÄÆ®ÏãÇú.lua		skill_interrupt_rate	10	skill_cast_interval	270							
102	Thiªn ¢m TrÊn Hån Khóc	20	7	9	7		10	7	1	1	1	1024	1		0	0	0	0					524	1	143	18					1		2					456	9999	1	270	100			1	\script\skill\¶ëáÒË×¼Ò\ÌìÒôÕò»êÇú.lua		skill_interrupt_rate	-500									
103	Hçn Thiªn Khİ C«ng	10	10	11	0		3	15	1		0	-1	0		1	0	0	0																				2								\script\skill\Ø¤°ï¾»ÒÂ\»ìÌìÆø¹¦.lua												
104	C¸i Bang Ch­ëng ph¸p	10	10	11	0		3	14	1		0	1	0		1	0	0	0																				2								\script\skill\Ø¤°ï¾»ÒÂ\Ø¤°ïÕÆ·¨.lua												
