ID	Name	Type	LifeTime	Height	Speed	ZSpeed	ZAcceleration	CollidRangeW	CollidRangeH	DamageRangeW	DamageRangeH	Param1	Param2	AutoExplode	MoveKind	DamageNumLimit
118	Thanh ¢m Ph¹n X­íng	0	2	10	0			13	13	13	13			1	0	
119	BÊt DiÖt T©m Ph¸p	0	2	10	0			13	13	13	13			1	0	
120	§éc Cæ H·m TÜnh	1	1080	1	0			3	3	3	3	17			0	
121	§éc Cæ Trùc TuyÕn	0	270	80	60			9	9	9	9				1	
122	§éc Cæ Truy T«ng	0	54	100	12			5	5	5	5	9			3	
123	HuyÕt Cæ H·m TÞnh	1	1080	1	0			3	3	3	3	17			0	
124	HuyÕt Cæ Trùc TuyÕn	0	270	80	60			9	9	9	9				1	
125	HuyÕt Cæ Truy T«ng	0	54	100	12			5	5	5	5	9			3	
126	Thi Cæ H·m TÞnh	1	1080	1	0			3	3	3	3	17			0	
127	Thi Cæ Trùc TuyÕn	0	270	80	60			9	9	9	9				1	
128	Thi Cæ Truy T«ng	0	54	100	12			5	5	5	5	9			3	
129	T©m Cæ H·m TÞnh	1	1080	1	0			3	3	3	3	17			0	
130	T©m Cæ Trùc TuyÕn	0	270	80	60			9	9	9	9				1	
131	T©m Cæ Truy T«ng	0	54	100	12			5	5	5	5	9			3	
132	L­u Thñy QuyÕt	0	2	10	0			13	13	13	13			1	0	
133	DÞch C©n Kinh 1	0	90	1	40			7	7	7	7				1	
134	DÞch C©n Kinh 2	0	90	1	40			7	7	7	7				1	
135	DÞch C©n Kinh 3	0	90	1	40			7	7	7	7				1	
136	DÞch C©n Kinh 4	0	90	1	40			7	7	7	7				1	
137	DÞch C©n Kinh 5	0	90	1	40			7	7	7	7				1	
138	Nh­ Lai ThÇn Ch­ëng (tiÓu)	0	108	240	150	-40		3	3	3	3				1	
139	Nh­ Lai ThÇn Ch­ëng (®¹i)	0	108	240	150	-40		9	9	9	9				1	
140	TÈy Tñy Kinh	0	18	1	0			15	15	15	15				0	
141	C¬ quan HÊp Tinh trËn	4	108	30	15			0	0	0	0	36			1	
142	HÊp Tinh trËn Phi ch©m	0	54	80	100			3	3	3	3				1	
143	Thiªn ¢m TrÊn Hån Khóc ph¹m vi réng	0	2	10	0			25	25	25	25				0	
144	Thiªn ¢m TrÊn Hån Khóc ®­êng th¼ng	0	54	10	100			19	3	19	3				1	
145	Gi¸ng Long ThËp B¸t Ch­ëng tiÓu	0	72	10	60			5	5	5	5				1	
146	Gi¸ng Long ThËp B¸t Ch­ëng ®¹i	0	108	15	60			11	19	11	19				1	
147	§¶ CÈu c«n trËn c«ng kÝch	0	2	60	0			5	5	5	5				0	
148	§¶ CÈu c«n trËn hç trî	0	2	1	0			35	35	35	35				0	
149	V« Th­îng Th¸i Cùc KiÕm tèi cao	0	90	210	200			5	5	5	5				1	
150	V« Th­îng Th¸i Cùc KiÕm cao	0	90	180	200			5	5	5	5				1	
151	V« Th­îng Th¸i Cùc KiÕm trung cao	0	90	150	200			5	5	5	5				1	
152	V« Th­îng Th¸i Cùc KiÕm trung thÊp	0	90	120	200			5	5	5	5				1	
153	V« Th­îng Th¸i Cùc KiÕm thÊp	0	90	90	200			5	5	5	5				1	
154	V« Th­îng Th¸i Cùc KiÕm cùc thÊp	0	90	60	200			5	5	5	5				1	
155	Th¸i Cùc ThÇn C«ng L­ìng Nghi	0	54	50	50			7	7	7	7				1	
156	Th¸i Cùc ThÇn C«ng Tø T­îng	0	27	50	30			5	5	5	5				1	
157	Th¸i Cùc ThÇn C«ng B¸t Qu¸i	0	90	50	30			3	3	3	3				1	
158	B¸ V­¬ng T­êng Phông TiÔn	0	180	60	80			11	11	11	11				1	
159	B¸ V­¬ng T­êng Phông TiÔn Vò Mao	0	72	60	30			3	3	3	3				1	
160	V« Thiªn Ma C«ng Thi V­¬ng §ao	0	2	1	0			7	7	7	7				0	
161	V« ¶nh Ma Cæ	0	270	1	10			11	11	11	11				1	1
162	V« ¶nh Ma Cæ ¤n DÞch	0	2	1	0			11	11	11	11				0	
199	NPC §¸nh ngo¹i c«ng	0	2	1	0			1	1	1	1				0	
200	NPC §¸nh ngo¹i c«ng (tÇm xa)	0	12	60	60			3	3	1	1				1	
201	NPC §¸nh gi¶m tèc	0	2	1	0			1	1	1	1				0	
202	NPC §¸nh rót m¸u	0	2	1	0			1	1	1	1				0	
203	NPC §¸nh ph¸ phßng thñ	0	2	1	0			1	1	1	1				0	
204	NPC §¸nh gi¶m tèc (tÇm xa)	0	12	60	60			3	3	1	1				1	
205	NPC §¸nh lui ph¹m vi lín	0	2	10	0			13	13	13	13				0	
206	NPC §¸nh lo¹n ph¹m vi lín	0	2	10	0			13	13	13	13				0	
207	NPC §¸nh cho¸ng ph¹m vi lín	0	2	10	0			13	13	13	13				0	
208	NPC §¸nh háa ph¹m vi lín	0	2	10	0			13	13	13	13				0	
209	NPC KhÕ ­íc tö vong	0	2	1	0			1	1	1	1				0	
210	NPC §¸nh néi c«ng	0	2	1	0			1	1	1	1				0	
211	NPC §¸nh néi c«ng (tÇm xa)	0	12	60	60			3	3	1	1				1	
212	NPC TriÖu gäi	0	2	1	100			1	1	1	1				1	
213	NPC §éc	0	12	60	50			3	3	1	1				1	
214	BOSS Cho¸ng ph¹m vi lín	0	2	10	0			30	30	30	30				0	
215	BOSS Hçn lo¹n ph¹m vi lín	0	2	10	0			30	30	30	30				0	
216	BOSS Lµm ngñ ph¹m vi lín	0	2	10	0			30	30	30	30				0	
217	BOSS Tª liÖt ph¹m vi lín	0	2	10	0			30	30	30	30				0	
218	BOSS §Þnh th©n ph¹m vi lín	0	2	10	0			30	30	30	30				0	
219	BOSS §¸nh lui ph¹m vi lín	0	2	10	0			30	30	30	30				0	
220	BOSS §¸nh ng· ph¹m vi lín	0	2	10	0			30	30	30	30				0	
221	BOSS §¸nh hç trî ph¹m vi lín	0	2	10	0			30	30	30	30				0	
222	BOSS Khãa chÆt ph¹m vi lín	0	2	10	0			30	30	30	30				0	
223	BOSS §¸nh ngo¹i c«ng (cùc m¹nh)	0	2	10	0			3	3	3	3				0	
224	BOSS §¸nh néi c«ng (cùc m¹nh)	0	2	10	0			3	3	3	3				0	
225	BOSS T¶n X¹ KiÕm KhÝ 1	0	12	100	120			1	1	1	1				1	
226	BOSS T¶n X¹ KiÕm KhÝ 2	0	12	100	120			1	1	1	1				1	
227	BOSS BÉy	1	32400	10	0			3	3	3	3	20			0	
228	BOSS Lo¹n X¹ KiÕm KhÝ	0	12	100	60			1	1	1	1				1	
229	BOSS KÐo ng­êi ph¹m vi lín	0	2	10	0			30	30	30	30				0	
230	BOSS §¸nh ngo¹i c«ng toµn khu vùc	0	2	10	0			30	30	30	30				0	
231	BOSS §¸nh néi c«ng toµn khu vùc	0	2	10	0			30	30	30	30				0	
232	BOSS Duy tr× s¸t th­¬ng ®­êng th¼ng	0	15	60	100			3	3	3	3				1	
233	KiÕm §o¹n TËt Xuyªn	0	2	1	0			3	3	3	3				0	
234	H×nh Xuyªn NhËt NguyÖt	0	15	100	120			3	5	3	5				1	
235	KhÝ Th«ng Tam Giíi	0	2	1	0			7	7	7	7				0	
236	Tinh Qu¸n Linh Tiªu	0	12	100	0			0	0	0	0				0	
237	Tinh Qu¸n Linh Tiªu (Tö)	0	8	100	120			3	5	3	5				1	
238	Ngò Hµnh §ång Huy	0	18	1	0			7	7	7	7				0	
239	Linh Du Chóng Thiªn	0	2	1	0			30	30	30	30				0	
240	Cöu Long Héi Tô (Tö)	0	12	100	120			3	5	3	5				1	
241	V¹n KiÕm Quy T«ng	0	60	180	0			3	3	3	3				0	
242	V¹n KiÕm Quy T«ng (Tö)	0	3	180	100	-60		3	3	3	3				1	
243	V¹n KiÕm Quy T«ng (NhÞ Tö)	0	5	180	100	-36		3	3	3	3				1	
244	V¹n KiÕm Quy T«ng (Tam Tö)	0	10	180	100	-18		3	3	3	3				1	
245	Quang V« Cùc	0	48	1	0			3	3	3	3				0	
246	Quang V« Cùc (Tö)	0	15	100	150			3	5	3	5				1	
247	Quang V« Cùc (NhÞ Tö)	0	2	1	0			30	30	30	30				0	
248	Linh Du Chóng Thiªn (Tö)	0	20	10	0	-20		3	3	3	3				0	
249	Cöu Long Héi Tô	0	6	10	0			5	5	5	5				1	
301	XÝch S¾c DiÖm	2	30	80											0	
302	Tranh S¾c DiÖm	2	30	80											0	
303	Huúnh S¾c DiÖm	2	30	80											0	
304	Lôc S¾c DiÖm	2	30	80											0	
305	Lam S¾c DiÖm	2	30	80											0	
306	Tö S¾c DiÖm	2	30	80											0	
307	XÝch M¹c DiÖm	2	90	80											0	
308	Tranh M¹c DiÖm	2	90	80											0	
309	Huúnh M¹c DiÖm	2	90	80											0	
310	Lôc M¹c DiÖm	2	90	80											0	
311	Lam M¹c DiÖm	2	90	80											0	
312	Tö M¹c DiÖm	2	90	80											0	
313	TiÓu TuyÕt cÇu (®¹n)	0	90	1	0			0	0	17	17			1	0	
314	Trung TuyÕt cÇu (®¹n)	0	90	1	0			0	0	27	27			1	0	
315	§¹i TuyÕt cÇu (®¹n)	0	90	1	0			0	0	40	40			1	0	
316	TuyÕt cÇu	0	5	80	100			3	3	1	1				1	
317	Ph¸o	0	18	90	10	-5		0	0	0	0				1	
318	Phong ph¸o	0	18	90	10	-5		0	0	0	0				1	
319	Khai V©n ph¸o	0	108	75	20			5	5	5	5	9			3	
320	BÝ Èn L«i	1	3240	10	0			5	5	5	5	20			0	
321	V« Song S¸t	0	2	10	0			21	21	21	21				0	
322	Cuång Lam KÝch	0	9	75	150			3	3	3	3				1	
323	H»ng Nga	0	360	1	0			19	19	19	19				0	
400	D­¬ng Gia Ph¸ Phong Th­¬ng	0	2	160	0			3	3	3	3				1	
401	D­¬ng Gia B«n Lang Th­¬ng	0	2	60	200			5	11	5	11				1	
402	D­¬ng Gia Thiªn Hµnh Th­¬ng-tiÒn	0	2	1	0			13	13	13	13				0	
403	D­¬ng Gia Thiªn Hµnh Th­¬ng-hËu	0	2	1	0			13	13	13	13				0	
404	D­¬ng Gia §¶o H¶i Th­¬ng	0	2	1	30			11	11	11	11				0	
405	D­¬ng Gia Ngù M· ThuËt	0	6	1	0			19	19	19	19				0	
406	D­¬ng Gia Liªn X¹ ThuËt	0	12	100	120			3	3	1	1				1	
407	D­¬ng Gia Håi Long TiÔn	0	10	100	150			5	5	5	5				1	
408	D­¬ng Gia TriÒn V©n TiÔn	0	15	100	150			3	3	3	3				1	
409	D­¬ng Gia To¸i Kim TiÔn	0	15	100	150			9	9	9	9				1	
410	L­u Quang TuyÖt ¶nh TiÔn	0	15	240	150	-24		3	3	3	3				1	
411	BÝch NguyÖt Phi Tinh Th­¬ng	0	3	180	150	-45		9	15	9	15				1	
412	D­¬ng Gia Ch¸nh KhÝ TiÔn	0	15	120	150			3	3	3	3				1	
413	Ph¸o th¨ng thiªn	2	180	80											0	
414	L­u HuyÕt NPC	0	2	10	0			19	19	19	19			1	0	
415	§éc L­u HuyÕt NPC	0	2	10	0			6	6	6	6			1	0	
416	Thuéc tÝnh t¹m thêi n©ng cao	0	18	10	0			3	3	3	3			1	0	
417	KhiÕn ng­êi ch¬i trong ph¹m vi réng bÞ r¬i vµo tr¹ng th¸i 	0	36	10				30	30	30	30			1	0	
418	BOSS §¸nh h×nh qu¹t (nhanh)	0	180	50	60			3	3	3	3				1	
419	BOSS §¸nh h×nh qu¹t (rÊt chËm)	0	180	50	10			3	3	3	3				1	
420	BOSS §¸nh h×nh qu¹t (chËm)	0	180	50	20			3	3	3	3				1	
421	Ph¹m vi boss gi¶m tèc	0	2	10	0			30	30	30	30					
422	Ph¹m vi boss cho¸ng	0	2	10	0			30	30	30	30					
423	NPC c«ng kÝch ngo¹i c«ng tõ xa	0	90	60	20			3	3	1	1				1	
424	BOSS §¸nh h×nh qu¹t (rÊt nhanh)	0	90	50	90			3	3	3	3				1	
425	Háa c«ng ph¹m vi gÇn NPC	0	2	10	0			13	13	13	13				0	
426	C«ng kÝch phæ th«ng ph¹m vi gÇn npc	0	2	10	0			9	9	9	9				0	
427	Tµ §éc C«ng	0	2	10	0			13	13	13	13			1	0	
428	Th«i Thi Tµ KhÝ	0	2	10	0			13	13	13	13			1	0	
429	D­¬ng Gia Kú M«n ThuÉn §¹n	0	10	100	150			3	3	3	3				1	
430	§¸nh h×nh qu¹t nhanh chËm	0	180	90	30			3	7	3	7				1	
431	Thiªn L«i Phï	0	15	75	90			5	5	5	5				1	
432	B¨ng Phong QuyÕt	0	12	60	100			5	5	5	5				1	
433	Cuång L«i Phï	0	9	10	0			5	5	5	5				0	
434	Oanh L«i Phï	0	2	10	0			7	7	7	7				0	
435	Cang Phong QuyÕt	0	2	1	0			15	15	15	15				0	
436	B¹o L«i Phï	0	15	10	30			3	3	3	3				1	
437	Ngò L«i ChÝnh ph¸p phï	0	130	1	0			13	13	13	13				0	
438	V¹n L«i To¸i Tinh Phï	0	36	75	60			5	5	5	5				1	
439	V« Cùc Phong L«i QuyÕt	0	9	1	0			30	30	30	30				0	
440	V¹n L«i To¸i Tinh Phï (Nhá)	0	90	10	50			3	3	3	3				1	
445	ChÝch Phong TuyÒn	0	3	1	0			9	9	9	9				0	
447	D­¬ng Viªm B¹o	0	9	60	0			15	15	15	15				0	
461	Linh Miªu VËn	0	2	10	0			23	23	23	23	65537		1	0	
462	MÞ Hoa	0	2	10	0			23	23	23	23	65537		1	0	
463	Thu NguyÖt Phó	0	2	10	0			23	23	23	23	65537		1	0	
464	§iÖp O¸n	0	2	10	0			23	23	23	23	65537		1	0	
465	Thiªn Háa DiÔm D­¬ng	0	2	10	0			23	23	23	23	65537		1	0	
466	Méng Xµ	0	2	10	0			23	23	23	23	65537		1	0	
467	Loan Phông Cöu Thiªn	0	2	10	0			23	23	23	23			1	0	
468	Loan Phông Cöu Thiªn (Nhá)	0	15	75	90			3	3	3	3				1	
471	HiÖu qu¶ kú tö	0	2	1	0			17	17	17	17				0	
474	L¹c Hoa QuyÕt	0	2	10	0			3	3	3	3				0	
475	§µo hoa ch­¬ng	0	270	10	0			13	13	13	13				0	
476	Mª X¶o QuyÕt	0	180	10	0			11	11	11	11				0	
477	B¸ch §iÖp Nghªnh H­¬ng QuyÕt	0	2	10	0			5	5	5	5				0	
478	Cöu Vü Hoa Tiªn QuyÕt	0	30	10	0			23	23	23	23				0	
479	§iªu KÝch Tho¸i	0	2	10	0			7	7	7	7				0	
480	Ngäc Long Xuyªn NguyÖt QuyÕt	0	24	1	60			9	9	9	9				1	
481	Cöu Vü Hoa Tiªn QuyÕt (§iªu Uy)	0	36	1	30			11	11	11	11				1	
482	boss Giai VËn Ch­ëng Ph¸p 1	0	15	60	150			3	3	3	3				1	
483	boss Giai VËn Ch­ëng Ph¸p 2	0	9	60	0			23	23	23	23				0	
484	Vá chuèi	0	1080	1	0			5	5	5	5				0	
485	BÉy kÑp	0	1080	1	0			5	5	5	5				0	
486	§Çm lÇy	0	1080	1	0			13	13	13	13				0	
493	§iÓm s¸ng C«ng T«n Th¾ng	0	6	2	0			9	9	9	9				0	
494	C«ng T«n Th¾ng l«i cÇu (tö)	0	36	10	0			7	7	7	7				0	
495	C«ng T«n Th¾ng l«i cÇu (tö tö)	0	54	10	20			3	3	7	7				1	
496	C«ng T«n Th¾ng l«i long	0	90	2	0			17	17	17	17				0	
497	Quan Th¾ng háa long	0	90	2	0			17	17	17	17				0	
498	Quan Th¾ng tuyÒn phong	0	180	60	20			7	7	7	7	9			3	
499	Lç TrÝ Th©m minh v­¬ng chó	0	180	2	0			11	11	11	11				0	
500	TÇn Minh TÝch LÞch háa	0	10	15	30			3	3	9	9				1	
501	V©n Vò	0	180	15	0			17	17	17	17				0	
502	Ph¸o Long Ch©u	0	180	15	20			5	5	5	5				1	
503	Qu©n l«i	0	9	10	0			5	5	5	5				0	
504	DiÖm d­¬ng	0	9	60	0			15	15	15	15				0	
30001	BOSS tuyÕt cÇu	0	5	80	100			3	3	1	1			1	1	
30002	B¹o phong tuyÕt	0	6	10	0			10	10	10	10	17			0	
30003	Boom tiÓu tuyÕt cÇu	0	90	1	0			0	0	17	17			1	0	
30004	Boom trung tuyÕt cÇu	0	90	1	0			0	0	17	17			1	0	
30005	Boom ®¹i tuyÕt cÇu	0	90	1	0			0	0	17	17			1	0	
30006	VËt nu«i – C«ng th­êng 	0	5	1	0			1	1	1	1				0	
30007	VËt nu«i – Kim linh ph¸ gi¸p 	0	5	1	0			1	1	1	1				0	
30008	VËt nu«i – Méc linh ®éc 	0	2	10	0			1	1	1	1				0	
30009	VËt nu«i – Méc linh hót m¸u 	0	5	1	0			1	1	1	1				0	
30010	VËt nu«i – Méc linh phong Ên	0	5	1	0			15	15	15	15				0	
30011	VËt nu«i – Háa linh lo¹n 	0	5	1	0			1	1	1	1				0	
30012	VËt nu«i – Háa linh liÖt diÖm 	0	5	1	0			20	20	20	20				0	
30013	VËt nu«i – Thæ linh cho¸ng 	0	5	1	0			1	1	1	1				0	
30014	VËt nu«i – Thæ linh chÊn ®Þa 	0	5	1	0			20	20	20	20				0	
30015	VËt nu«i – håi m¸u tËp thÓ 	0	18	10	0			15	15	15	15			1	0	
30016	VËt nu«i – Xu©n Vò Miªn Miªn 	0	18	10	0			15	15	15	15				0	
30017	VËt nu«i – ThÊt Tinh H¶i §­êng 	0	18	10	0			15	15	15	15			1	0	
30018	VËt nu«i – Di Hoa TiÕp Méc 	0	5	1	0			1	1	1	1				0	
30019	VËt nu«i – LiÖt diÖm träng kÝch 	0	5	1	0			15	15	15	15			1	0	
30020	VËt nu«i – M·nh hæ h¹ s¬n 	0	5	60	200			5	11	5	11				1	
30021	VËt nu«i – Hæ gÇm s¬n l©m 	0	5	10	0			15	15	15	15			1	0	
30022	VËt nu«i – §¹i h¶i v« l­îng 	0	10	1	100			15	15	15	15			1	1	
30023	VËt nu«i – V¹n thó triÒu t«ng 	0	10	1	100			15	15	15	15			1	1	
30024	VËt nu«i – Long ®»ng tø h¶i	0	10	1	100			15	15	15	15			1	1	
30025	VËt nu«i – Phông vò cöu thiªn 	0	10	1	100			15	15	15	15			1	1	
30026	Long Ch©u Tù B¹o	0	2	1	0			13	13	13	13			1	0	
