name	temp
Sø gi¶ m«n ph¸i	Vâ L©m Minh Chñ1
Chñ TiÖm N÷ phôc	Bµ chñ
Binh Bé ThÞ Lang	Tr×nh Di
Tµo B©n	Tèng T­íng Qu©n
TriÖu Diªn Niªn	B¸n s¸ch
Chñ TiÖm Nam phôc	Chñ tiÖm vò khÝ Thæ Phån
Chñ T¹p hãa	Ch­ëng d­îc Thæ Phån
Chñ töu lÇu	V­¬ng An Th¹ch
TiÓu nhÞ	TiÓu nhÞ Trung Nguyªn
Binh Bé Thñ vÖ	VÖ binh thµnh m«n
L­u NhÊt Phñ	Xa phu Trung Nguyªn
Chñ Kim hoµn	Chñ tiÖm ®¸ Trung Nguyªn
Chñ tiÒn trang	Chñ cÇm ®å Trung Nguyªn
Nh©n sÜ giang hå	Giang hå tuÊn kiÖt
Tµo §¹i Lùc	C¸i Bang m«n nh©n
B¸n ngùa	Nam nh©n T©y B¾c
Hµng xãm Hµn TrÝ Nh­îng	¤ng giµ ph­¬ng B¾c2
Chñ th­¬ng héi	T« Thøc
Hµnh C­íc Th­¬ng Nh©n	G¸nh hµng
B¸ch HiÓu Sinh	B¸n s¸ch
Thî s¨n Tr­¬ng	ThÇy luyÖn thó
M¹c §¹i	Thî rÌn Trung Nguyªn
Vâ s­	Giang hå tuÊn kiÖt
Hµ Tó C«	D©n n÷
TiÓu Hæ	§ång tö 3
Th«n tr­ëng	L·o n«ng d©n
Cäc gç	Cäc gç 2
L·nh ®¹i phu	Ch­ëng d­îc Trung Nguyªn
Hµ Th¹c Cö	ThiÕu niªn nam1
Thá rõng	Thá tr¾ng
Thá x¸m	Thá x¸m
NguyÖt L­îng Thè	Thá ®en
R­¬ng	R­¬ng cã thÓ më
D­îc th¶o	Tµng Hång Hoa
Hµn TrÝ Nh­îng	TrÝch ThÇn
Th­ sinh kú qu¸i	Th­ sinh
LiÖp Hé	LiÖp Hé
Th­ §ång	§¶o §Þa Th­ §ång
KiÕm §ång	§ång tö1
L­¬ng S¬n Nh·n TuyÕn	Minh Th©u
L­¬ng S¬n ¸m TÆc	¸m TÆc
L­¬ng S¬n Lé PhØ	Lé tÆc
Ngäc Kú L©n	Ngäc kú l©n2
§ao V­¬ng	KiÕm TuyÖt
Ng­êi lïn	Vâ §¹i Lang-b×nh th­êng
H¾c Phong KiÕm Kh¸ch	Th­¬ng Tµ
TiÓu ®Çu môc	L­u KhÊu
Danh Th­¬ng Kh¸ch	Th­¬ng kh¸ch trung cÊp
ThiÕu n÷ ¤ M«ng Bé	Miªu téc thiÕu n÷1
¤ M«ng Téc Nh©n	Phiªn Di Tiªu Thñ
¤ M«ng Dòng SÜ	Phiªn Di §ao Kh¸ch
L¹c Ph¸ch S¬n tÆc	T©y H¹ T­íng LÜnh2
Qu©n nhu	R­¬ng cã thÓ më
L­¬ng th¶o	Tói r¸nh
LÇu canh T©y S¬n	LÇu canh
LÇu canh §«ng S¬n	LÇu canh
Liªu ®ao binh	Kim ®ao binh
Liªu th­¬ng qu©n	Kim th­¬ng qu©n
Liªu tiÔn binh	Kim tiÔn binh
Linh Hå	Yªu Hå 2
TuyÕt Qu¸i	TuyÕt Qu¸i1
B¨ng Qu¸i	TuyÕt Qu¸i3
B¨ng T©m N÷	Tiªn N÷1
T©y H¹ T­íng LÜnh	T©y H¹ T­íng LÜnh1
Th¸c B¹t Kú	Nam nh©n ph­¬ng B¾c1
TrÇn Phi D­¬ng	T©y H¹ T­íng LÜnh3
R­¬ng ®éc d­îc	R­¬ng cã thÓ më
§­êng Kþ	Chñ qu¶n ¸m KhÝ phßng
§­êng Thiªn TiÕu	Qu¶n gia
§­êng Ng¹o	Nam nh©n T©y Nam
§­êng V©n	Chñ qu¶n Háa KhÝ phßng
§éc Si	T­ M· Quang
§­êng Xu©n	§­êng M«n phã m«n chñ
§­êng M«n L·o L·o	§­êng M«n T©n Ch­ëng M«n
§­êng Thiªn H¶i	§­êng M«n T©n m«n nh©n
§­êng UyÓn Nhi	§­êng M«n M«n Nh©n
Trïng Qu¸i	Trïng Qu¸i1
Thô Qu¸i	Thô Qu¸i1
Trïng Qu¸i V­¬ng	Trïng Qu¸i2
Th¹ch Nh©n	Th¹ch Nh©n1
Háa Kú L©n	Háa kú l©n1
Ng« ViÖt L·o Tæ	Tµ Tiªn Nh©n
Lam D· Quû	Lam §ao Quû
DiÖp Tö Hinh	Nga My m«n nh©n
TÇn Phông Dao	Tè Hoµn Ch©n
D­¬ng NguyÖt s­ th¸i	Nga My phã ch­ëng m«n
HuÖ ¢m s­ th¸i	Nga My hé ph¸p
Nghi Thanh	Nga My phã ch­ëng m«n
Ch©n Nh­ s­ th¸i	Nga My ch­ëng m«n
Thñ khè	N÷ thiÕu niªn2
L©m UyÓn Y	Lý S­ S­
TuÖ T©m s­ th¸i	Nga My phã ch­ëng m«n
Nghi Hßa	Nga My m«n nh©n
Tiªu s­	V­¬ng An Th¹ch
Chñ töu lÇu	L·o phó hé
M¹c NhÞ	Thî rÌn Trung Nguyªn
§¹i Kho¸ng C«ng	Th­¬ng nh©n thu thËp
N¹n d©n_§inh	¡n mµy
Xa phu	Xa phu Trung Nguyªn
Th¸i thó	Quan viªn
Bé ®Çu	Lôc PhiÕn cao thñ2
CÈm n­¬ng	Bµ chñ
N¹n d©n_BÝnh	¡n mµy
Nha dÞch	Nha dÞch
Hoµng §¹i ThÈm	Th«n phô 3
Chñ th­¬ng héi	Tr×nh Di
TiÓu ®ång	§ång n÷1
Vâ s­	Giang hå hµo kiÖt
Chñ TiÖm N÷ phôc	Chñ T¬ lôa Trung Nguyªn
Chu ThiÖn Nh©n	Qu¶n gia
Chñ l«i ®µi	C¸i Bang m«n nh©n
Chu UÊt Ly	D©n n÷
N¹n d©n	¡n mµy
N¹n d©n Êt	¡n mµy
V­¬ng CÈn	HiÖp n÷
N¹n d©n_Gi¸p	¡n mµy
A ThÞnh	ThiÕu niªn trong th«n
§øa bÐ ®¸ng th­¬ng	§ång tö 3
Chñ tiÖm nhá	TiÓu nhÞ Trung Nguyªn
Ph¹m Träng Yªm	TrÝch ThÇn
Gia C¸t Kú	Th­ sinh
§éi tr­ëng Binh sÜ	VÖ binh thµnh m«n
Binh sÜ	VÖ binh thµnh m«n
Hñ Thi ®øng yªn	Hñ Thi trªn ®Êt
Hµnh lý cña d©n lµng	Tói r¸nh
Gia ®inh Mé TuyÕt	Thiªn V­¬ng Bang §å
T¹p Nguyªn ch©n nh©n	Vâ §ang  phã ch­ëng m«n
Du ChÊn Sinh	Vâ §ang  phã ch­ëng m«n
Yªn Nh­	N÷ thiÕu niªn2
Tö H¹c ch©n nh©n	Vâ §ang  ch­ëng m«n
Tr­¬ng Ngä D­¬ng	Vâ §ang  m«n nh©n
Minh NguyÖt	§ång tö1
§¹i KiÕm Ch©u	Vâ §ang  hé ph¸p
M¹c Thu Phong	Vâ §ang  m«n nh©n
KiÕm Kh¸ch	Th­¬ng Kh¸ch
§ao HiÖp	§ao S¸t
D· Tr­ V­¬ng	TiÓu H¾c tr­
L­u KhÊu	L­u KhÊu §Çu Môc
Väng Giang Hång	Tµng Hång Hoa
¢m Hån	¢m Hån1
Tr­¬ng §×nh	Giang hå hµo kiÖt
Hñ thi	Hñ thi1
Hµnh Thi	Hñ thi2
U Hån	¢m Hån2
§Þa S¸t	ThÝch Kh¸ch2
Thiªn S¸t	ThÝch Kh¸ch1
Minh Chñ Kim S¬n	Quan sø-trung niªn1
T­ M· TÊn Nguyªn	Giang hå tuÊn kiÖt
Hµn NghÜa	Qu¶n gia
Cæ MÆc	ThiÕu niªn trong th«n
Xa phu	Xa phu Trung Nguyªn
Thiªn Tóc Minh	Thêi Thiªn
Cæ L·o Ta	L·o n«ng d©n
M¹c Tam	Thî rÌn Trung Nguyªn
Thî rÌn L­u	Thî rÌn Trung Nguyªn
C«ng T«n Th­	Tr×nh Di
Phï Nghi	B¸n s¸ch
Th¸i thó	Quan sø-trung niªn1
Tæng binh	Thiªn V­¬ng Bang Chñ
Vu DÇn	ThiÕu niªn nam2
Tr­¬ng ¶nh	Giang hå tuÊn kiÖt
Tiªu s­	Tr­¬ng Tr¹ch §oan
M¹c H÷u Vi	Xa phu T©y Nam
Ph­¬ng Khanh	Th­ sinh
V­¬ng TiÓu Ba	T¨ng ¸c
Thñ vÖ bé l¹c	Nam nh©n ph­¬ng B¾c1
Nhiªu L©n	Nam nh©n ph­¬ng B¾c3
Tiªu Thiªn Hùu	Vâ t­íng Liªu_®èi tho¹i
D­¬ng NghiÖp	Thiªn V­¬ng Bang Chñ
Tèng qu©n tr­ëng hé vÖ	Thiªn V­¬ng Phã bang
§«ng H¶i Thñy Téc	Ng­ Qu¸i1
§«ng H¶i Thñy Téc Binh sÜ	Ng­ Qu¸i2
Oa Quèc L·ng Nh©n	Oa KhÊu4
H¶i TÆc	Oa KhÊu3
Th­¬ng ThÇn	Th­¬ng Cuång
Cãc ®éc	Cãc1
C¸ sÊu	C¸ sÊu1
Thiªn binh	Thiªn Binh1
C¸ sÊu biÓn	C¸ sÊu2
Xa phu	Xa phu Trung Nguyªn
Chñ T¹p hãa	Ch­ëng d­îc Trung Nguyªn
M·nh Nham 	Chñ Vò khÝ Trung Nguyªn
H¹ HÇu Anh	§ång tö1
H¹ HÇu Liªn	§ång n÷1
Chñ l«i ®µi	Chñ Vò khÝ Trung Nguyªn
Chñ TiÖm Nam phôc	Chñ Vò khÝ Trung Nguyªn
H¹ HÇu CÇm	N÷ thiÕu niªn1
Phïng §ång Nhi	N÷ thiÕu niªn3
TrÇn MÉn	Ch­ëng d­îc Trung Nguyªn
ThiÕt Gi¸p trïng	Kim Gi¸p
§¹i ChÝ C­êng	Chñ cÇm ®å Trung Nguyªn
Xa phu TuyÒn Ch©u	Xa phu Trung Nguyªn
H¹ KiÖt	L­u manh thµnh thÞ
Chñ th­¬ng héi	Chñ cÇm ®å Trung Nguyªn
Chu B©n Cö	Th­ sinh
V­¬ng NghiÖp VÜ	Chñ cÇm ®å Trung Nguyªn
Th¸i thó	Quan sø-trung niªn1
Chung Phãng	Thî rÌn Trung Nguyªn
Tiªu s­	Giang hå tuÊn kiÖt
B¸ch HiÓu Sinh	ThiÖu Ung
L­u qu¶n gia	L·o phó hé
ThÕ ngo¹i cao nh©n	TrÝch ThÇn
Oa Quèc §ao kh¸ch	Oa KhÊu1
Xi Háa cao thñ	Xi Háa cao thñ
Tú Bµ Tiªn Tö	N÷ Tú Bµ tiªn
Tiªu Tiªn Tö	N÷ Tiªu tiªn
§Þch tiªn Tö	N÷ §Þch tiªn
KiÕm tiªn Tö	N÷ KiÕm tiªn
T¶n Tiªn Tö	N÷ t¶n tiªn
CÇm Tiªn Tö	N÷ cÇm tiªn
H­íng Ty Thanh	Phu nh©n-phæ th«ng
Th«n d©n	Xa phu Trung Nguyªn
Thî má Gi¸p	§µo kho¸ng
Thî s¨n Gi¸p	Lµm da
Thî s¨n Êt	Lµm da
Thî s¨n BÝnh	Lµm da
Thî s¨n §inh	Lµm da
Môc NghÜa	Tèng T­íng Qu©n
H¸i thuèc Êt	H¸i thuèc
H¸i thuèc BÝnh	H¸i thuèc
H¸i thuèc §inh	H¸i thuèc
H¸i thuèc Gi¸p	H¸i thuèc
H¸i thuèc §inh	H¸i thuèc
ThiÕu niªn Gi¸p	Thu ho¹ch
ThiÕu niªn Êt	Thu ho¹ch
ThiÕu niªn BÝnh	Thu ho¹ch
ThiÕu niªn §inh	Thu ho¹ch
Cäc gç	Cäc gç
Ong vµng	Ong vµng
Ong ®éc	Ong ®éc
Hå Ly	Hå Ly
Ng©n Hå	Ng©n Hå
Sãi ®iªn	Sãi ®iªn
¸c Lang	¸c Lang
NhÖn	NhÖn
NhÖn ®á	NhÖn ®á
NhÖn tr¾ng	NhÖn tr¾ng
Bß c¹p	Bß c¹p
Bß c¹p n­íc	Bß c¹p n­íc
ThiÕt Gi¸p	ThiÕt Gi¸p
Kim Gi¸p	Kim Gi¸p
Hæ	Hæ
Hæ tr¾ng	Hæ tr¾ng
GÊu x¸m	GÊu x¸m
GÊu ®iªn	GÊu ®iªn
D¬i	D¬i
D¬i hót m¸u	D¬i hót m¸u
V­în to	V­în to
§ét ¦ng	§ét ¦ng
B¹ch §iªu	B¹ch §iªu
Nh·n kÝnh xµ	Nh·n kÝnh xµ
Tu Xµ	Tu Xµ
Qu¹ §en	Qu¹ §en
Qu¹ Tr¾ng	Qu¹ Tr¾ng
L­u Manh	L­u Manh
Du C«n	Du C«n
C«n ®å	C«n ®å
Hçn Hçn	Hçn Hçn
S¬n tÆc	S¬n tÆc
L·ng nh©n	L·ng nh©n
§ao phØ	§ao phØ
C«n phØ	C«n phØ
Th­¬ng phØ	Th­¬ng phØ
TiÔn phØ	TiÔn phØ
Th¶o KhÊu	Th¶o KhÊu
M·ng KhÊu	M·ng KhÊu
Cïng KhÊu	Cïng KhÊu
L­u KhÊu	L­u KhÊu
Quû ThiÕt	Quû ThiÕt
Minh Th©u	Minh Th©u
Ngôy §¹o	Ngôy §¹o
¸m TÆc	¸m TÆc
KiÕm Kh¸ch	KiÕm Kh¸ch
KiÕm kh¸ch trung cÊp	KiÕm kh¸ch trung cÊp
L·ng KiÕm Kh¸ch	L·ng KiÕm Kh¸ch
§ao Kh¸ch	§ao Kh¸ch
§ao kh¸ch trung cÊp	§ao kh¸ch trung cÊp
§·ng §ao Kh¸ch	§·ng §ao Kh¸ch
Th­¬ng Kh¸ch	Th­¬ng Kh¸ch
Th­¬ng kh¸ch trung cÊp	Th­¬ng kh¸ch trung cÊp
Kim Th­¬ng Kh¸ch	Kim Th­¬ng Kh¸ch
Phi Tr¶o	Phi Tr¶o
¸m Cung	¸m Cung
ThiÕt C©u	ThiÕt C©u
B¸ch NhËt TiÔn	B¸ch NhËt TiÔn
Thiªn Lý Tiªu	Thiªn Lý Tiªu
Vâ Tßng	Vâ Tßng
Lç TrÝ Th©m	Lç TrÝ Th©m
¸c T¨ng	¸c T¨ng
Tµ T¨ng	Tµ T¨ng
T¶ hé ph¸p	T¶ hé ph¸p
H÷u hé ph¸p	H÷u hé ph¸p
Phiªn Di §ao Kh¸ch	Phiªn Di §ao Kh¸ch
Phiªn Di Cæ S­	Phiªn Di Cæ S­
Phiªn Di Tiªu Thñ	Phiªn Di Tiªu Thñ
¸c B¸	¸c B¸
Vâ sÜ dÞ téc	Vâ sÜ dÞ téc
Phï thñy dÞ téc	Phï thñy dÞ téc
TiÔn thñ dÞ téc	TiÔn thñ dÞ téc
S¸t thñ ngo¹i téc	S¸t thñ ngo¹i téc
ThuËt sÜ ngo¹i téc	ThuËt sÜ ngo¹i téc
C­êng ®¹o ngo¹i téc	C­êng ®¹o ngo¹i téc
Cung thñ ngo¹i téc	Cung thñ ngo¹i téc
Tèng th­¬ng qu©n	Tèng th­¬ng qu©n
Tèng ®ao binh	Tèng ®ao binh
Tèng tiÔn binh	Tèng tiÔn binh
Tèng nâ binh	Tèng nâ binh
Tèng thuÉn binh	Tèng thuÉn binh
Kim th­¬ng qu©n	Kim th­¬ng qu©n
Kim ®ao binh	Kim ®ao binh
Kim tiÔn binh	Kim tiÔn binh
Kim nâ binh	Kim nâ binh
Kim thuÉn binh	Kim thuÉn binh
§ao Tµ	§ao Tµ
KiÕm Tµ	KiÕm Tµ
Th­¬ng Tµ	Th­¬ng Tµ
§ao Cuång	§ao Cuång
KiÕm Cuång	KiÕm Cuång
Th­¬ng Cuång	Th­¬ng Cuång
§ao TuyÖt	§ao TuyÖt
KiÕm TuyÖt	KiÕm TuyÖt
Th­¬ng TuyÖt	Th­¬ng TuyÖt
§ao S¸t	§ao S¸t
KiÕm S¸t	KiÕm S¸t
Th­¬ng S¸t	Th­¬ng S¸t
C« L©u ®ao thñ	C« L©u ®ao thñ
C« L©u th­¬ng thñ	C« L©u th­¬ng thñ
C« L©u tiÔn thñ	C« L©u tiÔn thñ
¸c Quû	¸c Quû
O¸n Quû	O¸n Quû
¸c Quû	¸c Quû
Tèng kþ binh	Tèng kþ binh
Kim kþ binh	Kim kþ binh
NhÊt §ao	NhÊt §ao
NhÊt ThiÓm	NhÊt ThiÓm
NhÊt Khiªu	NhÊt Khiªu
HuyÕt C« L©u	HuyÕt C« L©u
Tèng Giang	Tèng Giang
Phong Hi	Phong Hi
H×nh Thiªn	H×nh Thiªn
Hoµn Nhan Hång LiÖt	Hoµn Nhan Hång LiÖt
Thá	Thá
Sãi	Sãi
Heo rõng	Heo rõng
Ch­ëng d­îc Trung Nguyªn	Ch­ëng d­îc Trung Nguyªn
Ch­ëng d­îc T©y Nam	Ch­ëng d­îc T©y Nam
Ch­ëng d­îc Thæ Phån	Ch­ëng d­îc Thæ Phån
TiÓu nhÞ Trung Nguyªn	TiÓu nhÞ Trung Nguyªn
TiÓu nhÞ T©y Nam	TiÓu nhÞ T©y Nam
TiÓu nhÞ Thæ Phån	TiÓu nhÞ Thæ Phån
Chñ Vò khÝ Trung Nguyªn	Chñ Vò khÝ Trung Nguyªn
Chñ tiÖm vò khÝ T©y Nam	Chñ tiÖm vò khÝ T©y Nam
Chñ tiÖm vò khÝ Thæ Phån	Chñ tiÖm vò khÝ Thæ Phån
Chñ tiÖm ®¸ Trung Nguyªn	Chñ tiÖm ®¸ Trung Nguyªn
Chñ tiÖm ®¸ T©y Nam	Chñ tiÖm ®¸ T©y Nam
Chñ tiÖm ®¸ Thæ Phån	Chñ tiÖm ®¸ Thæ Phån
Chñ T¬ lôa Trung Nguyªn	Chñ T¬ lôa Trung Nguyªn
Chñ tiÖm v¶i T©y Nam	Chñ tiÖm v¶i T©y Nam
Chñ tiÖm v¶i	Chñ tiÖm v¶i
Xa phu Trung Nguyªn	Xa phu Trung Nguyªn
Xa phu T©y Nam	Xa phu T©y Nam
Xa phu	Xa phu
Thî rÌn Trung Nguyªn	Thî rÌn Trung Nguyªn
Thî rÌn T©y Nam	Thî rÌn T©y Nam
Thî rÌn Thæ Phån	Thî rÌn Thæ Phån
Chñ cÇm ®å Trung Nguyªn	Chñ cÇm ®å Trung Nguyªn
Chñ cÇm ®å T©y Nam	Chñ cÇm ®å T©y Nam
Chñ cÇm ®å Thæ Phån	Chñ cÇm ®å Thæ Phån
R­¬ng ®å Trung Nguyªn	R­¬ng ®å Trung Nguyªn
R­¬ng ®å T©y Nam	R­¬ng ®å T©y Nam
R­¬ng ®å Tr.Nguyªn	R­¬ng ®å Tr.Nguyªn
Tr­¬ng Tr¹ch §oan	Tr­¬ng Tr¹ch §oan
ThiÖu Ung	ThiÖu Ung
Tr×nh Di	Tr×nh Di
LiÔu VÜnh	LiÔu VÜnh
T« Thøc	T« Thøc
V­¬ng An Th¹ch	V­¬ng An Th¹ch
Trung niªn nam	Trung niªn nam
TrÝch ThÇn	TrÝch ThÇn
Tö Thanh Th­îng Nh©n	Tö Thanh Th­îng Nh©n
NguyÖt L·o	NguyÖt L·o
T­ M· Quang	T­ M· Quang
Cô giµ	Cô giµ
Quan viªn	Quan viªn
ThÈm Qu¸t	ThÈm Qu¸t
Diªm La	Diªm La
H¾c V« Th­êng	H¾c V« Th­êng
B¹ch V« Th­êng	B¹ch V« Th­êng
Quû Sai	Quû Sai
TriÖu C¸t	TriÖu C¸t
Con b¹c	Con b¹c
Thanh niªn nam	Thanh niªn nam
Lý S­ S­	Lý S­ S­
Tè Hoµn Ch©n	Tè Hoµn Ch©n
M¹nh Bµ	M¹nh Bµ
Tó bµ	Tó bµ
§ång Qu¸n	§ång Qu¸n
D­¬ng §Ønh Thiªn	D­¬ng §Ønh Thiªn
T©y D­¬ng Quû Tö	T©y D­¬ng Quû Tö
Thiªn V­¬ng Bang Chñ	Thiªn V­¬ng Bang Chñ
Thiªn V­¬ng Phã bang	Thiªn V­¬ng Phã bang
Thiªn V­¬ng hé ph¸p	Thiªn V­¬ng hé ph¸p
Thiªn V­¬ng Bang §å	Thiªn V­¬ng Bang §å
ThiÕu L©m Trô tr×	ThiÕu L©m Trô tr×
ThiÕu L©m Ph­¬ng Tr­îng	ThiÕu L©m Ph­¬ng Tr­îng
ThiÕu L©m Thñ Täa	ThiÕu L©m Thñ Täa
ThiÕu L©m T¨ng Nh©n	ThiÕu L©m T¨ng Nh©n
§­êng M«n M«n Chñ	§­êng M«n M«n Chñ
§­êng M«n phã m«n chñ	§­êng M«n phã m«n chñ
§­êng M«n ®¹i ®å ®Ö	§­êng M«n ®¹i ®å ®Ö
§­êng M«n M«n Nh©n	§­êng M«n M«n Nh©n
Ngò §éc gi¸o chñ	Ngò §éc gi¸o chñ
Ngò §éc Phã gi¸o chñ	Ngò §éc Phã gi¸o chñ
Ngò §éc hé ph¸p	Ngò §éc hé ph¸p
Ngò §éc gi¸o ®å	Ngò §éc gi¸o ®å
Nga My ch­ëng m«n	Nga My ch­ëng m«n
Nga My phã ch­ëng m«n	Nga My phã ch­ëng m«n
Nga My hé ph¸p	Nga My hé ph¸p
Nga My m«n nh©n	Nga My m«n nh©n
Thóy Yªn ch­ëng m«n	Thóy Yªn ch­ëng m«n
Thóy Yªn phã ch­ëng m«n	Thóy Yªn phã ch­ëng m«n
Thóy Yªn hé ph¸p	Thóy Yªn hé ph¸p
Thóy Yªn m«n nh©n	Thóy Yªn m«n nh©n
C¸i Bang ch­ëng m«n	C¸i Bang ch­ëng m«n
C¸i Bang phã ch­ëng m«n	C¸i Bang phã ch­ëng m«n
C¸i Bang tr­ëng l·o	C¸i Bang tr­ëng l·o
C¸i Bang m«n nh©n	C¸i Bang m«n nh©n
C«n L«n ch­ëng m«n	C«n L«n ch­ëng m«n
C«n L«n phã ch­ëng m«n	C«n L«n phã ch­ëng m«n
C«n L«n hé ph¸p	C«n L«n hé ph¸p
C«n L«n m«n nh©n	C«n L«n m«n nh©n
Vâ §ang  ch­ëng m«n	Vâ §ang  ch­ëng m«n
Vâ §ang  phã ch­ëng m«n	Vâ §ang  phã ch­ëng m«n
Vâ §ang  hé ph¸p	Vâ §ang  hé ph¸p
Vâ §ang  m«n nh©n	Vâ §ang  m«n nh©n
Lõa	Lõa
Chuét	Chuét
Tr­	Tr­
Chã	Chã
Thá	Thá
Tr©u	Tr©u
C¸	C¸
S¬n d­¬ng	S¬n d­¬ng
Gµ	Gµ
VÞt	VÞt
Thá tr¾ng	Thá tr¾ng
Thá x¸m	Thá x¸m
Thá ®en	Thá ®en
Sãi x¸m	Sãi x¸m
