Level	Life	Exp	AI	AttackSpeed	MoveSpeed	PhysicalAttack	MagicAttack	PhysicalDefence	MagicDefence	DropItemCount	MagicEquip1	MagicEquip2	MagicEquip3	BornRate	BornPercent	MaxCoexistNum	BornDelay	DropSuperItemCount	DropRateFile
18	687	500	5	0	0	151	151	151	151	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
19	675	500	5	0	0	154	154	154	154	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
20	662	500	5	0	0	157	157	157	157	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
21	650	500	5	0	0	160	160	160	160	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
22	637	500	5	0	0	163	163	163	163	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
23	625	500	5	0	0	166	166	166	166	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
24	612	500	5	0	0	169	169	169	169	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
25	600	500	5	0	0	172	172	172	172	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
26	587	500	5	0	0	175	175	175	175	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
27	575	500	5	0	0	178	178	178	178	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
28	562	500	5	0	0	181	181	181	181	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
29	550	500	5	0	0	184	184	184	184	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
30	537	500	5	0	0	187	187	187	187	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate20-30.ini
31	525	500	5	0	0	190	190	190	190	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
32	512	500	5	0	0	193	193	193	193	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
33	500	500	5	0	0	196	196	196	196	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
34	487	500	5	0	0	199	199	199	199	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
35	475	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
36	462	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
37	450	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
38	437	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
39	425	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
40	412	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate30-40.ini
41	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
42	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
43	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
44	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
45	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
46	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
47	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
48	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
49	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
50	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate40-50.ini
51	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
52	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
53	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
54	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
55	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
56	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
57	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
58	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
59	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
60	400	500	5	0	0	200	200	200	200	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate50-60.ini
61	450	500	5	0	0	190	190	190	190	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
62	500	500	5	0	0	180	180	180	180	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
63	550	500	5	0	0	170	170	170	170	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
64	600	500	5	0	0	160	160	160	160	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
65	650	500	5	0	0	150	150	150	150	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
66	700	500	5	0	0	140	140	140	140	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
67	750	500	5	0	0	130	130	130	130	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
68	800	500	5	0	0	120	120	120	120	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
69	850	500	5	0	0	110	110	110	110	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
70	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate60-70.ini
71	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
72	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
73	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
74	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
75	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
76	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
77	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
78	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
79	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
80	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
81	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
82	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
83	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
84	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
85	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
86	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
87	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
88	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
89	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
90	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
91	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
92	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
93	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
94	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
95	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
96	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
97	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
98	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
99	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	4	\settings\droprate\blueboss\npcdroprate70-80.ini
