ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID																														
33	少林罗汉功	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>护手<enter><color=White>打坐时每10秒增加生命回复 <color=Blue1>[=state_0] <color=White>点<enter>打坐时每10秒增加内力回复 <color=Blue1>[=state_1] <color=White>点<enter>增加生命上限 <color=Blue1>[=state_5] <color=White>点{<enter>提高外伤回复速度 <color=Blue1>[=state_2]%}<enter><color=Blue1>流派防御修正<enter><color=Blue1>流派药效修正		100																															少林罗汉功.spr	少林武僧入门心法,有助于内外气回复	Gold																																			
34	七宝神照心法	<color=Red3>主动正面攻击辅助	<color=White>聚集每格怒气消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>聚第三格至第五格怒气每格额外消耗内力 <color=Red1>30 <color=White>点<enter>聚第六格及其以上的怒气每格额外消耗内力 <color=Red1>50 <color=White>点<enter>最多聚集怒气 <color=Blue1>[=skill_gaslimit] <color=White>格<enter>怒气额外效果：<enter>发动 <color=Blue1>七宝拳法<color=White>,使普通攻击为内功系<enter>提高外功比例防御 <color=Blue1>25%<enter><color=White>增加外功点数防御 <color=Blue1>25 <color=White>点<enter>提高普通攻击速度 <color=Blue1>40%<enter><color=Blue1>真气护体破甲无效<enter><color=White>每格怒气持续时间 <color=Green1>180 <color=White>秒		100			七宝神照心法		少林\008_a(七宝神照心法).3e	6	13									少林\008_b(七宝神照心法).3e	6			武当\缠梦剑意A.wav											七宝神照心法.spr	少林武僧基本心法,聚集内气随时爆发,并可使<enter>攻击附带浑厚劲力	Gold	入神坐照	<color=White>怒气聚集增加 <color=Blue1>1 <color=White>格																																	
176	七宝神照心法(招)									少林\008_a(七宝神照心法).3e	6	13									少林\008_b(七宝神照心法).3e	6																																																			
35	罗汉拳	<color=Green3>主动低级内功攻击	<color=White>消耗怒气 <color=Red1>1 <color=White>格<enter>对单一敌人连续挥拳<enter><color=Blue0>25% <color=White>概率使敌人定身 <color=Green1>2 <color=White>秒<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=177=damage_0]<enter><color=White>在 <color=Green1>3 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			罗汉拳																												罗汉拳.spr	少林基本拳法,用内气发动,连续攻击单一敌人	Gold	挟山超海	<color=White>提高攻击力 <color=Blue1>50%<enter><color=White>定身 <color=Blue1>2 <color=White>秒			177																														
36	迦叶腿	<color=Green3>主动低级内功攻击	<color=White>消耗怒气 <color=Red1>1 <color=White>格<enter>对小片敌人连续扫腿<enter><color=Blue0>25% <color=White>概率使敌人定身 <color=Green1>2 <color=White>秒<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=179=damage_0]<enter><color=White>在 <color=Green1>3 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			迦叶腿																												迦叶腿.spr	少林基本腿法,用内气发动,连续攻击小片敌人	Gold	八步赶蟾	<color=White>提高攻击力 <color=Blue1>30%<enter><color=White>定身 <color=Blue1>2 <color=White>秒			179																														
37	慧眼咒	<color=Red3>主动正面攻击辅助	<color=White>消耗怒气 <color=Red1>2 <color=White>格<enter>命中值增加 <color=Blue1>[=state_0] <color=White>点<enter>当怒气格不为0时受到攻击有 <color=Blue0>[=state_1]% <color=White>概率自动<enter>回复1格怒气，同时消耗内力30点<enter>持续时间 <color=Green1>300 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒<enter><color=Gray>(效果关联 身法)		100			慧眼咒		少林\011_a(慧眼咒).3e	1										少林\011_b(慧眼咒).3e	2			少林\慧眼咒.wav											慧眼咒.spr	少林独门心法,增加攻击命中率	Gold	红尘一线	<color=White>增加命中值 <color=Blue1>400<enter><color=White>受到攻击时自动回复怒气概率提高 <color=Blue1>5%																																	
181	慧眼咒(招)									少林\011_a(慧眼咒).3e	1										少林\011_b(慧眼咒).3e	2	其他\空手a_聚拢_金.3e		少林\慧眼咒.wav																																																
38	韦陀拳	<color=Green3>主动中级内功攻击	<color=White>消耗怒气 <color=Red1>2 <color=White>格<enter>必须先发动 <color=Red0>罗汉拳 <color=White>或 <color=Red0>迦叶腿<enter><color=White>对单一敌人迅猛连击<enter><color=Blue0>10% <color=White>概率使敌人定身 <color=Green1>1 <color=White>秒<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=182=damage_0]<enter><color=White>在 <color=Green1>2 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			韦陀拳		少林\012_a(韦陀拳).3e	1																									韦陀拳.spr	少林进阶拳法,用内气发动,连续攻击单一敌人<enter>必须先发动罗汉拳或迦叶腿	Gold	韦陀伏魔	<color=White>提高攻击力 <color=Blue1>70%<enter><color=White>定身 <color=Blue1>1 <color=White>秒			182																														
39	文殊出云腿	<color=Green3>主动中级内功攻击	<color=White>消耗怒气 <color=Red1>2 <color=White>格<enter>必须先发动 <color=Red0>罗汉拳 <color=White>或 <color=Red0>迦叶腿<enter><color=White>对小片敌人连续飞踢<enter><color=Blue0>20% <color=White>概率使敌人定身 <color=Green1>2 <color=White>秒<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=184=damage_0]<enter><color=White>在 <color=Green1>2 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			文殊出云腿																												文殊出云腿.spr	少林进阶腿法,用内气发动,连续攻击小片敌人<enter>必须先发动罗汉拳或迦叶腿	Gold	天山飞渡	<color=White>提高攻击力 <color=Blue1>50%<enter><color=White>定身 <color=Blue1>2 <color=White>秒			184																														
40	罗汉阵	<color=Red0>光环辅助	<color=White>每秒消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>少林秘传阵法,激活后使自身和范围内所有友方<enter>反弹外功攻击力 <color=Blue1>[=state_0]%<enter><color=White>移动速度提高 <color=Blue1>[=state_1]%<enter><color=White>武功招式一触发概率提高 <color=Blue1>[=state_2]%{<enter><color=White>武功招式二触发概率提高 <color=Blue1>[=state_3]%}<enter><color=White>再次使用可取消光环状态		100			慧眼咒													少林\014_b(罗汉阵).3e	1														罗汉阵.spr	少林秘传阵法,大大提高战斗效率	Gold																																			
41	大须弥掌	<color=Green3>主动高级内功攻击	<color=White>消耗怒气 <color=Red1>2 <color=White>格<enter>必须先发动 <color=Red0>韦陀拳<enter><color=White>对单一敌人发出全力一掌<enter>攻击力 <color=Blue1>[=damage_0]<enter><color=White>目标每1%的外功比例防御使掌风攻击力加成 <color=Blue1>[=damage_1]%<enter><color=White>在 <color=Green1>2 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			大须弥掌		少林\015_a(大须弥掌).3e	3														少林\大须弥掌A.wav											大须弥掌.spr	少林高级拳术,用内气发动,势大力沉更有<enter>破防御效果,必须先发动韦陀拳	Gold	不动如山	<color=White>提高破防比例 <color=Blue1>1%	须弥芥子	<color=White>提高破防比例 <color=Blue1>2%																															
42	无影脚	<color=Green3>主动高级内功攻击	<color=White>消耗怒气 <color=Red1>3 <color=White>格<enter>必须先发动 <color=Red0>韦陀拳 <color=White>或 <color=Red0>文殊出云腿<enter><color=White>对大片敌人华丽的连踢<enter>第一式攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>第二式攻击力 <color=Blue1>[=188=damage_0] <color=White>攻击 <color=Blue1>[=188=skill_missle_num] <color=White>次<enter>第三式攻击力 <color=Blue1>[=189=damage_0]<enter><color=White>在 <color=Green1>2 <color=White>秒内允许发动下级连招<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			无影脚		少林\大须弥掌a.3e	1														少林\无影脚A.wav											无影脚.spr	少林高级腿法,用内气发动,瞬间对一片敌人<enter>数次攻击,必须先发动韦陀拳或文殊出云腿	Gold	月影披霞	<color=White>提高攻击力 <color=Blue1>60%<enter><color=Blue1>击退	飞影如幻	<color=White>提高攻击力 <color=Blue1>90%<enter><color=Blue1>击倒	189																														
43	少林龙爪手	<color=Red3>主动正面攻击辅助(强力功法)	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>发动 <color=Blue1>龙爪手<enter><color=White>攻击速度提升到 <color=Blue1>[=192=skill_burst_speed_percent/-1]%<enter><color=White>龙爪手攻击力 <color=Blue1>[=192=damage_0]<enter><color=White>龙爪手攻击忽略敌人内功点数防御 <color=Blue1>[=state_0]%<enter><color=White>龙爪手攻击速度不受任何影响<enter>持续时间 <color=Green1>[=skill_effect_persist_time] <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 内功)		100			少林龙爪手		少林\017_a(少林龙爪手).3e	6		少林\017_a(少林龙爪手).3e	6	21						少林\017_b(少林龙爪手).3e	6			少林\少林龙爪手.wav											少林龙爪手.spr	少林72绝技之一,用内气发动,使攻击如<enter>龙爪般灵巧并威力无穷	Gold	金龙绕莲	<color=White>提高攻击力 <color=Blue1>30%<enter><color=White>定身 <color=Blue1>1 <color=White>秒	飞龙腾云	<color=White>提高攻击力 <color=Blue1>60%<enter><color=White>定身 <color=Blue1>2 <color=White>秒	192	192																													
44	如来神掌	<color=Gold> 镇派武功	<color=White>消耗杀气 <color=Red1>[=cost_momentum] <color=White>格<enter>无边佛法汇成无数掌风，扫荡前方敌人<enter>先出 <color=Blue1>[=skill_missle_num] <color=White>掌<enter>每掌对敌方目标造成伤害 <color=Blue1>[=imme_0]% <color=White><enter>掌风对NPC额外攻击力 <color=Blue1>[=damage_0] <color=White>点<enter>最后尽全身功力施展<color=Gold>万佛朝宗<enter><color=White>对敌方目标造成伤害 <color=Blue1>[=519=imme_0]% <color=White><enter>对NPC额外攻击力 <color=Blue1>[=519=damage_0] <color=White>点<enter>发掌过程中再次施展可立即发出万佛朝宗<enter><color=Gray>(五行 由武器决定)	<enter>§1t Ma s?ng l?p ra Thi?n T?ng<enter>Kh?ng xao ?éng tr-íc bêt c? sù v?t g× lμ Thi?n ??nh<enter>Thi?u l?m §1t Ma vi?n èn tμng 72 tuy?t kü<enter>Lêy ni?m Ph?t lμm t?n ch? tu hμnh<enter>Luy?n va lμ ?ó g?n cèt tr?ng ki?n<enter> 	100			:如来神掌_动作组合1起跳,如来神掌_动作组合1发掌		少林\如来神掌_a1.3e	1	-1													少林\如来神掌A1.wav		少林\如来神掌A2.wav	-1						10	500	如来千叶手.spr	少林72绝技之一,武僧镇派神功,佛法催动内气<enter>汇聚无数掌风将敌人包围	Gold	摩诃迦叶		摩诃无量																																
519	如来神掌(子)				100			如来神掌_动作组合2																										10	500																																						
45	少林禅圆功	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>锡杖<enter><color=White>打坐时每10秒增加内力回复 <color=Blue1>[=state_0] <color=White>点<enter>内功点数防御增加 <color=Blue1>[=state_1] <color=White>点<enter>施展速度提高 <color=Blue1>[=state_7]%{<enter><color=White>提高内伤回复速度 <color=Blue1>[=state_2]%}<enter><color=Blue1>流派防御修正<enter><color=Blue1>流派药效修正<enter><color=Gray>(施展速度提高效果关联 身法)		100																															少林禅圆功.spr	少林禅僧入门心法,有助于内气回复	Gold																																			
46	伏虎气功	<color=Green3>主动低级内功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>释放猛虎般内气攻击直线单一敌人<enter>攻击力 <color=Blue1>[=damage_0] <color=White>攻击 <color=Blue1>[=skill_missle_num] <color=White>次<enter>攻击次数增加时发招时间也将延长<enter><color=Gray>(五行 无)<enter><color=Gray>(效果关联 内功)		130			伏虎气功																												伏虎气功.spr	少林基本禅功,猛虎般内气攻击远程单一敌人	Gold	罗汉伏虎	<color=White>攻击发挥出 <color=Blue1>最大值																																	
47	少林修心法	<color=Purple>被动武功	<color=White>增加锡杖武功成功概率 <color=Blue1>[=state_0]%<enter><color=White>内力抵消伤害 <color=Blue1>[=state_1]%<enter><color=White>每1点内力可以抵消 <color=Blue1>[=state_2/10] <color=White>点伤害		100																															少林修心法.spr	少林禅僧基本心法,增强禅功效果	Gold																																			
48	五转指	<color=Red3>主动正面防御辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>需要消耗1个 <color=Red1>天佛珠<enter><color=White>一定概率将目标防御属性转换为 <color=Blue1>[=state_0?1:金属性,2:木属性,3:水属性,4:火属性,5:土属性]<enter><color=White>有效对象 <color=Yellow>[=skill_valid_object?138:自己或一般怪物,206:非妖魔(阴属性)单位]<enter><color=White>持续时间 <color=Green1>[=skill_effect_persist_time] <color=White>秒<enter>武功使用间隔 <color=Green1>10 <color=White>秒		100			五转指		少林\020_a(五转指).3e	1								少林\020_a(五转指).3e	1					少林\五转指A.wav		少林\五转指B.wav	18	少林\五转指C.wav							五转指.spr	少林初级禅功,转变目标防御五行属性	Gold	气化五行	<color=White>持续时间延长 <color=Blue1>60 <color=White>秒																																	
197	五转指(招)									少林\020_a(五转指).3e	1								少林\020_a(五转指).3e	1					少林\五转指A.wav		少林\五转指B.wav	18																																													
49	破魔咒	<color=Red3>主动负面防御辅助	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>需要消耗1个 <color=Red1>破魔咒<enter><color=White>将 <color=Yellow>妖魔(阴属性) <color=White>防御属性转换为 <color=Blue1>无属性{<enter><color=White>降低其移动速度 <color=Blue1>[=state_2]%}{<enter><color=White>降低其攻击速度 <color=Blue1>[=state_3]%}<enter><color=White>持续时间 <color=Green1>60 <color=White>秒<enter>武功使用间隔 <color=Green1>10 <color=White>秒		100			破魔咒		少林\021_a(破魔咒).3e	1								少林\021_c(破魔咒).3e	1					少林\不动明王咒.wav											破魔咒.spr	少林初级禅功,破除阴属性魔物的法力	Gold	金杵镇魔	<color=White>定身 <color=Blue1>10 <color=White>秒																																	
198	破魔咒(招)									少林\021_a(破魔咒).3e	1								少林\021_c(破魔咒).3e	1					少林\不动明王咒.wav																																																
50	金刚不坏	<color=Red3>主动正面防御辅助(强力功法)	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>内功影响的内功点数防御提高 <color=Blue1>[=state_0]%<enter><color=White>降低武功被打断概率 <color=Blue1>[=state_1]%<enter><color=White>持续时间 <color=Green1>180 <color=White>秒<enter><color=White>武功使用间隔 <color=Green1>60 <color=White>秒<enter><color=Gray>(效果关联 内功)		100			金刚不坏		少林\022_a(金刚不坏).3e	1										少林\022_b(金刚不坏).3e	1	其他\杖a_闪电_蓝.3e		少林\金刚不坏A.wav		少林\金刚不坏B.wav	27								金刚不坏.spr	少林独门心法,大大增强自身内功防御力	Gold	驱魔罩	<color=White>提高内功比例防御 <color=Blue1>5%																																	
200	金刚不坏(招)									少林\022_a(金刚不坏).3e	1										少林\022_b(金刚不坏).3e	1	其他\杖a_聚拢_金.3e		少林\金刚不坏A.wav		少林\金刚不坏B.wav	27																																													
