Id	TypeId	Name	Image	BgImage	Pos	MaxLevel	SkillAttrId	AttrId1	AttrId2	AttrId3	NeedZhenQiAttrId	NeedJingJieAttrId	NeedPreNodeLvAttrId	Script	Rate4	Consume4	Rate5	Consume5	Rate6	Consume6
13	1	B¸ch Li	¼².spr	³õÊ¼µ×ÈÎÂö.spr	2;5	6	207				13	79	145	node_update_13.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
14	1	Ngäc §­êng	ÖÎÁÆÂÌ.spr		20;5	6		208			14	80	146		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
15	1	Tö Cung	Í¨ÓÃÂÌ.spr		8;2	6		209			15	81	147		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
16	1	TuyÒn Ky	ÎŞË«ÂÌ.spr		12;5	6		210			16	82	148		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
17	1	Liªm TuyÒn	ÄÚÁ¦ÂÌ.spr		8;5	6		211			17	83	149		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
18	1	Thiªn §ét	¶¨ÉíÂÌ.spr		12;2	6		212			18	84	150		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
19	2	HuyÒn Khu	ÍşĞ²»Æ.spr		42;9	6		213			19	85	151	node_update_19_23_27.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
20	2	HËu §Ønh	»÷µ¹»Æ.spr		39;9	6		214	261		20	86	152		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
21	2	¸ M«n	ÔË¹¦»Æ.spr		32;9	6		215			21	87	153		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
22	2	MÖnh M«n	¶¨Éí»Æ.spr		28;9	6		216			22	88	154		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
23	2	Chİ D­¬ng	ÄÚ¹¦»áĞÄ»Æ.spr		42;12	6		217			23	89	155	node_update_19_23_27.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
24	2	B¸ch Héi	Íâ¹¦»áĞÄ»Æ.spr		39;12	6		218	262		24	90	156		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
25	2	Trung Khu	ºÜ³éÏó»Æ.spr		36;12	6		219			25	91	157		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
26	2	ThÇn §¹o	ÎŞË«»Æ.spr		32;15	6		220			26	92	158		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
27	2	Th©n Trô	ÄÚ¹¦¹¥»÷»Æ.spr		42;15	6		221	263		27	93	159	node_update_19_23_27.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
28	2	Phong Phñ	ÄÚ¹¦ÃüÖĞ»Æ.spr		39;15	6		222	264		28	94	160		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
29	2	C©n Tóc	Í¨ÓÃ»Æ.spr		32;5	6		223			29	95	161		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
30	2	YÕu Du	ÄÚÁ¦»Æ.spr		28;5	6		224			30	96	162		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
31	2	Tİch Trung	ÅÌÁú»Æ.spr		32;2	6		225			31	97	163		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
32	2	Linh §µi	ÔË¹¦»Æ.spr		36;2	6		226			32	98	164		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
33	2	§¹i Trïy	ÆøÑª»Æ.spr		39;2	6		227			33	99	165		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
34	2	¢m L¨ng	¼õÉË»Æ.spr		42;2	6		228			34	100	166		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
35	2	N·o Hé	·ÀÓù»Æ.spr		42;5	6		229			35	101	167		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
36	2	Tinh Minh	Áé.spr	³õÊ¼µ×¶½Âö.spr	46;5	6	230				36	102	168		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
37	3	Ngo¹i Kh©u	ÄÚ¹¦»áĞÄºì.spr		5;29	6		231			37	103	169		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
38	3	Thiªn T«ng	Íâ¹¦»áĞÄºì.spr		8;29	6		232	265		38	104	170		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
39	3	Kiªn TÜnh	´«¹¦ºì.spr		12;27	6		233			39	105	171		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
40	3	Hoµn Cèt	ÖÎÁÆºì.spr		16;27	6		234			40	106	172		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
41	3	Chİnh Doanh	»¯¾¢ºì.spr		12;31	6		235			41	107	173		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
42	3	Vi §¹o	Í¨ÓÃºì.spr		16;31	6		236			42	108	174		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
43	3	Bæn ThÇn	¶¨Éíºì.spr		20;31	6		237			43	109	175		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
44	3	D­¬ng B¹ch	ÄÚÁ¦ºì.spr		23;31	6		238			44	110	176		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
45	3	Thiªn Xung	ÎŞË«ºì.spr		20;27	6		239			45	111	177		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
46	3	Thõa Linh	Í¨ÓÃºì.spr		16;21	6		240			46	112	178		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
47	3	Môc Song	ÉÁ±Üºì.spr		16;24	6		241			47	113	179		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
48	3	Quang Minh	ÆøÑªºì.spr		12;21	6		242			48	114	180		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
49	3	HuyÒn Chung	·ÀÓùºì.spr		8;21	6		243			49	115	181		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
50	3	Ngò Kh­u	¼õÉËºì.spr		8;24	6		244			50	116	182		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
51	3	ThiÕu Xung	Íõ.spr	³õÊ¼µ×´øÂö.spr	2;21	6	245				51	117	183		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
52	4	§¹i H¸ch	ÄÚ¹¦¹¥»÷À¶.spr		42;29	6		246			52	118	184		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
53	4	Th­¬ng Khóc	ÄÚ¹¦ÃüÖĞÀ¶.spr		39;29	6		247	266		53	119	185		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
54	4	¢m §«	Ñ£ÔÎÀ¶.spr		36;29	6		248			54	120	186		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
55	4	HuyÒn M«n	»ù´¡À¶.spr		32;27	6		249			55	121	187		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
56	4	Hoµnh Cèt	ÖÎÁÆÀ¶.spr		28;31	6		250			56	122	188		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
57	4	Th¸i Êt	ÎŞË«À¶.spr		32;31	6		251			57	123	189		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
58	4	Manh Du	¶¨ÉíÀ¶.spr		28;27	6		252			58	124	190		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
59	4	Tø M·n	´«¹¦À¶.spr		32;21	6		253			59	125	191		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
60	4	Trung Chó	ºÜ³éÏóÀ¶.spr		32;24	6		254			60	126	192		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
61	4	Khİ HuyÖt	ÄÚÁ¦À¶.spr		36;24	6		255			61	127	193		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
62	4	Th¹ch Quan	ÆøÑªÀ¶.spr		36;21	6		256			62	128	194		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
63	4	Th«ng Cèc	¼õÉËÀ¶.spr		42;21	6		257			63	129	195		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
64	4	Quan M«n	·ÀÓùÀ¶.spr		42;24	6		258			64	130	196		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
65	4	Khİ Xung	»Û.spr	³õÊ¼µ×³åÂö.spr	46;21	6	259				65	131	197		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
66	1	Hßa C¸i	ÁìÎòÕĞÊ½ÂÌ.spr		5;5	6		260			66	132	198		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
