AttrId	AttrName	Rate	Event	Time	SkillId	Attr	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	DescColor	Desc
104	ћм„ЏЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
105	ЉзЊЃЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
106	Ќкє«Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
107	’э”™Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
108	ќђµјЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
109	±Њ…сЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
110	—ф∞„Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
111	ћм≥еЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
112	≥–ЅйЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
113	ƒњі∞Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
114	єв√чЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
115	–ь÷”Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
116	ќе аЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
117	…ў≥еЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
118	іуЇ’Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
119	…ћ«ъЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
120	“хґЉЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
121	”ƒ√≈Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
122	Їбє«Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
123	ћЂ““Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
124	√§”бЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
125	Ћƒ¬ъЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
126	÷–„ҐЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
127	∆ш—®Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
128	 ѓєЎЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
129	Ќ®є»Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
130	єЎ√≈Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
131	∆ш≥еЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
132	ї™Є«Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
133	»ќ¬ц«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL												
134	ґљ¬ц«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL												
135	іш¬ц«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL												
136	≥е¬ц«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL												
137	«ъє««∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
138	÷–ЉЂ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
139	…сЎ «∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
140	єЎ‘™«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
141	љ®јп«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
142	рѓќ≤«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
143	лю÷–«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
144	Јз≥Ў«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
145	∞ўјп«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
146	”сћ√«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
147	„ѕєђ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
148	иѓзб«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
149	ЅЃ»™«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
150	ћмЌї«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
151	–ь а«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
152	Їуґ•«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
153	—∆√≈«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
154	√ь√≈«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
155	÷Ѕ—ф«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
156	∞ўїб«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
157	÷– а«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
158	…сµј«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
159	…н÷щ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
160	ЈзЄЃ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
161	љоЋх«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
162	—ь”б«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
163	Љє÷–«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
164	Ѕйћ®«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
165	іу„µ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
166	“хЅк«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
167	ƒ‘їІ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
168	Њ¶√ч«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
169	Ќв«р«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
170	ћм„Џ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
171	ЉзЊЃ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
172	Ќкє««∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
173	’э”™«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
174	ќђµј«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
175	±Њ…с«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
176	—ф∞„«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
177	ћм≥е«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
178	≥–Ѕй«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
179	ƒњі∞«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
180	єв√ч«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
181	–ь÷”«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
182	ќе а«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
183	…ў≥е«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
184	іуЇ’«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
185	…ћ«ъ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
186	“хґЉ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
187	”ƒ√≈«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
188	Їбє««∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
189	ћЂ““«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
190	√§”б«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
191	Ћƒ¬ъ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
192	÷–„Ґ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
193	∆ш—®«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
194	 ѓєЎ«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
195	Ќ®є»«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
196	єЎ√≈«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
197	∆ш≥е«∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
198	ї™Є««∞÷√—®ќї÷Ў э–и«у					NEED_PRE_NODE_LEVEL	1	2	3	4	5	6						
199	5«ъє«		0			state_max_carry_percent_add	10	12	14	16	18	20					Green2	Giнi hєn vЄc n®ng t®ng %d%%
200	6÷–ЉЂ		0			state_stamina_max_point_add	10	14	18	22	26	30					Green2	Giнi hєn th” lщc t®ng %d Ѓi”m
201	7…сЎ 		0			state_mounting_speed_add	100	120	140	160	180	200					Green2	Tиc Ѓй cйng th™m khi c≠мi ngщa t®ng%d%%
202	8єЎ‘™		0			state_inc_exp_gain	5	10	15	20	25	30					Green2	kinh nghi÷m nhЋn Ѓ≠оc t®ng %d%%
203	9љ®јп		0			state_dec_equip_need	3	4	5	6	7	8					Green2	Y™u c«u c p Ѓй cсa trang bё giґm %d
204	10рѓќ≤		0			state_attack_buff_time	5	6	7	8	9	10					Blue0	Thкi gian hз trо cЂng kЁch k–o dµi %d%%
205	11лю÷–		0			state_defence_buff_time	5	6	7	8	9	10					Blue0	Thкi gian hз trо phяng ngщ k–o dµi %d%%
206	12Јз≥Ў		0			state_move_speed_percent_add	10	12	14	16	18	20					Blue0	Tиc Ѓй di chuy”n t®ng %d%%
207	13∞ўјп				30122	SKILL_ATTR	1	2	3	4	5	6	7	8	9	10	gold	Kь n®ng chс Ѓйng %d
208	14”сћ√		0			state_add_vitality	10	16	22	28	34	40					gold	G©n cиt t®ng %d
209	15„ѕєђ		0			state_add_strength	10	16	22	28	34	40					gold	Sшc mєnh t®ng %d
210	16иѓзб		0			state_add_observe	10	16	22	28	34	40					gold	Linh hoєt t®ng %d
211	17ЅЃ»™		0			state_add_energy	10	16	22	28	34	40					gold	Nйi cЂng t®ng %d
212	18ћмЌї		0			state_add_dexterity	10	16	22	28	34	40					gold	Th©n phЄp t®ng %d
213	19–ь а		0			state_quench_posion	100	116	132	148	164	180					Blue0	Ійc sЄt t®ng %d
214	20Їуґ•		0			state_npc_event_2_magic	6553639	7864359	9175079	10485799	11796519	13107239						
215	21—∆√≈		0			state_add_dexterity	15	20	25	30	35	40					Blue0	Th©n phЄp t®ng %d
216	22√ь√≈		0			state_add_dexterity	15	20	25	30	35	40					Blue0	Th©n phЄp t®ng %d
217	23÷Ѕ—ф		0			state_damage_point	90	102	114	126	138	150					Blue0	SЄt th≠ђng t®ng %d
218	24∞ўїб		0			state_npc_event_2_magic	6553640	7864360	9175080	10485800	11796520	13107240						
219	25÷– а		0			state_add_observe	15	20	25	30	35	40					Blue0	Linh hoєt t®ng %d
220	26…сµј		0			state_add_observe	15	20	25	30	35	40					Blue0	Linh hoєt t®ng %d
221	27…н÷щ		0			state_npc_event_2_magic	3276837	3932197	4587557	5242917	5898277	6553637						
222	28ЈзЄЃ		0			state_npc_event_2_magic	6553641	7864361	9175081	10485801	11796521	13107241						
223	29љоЋх		0			state_add_strength	15	20	25	30	35	40					Blue0	Sшc mєnh t®ng %d
224	30—ь”б		0			state_add_energy	15	20	25	30	35	40					Blue0	Nйi cЂng t®ng %d
225	31Љє÷–		0			state_attack_speed_add	10	14	18	22	26	30					gold	Tиc Ѓй cЂng kЁch % t®ng %d%%
226	32Ѕйћ®		0			state_dodge_point_increase	150	200	250	300	350	400					gold	N– trЄnh t®ng %d
227	33іу„µ		0			state_life_max_point_add	750	1200	1650	2100	2550	3000					gold	Sinh lщc t®ng %d
228	34“хЅк					state_magic_armor_add	15	20	25	30	35	40					gold	Trё sи hй giЄp nйi phяng t®ng %d
229	35ƒ‘їІ					state_physical_armor_add	15	20	25	30	35	40					gold	Trё sи hй giЄp ngoєi phяng t®ng %d
230	36Њ¶√ч				30123	SKILL_ATTR	1	2	3	4	5	6	7	8	9	10	gold	Kь n®ng chс Ѓйng: 
231	37Ќв«р		0			state_p_attack_percent_add	5	8	11	14	17	20					Blue0	Ngoєi cЂng t®ng %d%%
232	38ћм„Џ		0			state_npc_event_2_magic	6553642	9175082	11796522	14417962	17039402	19660842						
233	39ЉзЊЃ		0			state_vitality_life_per_add	5	8	11	14	17	20					Blue0	G©n cиt ґnh h≠ђng sinh lщc t®ng %d%%
234	40Ќкє«		0			state_add_vitality	15	20	25	30	35	40					Blue0	G©n cиt t®ng %d
235	41’э”™		0			state_strength_attack_per_add	5	8	11	14	17	20					Blue0	Sшc mєnh ґnh h≠лng ngoєi cЂng t®ng%d%%
236	42ќђµј		0			state_add_strength	15	20	25	30	35	40					Blue0	Sшc mєnh t®ng %d
237	43±Њ…с		0			state_add_dexterity	15	20	25	30	35	40					Blue0	Th©n phЄp t®ng %d
238	44—ф∞„		0			state_add_energy	15	20	25	30	35	40					Blue0	Nйi cЂng t®ng %d
239	45ћм≥е		0			state_accuracy_point_increase	200	275	350	425	500	575					Blue0	ChЁnh xЄc t®ng %d
240	46≥–Ѕй		0			state_fast_recovery	50	60	70	80	90	100					gold	Thкi gian ґnh h≠лng giґm %d%%
241	47ƒњі∞		0			state_knockback_immune	5	6	7	8	9	10					gold	TrЄnh hi÷u quґ bё Ѓ»y lпi t®ng %d%%
242	48єв√ч		0			state_life_max_point_add	1000	1600	2200	2800	3400	4000					gold	Giнi hєn sinh lщc t®ng %d
243	49–ь÷”					state_physical_armor_add	20	26	32	38	44	50					gold	Trё sи hй giЄp ngoєi phяng t®ng %d
244	50ќе а					state_magic_armor_add	20	26	32	38	44	50					gold	Trё sи hй giЄp nйi phяng t®ng %d
245	51…ў≥е				30124	SKILL_ATTR	1	2	3	4	5	6	7	8	9	10	gold	Kь n®ng chс Ѓйng: 
246	52іуЇ’		0			state_m_attack_percent_add	5	8	11	14	17	20					Blue0	SЄt th≠ђng nйi cЂng %d%%
247	53…ћ«ъ		0			state_npc_event_2_magic	6553643	9175083	11796523	14417963	17039403	19660843						
248	54“хґЉ		0			state_energy_i_attack_per_add	5	8	11	14	17	20					Blue0	Nйi cЂng ґnh h≠лng nйi cЂng t®ng %d%%
249	55”ƒ√≈		0			state_add_energy	15	20	25	30	35	40					Blue0	Nйi cЂng t®ng %d
250	56Їбє«		0			state_add_vitality	15	20	25	30	35	40					Blue0	G©n cиt t®ng %d
251	57ћЂ““		0			state_add_observe	15	20	25	30	35	40					Blue0	Linh hoєt t®ng %d
