ID	Skill Name	Brief Introduction	Level Requirement	Required Prerequisite Skill	Required Reputation
112	醉拳	丐帮高级拳法,似醉非醉,出其不意的在<enter>敌人攻击时反击,威力极大	需要等级55	需要学会5层霸王拳、1层千斤闸、1层锁喉擒拿手	需要声望3000点
113	降龙十八掌	丐帮镇派掌法,天下闻名,独步江湖	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
114	天行气功	丐帮污衣弟子入门心法,提高身体敏捷度			
115	丐帮棍法	丐帮基本使棍功法,提高用棍技巧	需要等级10	需要学会1层天行气功	
116	驱蛇棍法	丐帮初级棍法,连续攻击单一敌人	需要等级12	需要学会1层丐帮棍法	需要声望30点
117	乞天讨地	丐帮初级技能,席地乞讨,可以避开野兽恶人<enter>的攻击,并可以加速自身回复	需要等级16	需要学会2层天行气功	需要声望60点
118	泥鳅功	丐帮中级心法,身如泥鳅滑不留手,在战场上<enter>来去自如	需要等级22	需要学会4层丐帮棍法	需要声望100点
119	妙手诀	丐帮中级技能,能轻易从目标身上盗取物品,并<enter>削弱敌人战斗力	需要等级28	需要学会2层乞天讨地	需要声望300点
120	偷龙转凤	丐帮中级功法,偷取敌人身上的各种功法留为己用	需要等级35	需要学会1层妙手诀	需要声望500点
121	霸王卸甲	丐帮高级功法,瞬间用极强大的气流将敌人<enter>防具损坏失效	需要等级40	需要学会6层泥鳅功	需要声望700点
122	偷天换日	丐帮高级功法,使用后如果受到攻击自动偷取<enter>敌人的武功招式留为己用	需要等级48	需要学会5层妙手诀	需要声望1000点
123	打狗棍法	丐帮至高棍法,连续攻击四周敌人,无一能逃	需要等级55	需要学会6层驱蛇棍法	需要声望3000点
124	打狗棍阵	丐帮镇派秘招,使大片友方互为攻防,一人受伤<enter>众人分摊	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
125	武当剑经	武当道家弟子入门心法,有助于内气回复			
126	武当剑法	武当基本剑法,用剑气直线攻击单一敌人	需要等级10	需要学会1层武当剑经	
127	流光剑法	武当剑法金系初级剑法,直线御气伤敌	需要等级15	需要学会3层武当剑法	需要声望60点
128	未央剑法	武当剑法木系初级剑法,远程御气伤敌	需要等级16	需要学会3层武当剑法	需要声望60点
129	柔云剑法	武当剑法水系初级剑法,直线御气伤敌	需要等级15	需要学会3层武当剑法	需要声望60点
130	烈焰剑法	武当剑法火系初级剑法,远程御气伤敌	需要等级16	需要学会3层武当剑法	需要声望60点
131	奔雷剑法	武当剑法土系初级剑法,远程御气伤敌并<enter>能波及周围	需要等级16	需要学会3层武当剑法	需要声望60点
132	无我心法	武当独门心法,驱动内气作为屏障,抵挡外来攻击	需要等级22	需要学会6层武当剑经	需要声望100点
133	太清剑气	武当剑法金系中级剑法,强大的剑气横向扫过,<enter>攻击范围内的敌人	需要等级28	需要学会6层流光剑法	需要声望300点
134	缠梦剑意	武当剑法木系中级剑意,御气缠敌双腿,<enter>使敌人移动大为迟缓	需要等级29	需要学会6层未央剑法	需要声望400点
135	落霜剑意	武当剑法水系中级剑意,御气锁敌双手,<enter>使敌人动作大为迟钝	需要等级29	需要学会6层柔云剑法	需要声望400点
136	炙阳剑气	武当剑法火系中级剑法,强大的剑气直线射出,<enter>攻击范围内的敌人	需要等级28	需要学会6层烈焰剑法	需要声望300点
137	玄武剑阵	武当剑法土系中级剑意,御气形成气墙,<enter>阻止所有单位通过	需要等级30	需要学会6层奔雷剑法	需要声望500点
138	御剑诀	武当神秘剑意,御剑飞行,瞬间到达指定地点	需要等级36	需要学会6层武当剑经	需要声望600点
139	正两仪剑法	武当奇特剑法,行正两仪之道,威力非凡,<enter>与反两仪之道相辅相成	需要等级41	需要学会6层武当剑法	需要声望800点
140	太乙三清剑	武当剑法金系高级剑法,气势庞大的三道剑气<enter>从身前射出,所过之处非死即伤	需要等级46	需要学会5层太清剑气	需要声望1000点
141	神门十三剑	武当剑法木系高级剑法,瞬间连发13剑攻击<enter>敌人神门穴,可使敌人武器暂时失效	需要等级47	需要学会5层缠梦剑意	需要声望1000点
142	地宁玄阴剑	武当剑法水系高级剑法,以地气御剑气,<enter>所指之处,无人能逃	需要等级46	需要学会5层落霜剑意	需要声望1000点
143	天清纯阳剑	武当剑法火系高级剑法,无比强大的数道<enter>纯阳剑气直线射出,近处之人,亦无幸免	需要等级47	需要学会5层炙阳剑气	需要声望1000点
144	八卦剑气	武当剑法土系高级剑法,神秘莫测,以八卦阵锁敌,<enter>能伤害大片敌人	需要等级48	需要学会5层玄武剑阵	需要声望1000点
145	真武七截剑	武当顶级剑法,以七星之势北斗之魂攻击<enter>大范围敌人,非凡人所能抵挡	需要等级55	需要学会5层正两仪剑法	需要声望3000点
146	无上太极剑	武当镇派神剑,合两仪四象八卦之灵,运天地日月太极之精<enter>剑之到处,片甲不留	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
147	武当奇经	武当俗家弟子入门心法,提高自身战意			
148	武当笔法	武当基本笔法,提高用笔技巧	需要等级10	需要学会1层武当奇经	
149	太乙逍遥功	武当初级笔法,用笔连续攻击单一敌人	需要等级12	需要学会1层武当笔法	需要声望30点
150	六气化玉功	武当初级内功,为单一目标解毒	需要等级16	需要学会2层武当奇经	需要声望60点
151	梯云纵	武当独门轻功,可迅速跳到敌人身后,攻其不备	需要等级21	需要学会1层六气化玉功	需要声望100点
152	七星诀	武当中级笔法,瞬间用笔多次攻击敌人	需要等级25	需要学会6层武当笔法	需要声望300点
153	少阳诀	武当中级笔法,用笔风攻击远处敌人,威力较小	需要等级29	需要学会3层太乙逍遥功	需要声望400点
154	少阴诀	武当中级笔法,专攻人之背后,威力匪夷所思	需要等级31	需要学会4层太乙逍遥功	需要声望500点
155	北斗七星阵	武当秘传阵法,多名弟子配合后互为攻防,<enter>能力大增	需要等级36	需要学会3层梯云纵	需要声望600点
156	残影诀	武当神秘笔法,从敌人视野中消失,可突然<enter>出现致敌重伤	需要等级42	需要学会4层七星诀	需要声望800点
157	乾坤诀	武当高级笔法,瞬间近身敌人并发出连招攻击	需要等级48	需要学会4层梯云纵	需要声望1000点
158	上清无极功	武当顶级笔法,连续攻击敌人,强大笔风将<enter>波及敌人身后,招招致命,笔笔夺魂	需要等级55	需要学会6层少阳诀或1层少阴诀	需要声望3000点
159	太极神功	武当镇派心法,汇天地之灵光，两仪生四象，<enter>四象生八卦，攻击大范围敌人	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
347	百蛊心经	五毒蛊师入门心法，有助于气血回复			
348	下蛊秘方	五毒蛊师基本手法，可以在多种下蛊方法之间切换	需要等级10	需要学会1层百蛊心经	
349	喂养蛊母	五毒蛊师基本技巧，指定某个物品来喂养蛊母	需要等级10	需要学会1层百蛊心经	
350	产蛊	五毒蛊师基本技巧，指挥蛊母开始生产小蛊	需要等级10	需要学会1层喂养蛊母	
351	疯蛊	五毒基本蛊术，指挥一群疯狂的蛊虫攻击单个敌人，并使敌人“流血”	需要等级10	需要学会1层百蛊心经	
352	养蛊秘术	五毒低级技能，可以制作各种用来喂养蛊母的食物，提高蛊母某些能力	需要等级12	需要学会1层喂养蛊母	需要声望30点
353	狂风爪	五毒低级爪术，飞快的爪击敌人并可使敌人“流血”	需要等级15	需要学会2层疯蛊	需要声望50点
354	毒蛊	五毒毒系攻击蛊术，使目标长时间受到蛊毒伤害，蛊毒伤害无法将玩家目标杀死	需要等级17	需要学会3层百蛊心经	需要声望60点
355	血鼎功	五毒低级心法，可提高蛊母生育小蛊的效率	需要等级21	需要学会4层养蛊秘术	需要声望100点
356	血蛊	五毒血系攻击蛊术，可从“流血”的目标身上吸取生命，吸血伤害无法将玩家目标杀死	需要等级25	需要学会2层毒蛊	需要声望200点
357	香蛊	五毒灵系防御蛊术，使自身笼罩奇香而增加防御，并能使攻击者麻痹	需要等级29	需要学会6层百蛊心经	需要声望300点
358	尸蛊	五毒魔系攻击蛊术，可封锁目标经脉，使之使用武功就损失生命	需要等级33	需要学会2层血蛊	需要声望500点
359	妖蛊	五毒毒系防御蛊术，奇异的小蛊喜好吞食各种内功效果，可抵消负面状态	需要等级37	需要学会2层香蛊	需要声望600点
360	心蛊	五毒灵系攻击蛊术，神秘的小蛊持续扰乱目标心智，一旦发作，使人无法控制自身行动	需要等级40	需要学会2层尸蛊	需要声望700点
361	万蛊蚀天	五毒基本蛊术，放出一大群凶猛的蛊虫，攻击所到之处所有敌人，并使敌人“流血”	需要等级44	需要学会6层狂风爪	需要声望800点
362	幻蛊	五毒血系防御蛊术，小蛊可产生大片幻影，帮主人隐藏行踪	需要等级48	需要学会3层妖蛊	需要声望1000点
363	蠶蛊	五毒魔系特殊蛊术，可从“流血”的目标身上吸血，并降低其移动速度，一定时间后爆炸，重伤周围之敌	需要等级55	需要学会4层心蛊或1层万蛊蚀天或1层幻蛊	需要声望3000点
364	万毒心法	五毒邪侠入门心法，增强自身邪气			
365	五毒刀法	五毒基本刀法，提高用双刀技巧，并为双刀淬毒	需要等级10	需要学会1层万毒心法	
366	引魂咒	五毒独门咒语，被下此咒者，将受到僵尸疯狂的攻击	需要等级12	需要学会1层万毒心法	
367	操尸术	五毒低级邪咒，使动物的尸体复活过来成为僵尸，非常耐打	需要等级12	需要学会1层万毒心法	需要声望30点
368	尸毒术	五毒低级秘术，催发尸毒，从尸体中弥散出毒雾	需要等级16	需要学会3层万毒心法	需要声望50点
369	尸爆大法	五毒低级秘术，使尸体爆炸，伤害周围单位	需要等级20	需要学会1层尸毒术	需要声望100点
370	集尸邪气	五毒中级邪功，增加僵尸的生命力	需要等级23	需要学会6层五毒刀法	需要声望180 点
371	驭尸术	五毒中级邪咒，使人的尸体复活过来成为僵尸，攻击能力非常强	需要等级26	需要学会4层操尸术	需要声望220点
372	万毒夺命刀	五毒中级刀法，飞舞双刀猛砍敌人，企图致人死地	需要等级30	需要学会3层集尸邪气	需要声望300点
373	阴邪吸魂气	五毒中级邪功，持续从一个僵尸身上吸取阴气，可为自己恢复	需要等级34	需要学会4层集尸邪气	需要声望500点
374	催尸邪气	五毒中级邪功，用内气催发僵尸，使其具有特殊攻击效果	需要等级38	需要学会4层尸爆大法	需要声望600点
375	邪灵大法	五毒高级邪咒，聚集强大的怨念，从尸体上复活一个冤魂	需要等级43	需要学会5层驭尸术	需要声望800点
376	邪毒功	五毒高级邪功，使复活单位能直接给周围目标一定的毒伤害	需要等级48	需要学会5层万毒夺命刀或3层阴邪吸魂气	需要声望1000点
377	尸裂魔功	五毒高级邪功，把至邪内气注入僵尸，使其能力大增，如果被打倒，会爆发出所有怨念	需要等级55	需要学会5层催尸邪气	需要声望3000点
774	无影魔蛊	五毒镇派蛊术，释放出蛊中之魔，将瘟疫撒遍其经过之处，<enter>令世人痛不欲生	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
775	无天魔功	五毒镇派邪功，召唤极邪恶地狱鬼王为世间带来一场噩梦	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
720	杨家枪心法	杨门枪骑兵基本心法，增强防御，强化骑术			
721	杨家枪法总诀	杨门基本枪法，提高使用枪的攻击力	需要等级10	需要学会1层杨家枪心法	
722	杨家破风枪	杨门初级枪法，对单一目标连续刺杀	需要等级12	需要学会1层杨家枪法总诀	需要声望30点
723	杨家驭马术	杨门初级马术，提高在马上的防御能力	需要等级16	需要学会3层杨家枪法总诀	需要声望50点
724	杨家奔狼枪	杨门初级枪法，冲刺后对单体全力一枪，其身后单位也会受到攻击	需要等级20	需要学会41层杨家枪法总诀	需要声望100点
725	杨家战定诀	杨门中级心法，万军之中如泰山屹立，巍然不动	需要等级24	需要学会6层杨家枪法总诀	需要声望180 点
726	杨家巧战诀	杨门中级马术，瞬间躲避敌人的攻击，能大大提升下一次冲杀的威力	需要等级29	需要学会5层杨家驭马术	需要声望300点
727	杨家天衡枪	杨门中级枪法，回旋转枪，震开周围敌人	需要等级34	需要学会6层杨家破风枪	需要声望500点
728	杨家英雄气	杨门中级心法，削弱周围友军受到的负面效果	需要等级38	需要学会4层杨家战定诀	需要声望600点
729	杨家倒海枪	杨门高级枪法，冲刺后攻击大片敌人，可破除敌方阵型	需要等级44	需要学会6层杨家奔狼枪	需要声望800点
730	杨家御马术	杨门高级马术，借马蹄发出浑厚气劲，震伤周围所有敌人	需要等级48	需要学会4层杨家巧战诀或1层杨家英雄气	需要声望1000点
731	碧月飞星枪	杨门高级枪法，在敌阵中迅猛冲杀，横扫周围所有敌人，无所畏惧	需要等级55	需要学会6层杨家天衡枪或1层杨家倒海枪	需要声望3000点
732	连环钻龙枪	杨门镇派枪法，连环出枪使周围敌人瞬间死于非命	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
733	杨家弓心法	杨门弓骑兵基本心法，增强攻击技巧，强化骑术			
734	杨家弓法总决	杨门基本弓法，提高使用弓的技巧和伤害	需要等级10	需要学会1层杨家弓心法	
735	杨家连射术	杨门初级弓法，连发数箭，远程伤敌	需要等级12	需要学会1层杨家弓法总决	需要声望30点
736	杨家阵疗术	杨门初级技能，可随时友军疗伤同时消除巫术蛊毒的危害	需要等级16	需要学会2层杨家弓法总决	需要声望50点
737	杨家回龙箭	杨门初级弓法，突然回头一箭，力道强劲，但无法伤到近处敌人	需要等级20	需要学会4层杨家弓法总决	需要声望100点
738	杨家缠云箭	杨门中级弓法，准确的射杀敌人腿部，使之短时间内被减速	需要等级24	需要学会1层杨家回龙箭	需要声望180 点
739	杨家奇门盾	杨门中级技能，运气形成一面巨大的盾牌，可以阻挡任何飞来的攻击	需要等级28	需要学会3层杨家阵疗术	需要声望300点
740	杨家正气箭	杨门中级弓法，专门对付敌人的各种邪门歪术	需要等级33	需要学会4层杨家回龙箭	需要声望500点
741	杨家碎金箭	杨门中级弓法，全力射出一支威力巨大的箭	需要等级38	需要学会6层杨家连射术	需要声望600点
742	杨家幻神诀	杨门高级心法，为自己的箭附带各种特殊的效果	需要等级44	需要学会4层杨家奇门盾	需要声望800点
743	杨家续命诀	杨门高级心法，使自身能躲过致命的伤害	需要等级48	需要学会5层杨家奇门盾	需要声望1000点
744	流光绝影箭	杨门高级弓法，向前方横向范围乱射出无数支箭	需要等级55	需要学会6层杨家缠云箭、1层杨家正气箭、1层杨家碎金箭	需要声望3000点
745	霸王翔凤箭	杨门镇派弓法，霸王之势、翔凤之威，逃无所逃、匿无所匿	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
865	？？？	夫妻技能1		？？？	
866	？？？	夫妻技能2		？？？	
867	？？？	夫妻技能3		？？？	
868	？？？	夫妻技能4		？？？	
869	？？？	夫妻技能5		？？？	
1017	太乙心法	昆仑弟子入门心法,有助于内气回复			
1018	雷祭	昆仑符法，燃符祭天，做雷鸣之云气	需要等级10级	需要学会1层太乙心法	
1019	风祭	昆仑符法，燃符祭天，做风啸之云气	需要等级10级	需要学会1层太乙心法	
1020	天雷符	昆仑初级雷系符法，以天雷之力穿透邪魔	需要等级10级	需要学会1层雷祭	
1021	冰风诀	昆仑初级风系符法，冰屑伴随旋风制敌，可使敌人迟缓	需要等级10级	需要学会1层风祭	
1022	御风诀	昆仑初级风系符法，疾风绕体，短时间内极大提高自身移动速度	需要等级10级	需要学会1层风祭	
1023	狂雷符	昆仑中级雷系符法，引狂奔天雷，燃灭一切妖孽	需要等级20级	需要学会1层天雷符	
1024	轰雷符	昆仑中级雷系符法，灭顶雷霆从天而降，且波及周围敌人	需要等级30级	需要学会1层天雷符	
1025	扬沙诀	昆仑中级心法，狂沙护体，血气奔涌	需要等级20级	需要学会1层冰风诀	
1026	罡风诀	昆仑中级风系符法，召强劲罡风，吹开敌人	需要等级30级	需要学会1层扬沙诀	
1027	爆雷符	昆仑高级雷系符法，唤雷垂直落下爆炸伤敌	需要等级40级	需要学会1层狂雷符	
1028	仙风流散诀	昆仑高级风系符法，仙气云绕周身，<enter>每受到一定伤害就会阻挡一切攻击	需要等级40级	需要学会1层御风诀	
1029	五雷正法符	昆仑高级雷系符法，以五雷震慑不洁之妖孽	需要等级40级	需要学会1层轰雷符	
1030	万雷碎星符	昆仑高级雷系符法，蕴万雷之力与灵符，触者形骸俱焚	需要等级50级	需要学会1层爆雷符或1层万雷碎星符	
