NPC名字	坐标
翠烟  巧巧	184  177
翠烟  刘青眉	192  168
翠烟  扈敏	199  172
五毒  白莹莹	201  198
五毒  吴言	199  198
五毒  柳新竹	200  201
五毒  泰光	194  200
五毒  熊立	193  204
五毒  方猿	193  198
五毒  勾册	196  197
五毒  西图	200  204
五毒  物品保管人	202  202
五毒  尤榕	205  201
杏花村  韦应	182  190
杏花村  张昀	177  187
杏花村  柏翠萍	175  189
汴京府西  奇怪的书生	193  197
汴京府东  何秀姑	217  177
汴京府东  小虎子	216  178
汴京府东  村长	218  179
汴京府东  何硕举	196  185
汴京府东  二混	198  202
汴京府东  冷大夫	231  181
梁山泊  宋江	189  172
灵宝山  书童	228  217
成都府西  受惊的村民	195  195
成都府南  范仲淹	162  182
成都府南  褚葛棋	197  197
成都府南  士兵	197  198
成都府南  士兵队长	197  199
成都府南  士兵	196  199
江津村  张霆	191  167
成都府北  猎户	185  184
成都府北  可怜的小孩	175  185
成都府北  小店老板	174  201
剑阁蜀道  陈飞扬	160  184
剑门关  拓跋其	164  187
伏牛山  落魄的山贼	169  166
封魔洞一层  蓝野鬼	202  180
暮雪山庄  九头金凤	187  184
海外孤岛  世外高人	197  194
桃花岛  桃花岛船夫	182  197
东海海滨二  海滨船夫	196  185
龙泉村  向思青	168  185
武夷山  唐宁	177  184
雁门关  杨业	168  179
雁门关  宋军护卫队长	164  181
大草原一  部落守卫	196  178
大草原二  饶麟	197  189
王旗部落  穆义	193  185
王旗部落  萧天佑	194  179
苗岭  苗岭首领	162  196
西双版纳南部  段素顺	182  177
