题号	答案	问题	A	B	C	D
87	C	古往今来（打一古人名）	张飞	武松	史进	陆游
88	B	咸阳一片月（打一古人名）	柳公权	秦明	李白	唐明皇
89	C	木兰之子（打一食物）	西芹	青果	花生	椰蓉
90	A	重峦叠嶂（打一昆虫）	蜜蜂	螳螂	黑山蚁	河蜻蜓
91	B	孤雁哀鸣声声续（打一人名）	颜真卿	徐悲鸿	陆大年	郑板桥
92	D	后事终难继（打一药材名）	当归	地榆	水苏	续断
93	A	押送生辰纲（打水浒人名二）	解珍、解宝	时迁、安道全	燕青、秦明	宋江、吴用
94	C	白骨精原形毕露（打一俗语）	见好就收	对不上号	怪现象	小道消息
95	B	出水芙蓉（打一花卉名）	冷香	旱荷花	忍冬	木兰
96	A	春日酿出好酒来（打一花卉名）	四季报春	合欢花	春一品	山茶
97	B	绕树无依月正高（打一词曲牌）	合欢	夜飞鹊	小红楼	解冤结
98	B	昨日府上寿罢，今日又闻出嫁，待办贺礼（打一宋词句）	秋来书更疏	无可奈何花落去	白了少年头	却是旧时相识
99	D	白发还乡（打一中药名）	合香	苍耳	五加参	当归
100	B	无丝竹之乱耳（打一姓氏）	慕容	乐正	完颜	清水
101	B	彩笺妙笔赋牛年（打一人名）	颜良	文丑	管宁	杨修
102	A	梁武帝逊位（打一人名）	萧让	杜迁	周通	乐和
103	C	江流有声近寒山（打一名胜古迹）	蛇山	落笔洞	潮音寺	无量观
104	D	缓流（打一地名）	易门	双江	都匀	徐水
105	A	江边一树垂垂发（打一树木名）	水杉	晴雨	木槿	棕榈
106	C	一个黑大汉，腰插两把扇， 走一步，扇几扇（打一动物）	大象	黑熊	鸵鸟	野猪
107	A	尾巴一根钉，眼睛两粒豆， 有翅没有毛，有脚不会走（打一动物）	蜻蜓	鱼	青蛙	蜜蜂
108	C	其实免费（打一水果）	榴莲	火龙果	无花果	荔枝
109	B	穆斯林花草味浓浓（打一蔬菜）	白菜	茴香	芹菜	黄瓜
110	D	网中之物不是锦鳞（打一鱼名）	鲤鱼	鲫鱼	鲨鱼	罗非鱼
111	A	张三得天下后,有点让人丧胆（打一动物）	狼犬	梅花鹿	燕子	鳄鱼
112	C	鱼腰切丝(打一动物) 	青蛙	老虎	田螺	麻雀
113	B	桥水点点染春意，堤边垂柳一二枝（打一地名）	上海	深圳	北京	扬州
114	D	唯有春后才平安（打一外地名）	威尼斯	巴拉圭	阿拉斯加	夏威夷
115	A	三人同日离（打一打节气一）	春分	立秋	大寒	冬至
116	B	举杯邀明月，_______________。	影徒随我身	对影成三人	我舞影零乱	相约邈云汉
117	C	谁言寸草心， _______________。	游子身上衣	慈母手中线	报得三春晖	意恐迟迟归
118	D	东临碣石，_____________。	树木丛生	山岛竦峙	洪波涌起	以观沧海
119	C	老骥伏枥，____________。	志在一里	志在百里	志在千里	志在十里
120	B	夕阳无限好，____________。	向晚意不适	只是近黄昏	驱车登古原	夕阳无限好
121	A	何当共剪西窗烛，_____________。 	却话巴山夜雨时	君问归期未有期	巴山夜雨涨秋池	一壶浊酒喜相逢
122	A	锄禾日当午，____________。	汗滴禾下土	谁知盘中餐	日当午锄禾	举头望明月
123	A	不知细叶谁裁出，_____________。	二月春风似剪刀	万条垂下绿丝绦	元月春风似剪刀	碧玉妆成一树高
124	A	白日登山望烽火，_____________。	黄昏饮马傍交河	公主琵琶幽怨多	雨雪纷纷连大漠	空见葡萄入汉家
125	A	黄鹤楼前春水阔，_____________。	一杯还忆故人无	杜陵萧次君	到骨是风尘	寂寞怜吾道
126	A	南朝四百八十寺，_____________。	多少楼台烟雨中	水村山郭酒旗风	千里莺啼绿映江	多少楼台风雨中
127	A	东风不与周郎便，_____________。	铜雀春深锁二乔	自将磨洗认前朝	东风不与周郎便	折戟沉沙铁未销
128	A	商女不知亡国恨，_____________。	隔江犹唱后庭花	烟笼寒水月笼沙	夜泊秦淮近酒	来时还下杜陵无
129	A	二十四桥明月夜，_____________。	玉人何处教吹箫	青山隐隐水遥遥	秋尽江南草木凋	遥想紫泥封诏罢
130	A	停车坐爱枫林晚，_____________。	霜叶红于二月花	白云生处有人家	远上寒山石径斜	芦花深泽静垂纶
131	A	抽刀断水水更流，_____________。	举杯消愁愁更愁	马放平沙夜不收	万古荣华旦暮	黑山南面更无州
132	A	床前明月光，_____________。	疑是地上霜	举头望明月	低头思故乡	河水昏复晨
133	A	慈母手中线，_____________。	游子身上衣	临行密密缝	意恐迟迟归	炼性静栖白
134	A	谁言寸草心，_____________。	报得三春晖	风烟万里愁	为楼望越中	向晚登临处
135	A	绿窗明月在，_____________。	青史古人空	登临白云晚	留恨此遗风	客愁能几日
136	A	昔人已乘白云去，_____________。	此地空余黄鹤楼	白云千载空悠悠	黄鹤一去不复返	日暮乡关何处是
137	A	晴川历历汉阳树，_____________。	芳草萋萋鹦鹉洲	黄鹤一去不复返	白云千载空悠悠	日暮乡关何处是
138	A	正是江南好风景，_____________。	落花时节又逢君	岐王宅里寻常见	崔九堂前几度闻	风灯照夜欲三更
139	A	洛阳亲友如相问，_____________。	一片冰心在玉壶	寒雨连江夜入吴	平明送客楚山孤	奉帚平明金殿开
140	A	但使龙城飞将在，_____________。	不教胡马度阴山	平明送客楚山孤	寒雨连江夜入吴	奉帚平明金殿开
141	A	大漠风尘日色昏，_____________。	红旗半卷出辕门	前军夜战洮河北	已报生擒吐谷浑	昨夜风开露井桃
142	A	渭城朝雨邑轻尘，_____________。	客舍青青柳色新	桂魄初生秋露微	劝君更尽一杯酒	轻罗已薄未更衣
143	A	劝君更尽一杯酒，_____________。	西出阳关无故人	客舍青青柳色新	桂魄初生秋露微	渭城朝雨邑轻尘
144	A	红豆生南国，_____________。	春来发几枝	流水如有意	落日满秋山	青霭入看无
145	A	愿君多采撷，_____________。	此物最相思	红豆生南国	春草明年绿	天气晚来秋
146	A	独在异乡为异客，_____________。	每逢佳节倍思亲	銮舆迥出千门柳	阁道回看上苑花	为乘阳气行时令
147	A	遥知兄弟登高处，_____________。	遍插茱萸少一人	不是宸游玩物华	晨摇玉佩趋金殿	山中习静观朝槿
148	A	漠漠水田飞白鹭，_____________。	阴阴夏木啭黄鹂	山中习静观朝槿	松下清斋折露葵	野老与人争席罢
149	A	城阙辅三秦，_____________。	风烟望五津	晨征犯烟磴	夕憩在云关	风景驻离欢
150	A	海内存知己，_____________。	天涯若比邻	君王无处所	台榭若平生	西陵松檟冷
151	A	东边日头西边雨，_____________。	道是无晴却有晴	闻郎江上唱歌声	杨柳青青江水平	山上层层桃李花
152	A	花红易衰似郎意，_____________。	水流无限似侬愁	山桃红花满上头	蜀江春水拍山流	云间烟火是人家
153	A	野旷天低树，_____________。	江清月近人	移舟泊烟渚	日暮客愁新	端居耻圣明
154	A	春眠不觉晓，_____________。	处处闻啼鸟	山光忽西落	池月渐东上	夜来风雨声
155	A	夜来风雨声，_____________。	花落知多少	感此怀故人	八月湖水平	气蒸云梦泽
156	A	绿树村边合，_____________。	青山郭外斜	黄金燃桂尽	故人具鸡黍	邀我至田家
157	A	待到重阳日，_____________。	还来就菊花	开轩面场圃	把酒话桑麻	待到重阳日
158	A	风鸣两岸叶，_____________。	月照一孤舟	山暝听猿愁	沧江急夜流	闻说梅花早
159	A	三十功名尘与土，_____________。	八千里路云和月	一场愁梦酒醒时	酒筵歌席莫辞频	劝君莫作独醒人
160	A	壮士饥餐胡虏肉，_____________。	笑谈渴饮匈奴血	满目山河空念远	一向年光有限身	细算浮生千万绪
161	A	无可奈何花落去，_____________。	似曾相识燕归来	几回疏雨滴圆荷	晚花红片落庭莎	曲阑干影入凉波
162	A	宴罢又成空，_____________。	魂迷春梦中	来便谐衷素	秋波横欲流	眼色暗相钩
163	A	撩乱春愁如柳絮，_____________。	依依梦里无寻处	百草千花寒食路	泪眼倚楼频独语	香车系在谁家树
164	A	盈盈一水间，_____________。 	脉脉不得语	河汉清且浅 	纤纤擢素手 	泣涕零如雨 
165	A	迢迢牵牛星，_____________。	皎皎河汉女	一去复几许	札札弄机杼 	泣涕零如雨 
166	A	春风又绿江南岸，_____________。	明月何时照我还	风光不与四时同 	钟山只隔数重山 	京口瓜洲一水间
167	A	春色满园关不住，_____________。	一枝红杏出墙来	应怜屐齿印苍苔	小扣柴扉久不开 	总把新桃换旧符 
168	A	百川东到海，_____________。 	何时复西归	一去复几许 	焜黄华叶衰 	阳春布德泽 
169	A	少壮不努力，_____________。 	老大徒伤悲	朝露待日晞 	万物生光辉 	焜黄华叶衰 
170	A	山外青山楼外楼，_____________。	西湖歌舞几时休	直把杭州当汴州 	风光不与四时同 	花有清香月有阴
171	A	臣心一片磁针石，_____________。 	不指南方不肯休	回从扬子大江头 	几日随风北海游	歌管楼亭声细细 
172	A	王师北定中原日，_____________。 	家祭无忘告乃翁	家祭无忘告汝翁	但悲不见九州同 	死后原知万事空
173	A	爆竹声中一岁除，_____________。	春风送暖入屠苏	总把新桃换旧符 	千门万户瞳瞳日 	丰年留客足鸡豚 
174	A	生当作人杰，_____________。	死亦为鬼雄	至今思项羽 	苍茫云海间	不肯过江东 
175	A	接天莲叶无穷碧，_____________。 	映日荷花别样红	毕竟西湖六月中	风光不与四时同 	误入藕花深处 
176	A	春宵一刻值千金，_____________。	花有清香月有阴	歌管楼亭声细细 	秋千院落夜沉沉 	柳暗花明又一村
177	A	山重水复疑无路，_____________。 	柳暗花明又一村	丰年留客足鸡豚 	衣冠简朴古风存 	柱杖无时夜叩门 
178	A	争渡，争渡，_____________。	惊起一滩鸥鹭 	沉醉不知归路 	常记溪亭日暮	误入藕花深处 
179	A	往事已成空，_____________。 	还如一梦中	高楼谁与上 	故国梦重归 	长记秋晴望 
180	A	欲穷千里目，_____________。 	更上一层楼	黄河入海流 	白日依山尽	举头望明月
181	A	老骥伏枥，_____________。 	志在千里	终为土灰 	猷有竟时 	壮心不已 
182	A	日月之行，_____________。	若出其中 	洪波涌起 	若出其里 	歌以咏志 
183	A	本是同根生，_____________。	相煎何太急	漉菽以为汁 	豆在釜中泣 	煮豆持作羹
184	A	对酒当歌，_____________。	人生几何	乌鹊南飞	悠悠我心	鼓瑟吹笙
185	A	_____________，必有我师焉。	三人行	二人行	一人行	四人行
186	A	长风几万里，_____________。	吹度玉门关	叹息未应闲	苍茫云海间	思归多苦颜
187	C	不打麻将 (打一古军事用品)	攻城车	信使腰牌	免战牌	通关令
188	D	少有天赋老必有为 (打一古书)	《史记》	《春秋》	《孙子兵法》	《中庸》
189	A	揭竿于洪水泛滥的村庄 (打一中国古代史名词)	大泽乡起义	王安石变法	金田起义	焚书坑儒
190	C	“世上本没有路，走的人多了，也便成了路” (打一浙江名胜)	龙游石窟	衢州孔庙	一行遗迹	慧济禅寺
191	D	关公战秦琼 (打一历史事件)	王安石变法	大泽乡起义	公车上书	安史之乱
192	A	泰山顶上冲云霄 (打一历史人物名) 	岳飞	关羽	孙膑	苏轼
193	A	强将手底无弱兵(打一俗语)	能上能下	名利双收	强人所难	告老还乡
194	B	亥 (打一口语)	赔了夫人又折兵	孩子丢了	进退两难	能上能下
195	D	重庆绿化 (打一风景名胜)	点苍山	华山	武夷山	青城山
196	C	鬼话连篇 (气象名词)	阴转晴	雷雨	阴间多云	雨加雪
197	A	幽魂走红、阎王发怒 (打一自然现象) 	鬼火	闪电	台风	海市蜃楼
198	C	招赘 (打一俗语)	气个倒仰	劫富济贫	跟人家过不去	赔了夫人又折兵
199	D	认准读书不嫁人(打一常言) 	大字不认识一个	老牛拉破车	孩子丢了	识文断字
200	B	独自离开，把铁木真晾在那里 (打一俗语)	没事瞎忙乎	出一身冷汗	此路不通	只顾自己
201	C	帮妻子干活(打一常言)	干了白干	没事瞎忙乎	分内之事	没事找事
202	B	说话一定要小心 (打一字)	从	订	顶	仃
203	B	重逢（打一字）	语	观	朋	众
204	D	九点（打一字）	刃	风	煮	丸
205	D	一日（打一字）	田	夫	夫	旧
206	B	语声（打一字）	梦	谙	偷	缀
207	D	聊斋（打一字）	拍	沐	杰	诧
208	A	二月平（打一字）	朋	胖	归	科
209	C	二小姐（打一字）	孙	妹	姿	齐
210	A	岁末会面（打一字）	靓	痛	粥	湘
211	C	东征西讨（打一字）	付	茜	证	讦
212	B	人人让座（打一字）	坐	庄	从	纵
213	B	站了两天（打一字）	晴	暗	曝	蚕
214	C	内阁左相（打一字）	倩	眙	格	峭
215	B	守株待兔（打一字）	珂	柳	胜	待
216	D	帆影入目（打一字）	桑	娴	涤	舰
217	C	竹下一室（打一字）	缙	碛	简	新
218	A	半羞偷瞄（打一字）	着	善	崛	鸾
219	A	百年竹林（打一字）	筹	竹	柏	颗
220	D	江东二乔（打一字）	沃	桥	杠	娱
221	A	明天日全食（打一字）	月	虹	硼	昊
222	D	推开人又来（打一字）	佑	妍	俫	摊
223	B	渡头余落日（打一字）	肘	汨	希	识
224	A	黄昏日半落（打一字）	名	亚	旨	网
225	C	孔雀东南飞（打一字）	纤	闭	孙	夹
226	B	用拳头说话（打一字）	焚	誉	喜	短
227	A	月倚枝，杜鹃啼（打一字）	棚	葬	隍	酥
228	C	残月斜照影成对（打一字）	殂	角	多	朋
229	A	冀中两遇真心人（打一字）	僵	澎	箱	霄
230	A	为公明断弃乌纱（打一字）	木	止	办	风
231	D	得月楼前先得月（打一字）	脒	阴	筇	棚
232	B	相思人到结同心（打一字）	鸽	悬	梭	绯
233	B	少小离家老大回（打一字）	弃	尖	善	能
234	B	一去日本音讯无（打一字）	昊	杳	穹	幸
235	B	风中空候立终宵（打一字）	再	夙	红	巡
236	D	廿载含泪西北望（打一字）	省	威	兹	茫
237	D	楼边桥畔柳条摇（打一字）	梁	得	弹	彬
238	B	大河上下失滔滔（打一字）	空	奇	析	矾
239	D	月移花影到高台（打一字）	桓	翅	桉	能
240	C	重峦叠嶂一根草（打一字）	栗	泗	茁	宝
241	A	范进傍晚去水边（打一字）	苑	变	纵	青
242	B	新月三星照枝头（打一字）	疚	采	坤	细
243	C	村中古树枝半枯（打一字）	瑕	想	鼓	酩
244	B	一钩新月斜挂树梢（打一字）	号	禾	业	玄
245	A	别后，新草，空对月（打一字）	蒯	颖	新	袭
246	D	昔日一别后，十载方相逢（打一字）	奈	幸	杳	苦
247	B	残星三两点，孤雁横空飞（打一字）	犬	六	丐	氏
248	D	闺中俏丽人，含羞订鸳盟（打一字）	染	总	说	娃
249	A	看似一草一木，焉知滴水成巨（打一字）	蕖	潸	篇	衡
250	A	一对明月毫不残，落在山脚左右站（打一字）	崩	膏	服	城
251	A	一片残云遮天顶，三条垂柳舞东风（打一字）	参	青	范	变
252	A	卧看空山衔远树，不及西边听箭声（打一字）	建	空	朋	拖
253	A	檐前滴水（打一字）	沐	北	汲	诎
254	A	秋色藏春（打一字）	香	侵	幽	娥
255	C	炮打双车（打一字）	昕	低	轰	书
256	D	西湖春末（打一字）	落	河	央	汨
257	B	酒棋为伴（打一字）	孰	淇	岁	骓
258	B	吕布闯关中（打一字）	品	闾	顺	只
259	C	屋前一断松（打一字）	渭	徨	椐	棚
260	A	十两合一斤（打一字）	芹	杉	体	尘
261	B	日暮柳梢头（打一字）	梢	梦	彪	梵
262	C	皓首穷经书（打一字）	弱	恩	皋	珍
263	B	甘露沐桃李（打一字）	冀	霖	瞠	篮
264	D	舟人一夜归（打一字）	矾	杳	长	例
265	A	竹林小路纵横（打一字）	筮	败	滏	粮
266	B	黄昏新月照栏前（打一字）	就	酥	皓	廊
267	C	遥忆牡丹满城香（打一字）	愕	编	落	堡
268	C	浅草垂露两依依（打一字）	期	携	满	湘
269	D	江畔断杨接残芜（打一字）	悟	倩	砻	荡
270	B	乱田散落半湖阴（打一字）	渺	渭	酥	城
271	A	游罢岷山合目眠（打一字）	民	甲	支	来
272	B	别时恰在岁除夕（打一字）	丽	岔	少	步
273	D	汩罗江畔见月明（打一字）	长	升	工	日
274	D	雨霁霞飞斜雁过（打一字）	绳	梵	梢	假
275	C	玉尚有瑕，人怎可免（打一字）	宝	粟	金	宁
276	C	王婆叫卖，户户传声（打一字）	淡	匪	瓠	帼
277	B	已遣群蛙作两部，更去明月成三人（打一字）	佳	蠢	叠	寒
278	A	传说为大将出征时，皇帝所赐的吉祥之物	将军之戒	将军戒指	将军之戎	将军之介
279	A	上古遗传下来的神奇指环，传说会带给佩戴者意想不到的能力	东方龙珠	东方之珠	东方指环	东方魔戒
280	A	先楚屈大夫的饰物，正气存于其中	屈原之佩	屈原玉佩	屈原佩	屈原的玉佩
281	A	纯金打造嵌以大小明珠、宝石，由大宋皇帝赏赐给蹴鞠王的御赐项链，皇恩浩荡，祥云护体	大力神项链	太力神项链	犬力神项链	天力神项链
282	A	九天玄女遗落在太虚幻境中的仙宝，对于修炼力量的习武之人，大有益处	太虚幻玉	太虚幻带	太虚幻环	太虚幻佩
283	A	九天玄女遗落在太虚幻境中的仙宝，对于修炼身法的习武之人，大有益处	太虚幻带	太虚幻环	太虚幻佩	太虚幻戒
284	A	九天玄女遗落在太虚幻境中的仙宝，对于修炼根骨的习武之人，大有益处	太虚幻环	太虚幻佩	太虚幻戒	太虚幻袋
285	A	九天玄女遗落在太虚幻境中的仙宝，对于修炼内功的习武之人，大有益处	太虚幻佩	太虚幻玉	太虚幻带	太虚幻环
286	A	九天玄女遗落在太虚幻境中的仙宝，对于修炼洞察的习武之人，大有益处	太虚幻戒	太虚幻带	太虚幻环	太虚幻佩
287	A	九天玄女遗落在太虚幻境中的仙宝，沁染人间浊气，却能被施毒之人所用	太虚幻袋	太虚幻环	太虚幻佩	太虚幻戒
288	A	九天玄女遗落在太虚幻境中的仙宝，可化仙风为锋锐，刺破敌人重铠	太虚幻石	太虚幻带	太虚幻佩	太虚幻戒
289	A	藏剑山庄小姐甚爱习武，虽不喜女儿装扮，却对此戒情有独钟，据说为幼时青梅竹马所赠	小姐戒指	藏剑戒指	藏剑小姐戒指	藏剑之戒
290	A	藏剑山庄大长老少年时曾为江南第一风流才子，归隐藏剑后，相思寄于此指环中，据说指环上的绿宝石象征其至爱的名字	长老指环	藏剑指环	藏剑长老指环	藏剑之环
291	A	藏剑山庄镇庄之宝，唐初曾有海啸，潮退现神贝，坚固异常。九绝剑魔将其带回山庄，后开启，产宝珠一颗，仙风缭绕，金光四射，乃世间珍宝	藏剑宝珠	藏剑之珠	藏剑珠	镇庄之珠
292	A	藏剑山庄镇庄之宝，先年江津村闹鬼患，九绝剑魔路经此地，见群鬼围枯井却不敢近，下井探得奇石一枚，能哭能泪，可驱逐群魔，乃世间珍宝	藏剑奇石	藏剑石	藏剑之石	藏剑石头
293	A	藏剑山庄镇庄之宝，战国宝玉和氏璧，于秦时铸成玉玺，传至汉、晋。后九绝剑魔偶得碎块，以纯金补铸其身，得宝印以镇山庄，乃世间珍宝	藏剑金印	藏剑玉玺	九绝宝玉	藏剑九绝玉
294	A	传说为月亮兔胸前挂着的药包，每次捣药后，都会把做好的药品放到这个包包里	月亮兔药包	月亮兔之药包	月亮兔的药包	月亮兔包包
295	A	传说为嫦娥仙子喜爱的飘带，翩翩起舞时，飘带随之舞动，美奂绝伦，可安定三界，平息各方灾祸	嫦娥月舞带	嫦娥舞带	嫦娥带	嫦娥之带
296	A	传说为后羿大神拉动落日神弓时佩带的指环，凝聚万钧神力，可洞穿三界一切罪恶	后羿落日环	后羿戒	后羿之戒	后羿之环
297	A	常见草药，能活血通络、化瘀止痛	藏红花	桔梗	黄连	麝香
298	A	常见药草，有宣肺、散寒、核痰、排脓作用	桔梗	人参	熊胆	玉灵芝
299	A	常用草药，性寒、味苦，具有清热燥湿、泻火解毒之功能	黄连	巴豆	蝉蜕	田七
300	A	雄麝的香囊，对解毒、化瘀、排脓、驱虫、止血、止痛皆有良效	麝香	蝉蜕	田七	穿山甲
301	A	名贵药物，具有大补元气、复脉固脱，固本培元功效	人参	桔梗	黄连	麝香
302	A	狂熊之胆，性寒，味苦，以之合药，能大补元气，增益良多	熊胆	黄连	麝香	人参
303	A	仙草，《神农本草经》中列为上品，久食，轻身不老，延年神仙	玉灵芝	麝香	人参	熊胆
304	A	色白，形如蚕豆，磨粉后可作清泻剂，故可解毒，多用伤身，慎用	巴豆	蝉蜕	田七	穿山甲
305	A	蝉由幼虫蜕变至成虫所遗的壳，有去风湿的效果	蝉蜕	玉灵芝	麝香	人参
306	A	草本植物，可解毒	田七	熊胆	黄连	麝香
307	A	一种食蚁兽，皮甲坚厚可入药，能理气调元补养内脏，对内伤调理极为有效	穿山甲	人参	桔梗	黄连
