道具种类	具体类别	详细类别	五行属性	等级	银两	数量	师门声望	铜钱	是否做交易记录	道具名称（必须放最后，程序不读）
1	0	23	0	1	2400			0		
1	0	24	0	1	6000			0		
1	0	25	0	1	12000			0		
1	0	26	0	1	24000			0		
1	0	27	0	1	60			0		
1	0	28	0	1	120			0		
1	0	29	0	1	240			0		
1	0	30	0	1	480			0		
1	0	31	0	1	960			0		
1	0	32	0	1	1920			0		
2	3	1	0	1	500			0		
2	3	2	0	1	500			0		
2	3	3	0	1	500			0		
2	3	4	0	1	5			0		
2	11	0	0	1	5	100		0		
2	3	6	0	1	2			0		
2	3	7	0	1	1000			0		
2	3	8	0	1	100			0		
2	3	9	0	1	100			0		
2	3	10	0	1	100			0		
2	3	11	0	1	100			0		
2	3	12	0	1	5			0		
2	3	13	0	1	500			0		
2	2	1	0	1	5			0		
2	2	2	0	1	20			0		
2	2	3	0	1	80			0		
2	2	4	0	1	200			0		
2	2	5	0	1	500			0		
2	2	6	0	1	1000			0		
2	2	7	0	1	200			0		
2	2	8	0	1	2000			0		
2	2	9	0	1	5			0		
2	2	10	0	1	15			0		
2	2	11	0	1	60			0		
2	2	12	0	1	160			0		
2	2	13	0	1	360			0		
2	2	14	0	1	800			0		
2	2	15	0	1	5			0		
2	2	16	0	1	20			0		
2	2	17	0	1	80			0		
2	2	18	0	1	180			0		
2	2	19	0	1	400			0		
2	2	20	0	1	900			0		
2	2	21	0	1	5			0		
2	2	22	0	1	15			0		
2	2	23	0	1	70			0		
2	2	24	0	1	170			0		
2	2	25	0	1	380			0		
2	2	26	0	1	850			0		
2	2	27	0	1	2			0		
2	2	28	0	1	2			0		
2	2	29	0	1	2			0		
2	2	30	0	1	2			0		
2	2	31	0	1	2			0		
2	2	32	0	1	2			0		
2	2	33	0	1	2			0		
2	2	34	0	1	2			0		
2	2	35	0	1	2			0		
2	2	36	0	1	2			0		
2	2	37	0	1	2			0		
2	2	38	0	1	2			0		
2	2	39	0	1	2			0		
2	2	40	0	1	2			0		
2	1	1	0	1	2			0		
2	1	2	0	1	4			0		
2	1	3	0	1	6			0		
2	1	4	0	1	60			0		
2	1	5	0	1	8			0		
2	1	6	0	1	10			0		
2	1	7	0	1	14			0		
2	1	8	0	1	20			0		
2	1	9	0	1	20			0		
2	1	10	0	1	22			0		
2	1	11	0	1	22			0		
2	1	12	0	1	24			0		
2	1	13	0	1	24			0		
2	1	14	0	1	28			0		
2	1	15	0	1	38			0		
2	1	16	0	1	36			0		
2	1	17	0	1	800			0		
2	1	18	0	1	32			0		
2	1	19	0	1	38			0		
2	1	20	0	1	38			0		
2	1	21	0	1	38			0		
2	1	22	0	1	1000			0		
2	1	23	0	1	42			0		
2	1	24	0	1	40			0		
2	1	25	0	1	60			0		
2	1	26	0	1	56			0		
2	1	27	0	1	52			0		
2	1	28	0	1	58			0		
2	1	29	0	1	58			0		
2	1	30	0	1	56			0		
2	1	31	0	1	52			0		
2	1	32	0	1	1500			0		
2	1	33	0	1	56			0		
2	1	34	0	1	50			0		
2	1	35	0	1	60			0		
2	1	36	0	1	60			0		
2	1	37	0	1	62			0		
2	1	38	0	1	62			0		
2	1	39	0	1	2000			0		
2	1	40	0	1	70			0		
2	1	41	0	1	74			0		
2	1	42	0	1	80			0		
2	1	43	0	1	76			0		
2	1	44	0	1	70			0		
2	1	45	0	1	90			0		
2	1	46	0	1	96			0		
2	1	47	0	1	88			0		
2	1	48	0	1	100			0		
2	1	49	0	1	90			0		
2	1	50	0	1	90			0		
2	1	51	0	1	92			0		
2	1	52	0	1	96			0		
2	1	53	0	1	102			0		
2	1	54	0	1	100			0		
2	1	55	0	1	98			0		
2	1	56	0	1	98			0		
2	1	57	0	1	104			0		
2	1	58	0	1	96			0		
2	1	59	0	1	98			0		
2	1	60	0	1	100			0		
2	1	61	0	1	100			0		
2	1	62	0	1	102			0		
2	1	63	0	1	106			0		
2	1	64	0	1	138			0		
2	1	65	0	1	144			0		
2	1	66	0	1	136			0		
2	1	67	0	1	150			0		
2	1	68	0	1	158			0		
2	1	69	0	1	140			0		
2	1	70	0	1	186			0		
2	1	71	0	1	190			0		
2	1	72	0	1	180			0		
2	1	73	0	1	182			0		
2	1	74	0	1	188			0		
2	1	75	0	1	194			0		
2	1	76	0	1	190			0		
2	1	77	0	1	186			0		
2	1	78	0	1	182			0		
2	1	79	0	1	188			0		
2	1	80	0	1	194			0		
2	1	81	0	1	196			0		
2	1	82	0	1	192			0		
2	1	83	0	1	190			0		
2	1	84	0	1	3000			0		
2	1	85	0	1	188			0		
2	1	86	0	1	3500			0		
2	1	87	0	1	242			0		
2	1	88	0	1	260			0		
2	1	89	0	1	240			0		
2	1	90	0	1	248			0		
2	1	91	0	1	3500			0		
2	1	92	0	1	242			0		
2	1	93	0	1	254			0		
2	1	94	0	1	256			0		
2	1	95	0	1	258			0		
2	1	96	0	1	254			0		
2	1	97	0	1	260			0		
2	1	98	0	1	264			0		
2	1	99	0	1	4000			0		
2	1	100	0	1	4000			0		
2	1	101	0	1	340			0		
2	1	102	0	1	344			0		
2	1	103	0	1	330			0		
2	1	104	0	1	350			0		
2	1	105	0	1	360			0		
2	1	106	0	1	346			0		
2	1	107	0	1	620			0		
2	1	108	0	1	20			0		
2	1	109	0	1	20			0		
2	0	1	0	1	1			0		
2	0	2	0	1	1			0		
2	0	3	0	1	1			0		
2	0	4	0	1	1			0		
2	0	5	0	1	1			0		
2	0	6	0	1	1			0		
2	0	7	0	1	1			0		
2	0	8	0	1	1			0		
2	0	9	0	1	1			0		
2	0	10	0	1	1			0		
2	0	11	0	1	1			0		
2	0	12	0	1	1			0		
2	0	13	0	1	1			0		
2	0	14	0	1	1			0		
2	0	15	0	1	1			0		
2	0	16	0	1	1			0		
2	0	17	0	1	1			0		
0	15	1	0	1	10			0		
0	15	2	0	1	10			0		
0	15	3	0	1	10			0		
0	15	4	0	1	10			0		
0	15	5	0	1	10			0		
0	15	6	0	1	10			0		
0	15	7	0	1	10			0		
0	15	8	0	1	10			0		
0	15	9	0	1	10			0		
0	15	10	0	1	10			0		
0	15	11	0	1	10			0		
0	15	12	0	1	10			0		
0	15	13	0	1	10			0		
0	15	14	0	1	10			0		
0	15	15	0	1	10			0		
0	15	16	0	1	10			0		
0	15	17	0	1	10			0		
0	15	18	0	1	10			0		
0	15	19	0	1	10			0		
0	15	20	0	1	10			0		
0	15	21	0	1	10			0		
0	15	22	0	1	10			0		
0	15	23	0	1	10			0		
0	15	24	0	1	10			0		
0	15	25	0	1	10			0		
0	15	26	0	1	10			0		
0	15	27	0	1	10			0		
0	15	28	0	1	10			0		
0	15	29	0	1	10			0		
0	15	30	0	1	10			0		
0	15	31	0	1	10			0		
0	15	32	0	1	10			0		
0	15	33	0	1	10			0		
0	15	34	0	1	10			0		
0	15	35	0	1	10			0		
0	15	36	0	1	10			0		
0	15	37	0	1	10			0		
0	15	38	0	1	10			0		
0	15	39	0	1	10			0		
0	15	40	0	1	10			0		
0	15	41	0	1	10			0		
0	15	42	0	1	10			0		
0	15	43	0	1	10			0		
0	15	44	0	1	10			0		
0	15	45	0	1	10			0		
0	15	46	0	1	10			0		
0	15	47	0	1	10			0		
0	15	48	0	1	10			0		
0	15	49	0	1	10			0		
0	15	50	0	1	10			0		
0	15	51	0	1	10			0		
0	15	52	0	1	10			0		
0	15	53	0	1	10			0		
0	15	54	0	1	10			0		
0	15	55	0	1	10			0		
0	15	56	0	1	10			0		
0	15	57	0	1	10			0		
0	15	58	0	1	10			0		
0	15	59	0	1	10			0		
0	15	60	0	1	10			0		
0	15	61	0	1	10			0		
0	15	62	0	1	10			0		
0	15	63	0	1	10			0		
0	15	64	0	1	10			0		
0	15	65	0	1	10			0		
0	15	66	0	1	10			0		
0	15	67	0	1	10			0		
0	15	68	0	1	10			0		
0	15	69	0	1	10			0		
0	15	70	0	1	10			0		
0	15	71	0	1	10			0		
0	15	72	0	1	10			0		
0	15	73	0	1	10			0		
0	15	74	0	1	10			0		
0	15	75	0	1	10			0		
0	15	76	0	1	10			0		
0	15	77	0	1	10			0		
0	109	1	0	1	800			0		
0	109	2	0	1	800			0		
0	109	3	0	1	800			0		
0	109	4	0	1	800			0		
0	109	5	0	1	800			0		
0	109	6	0	1	800			0		
0	109	7	0	1	800			0		
0	109	8	0	1	800			0		
0	109	9	0	1	800			0		
0	109	10	0	1	800			0		
0	109	11	0	1	800			0		
0	109	12	0	1	800			0		
0	109	13	0	1	800			0		
0	109	14	0	1	800			0		
0	109	15	0	1	800			0		
0	109	16	0	1	800			0		
0	109	17	0	1	800			0		
0	109	18	0	1	800			0		
0	109	19	0	1	800			0		
0	109	20	0	1	800			0		
0	109	21	0	1	800			0		
0	109	22	0	1	800			0		
0	109	23	0	1	800			0		
0	109	24	0	1	800			0		
0	109	25	0	1	800			0		
0	109	26	0	1	800			0		
0	109	27	0	1	800			0		
0	109	28	0	1	800			0		
0	109	29	0	1	800			0		
0	109	30	0	1	800			0		
0	108	1	0	1	800			0		
0	108	2	0	1	800			0		
0	108	3	0	1	800			0		
0	108	4	0	1	800			0		
0	108	5	0	1	800			0		
0	108	6	0	1	800			0		
0	108	7	0	1	800			0		
0	108	8	0	1	800			0		
0	108	9	0	1	800			0		
0	108	10	0	1	800			0		
0	108	11	0	1	800			0		
0	108	12	0	1	800			0		
0	108	13	0	1	800			0		
0	108	14	0	1	800			0		
0	108	15	0	1	800			0		
0	108	16	0	1	800			0		
0	108	17	0	1	800			0		
0	108	18	0	1	800			0		
0	108	19	0	1	800			0		
0	108	20	0	1	800			0		
0	108	21	0	1	800			0		
0	108	22	0	1	800			0		
0	105	1	0	1	4000			0		
0	105	2	0	1	20000			0		
0	105	3	0	1	60000			0		
0	105	4	0	1	100000			0		
0	105	5	0	1	200000			0		
0	105	6	0	1	400000			0		
0	105	7	0	1	2000000			0		
0	105	8	0	1	4000000			0		
0	105	9	0	1	8000000			0		
0	105	10	0	1	20000000			0		
2	4	1	0	1	1			0		
2	4	2	0	1	1			0		
2	4	3	0	1	1			0		
2	4	4	0	1	1			0		
2	4	5	0	1	1			0		
2	4	6	0	1	1			0		
2	4	7	0	1	1			0		
2	4	8	0	1	2			0		
2	4	9	0	1	2			0		
2	4	10	0	1	2			0		
2	4	11	0	1	2			0		
2	4	12	0	1	2			0		
2	4	13	0	1	2			0		
2	4	14	0	1	2			0		
2	5	1	0	1	10			0		
2	5	2	0	1	180			0		
2	5	3	0	1	720			0		
2	5	4	0	1	1600			0		
2	5	5	0	1	3600			0		
2	5	6	0	1	6000			0		
2	5	7	0	1	8500			0		
0	105	1	0	1	400			0		
0	105	2	0	1	2000			0		
0	105	3	0	1	6000			0		
0	105	4	0	1	10000			0		
0	105	5	0	1	20000			0		
0	105	6	0	1	40000			0		
0	105	7	0	1	200000			0		
0	105	8	0	1	400000			0		
0	105	9	0	1	800000			0		
0	105	10	0	1	2000000			0		
0	100	1	0	1	8			0		
0	100	2	0	1	280			0		
0	100	3	0	1	1032			0		
0	100	4	0	1	1220			0		
0	100	5	0	1	2896			0		
0	100	6	0	1	3064			0		
0	100	7	0	1	3968			0		
0	100	8	0	1	4184			0		
0	100	9	0	1	6108			0		
0	100	10	0	1	6480			0		
0	100	11	0	1	11156			0		
0	100	12	0	1	11944			0		
0	100	13	0	1	19324			0		
0	100	14	0	1	20352			0		
0	100	15	0	1	34352			0		
0	100	16	0	1	34964			0		
0	100	17	0	1	47848			0		
0	100	18	0	1	50916			0		
0	100	19	0	1	8			0		
0	100	20	0	1	280			0		
0	100	21	0	1	1032			0		
0	100	22	0	1	1220			0		
0	100	23	0	1	2896			0		
0	100	24	0	1	3064			0		
0	100	25	0	1	3968			0		
0	100	26	0	1	4184			0		
0	100	27	0	1	6108			0		
0	100	28	0	1	6480			0		
0	100	29	0	1	11156			0		
0	100	30	0	1	11944			0		
0	100	31	0	1	19324			0		
0	100	32	0	1	20352			0		
0	100	33	0	1	34352			0		
0	100	34	0	1	34964			0		
0	100	35	0	1	47848			0		
0	100	36	0	1	50916			0		
0	101	1	0	1	76			0		
0	101	2	0	1	976			0		
0	101	3	0	1	2144			0		
0	101	4	0	1	2348			0		
0	101	5	0	1	3188			0		
0	101	6	0	1	3288			0		
0	101	7	0	1	4940			0		
0	101	8	0	1	5176			0		
0	101	9	0	1	8248			0		
0	101	10	0	1	8724			0		
0	101	11	0	1	15148			0		
0	101	12	0	1	16380			0		
0	101	13	0	1	24512			0		
0	101	14	0	1	26236			0		
0	101	15	0	1	38304			0		
0	101	16	0	1	40312			0		
0	101	17	0	1	63336			0		
0	101	18	0	1	68220			0		
0	101	19	0	1	76			0		
0	101	20	0	1	976			0		
0	101	21	0	1	2144			0		
0	101	22	0	1	2348			0		
0	101	23	0	1	3188			0		
0	101	24	0	1	3288			0		
0	101	25	0	1	4940			0		
0	101	26	0	1	5176			0		
0	101	27	0	1	8248			0		
0	101	28	0	1	8724			0		
0	101	29	0	1	15148			0		
0	101	30	0	1	16380			0		
0	101	31	0	1	24512			0		
0	101	32	0	1	26236			0		
0	101	33	0	1	38304			0		
0	101	34	0	1	40312			0		
0	101	35	0	1	63336			0		
0	101	36	0	1	68220			0		
0	109	1	0	1	800			0		
0	109	2	0	1	800			0		
0	109	3	0	1	800			0		
0	109	4	0	1	800			0		
0	109	5	0	1	800			0		
0	109	6	0	1	800			0		
0	109	7	0	1	800			0		
0	109	8	0	1	800			0		
0	109	9	0	1	800			0		
0	109	10	0	1	800			0		
0	109	11	0	1	800			0		
0	109	12	0	1	800			0		
0	109	13	0	1	800			0		
0	109	14	0	1	800			0		
0	109	15	0	1	800			0		
0	109	16	0	1	800			0		
0	109	17	0	1	800			0		
0	109	18	0	1	800			0		
0	109	19	0	1	800			0		
0	109	20	0	1	800			0		
0	109	21	0	1	800			0		
0	109	22	0	1	800			0		
0	109	23	0	1	800			0		
0	109	24	0	1	800			0		
0	109	25	0	1	800			0		
0	109	26	0	1	800			0		
0	109	27	0	1	800			0		
0	109	28	0	1	800			0		
0	109	29	0	1	800			0		
0	109	30	0	1	800			0		
0	109	31	0	1	800			0		
0	109	32	0	1	800			0		
0	109	33	0	1	800			0		
0	109	34	0	1	800			0		
0	109	35	0	1	800			0		
0	109	36	0	1	800			0		
0	110	1	0	1	800			0		
0	110	2	0	1	800			0		
0	110	3	0	1	800			0		
0	110	4	0	1	800			0		
0	110	5	0	1	800			0		
0	110	6	0	1	800			0		
0	110	7	0	1	800			0		
0	110	8	0	1	800			0		
0	110	9	0	1	800			0		
0	110	10	0	1	800			0		
0	110	11	0	1	800			0		
0	110	12	0	1	800			0		
0	110	13	0	1	800			0		
0	110	14	0	1	800			0		
0	110	15	0	1	800			0		
0	110	16	0	1	800			0		
0	110	17	0	1	800			0		
0	110	18	0	1	800			0		
0	110	19	0	1	800			0		
0	110	20	0	1	800			0		
0	110	21	0	1	800			0		
0	110	22	0	1	800			0		
0	110	23	0	1	800			0		
0	110	24	0	1	800			0		
0	110	25	0	1	800			0		
0	110	26	0	1	800			0		
0	110	27	0	1	800			0		
0	110	28	0	1	800			0		
0	110	29	0	1	800			0		
0	110	30	0	1	800			0		
0	110	31	0	1	800			0		
0	110	32	0	1	800			0		
0	110	33	0	1	800			0		
0	110	34	0	1	800			0		
0	110	35	0	1	800			0		
0	110	36	0	1	800			0		
0	103	1	0	1	52			0		
0	103	2	0	1	544			0		
0	103	3	0	1	1584			0		
0	103	4	0	1	1828			0		
0	103	5	0	1	2900			0		
0	103	6	0	1	2936			0		
0	103	7	0	1	4184			0		
0	103	8	0	1	4460			0		
0	103	9	0	1	6780			0		
0	103	10	0	1	7244			0		
0	103	11	0	1	12256			0		
0	103	12	0	1	13208			0		
0	103	13	0	1	20296			0		
0	103	14	0	1	21608			0		
0	103	15	0	1	33040			0		
0	103	16	0	1	34420			0		
0	103	17	0	1	51692			0		
0	103	18	0	1	55452			0		
0	103	19	0	1	52			0		
0	103	20	0	1	544			0		
0	103	21	0	1	1584			0		
0	103	22	0	1	1828			0		
0	103	23	0	1	2900			0		
0	103	24	0	1	2936			0		
0	103	25	0	1	4184			0		
0	103	26	0	1	4460			0		
0	103	27	0	1	6780			0		
0	103	28	0	1	7244			0		
0	103	29	0	1	12256			0		
0	103	30	0	1	13208			0		
0	103	31	0	1	20296			0		
0	103	32	0	1	21608			0		
0	103	33	0	1	33040			0		
0	103	34	0	1	34420			0		
0	103	35	0	1	51692			0		
0	103	36	0	1	55452			0		
0	108	1	0	1	800			0		
0	108	2	0	1	800			0		
0	108	3	0	1	800			0		
0	108	4	0	1	800			0		
0	108	5	0	1	800			0		
0	108	6	0	1	800			0		
0	108	7	0	1	800			0		
0	108	8	0	1	800			0		
0	108	9	0	1	800			0		
0	108	10	0	1	800			0		
0	108	11	0	1	800			0		
0	108	12	0	1	800			0		
0	108	13	0	1	800			0		
0	108	14	0	1	800			0		
0	108	15	0	1	800			0		
0	108	16	0	1	800			0		
0	108	17	0	1	800			0		
0	108	18	0	1	800			0		
0	108	19	0	1	800			0		
0	108	20	0	1	800			0		
0	108	21	0	1	800			0		
0	108	22	0	1	800			0		
0	108	23	0	1	800			0		
0	108	24	0	1	800			0		
0	108	25	0	1	800			0		
0	108	26	0	1	800			0		
0	108	27	0	1	800			0		
0	108	28	0	1	800			0		
0	108	29	0	1	800			0		
0	108	30	0	1	800			0		
0	108	31	0	1	800			0		
0	108	32	0	1	800			0		
0	108	33	0	1	800			0		
0	108	34	0	1	800			0		
0	108	35	0	1	800			0		
0	108	36	0	1	800			0		
0	100	37	0	1	8			0		
0	100	38	0	1	280			0		
0	100	39	0	1	1032			0		
0	100	40	0	1	1220			0		
0	100	41	0	1	2896			0		
0	100	42	0	1	3064			0		
0	100	43	0	1	3968			0		
0	100	44	0	1	4184			0		
0	100	45	0	1	6108			0		
0	100	46	0	1	6480			0		
0	100	47	0	1	11156			0		
0	100	48	0	1	11944			0		
0	100	49	0	1	19324			0		
0	100	50	0	1	20352			0		
0	100	51	0	1	34352			0		
0	100	52	0	1	34964			0		
0	100	53	0	1	47848			0		
0	100	54	0	1	50916			0		
0	100	55	0	1	8			0		
0	100	56	0	1	280			0		
0	100	57	0	1	1032			0		
0	100	58	0	1	1220			0		
0	100	59	0	1	2896			0		
0	100	60	0	1	3064			0		
0	100	61	0	1	3968			0		
0	100	62	0	1	4184			0		
0	100	63	0	1	6108			0		
0	100	64	0	1	6480			0		
0	100	65	0	1	11156			0		
0	100	66	0	1	11944			0		
0	100	67	0	1	19324			0		
0	100	68	0	1	20352			0		
0	100	69	0	1	34352			0		
0	100	70	0	1	34964			0		
0	100	71	0	1	47848			0		
0	100	72	0	1	50916			0		
0	101	37	0	1	76			0		
0	101	38	0	1	976			0		
0	101	39	0	1	2144			0		
0	101	40	0	1	2348			0		
0	101	41	0	1	3188			0		
0	101	42	0	1	3288			0		
0	101	43	0	1	4940			0		
0	101	44	0	1	5176			0		
0	101	45	0	1	8248			0		
0	101	46	0	1	8724			0		
0	101	47	0	1	15148			0		
0	101	48	0	1	16380			0		
0	101	49	0	1	24512			0		
0	101	50	0	1	26236			0		
0	101	51	0	1	38304			0		
0	101	52	0	1	40312			0		
0	101	53	0	1	63336			0		
0	101	54	0	1	68220			0		
0	101	55	0	1	76			0		
0	101	56	0	1	976			0		
0	101	57	0	1	2144			0		
0	101	58	0	1	2348			0		
0	101	59	0	1	3188			0		
0	101	60	0	1	3288			0		
0	101	61	0	1	4940			0		
0	101	62	0	1	5176			0		
0	101	63	0	1	8248			0		
0	101	64	0	1	8724			0		
0	101	65	0	1	15148			0		
0	101	66	0	1	16380			0		
0	101	67	0	1	24512			0		
0	101	68	0	1	26236			0		
0	101	69	0	1	38304			0		
0	101	70	0	1	40312			0		
0	101	71	0	1	63336			0		
0	101	72	0	1	68220			0		
0	109	37	0	1	800			0		
0	109	38	0	1	800			0		
0	109	39	0	1	800			0		
0	109	40	0	1	800			0		
0	109	41	0	1	800			0		
0	109	42	0	1	800			0		
0	109	43	0	1	800			0		
0	109	44	0	1	800			0		
0	109	45	0	1	800			0		
0	109	46	0	1	800			0		
0	109	47	0	1	800			0		
0	109	48	0	1	800			0		
0	109	49	0	1	800			0		
0	109	50	0	1	800			0		
0	109	51	0	1	800			0		
0	109	52	0	1	800			0		
0	109	53	0	1	800			0		
0	109	54	0	1	800			0		
0	109	55	0	1	800			0		
0	109	56	0	1	800			0		
0	109	57	0	1	800			0		
0	109	58	0	1	800			0		
0	109	59	0	1	800			0		
0	109	60	0	1	800			0		
0	109	61	0	1	800			0		
0	109	62	0	1	800			0		
0	109	63	0	1	800			0		
0	109	64	0	1	800			0		
0	109	65	0	1	800			0		
0	109	66	0	1	800			0		
0	109	67	0	1	800			0		
0	109	68	0	1	800			0		
0	109	69	0	1	800			0		
0	109	70	0	1	800			0		
0	109	71	0	1	800			0		
0	109	72	0	1	800			0		
0	110	37	0	1	800			0		
0	110	38	0	1	800			0		
0	110	39	0	1	800			0		
0	110	40	0	1	800			0		
0	110	41	0	1	800			0		
0	110	42	0	1	800			0		
0	110	43	0	1	800			0		
0	110	44	0	1	800			0		
0	110	45	0	1	800			0		
0	110	46	0	1	800			0		
0	110	47	0	1	800			0		
0	110	48	0	1	800			0		
0	110	49	0	1	800			0		
0	110	50	0	1	800			0		
0	110	51	0	1	800			0		
0	110	52	0	1	800			0		
0	110	53	0	1	800			0		
0	110	54	0	1	800			0		
0	110	55	0	1	800			0		
0	110	56	0	1	800			0		
0	110	57	0	1	800			0		
0	110	58	0	1	800			0		
0	110	59	0	1	800			0		
0	110	60	0	1	800			0		
0	110	61	0	1	800			0		
0	110	62	0	1	800			0		
0	110	63	0	1	800			0		
0	110	64	0	1	800			0		
0	110	65	0	1	800			0		
0	110	66	0	1	800			0		
0	110	67	0	1	800			0		
0	110	68	0	1	800			0		
0	110	69	0	1	800			0		
0	110	70	0	1	800			0		
0	110	71	0	1	800			0		
0	110	72	0	1	800			0		
0	103	37	0	1	52			0		
0	103	38	0	1	544			0		
0	103	39	0	1	1584			0		
0	103	40	0	1	1828			0		
0	103	41	0	1	2900			0		
0	103	42	0	1	2936			0		
