enum_core	string
LOC_G_ITEM_30	NÆng:
LOC_G_ITEM_31	T¸c dông:
LOC_G_ITEM_32	Ngò hµnh:
LOC_G_ITEM_33	S¾c bÐn:
LOC_G_ITEM_34	Thêi gian d­îc liÖu:
LOC_G_ITEM_35	 Gi©y 
LOC_G_ITEM_36	Thuéc quÎ:
LOC_G_ITEM_37	Lo¹i:
LOC_G_ITEM_41	§¼ng cÊp Hµo Th¹ch kh«ng thÓ cao h¬n ®¼ng cÊp trang bÞ.
LOC_G_ITEM_57	§¼ng cÊp Hµo Th¹ch kh«ng thÓ thÊp h¬n ®¼ng cÊp trang bÞ.
LOC_G_ITEM_58	Hµo Th¹ch kh«ng thÓ kh¶m n¹m vµo trang bÞ nµy.
LOC_G_ITEM_42	T©m ph¸p vâ c«ng <color=Gold>%s<color> lÜnh héi ®­îc <color=HBlue>%d<color> thµnh.\n
LOC_G_ITEM_43	LuyÖn:
LOC_G_ITEM_44	B¶ng phô lôc:
LOC_G_ITEM_45	C«ng kÝch ngo¹i c«ng chñ ®éng t¨ng 
LOC_G_ITEM_46	C«ng kÝch néi c«ng chñ ®éng t¨ng 
LOC_G_ITEM_47	Hç trî tÊn c«ng t¨ng 
LOC_G_ITEM_48	Hç trî phßng ngù t¨ng 
LOC_G_ITEM_49	ChØ cã thÓ kh¶m n¹m
LOC_G_ITEM_50	Kh«ng thÓ kh¶m n¹m
LOC_G_ITEM_51	 Kh«ng thÓ dïng\n
LOC_G_ITEM_52	*
LOC_G_ITEM_53	Gi¸ söa ch÷a:
LOC_G_ITEM_54	Gi¸:
LOC_G_ITEM_55	 phôc
LOC_G_ITEM_56	Kh«ng thÓ b¸n shop
LOC_G_ITEM_59	%s[cÊp %d]\n
LOC_G_ITEM_60	§¼ng cÊp gi¸m ®Þnh kh«ng ®ñ.
LOC_G_ITEM_61	Gi¸:
LOC_G_ITEM_62	kh«ng thÓ giao dÞch
LOC_G_ITEM_63	BÝ kÝp ®· cã phô lôc, kh«ng thÓ d¸n thªm n÷a!
LOC_G_ITEM_64	Lo¹i trang bÞ:
LOC_G_ITEM_65	 chuyªn dïng
LOC_G_ITEM_66	VËt phÈm ®· bÞ khãa
LOC_G_ITEM_67	NhÊp chuét ph¶i ®Ó c­ìi ngùa.
LOC_G_ITEM_68	Søc bÒn::
LOC_G_ITEM_69	Tuæi thä:
LOC_G_ITEM_70	§é ®ãi kh¸t:
LOC_G_ITEM_71	§éc hÖ:
LOC_G_ITEM_72	HuyÕt hÖ:
LOC_G_ITEM_73	Linh hÖ:
LOC_G_ITEM_74	Ma hÖ:
LOC_G_ITEM_75	§iÓm s­ m«n:
LOC_G_ITEM_76	Kh«ng thÓ sö dông vËt phÈm nµy khi ë tr¹ng th¸i PK!
LOC_G_ITEM_77	Gi·n c¸ch sö dông:
LOC_G_ITEM_78	Linh khÝ:
LOC_G_ITEM_79	Kinh nghiÖm:
LOC_G_ITEM_80	Kü n¨ng sèng:
LOC_G_ITEM_81	Sè « kh¶m n¹m:
LOC_G_ITEM_82	¢m
LOC_G_ITEM_83	d­¬ng
LOC_G_ITEM_84	%-2d-%-2d %5d%%\n
LOC_G_ITEM_85	VËt phÈm nµy hiÖn ®ang bÞ cÊm sö dông
LOC_G_ITEM_86	D¹ng PK:
LOC_G_ITEM_87	D¹ng hßa b×nh:
LOC_G_ITEM_88	VËt phÈm nµy kh«ng thÓ sö dông trong tr¹ng th¸i hßa b×nh.
LOC_G_ITEM_89	Cã hiÖu lùc ®Õn %d-%d-%d %d giê
LOC_G_ITEM_90	TiÓu §Þnh Hån:+7
LOC_G_ITEM_91	Ch­a kÝch ho¹t
LOC_G_ITEM_92	ChÕ t¹o thuéc tÝnh thø %s thµnh c«ng.
LOC_G_ITEM_93	ChÕ t¹o thuéc tÝnh thø %s thÊt b¹i.
LOC_G_ITEM_94	Sau khi thuéc tÝnh nµy ®­îc chÕ t¹o, sÏ cã thªm thuéc tÝnh nµy:
LOC_G_ITEM_95	VÞ trÝ cã thÓ:
LOC_G_ITEM_96	Linh th¹ch cã thÓ rót ra\n
LOC_G_ITEM_97	Linh th¹ch kh«ng thÓ rót ra\n
LOC_G_ITEM_98	Nguån gèc:
LOC_G_ITEM_99	VËt phÈm nµy kh«ng thÓ t¸ch ra#
LOC_G_ITEM_101	Kh«ng thÓ vøt ®i
LOC_G_ITEM_102	Cã thÓ b¸n shop
LOC_G_ITEM_103	Cã thÓ giao dÞch
LOC_G_ITEM_104	Cã thÓ vøt ®i
LOC_G_ITEM_105	Kinh nghiÖm:  %d
LOC_G_ITEM_106	TiÒn: %d
LOC_G_ITEM_107	Danh väng: %d
LOC_G_WEAPON_EFFECT_0	Tªn linh ph¸p: %s
LOC_G_WEAPON_EFFECT_1	§¼ng cÊp linh ph¸ch: %d
LOC_G_WEAPON_EFFECT_2	Gäi hån ®· kÕt thóc.
LOC_G_WEAPON_EFFECT_3	§iÒu kiÖn gäi hån: %s
LOC_G_WEAPON_EFFECT_4	Linh N¨ng B¹o Ph¸t:
LOC_G_WEAPON_EFFECT_5	Kü n¨ng gäi hån: %s
LOC_G_WEAPON_EFFECT_6	Thêi h¹n Linh Ph¸ch: %d-%d-%d
LOC_G_WEAPON_EFFECT_7	Tr¹ng th¸i hiÖn t¹i kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_8	CÇn ®îi %d gi©y sau míi cã thÓ gäi hån.
LOC_G_WEAPON_EFFECT_9	Khi sö dông kü n¨ng vâ c«ng kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_10	VÒ thµnh hoÆc trªn ngùa kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_11	B¹n ®ang tiÕn hµnh ®éng t¸c biÓu c¶m víi ng­êi kh¸c, kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_12	Tö vong hoÆc träng th­¬ng kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_13	Ng· ng÷a, giËt lïi hoÆc tÐ ng· kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_14	Trong qu¸ tr×nh khinh c«ng kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_15	Tr¹ng th¸i tµn ¶nh kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_16	Tr¹ng th¸i mª hoÆc hoÆc Èn th©n kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_17	Tr¹ng th¸i cho¸ng, ngñ kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_18	Khi bµy b¸n kh«ng thÓ gäi hån.
LOC_G_WEAPON_EFFECT_19	D­¬ng M«n chØ cã thÓ gäi hån khi ë trªn ngùa.
LOC_G_WEAPON_EFFECT_20	B¹n ®ang c­ìi ngùa, kh«ng thÓ gäi hån khi ë trªn ngùa.
LOC_G_WEAPON_EFFECT_21	Linh ph¸ch cña %s ®· bÞ hñy diÖt.
LOC_G_LIFE_SKILL_0_1	§èn c©y
LOC_G_LIFE_SKILL_0_2	Lµm da
LOC_G_LIFE_SKILL_0_3	Canh t¸c
LOC_G_LIFE_SKILL_0_4	H¸i thuèc
LOC_G_LIFE_SKILL_0_5	§µo kho¸ng
LOC_G_LIFE_SKILL_0_6	KÐo t¬
LOC_G_LIFE_SKILL_0_7	TËp linh
LOC_G_LIFE_SKILL_1_1	Kü nghÖ gia truyÒn
LOC_G_LIFE_SKILL_1_2	ChÕ t¹o binh khÝ dµi
LOC_G_LIFE_SKILL_1_3	ChÕ t¹o binh khÝ ng¾n
LOC_G_LIFE_SKILL_1_4	ChÕ t¹o kú m«n binh khÝ
LOC_G_LIFE_SKILL_1_5	Lµm hé gi¸p
LOC_G_LIFE_SKILL_1_6	ChÕ thuèc
LOC_G_LIFE_SKILL_1_7	NÊu n­íng
LOC_G_LIFE_SKILL_1_8	ChÕ phï
LOC_G_LIFE_SKILL_1_9	H¹ trang
LOC_G_LIFE_SKILL_1_10	§Çu qu¸n
LOC_G_STALL_ITEM_CANNOT_DROP	VËt phÈm nµy kh«ng thÓ bµy b¸n!
LOC_G_STORE_ITEM_CANNOT_DROP	VËt phÈm nµy kh«ng thÓ ®Æt vµo cöa hiÖu!
LOC_G_ENHANCE_ITEM_1	§é t¨ng\t%d\n
LOC_G_ENHANCE_ITEM_2	%s%s\n
LOC_G_ENHANCE_ITEM_3	X¸c suÊt thµnh c«ng\t%d\n
LOC_G_ENHANCE_ITEM_6	Ngo¹i c«ng+%d%% néi c«ng+%d%%\n
LOC_G_ENHANCE_ITEM_7	Phßng thñ ngo¹i c«ng + %d phßng thñ néi c«ng + %d\n
LOC_G_ENHANCE_ITEM_8	kh«ng thÓ thÊt b¹i \n
LOC_G_ENHANCE_ITEM_9	TÊt c¶ hiÖu qu¶ t¨ng c­êng sÏ bÞ hñy bá \n
LOC_G_ENHANCE_ITEM_10	Trang bÞ bÞ mÊt \n
LOC_G_ENHANCE_ITEM_11	kh«ng thÓ thÊt b¹i \n
LOC_G_ENHANCE_ITEM_12	Kh¶m n¹m thµnh c«ng.\n
LOC_G_ENHANCE_ITEM_13	Kh¶m n¹m thµnh c«ng, linh khÝ trµn ®Çy.\n
LOC_G_ENHANCE_ITEM_14	Kh¶m n¹m thµnh c«ng, linh khÝ trµn ®Çy.\n
LOC_G_ENHANCE_ITEM_15	C­êng hãa tõ +%d trë lªn, Khi thÊt b¹i chØ quay vÒ +%d
LOC_G_TONG_CREATE_ERROR1	B¹n trë thµnh thµnh viªn cña bang héi!
LOC_G_TONG_CREATE_ERROR2	B¹n ch­a ®ñ ®¼ng cÊp ®Ó lËp bang!
LOC_G_TONG_CREATE_ERROR3	B¹n kh«ng ®ñ danh väng ®Ó lËp bang!
LOC_G_TONG_CREATE_ERROR4	B¹n kh«ng ®ñ ng©n l­îng ®Ó lËp bang!
LOC_G_TONG_CREATE_ERROR5	B¹n kh«ng cã tÝn vËt lËp bang!
LOC_G_TONG_CREATE_ERROR6	HiÖn t¹i b¹n kh«ng thÓ thµnh lËp bang héi!
LOC_G_TONG_FAIL_NOTIFY_TONG_NAME_ERR	Tªn bang héi kh«ng hîp lÖ!
LOC_G_TONG_FAIL_NOTIFY_TITLE_ERR	Tªn chøc vô b¹n ®­a vµo kh«ng hîp lÖ!
LOC_G_TONG_FAIL_NOTIFY_TONG_NAME_EXIST	Tªn bang héi nµy ®· tån t¹i!
LOC_G_TONG_FAIL_NOTIFY_TONG_NUM_LIMIT	HiÖn t¹i sè l­îng bang héi qu¸ nhiÒu, kh«ng thÓ lËp bang n÷a!
LOC_G_TONG_FAIL_NOTIFY_TONG_DESTROYED	Bang héi cña b¹n bÞ gi¶i t¸n!
LOC_G_TONG_FAIL_NOTIFY_TONG_NOT_EXIST	Bang héi b¹n muèn gia nhËp kh«ng tån t¹i!
LOC_G_TONG_FAIL_NOTIFY_MEMBER_NUM_LIMIT	Nh©n sè cña bang héi ®· ®¹t møc giíi h¹n!
LOC_G_TONG_FAIL_NOTIFY_ALREADY_MEMBER	B¹n trë thµnh thµnh viªn cña bang héi!
LOC_G_TONG_FAIL_NOTIFY_CANNOT_JOIN_NOW	HiÖn t¹i b¹n kh«ng thÓ gia nhËp bang héi!
LOC_G_TONG_NOTIFY_NEED_REFRESH	C¬ cÊu bang héi ®· ®­îc cËp nhËt, xin thao t¸c l¹i!
LOC_G_TONG_FAIL_NOTIFY_DEL_NOT_EXIST	Thµnh viªn b¹n muèn trôc xuÊt kh«ng tån t¹i trong bang!
LOC_G_TONG_FAIL_NOTIFY_DEL_RANK_LIMIT	B¹n kh«ng cã quyÒn trôc xuÊt thµnh viªn nµy!
LOC_G_TONG_DEFAULT_KING_TITLE	Bang chñ
LOC_G_TONG_NOTIFY_CREATED	Chóc mõng b¹n! Bang héi ®· ®­îc thµnh lËp!
LOC_G_TONG_NOTIFY_NEED_BLOOD_FELLOW	Trong 24 giê, bang héi ph¶i chiªu n¹p ®ñ 10 ng­êi, nÕu kh«ng sÏ tù ®éng gi¶i t¸n!
LOC_G_TONG_JUST_JOIN_OTHERS_TONG	Hoan nghªnh b¹n ®· gia nhËp bang héi!
LOC_G_TONG_ADD_OTHERS_IN	B¹n võa kÕt n¹p %s gia nhËp bang héi!
LOC_G_TONG_KICK_OTHERS_OUT	B¹n võa trôc xuÊt %s ra khái bang héi!
LOC_G_TONG_BEEN_KICKED_OUT	B¹n võa bÞ trôc xuÊt khái bang héi!
LOC_G_TONG_APPOINT_NEW_JOB_TO_ONE	B¹n võa giao chøc vô cho %s!
LOC_G_TONG_APPOINT_NEW_JOB_TO_TWO	B¹n võa ho¸n ®æi chøc vÞ cho 2 thµnh viªn!
LOC_G_TONG_LEAVE_TONG_SELF	B¹n ®· quyÕt ®Þnh rêi khái bang héi!
LOC_G_TONG_MASTER_DEMISE	B¹n võa truyÒn ng«i bang chñ cho ng­êi kh¸c ®Ó qui Èn giang hå!
LOC_G_TONG_MASTER_DEMISE_NOTIFY	Bang héi cña b¹n ®· thay ®æi Bang chñ!
LOC_G_TONG_DUTY_BEEN_UP	Bang héi võa ®­îc t¨ng cÊp!
LOC_G_TONG_DUTY_BEEN_DOWN	Bang héi võa bÞ gi¶m cÊp!
LOC_G_TONG_DUTY_BEEN_EXCHANGE	Chøc vÞ cña b¹n võa bÞ ho¸n ®æi!
LOC_G_TONG_SLOGAN_MODIFYED	KhÈu hiÖu bang héi ®· ®­îc ®æi míi!
LOC_G_TONG_MESSAGE_MODIFYED	TruyÒn ng«n bang héi ®· ®­îc cËp nhËt!
LOC_G_TONG_DISAGREE_ADD_TONG	%s tõ chèi gia nhËp bang héi [%s]
LOC_G_TONG_SET_UP_NORMALLY	Bang héi cña b¹n ®· ®ñ nh©n lùc ®Ó thµnh lËp. §¼ng cÊp hiÖn t¹i lµ 1.
LOC_G_TONG_LEVEL_UP	§¼ng cÊp bang héi cña b¹n ®· t¨ng %d!
LOC_G_TONG_TITLE_MODIFY	Thay ®æi danh hiÖu thµnh viªn thµnh c«ng!
LOC_G_TONG_NOIFY_TITLE_MODIFIED	Danh hiÖu cña b¹n võa bÞ thay ®æi!
LOC_G_TONG_POPULATION_UP	Nh©n lùc bang héi ®· t¨ng lªn!
LOC_G_TONG_POPULATION_DOWN	Nh©n lùc bang héi ®· gi¶m xuèng!
LOC_G_TONG_POPU_RANK_UP	XÕp h¹ng nh©n lùc cña bang héi ®· t¨ng lªn!
LOC_G_TONG_POPU_RANK_DOWN	XÕp h¹ng nh©n lùc cña bang héi ®· gi¶m xuèng!
LOC_G_TONG_NOTIFY_MEMBER_LOGIN	Thµnh viªn bang héi %s ®· lªn m¹ng!
LOC_G_TONG_NOTIFY_MEMBER_LOGOUT	Thµnh viªn bang héi %s ®· rêi m¹ng!
LOC_G_NO_POINT_PROMPT	Thêi gian tµi kho¶n cña b¹n chØ cßn 10 phót. Xin h·y n¹p thÎ ®Ó tiÕp tôc hµnh tÈu giang hå!
LOC_G_ZF_ONE_HOUR_REMIND	B¹n ®· Online ®ñ 1 giê!
LOC_G_ZF_THREE_HOUR_REMIND	B¹n ®· Online ®ñ 3 giê! Xin nghØ ng¬i vËn ®éng!
LOC_G_ZF_TIRED_RESULT1	B¹n ®· thÊy mÖt mái! 
LOC_G_ZF_TIRED_RESULT2	Tõ giê b¹n chØ nhËn ®­îc 50% nh÷ng phÇn th­ëng! 
LOC_G_ZF_TIRED_REMIND1	B¹n nªn rêi m¹ng nghØ ng¬i!
LOC_G_ZF_TIRED_REMIND2	Xin s¾p xÕp thêi gian ch¬i game vµ häc tËp cho hîp lý!
LOC_G_ZF_FORBID_RESULT1	B¹n ®· b¾t ®Çu mÖt mái!
LOC_G_ZF_FORBID_RESULT2	V× søc kháe cña b¹n! Xin h·y rêi m¹ng nghØ ng¬i!
LOC_G_ZF_FORBID_REMIND1	B¹n hiÖn giê sÏ kh«ng cßn nhËn ®­îc bÊt cø phÇn th­ëng nµo!
LOC_G_ZF_FORBID_REMIND2	B¹n rêi m¹ng ®ñ 5 giê, míi cã thÓ ch¬i l¹i b×nh th­êng!
LOC_G_ZF_ITEM_HALF	B¹n ®· ch¬i qu¸ 3 giê. Giê sÏ chØ nhËn ®­îc 50% vËt phÈm!
LOC_G_ZF_ITEM_NONE	Thêi gian online cña ®¹i hiÖp qu¸ 5 tiÕng nªn kh«ng thÓ nhËn ®­îc vËt phÈm nµy
LOC_G_ZF_CANNOT_OFFLINE_LIVE	B¹n ®· ch¬i qu¸ 3 giê, kh«ng thÓ tiÕn hµnh rêi m¹ng ñy th¸c!
LOC_G_ItemList_0	Kh«ng thÓ sö dông Håi phï ë ®©y!
LOC_G_ItemList_1	R­¬ng ®· ®­îc khãa, kh«ng thÓ rót tiÒn!
LOC_G_ItemList_2	R­¬ng ®ang bÞ khãa, kh«ng thÓ s¾p xÕp trang bÞ!
LOC_G_ItemList_3	R­¬ng ®ang ®­îc khãa!
LOC_G_ItemList_4	ThiÕt lËp mËt m· thµnh c«ng!
LOC_G_ItemList_5	ThiÕt lËp mËt m· thÊt b¹i: mËt m· ®· ®­îc thiÕt lËp!
